DATE,DATE,CLOSE
2016-11-01,2016-11-01,65.63
2016-11-02,2016-11-02,66.56
2016-11-03,2016-11-03,66.59
2016-11-04,2016-11-04,66.25
2016-11-07,2016-11-07,67.23
2016-11-08,2016-11-08,66.81
2016-11-09,2016-11-09,67.84
2016-11-10,2016-11-10,69.46
2016-11-11,2016-11-11,69.73
2016-11-14,2016-11-14,70.01
2016-11-15,2016-11-15,69.05
2016-11-16,2016-11-16,67.02
2016-11-17,2016-11-17,67.95
2016-11-18,2016-11-18,69.31
2016-11-21,2016-11-21,69.41
2016-11-22,2016-11-22,71.59
2016-11-23,2016-11-23,71.77
2016-11-25,2016-11-25,72.21
2016-11-28,2016-11-28,71.2
2016-11-29,2016-11-29,70.71
2016-11-30,2016-11-30,70.55
2016-12-01,2016-12-01,71.0
2016-12-02,2016-12-02,72.31
2016-12-05,2016-12-05,72.66
2016-12-06,2016-12-06,72.46
2016-12-07,2016-12-07,76.4
2016-12-08,2016-12-08,75.24
2016-12-09,2016-12-09,74.69
2016-12-12,2016-12-12,74.51
2016-12-13,2016-12-13,74.65
2016-12-14,2016-12-14,73.56
2016-12-15,2016-12-15,73.67
2016-12-16,2016-12-16,72.96
2016-12-19,2016-12-19,72.92
2016-12-20,2016-12-20,74.27
2016-12-21,2016-12-21,74.19
2016-12-22,2016-12-22,73.01
2016-12-23,2016-12-23,72.3
2016-12-27,2016-12-27,72.23
2016-12-28,2016-12-28,71.57
2016-12-29,2016-12-29,71.34
2016-12-30,2016-12-30,71.12
2017-01-03,2017-01-03,70.95
2017-01-04,2017-01-04,71.81
2017-01-05,2017-01-05,71.07
2017-01-06,2017-01-06,70.95
2017-01-09,2017-01-09,71.07
2017-01-10,2017-01-10,71.21
2017-01-11,2017-01-11,71.26
2017-01-12,2017-01-12,71.58
2017-01-13,2017-01-13,72.15
2017-01-17,2017-01-17,72.38
2017-01-18,2017-01-18,71.38
2017-01-19,2017-01-19,71.6
2017-01-20,2017-01-20,71.76
2017-01-23,2017-01-23,72.58
2017-01-24,2017-01-24,74.0
2017-01-25,2017-01-25,73.06
2017-01-26,2017-01-26,73.23
2017-01-27,2017-01-27,73.25
2017-01-30,2017-01-30,73.57
2017-01-31,2017-01-31,73.08
2017-02-01,2017-02-01,72.35
2017-02-02,2017-02-02,71.95
2017-02-03,2017-02-03,73.29
2017-02-06,2017-02-06,72.61
2017-02-07,2017-02-07,72.24
2017-02-08,2017-02-08,72.45
2017-02-09,2017-02-09,73.53
2017-02-10,2017-02-10,73.97
2017-02-13,2017-02-13,73.9
2017-02-14,2017-02-14,75.72
2017-02-15,2017-02-15,76.91
2017-02-16,2017-02-16,76.32
2017-02-17,2017-02-17,76.74
2017-02-21,2017-02-21,77.25
2017-02-22,2017-02-22,76.8
2017-02-23,2017-02-23,75.8
2017-02-24,2017-02-24,76.1
2017-02-27,2017-02-27,76.42
2017-02-28,2017-02-28,74.37
2017-03-01,2017-03-01,81.45
2017-03-02,2017-03-02,80.4
2017-03-03,2017-03-03,81.68
2017-03-06,2017-03-06,81.02
2017-03-07,2017-03-07,80.84
2017-03-08,2017-03-08,81.33
2017-03-09,2017-03-09,81.17
2017-03-10,2017-03-10,81.58
2017-03-13,2017-03-13,81.58
2017-03-14,2017-03-14,81.94
2017-03-15,2017-03-15,83.27
2017-03-16,2017-03-16,83.22
2017-03-17,2017-03-17,83.53
2017-03-20,2017-03-20,82.35
2017-03-21,2017-03-21,81.92
2017-03-22,2017-03-22,82.35
2017-03-23,2017-03-23,82.45
2017-03-24,2017-03-24,82.21
2017-03-27,2017-03-27,81.56
2017-03-28,2017-03-28,82.4
2017-03-29,2017-03-29,82.21
2017-03-30,2017-03-30,82.3
2017-03-31,2017-03-31,82.21
2017-04-03,2017-04-03,82.04
2017-04-04,2017-04-04,81.59
2017-04-05,2017-04-05,81.62
2017-04-06,2017-04-06,81.97
2017-04-07,2017-04-07,82.14
2017-04-10,2017-04-10,82.42
2017-04-11,2017-04-11,82.41
2017-04-12,2017-04-12,81.87
2017-04-13,2017-04-13,81.06
2017-04-17,2017-04-17,81.95
2017-04-18,2017-04-18,82.13
2017-04-19,2017-04-19,81.99
2017-04-20,2017-04-20,83.29
2017-04-21,2017-04-21,83.47
2017-04-24,2017-04-24,84.17
2017-04-25,2017-04-25,84.51
2017-04-26,2017-04-26,85.23
2017-04-27,2017-04-27,85.27
2017-04-28,2017-04-28,84.88
2017-05-01,2017-05-01,84.4
2017-05-02,2017-05-02,85.38
2017-05-03,2017-05-03,85.53
2017-05-04,2017-05-04,85.4
2017-05-05,2017-05-05,86.0
2017-05-08,2017-05-08,86.0
2017-05-09,2017-05-09,85.85
2017-05-10,2017-05-10,86.06
2017-05-11,2017-05-11,84.7
2017-05-12,2017-05-12,84.82
2017-05-15,2017-05-15,85.19
2017-05-16,2017-05-16,85.36
2017-05-17,2017-05-17,83.75
2017-05-18,2017-05-18,84.05
2017-05-19,2017-05-19,84.59
2017-05-22,2017-05-22,84.05
2017-05-23,2017-05-23,82.34
2017-05-24,2017-05-24,79.85
2017-05-25,2017-05-25,81.33
2017-05-26,2017-05-26,80.91
2017-05-30,2017-05-30,79.41
2017-05-31,2017-05-31,78.77
2017-06-01,2017-06-01,80.43
2017-06-02,2017-06-02,80.22
2017-06-05,2017-06-05,79.44
2017-06-06,2017-06-06,78.7
2017-06-07,2017-06-07,77.79
2017-06-08,2017-06-08,77.64
2017-06-09,2017-06-09,78.65
2017-06-12,2017-06-12,79.03
2017-06-13,2017-06-13,79.65
2017-06-14,2017-06-14,80.56
2017-06-15,2017-06-15,80.39
2017-06-16,2017-06-16,79.8
2017-06-19,2017-06-19,81.08
2017-06-20,2017-06-20,80.46
2017-06-21,2017-06-21,79.14
2017-06-22,2017-06-22,78.34
2017-06-23,2017-06-23,76.07
2017-06-26,2017-06-26,76.7
2017-06-27,2017-06-27,76.33
2017-06-28,2017-06-28,77.02
2017-06-29,2017-06-29,76.6
2017-06-30,2017-06-30,77.53
2017-07-03,2017-07-03,78.26
2017-07-05,2017-07-05,77.37
2017-07-06,2017-07-06,76.59
2017-07-07,2017-07-07,77.15
