DATE,DATE,CLOSE
2016-11-01,2016-11-01,96.05
2016-11-02,2016-11-02,95.85
2016-11-03,2016-11-03,95.24
2016-11-04,2016-11-04,95.0
2016-11-07,2016-11-07,98.51
2016-11-08,2016-11-08,99.12
2016-11-09,2016-11-09,98.01
2016-11-10,2016-11-10,95.97
2016-11-11,2016-11-11,97.49
2016-11-14,2016-11-14,98.51
2016-11-15,2016-11-15,101.12
2016-11-16,2016-11-16,101.24
2016-11-17,2016-11-17,103.8
2016-11-18,2016-11-18,104.71
2016-11-21,2016-11-21,106.24
2016-11-22,2016-11-22,106.71
2016-11-23,2016-11-23,106.95
2016-11-25,2016-11-25,107.54
2016-11-28,2016-11-28,106.77
2016-11-29,2016-11-29,107.57
2016-11-30,2016-11-30,106.02
2016-12-01,2016-12-01,98.58
2016-12-02,2016-12-02,100.49
2016-12-05,2016-12-05,102.4
2016-12-06,2016-12-06,103.05
2016-12-07,2016-12-07,106.55
2016-12-08,2016-12-08,107.15
2016-12-09,2016-12-09,104.09
2016-12-12,2016-12-12,103.63
2016-12-13,2016-12-13,104.06
2016-12-14,2016-12-14,104.44
2016-12-15,2016-12-15,106.12
2016-12-16,2016-12-16,104.45
2016-12-19,2016-12-19,106.99
2016-12-20,2016-12-20,106.85
2016-12-21,2016-12-21,106.48
2016-12-22,2016-12-22,107.69
2016-12-23,2016-12-23,108.06
2016-12-27,2016-12-27,109.03
2016-12-28,2016-12-28,107.57
2016-12-29,2016-12-29,107.15
2016-12-30,2016-12-30,105.73
2017-01-03,2017-01-03,107.26
2017-01-04,2017-01-04,107.32
2017-01-05,2017-01-05,107.08
2017-01-06,2017-01-06,107.6
2017-01-09,2017-01-09,108.86
2017-01-10,2017-01-10,108.47
2017-01-11,2017-01-11,108.99
2017-01-12,2017-01-12,108.17
2017-01-13,2017-01-13,110.54
2017-01-17,2017-01-17,109.1
2017-01-18,2017-01-18,111.24
2017-01-19,2017-01-19,110.84
2017-01-20,2017-01-20,112.35
2017-01-23,2017-01-23,112.77
2017-01-24,2017-01-24,114.64
2017-01-25,2017-01-25,116.92
2017-01-26,2017-01-26,114.33
2017-01-27,2017-01-27,118.24
2017-01-30,2017-01-30,116.0
2017-01-31,2017-01-31,114.86
2017-02-01,2017-02-01,117.74
2017-02-02,2017-02-02,117.23
2017-02-03,2017-02-03,117.65
2017-02-06,2017-02-06,117.16
2017-02-07,2017-02-07,117.0
2017-02-08,2017-02-08,115.87
2017-02-09,2017-02-09,116.0
2017-02-10,2017-02-10,115.99
2017-02-13,2017-02-13,116.26
2017-02-14,2017-02-14,115.63
2017-02-15,2017-02-15,116.225
2017-02-16,2017-02-16,114.57
2017-02-17,2017-02-17,114.9
2017-02-21,2017-02-21,117.82
2017-02-22,2017-02-22,118.58
2017-02-23,2017-02-23,117.73
2017-02-24,2017-02-24,118.79
2017-02-27,2017-02-27,119.29
2017-02-28,2017-02-28,118.54
2017-03-01,2017-03-01,119.67
2017-03-02,2017-03-02,118.48
2017-03-03,2017-03-03,118.62
2017-03-06,2017-03-06,118.36
2017-03-07,2017-03-07,117.43
2017-03-08,2017-03-08,117.73
2017-03-09,2017-03-09,117.55
2017-03-10,2017-03-10,120.6
2017-03-13,2017-03-13,122.4
2017-03-14,2017-03-14,122.35
2017-03-15,2017-03-15,124.17
2017-03-16,2017-03-16,125.97
2017-03-17,2017-03-17,126.48
2017-03-20,2017-03-20,126.86
2017-03-21,2017-03-21,124.27
2017-03-22,2017-03-22,125.4
2017-03-23,2017-03-23,125.35
2017-03-24,2017-03-24,127.47
2017-03-27,2017-03-27,127.8
2017-03-28,2017-03-28,127.75
2017-03-29,2017-03-29,127.88
2017-03-30,2017-03-30,128.7
