DATE,DATE,CLOSE
2016-11-01,2016-11-01,78.21
2016-11-02,2016-11-02,77.39
2016-11-03,2016-11-03,78.31
2016-11-04,2016-11-04,78.45
2016-11-07,2016-11-07,79.16
2016-11-08,2016-11-08,78.95
2016-11-09,2016-11-09,80.94
2016-11-10,2016-11-10,83.35
2016-11-11,2016-11-11,82.2
2016-11-14,2016-11-14,82.4
2016-11-15,2016-11-15,83.42
2016-11-16,2016-11-16,83.2
2016-11-17,2016-11-17,83.01
2016-11-18,2016-11-18,83.12
2016-11-21,2016-11-21,85.16
2016-11-22,2016-11-22,85.77
2016-11-23,2016-11-23,86.64
2016-11-25,2016-11-25,86.67
2016-11-28,2016-11-28,85.58
2016-11-29,2016-11-29,83.72
2016-11-30,2016-11-30,90.32
2016-12-01,2016-12-01,91.18
2016-12-02,2016-12-02,89.14
2016-12-05,2016-12-05,88.6
2016-12-06,2016-12-06,87.78
2016-12-07,2016-12-07,89.41
2016-12-08,2016-12-08,90.54
2016-12-09,2016-12-09,88.42
2016-12-12,2016-12-12,89.59
2016-12-13,2016-12-13,89.62
2016-12-14,2016-12-14,88.09
2016-12-15,2016-12-15,88.83
2016-12-16,2016-12-16,88.68
2016-12-19,2016-12-19,88.14
2016-12-20,2016-12-20,88.13
2016-12-21,2016-12-21,87.77
2016-12-22,2016-12-22,87.53
2016-12-23,2016-12-23,87.7
2016-12-27,2016-12-27,87.1
2016-12-28,2016-12-28,86.38
2016-12-29,2016-12-29,86.01
2016-12-30,2016-12-30,85.78
2017-01-03,2017-01-03,86.88
2017-01-04,2017-01-04,88.79
2017-01-05,2017-01-05,88.68
2017-01-06,2017-01-06,88.17
2017-01-09,2017-01-09,86.89
2017-01-10,2017-01-10,86.88
2017-01-11,2017-01-11,88.44
2017-01-12,2017-01-12,89.62
2017-01-13,2017-01-13,89.73
2017-01-17,2017-01-17,89.97
2017-01-18,2017-01-18,90.05
2017-01-19,2017-01-19,89.76
2017-01-20,2017-01-20,90.89
2017-01-23,2017-01-23,91.16
2017-01-24,2017-01-24,95.13
2017-01-25,2017-01-25,96.38
2017-01-26,2017-01-26,95.39
2017-01-27,2017-01-27,95.3
2017-01-30,2017-01-30,94.3
2017-01-31,2017-01-31,93.27
2017-02-01,2017-02-01,95.07
2017-02-02,2017-02-02,93.75
2017-02-03,2017-02-03,94.69
2017-02-06,2017-02-06,94.94
2017-02-07,2017-02-07,92.35
2017-02-08,2017-02-08,91.66
2017-02-09,2017-02-09,92.24
2017-02-10,2017-02-10,91.86
2017-02-13,2017-02-13,92.22
2017-02-14,2017-02-14,93.15
2017-02-15,2017-02-15,93.09
2017-02-16,2017-02-16,92.69
2017-02-17,2017-02-17,92.91
2017-02-21,2017-02-21,94.52
2017-02-22,2017-02-22,94.01
2017-02-23,2017-02-23,93.13
2017-02-24,2017-02-24,92.43
2017-02-27,2017-02-27,91.33
2017-02-28,2017-02-28,91.24
2017-03-01,2017-03-01,93.89
2017-03-02,2017-03-02,92.29
2017-03-03,2017-03-03,92.24
2017-03-06,2017-03-06,91.55
2017-03-07,2017-03-07,91.23
2017-03-08,2017-03-08,89.79
2017-03-09,2017-03-09,89.5
2017-03-10,2017-03-10,89.79
2017-03-13,2017-03-13,90.18
2017-03-14,2017-03-14,88.58
2017-03-15,2017-03-15,90.89
2017-03-16,2017-03-16,90.35
2017-03-17,2017-03-17,90.08
2017-03-20,2017-03-20,90.3
2017-03-21,2017-03-21,88.15
2017-03-22,2017-03-22,88.15
2017-03-23,2017-03-23,88.3
2017-03-24,2017-03-24,87.56
2017-03-27,2017-03-27,88.62
2017-03-28,2017-03-28,90.9
2017-03-29,2017-03-29,90.73
2017-03-30,2017-03-30,91.27
2017-03-31,2017-03-31,91.19
2017-04-03,2017-04-03,90.26
2017-04-04,2017-04-04,90.69
2017-04-05,2017-04-05,88.4
2017-04-06,2017-04-06,89.19
2017-04-07,2017-04-07,88.79
2017-04-10,2017-04-10,88.53
2017-04-11,2017-04-11,88.02
2017-04-12,2017-04-12,86.34
2017-04-13,2017-04-13,84.91
2017-04-17,2017-04-17,85.28
2017-04-18,2017-04-18,85.84
2017-04-19,2017-04-19,85.53
2017-04-20,2017-04-20,85.51
2017-04-21,2017-04-21,85.42
2017-04-24,2017-04-24,86.52
2017-04-25,2017-04-25,87.01
2017-04-26,2017-04-26,87.06
2017-04-27,2017-04-27,87.42
2017-04-28,2017-04-28,84.76
2017-05-01,2017-05-01,83.46
2017-05-02,2017-05-02,83.54
2017-05-03,2017-05-03,81.88
2017-05-04,2017-05-04,81.42
2017-05-05,2017-05-05,84.16
2017-05-08,2017-05-08,80.78
2017-05-09,2017-05-09,81.91
2017-05-10,2017-05-10,82.46
2017-05-11,2017-05-11,81.97
2017-05-12,2017-05-12,81.04
2017-05-15,2017-05-15,82.53
2017-05-16,2017-05-16,83.06
2017-05-17,2017-05-17,79.98
2017-05-18,2017-05-18,80.41
2017-05-19,2017-05-19,81.1
2017-05-22,2017-05-22,80.3
2017-05-23,2017-05-23,80.57
2017-05-24,2017-05-24,81.63
2017-05-25,2017-05-25,80.67
2017-05-26,2017-05-26,80.73
2017-05-30,2017-05-30,80.56
2017-05-31,2017-05-31,80.52
2017-06-01,2017-06-01,80.55
2017-06-02,2017-06-02,80.04
2017-06-05,2017-06-05,78.91
2017-06-06,2017-06-06,79.14
2017-06-07,2017-06-07,79.24
2017-06-08,2017-06-08,79.48
2017-06-09,2017-06-09,81.88
2017-06-12,2017-06-12,81.78
2017-06-13,2017-06-13,82.95
2017-06-14,2017-06-14,80.93
2017-06-15,2017-06-15,80.14
2017-06-16,2017-06-16,80.88
2017-06-19,2017-06-19,81.3
2017-06-20,2017-06-20,80.1
2017-06-21,2017-06-21,79.57
2017-06-22,2017-06-22,80.01
2017-06-23,2017-06-23,80.17
2017-06-26,2017-06-26,80.89
2017-06-27,2017-06-27,82.07
2017-06-28,2017-06-28,83.8
2017-06-29,2017-06-29,83.77
2017-06-30,2017-06-30,84.39
2017-07-03,2017-07-03,85.36
2017-07-05,2017-07-05,83.36
2017-07-06,2017-07-06,83.05
2017-07-07,2017-07-07,83.93
2017-07-10,2017-07-10,84.2
2017-07-11,2017-07-11,84.46
2017-07-12,2017-07-12,85.72
2017-07-13,2017-07-13,85.48
2017-07-14,2017-07-14,85.87
2017-07-17,2017-07-17,85.65
2017-07-18,2017-07-18,85.25
2017-07-19,2017-07-19,87.16
2017-07-20,2017-07-20,87.02
2017-07-21,2017-07-21,86.87
2017-07-24,2017-07-24,87.25
2017-07-25,2017-07-25,87.95
2017-07-26,2017-07-26,87.34
2017-07-27,2017-07-27,86.53
2017-07-28,2017-07-28,89.89
2017-07-31,2017-07-31,90.09
2017-08-01,2017-08-01,89.26
2017-08-02,2017-08-02,88.37
2017-08-03,2017-08-03,88.75
2017-08-04,2017-08-04,88.78
2017-08-07,2017-08-07,89.12
2017-08-08,2017-08-08,88.73
2017-08-09,2017-08-09,89.2
2017-08-10,2017-08-10,87.6
2017-08-11,2017-08-11,87.19
2017-08-14,2017-08-14,88.03
2017-08-15,2017-08-15,87.95
2017-08-16,2017-08-16,87.66
2017-08-17,2017-08-17,86.23
2017-08-18,2017-08-18,87.34
2017-08-21,2017-08-21,88.1
2017-08-22,2017-08-22,88.77
2017-08-23,2017-08-23,89.36
2017-08-24,2017-08-24,89.51
2017-08-25,2017-08-25,90.26
2017-08-28,2017-08-28,90.32
2017-08-29,2017-08-29,89.6
2017-08-30,2017-08-30,90.33
2017-08-31,2017-08-31,90.59
2017-09-01,2017-09-01,90.25
2017-09-05,2017-09-05,89.39
2017-09-06,2017-09-06,91.72
2017-09-07,2017-09-07,91.72
2017-09-08,2017-09-08,91.6
2017-09-11,2017-09-11,93.66
2017-09-12,2017-09-12,94.58
2017-09-13,2017-09-13,94.17
2017-09-14,2017-09-14,94.43
2017-09-15,2017-09-15,95.17
2017-09-18,2017-09-18,95.58
2017-09-19,2017-09-19,96.56
2017-09-20,2017-09-20,96.05
2017-09-21,2017-09-21,95.79
2017-09-22,2017-09-22,96.87
