DATE,DATE,CLOSE
2016-11-01,2016-11-01,68.7
2016-11-02,2016-11-02,67.14
2016-11-03,2016-11-03,67.09
2016-11-04,2016-11-04,67.57
2016-11-07,2016-11-07,69.31
2016-11-08,2016-11-08,68.49
2016-11-09,2016-11-09,67.73
2016-11-10,2016-11-10,69.36
2016-11-11,2016-11-11,69.8
2016-11-14,2016-11-14,72.04
2016-11-15,2016-11-15,70.58
2016-11-16,2016-11-16,69.62
2016-11-17,2016-11-17,69.25
2016-11-18,2016-11-18,69.0
2016-11-21,2016-11-21,68.91
2016-11-22,2016-11-22,69.28
2016-11-23,2016-11-23,69.15
2016-11-25,2016-11-25,69.02
2016-11-28,2016-11-28,68.94
2016-11-29,2016-11-29,69.15
2016-11-30,2016-11-30,67.89
2016-12-01,2016-12-01,67.41
2016-12-02,2016-12-02,68.13
2016-12-05,2016-12-05,68.8
2016-12-06,2016-12-06,69.05
2016-12-07,2016-12-07,70.72
2016-12-08,2016-12-08,70.85
2016-12-09,2016-12-09,71.14
2016-12-12,2016-12-12,71.34
2016-12-13,2016-12-13,71.13
2016-12-14,2016-12-14,69.24
2016-12-15,2016-12-15,68.42
2016-12-16,2016-12-16,69.77
2016-12-19,2016-12-19,69.88
2016-12-20,2016-12-20,69.94
2016-12-21,2016-12-21,68.58
2016-12-22,2016-12-22,68.35
2016-12-23,2016-12-23,68.17
2016-12-27,2016-12-27,69.01
2016-12-28,2016-12-28,69.01
2016-12-29,2016-12-29,69.25
2016-12-30,2016-12-30,70.84
2017-01-03,2017-01-03,70.98
2017-01-04,2017-01-04,71.85
2017-01-05,2017-01-05,72.42
2017-01-06,2017-01-06,72.69
2017-01-09,2017-01-09,71.42
2017-01-10,2017-01-10,70.09
2017-01-11,2017-01-11,69.14
2017-01-12,2017-01-12,69.68
2017-01-13,2017-01-13,69.5
2017-01-17,2017-01-17,70.21
2017-01-18,2017-01-18,70.37
2017-01-19,2017-01-19,69.2
2017-01-20,2017-01-20,69.88
2017-01-23,2017-01-23,70.08
2017-01-24,2017-01-24,70.06
2017-01-25,2017-01-25,69.55
2017-01-26,2017-01-26,69.83
2017-01-27,2017-01-27,68.0
2017-01-30,2017-01-30,67.68
2017-01-31,2017-01-31,68.69
2017-02-01,2017-02-01,68.31
2017-02-02,2017-02-02,68.76
2017-02-03,2017-02-03,69.34
2017-02-06,2017-02-06,69.02
2017-02-07,2017-02-07,67.38
2017-02-08,2017-02-08,67.19
2017-02-09,2017-02-09,68.42
2017-02-10,2017-02-10,68.37
2017-02-13,2017-02-13,67.7
2017-02-14,2017-02-14,67.17
2017-02-15,2017-02-15,67.19
2017-02-16,2017-02-16,66.84
2017-02-17,2017-02-17,66.41
2017-02-21,2017-02-21,67.81
2017-02-22,2017-02-22,67.3
2017-02-23,2017-02-23,67.32
2017-02-24,2017-02-24,67.21
2017-02-27,2017-02-27,67.93
2017-02-28,2017-02-28,67.38
2017-03-01,2017-03-01,67.7
2017-03-02,2017-03-02,66.9
2017-03-03,2017-03-03,66.57
2017-03-06,2017-03-06,65.8
2017-03-07,2017-03-07,65.27
2017-03-08,2017-03-08,63.81
2017-03-09,2017-03-09,63.16
2017-03-10,2017-03-10,63.5
2017-03-13,2017-03-13,63.33
2017-03-14,2017-03-14,63.07
2017-03-15,2017-03-15,64.89
2017-03-16,2017-03-16,64.62
2017-03-17,2017-03-17,64.15
2017-03-20,2017-03-20,64.15
2017-03-21,2017-03-21,64.29
2017-03-22,2017-03-22,62.84
2017-03-23,2017-03-23,63.48
2017-03-24,2017-03-24,63.87
2017-03-27,2017-03-27,63.09
2017-03-28,2017-03-28,63.91
2017-03-29,2017-03-29,64.0
2017-03-30,2017-03-30,64.24
2017-03-31,2017-03-31,64.4
2017-04-03,2017-04-03,64.86
2017-04-04,2017-04-04,64.31
2017-04-05,2017-04-05,64.2
2017-04-06,2017-04-06,64.16
2017-04-07,2017-04-07,64.07
2017-04-10,2017-04-10,64.81
2017-04-11,2017-04-11,65.43
2017-04-12,2017-04-12,65.35
2017-04-13,2017-04-13,65.48
2017-04-17,2017-04-17,65.92
2017-04-18,2017-04-18,66.45
2017-04-19,2017-04-19,66.19
2017-04-20,2017-04-20,66.12
2017-04-21,2017-04-21,65.05
2017-04-24,2017-04-24,63.78
2017-04-25,2017-04-25,63.8
2017-04-26,2017-04-26,62.11
2017-04-27,2017-04-27,62.71
2017-04-28,2017-04-28,62.43
2017-05-01,2017-05-01,64.67
2017-05-02,2017-05-02,64.94
2017-05-03,2017-05-03,62.09
2017-05-04,2017-05-04,61.57
2017-05-05,2017-05-05,61.64
2017-05-08,2017-05-08,60.1
2017-05-09,2017-05-09,59.64
2017-05-10,2017-05-10,60.53
2017-05-11,2017-05-11,59.5
2017-05-12,2017-05-12,58.21
2017-05-15,2017-05-15,58.3
2017-05-16,2017-05-16,57.44
2017-05-17,2017-05-17,57.49
2017-05-18,2017-05-18,58.14
2017-05-19,2017-05-19,59.35
2017-05-22,2017-05-22,58.56
2017-05-23,2017-05-23,58.2
2017-05-24,2017-05-24,59.22
2017-05-25,2017-05-25,60.17
2017-05-26,2017-05-26,58.77
2017-05-30,2017-05-30,57.55
2017-05-31,2017-05-31,57.41
2017-06-01,2017-06-01,58.31
2017-06-02,2017-06-02,57.8
2017-06-05,2017-06-05,56.8
2017-06-06,2017-06-06,57.38
2017-06-07,2017-06-07,58.24
2017-06-08,2017-06-08,57.22
2017-06-09,2017-06-09,58.35
2017-06-12,2017-06-12,59.43
2017-06-13,2017-06-13,59.39
2017-06-14,2017-06-14,58.86
2017-06-15,2017-06-15,58.74
2017-06-16,2017-06-16,57.77
2017-06-19,2017-06-19,57.47
2017-06-20,2017-06-20,57.58
2017-06-21,2017-06-21,56.83
2017-06-22,2017-06-22,57.16
2017-06-23,2017-06-23,57.45
2017-06-26,2017-06-26,58.57
2017-06-27,2017-06-27,58.83
2017-06-28,2017-06-28,59.44
2017-06-29,2017-06-29,58.95
2017-06-30,2017-06-30,58.06
2017-07-03,2017-07-03,59.43
2017-07-05,2017-07-05,57.95
2017-07-06,2017-07-06,56.94
2017-07-07,2017-07-07,57.33
2017-07-10,2017-07-10,57.06
2017-07-11,2017-07-11,56.47
2017-07-12,2017-07-12,56.89
2017-07-13,2017-07-13,57.59
2017-07-14,2017-07-14,58.61
2017-07-17,2017-07-17,59.05
2017-07-18,2017-07-18,58.48
2017-07-19,2017-07-19,58.61
2017-07-20,2017-07-20,58.93
2017-07-21,2017-07-21,58.8
2017-07-24,2017-07-24,58.35
2017-07-25,2017-07-25,59.24
2017-07-26,2017-07-26,60.35
2017-07-27,2017-07-27,61.23
2017-07-28,2017-07-28,57.85
2017-07-31,2017-07-31,57.39
2017-08-01,2017-08-01,57.91
2017-08-02,2017-08-02,55.55
2017-08-03,2017-08-03,56.92
2017-08-04,2017-08-04,59.34
2017-08-07,2017-08-07,60.61
2017-08-08,2017-08-08,59.6
2017-08-09,2017-08-09,59.69
2017-08-10,2017-08-10,57.89
2017-08-11,2017-08-11,56.72
2017-08-14,2017-08-14,57.44
2017-08-15,2017-08-15,55.62
2017-08-16,2017-08-16,54.84
2017-08-17,2017-08-17,54.48
2017-08-18,2017-08-18,53.14
2017-08-21,2017-08-21,53.23
2017-08-22,2017-08-22,53.03
2017-08-23,2017-08-23,53.78
2017-08-24,2017-08-24,53.38
2017-08-25,2017-08-25,54.26
2017-08-28,2017-08-28,53.08
2017-08-29,2017-08-29,52.75
2017-08-30,2017-08-30,53.17
2017-08-31,2017-08-31,52.77
2017-09-01,2017-09-01,53.29
2017-09-05,2017-09-05,53.35
2017-09-06,2017-09-06,54.38
2017-09-07,2017-09-07,54.57
2017-09-08,2017-09-08,54.23
2017-09-11,2017-09-11,54.39
2017-09-12,2017-09-12,53.62
2017-09-13,2017-09-13,54.48
2017-09-14,2017-09-14,55.78
2017-09-15,2017-09-15,55.63
2017-09-18,2017-09-18,54.5
2017-09-19,2017-09-19,53.14
2017-09-20,2017-09-20,52.97
2017-09-21,2017-09-21,52.92
2017-09-22,2017-09-22,52.72
2017-09-25,2017-09-25,54.16
2017-09-26,2017-09-26,56.19
2017-09-27,2017-09-27,55.3
2017-09-28,2017-09-28,55.28
2017-09-29,2017-09-29,54.97
2017-10-02,2017-10-02,55.1
2017-10-03,2017-10-03,55.26
2017-10-04,2017-10-04,56.48
2017-10-05,2017-10-05,57.12
2017-10-06,2017-10-06,56.44
2017-10-09,2017-10-09,56.93
2017-10-10,2017-10-10,57.68
2017-10-11,2017-10-11,57.83
2017-10-12,2017-10-12,57.55
2017-10-13,2017-10-13,58.16
2017-10-16,2017-10-16,57.57
2017-10-17,2017-10-17,57.91
2017-10-18,2017-10-18,57.08
2017-10-19,2017-10-19,57.12
2017-10-20,2017-10-20,56.76
2017-10-23,2017-10-23,57.58
2017-10-24,2017-10-24,56.7
2017-10-25,2017-10-25,56.1
2017-10-26,2017-10-26,57.05
