DATE,DATE,CLOSE
2016-11-01,2016-11-01,29.98
2016-11-02,2016-11-02,29.43
2016-11-03,2016-11-03,29.45
2016-11-04,2016-11-04,29.84
2016-11-07,2016-11-07,30.27
2016-11-08,2016-11-08,30.46
2016-11-09,2016-11-09,30.93
2016-11-10,2016-11-10,31.45
2016-11-11,2016-11-11,31.27
2016-11-14,2016-11-14,31.65
2016-11-15,2016-11-15,31.93
2016-11-16,2016-11-16,31.38
2016-11-17,2016-11-17,32.25
2016-11-18,2016-11-18,32.46
2016-11-21,2016-11-21,32.49
2016-11-22,2016-11-22,32.56
2016-11-23,2016-11-23,32.39
2016-11-25,2016-11-25,32.71
2016-11-28,2016-11-28,32.16
2016-11-29,2016-11-29,32.21
2016-11-30,2016-11-30,31.65
2016-12-01,2016-12-01,30.33
2016-12-02,2016-12-02,30.32
2016-12-05,2016-12-05,31.19
2016-12-06,2016-12-06,31.24
2016-12-07,2016-12-07,32.13
2016-12-08,2016-12-08,32.54
2016-12-09,2016-12-09,32.61
2016-12-12,2016-12-12,32.4
2016-12-13,2016-12-13,32.67
2016-12-14,2016-12-14,32.5
2016-12-15,2016-12-15,31.54
2016-12-16,2016-12-16,31.93
2016-12-19,2016-12-19,32.4
2016-12-20,2016-12-20,32.46
2016-12-21,2016-12-21,32.79
2016-12-22,2016-12-22,32.03
2016-12-23,2016-12-23,32.06
2016-12-27,2016-12-27,32.24
2016-12-28,2016-12-28,31.83
2016-12-29,2016-12-29,31.89
2016-12-30,2016-12-30,31.62
2017-01-03,2017-01-03,32.23
2017-01-04,2017-01-04,32.94
2017-01-05,2017-01-05,32.66
2017-01-06,2017-01-06,32.53
2017-01-09,2017-01-09,32.18
2017-01-10,2017-01-10,32.21
2017-01-11,2017-01-11,32.46
2017-01-12,2017-01-12,32.05
2017-01-13,2017-01-13,32.05
2017-01-17,2017-01-17,32.03
2017-01-18,2017-01-18,32.1
2017-01-19,2017-01-19,31.93
2017-01-20,2017-01-20,31.98
2017-01-23,2017-01-23,32.03
2017-01-24,2017-01-24,32.92
2017-01-25,2017-01-25,33.62
2017-01-26,2017-01-26,33.64
2017-01-27,2017-01-27,33.32
2017-01-30,2017-01-30,33.31
2017-01-31,2017-01-31,32.95
2017-02-01,2017-02-01,33.26
2017-02-02,2017-02-02,33.0
2017-02-03,2017-02-03,33.23
2017-02-06,2017-02-06,33.18
2017-02-07,2017-02-07,33.61
2017-02-08,2017-02-08,33.79
2017-02-09,2017-02-09,33.06
2017-02-10,2017-02-10,33.75
2017-02-13,2017-02-13,33.5
2017-02-14,2017-02-14,33.11
2017-02-15,2017-02-15,33.44
2017-02-16,2017-02-16,33.67
2017-02-17,2017-02-17,33.52
2017-02-21,2017-02-21,34.03
2017-02-22,2017-02-22,33.85
2017-02-23,2017-02-23,34.11
2017-02-24,2017-02-24,34.02
2017-02-27,2017-02-27,34.43
2017-02-28,2017-02-28,33.78
2017-03-01,2017-03-01,34.56
2017-03-02,2017-03-02,34.33
2017-03-03,2017-03-03,34.06
2017-03-06,2017-03-06,33.46
2017-03-07,2017-03-07,33.25
2017-03-08,2017-03-08,33.82
2017-03-09,2017-03-09,33.71
2017-03-10,2017-03-10,33.93
2017-03-13,2017-03-13,33.68
2017-03-14,2017-03-14,33.68
2017-03-15,2017-03-15,34.38
2017-03-16,2017-03-16,34.65
2017-03-17,2017-03-17,34.66
2017-03-20,2017-03-20,34.49
2017-03-21,2017-03-21,33.83
2017-03-22,2017-03-22,33.92
2017-03-23,2017-03-23,34.21
2017-03-24,2017-03-24,33.99
2017-03-27,2017-03-27,33.74
2017-03-28,2017-03-28,33.97
2017-03-29,2017-03-29,33.97
2017-03-30,2017-03-30,33.82
2017-03-31,2017-03-31,33.99
2017-04-03,2017-04-03,33.41
2017-04-04,2017-04-04,33.27
2017-04-05,2017-04-05,33.08
2017-04-06,2017-04-06,33.83
2017-04-07,2017-04-07,33.5
2017-04-10,2017-04-10,33.57
2017-04-11,2017-04-11,33.96
2017-04-12,2017-04-12,33.31
2017-04-13,2017-04-13,33.09
2017-04-17,2017-04-17,33.49
2017-04-18,2017-04-18,33.38
2017-04-19,2017-04-19,33.72
2017-04-20,2017-04-20,33.93
2017-04-21,2017-04-21,34.34
2017-04-24,2017-04-24,35.03
2017-04-25,2017-04-25,36.9
2017-04-26,2017-04-26,37.45
2017-04-27,2017-04-27,37.25
2017-04-28,2017-04-28,37.02
