DATE,DATE,CLOSE
2016-11-01,2016-11-01,129.27
2016-11-02,2016-11-02,135.83
2016-11-03,2016-11-03,129.59
2016-11-04,2016-11-04,130.76
2016-11-07,2016-11-07,134.51
2016-11-08,2016-11-08,130.51
2016-11-09,2016-11-09,141.68
2016-11-10,2016-11-10,147.49
2016-11-11,2016-11-11,143.03
2016-11-14,2016-11-14,143.69
2016-11-15,2016-11-15,142.87
2016-11-16,2016-11-16,141.48
2016-11-17,2016-11-17,141.48
2016-11-18,2016-11-18,140.05
2016-11-21,2016-11-21,141.35
2016-11-22,2016-11-22,141.33
2016-11-23,2016-11-23,141.27
2016-11-25,2016-11-25,143.07
2016-11-28,2016-11-28,143.11
2016-11-29,2016-11-29,141.25
2016-11-30,2016-11-30,143.81
2016-12-01,2016-12-01,143.08
2016-12-02,2016-12-02,143.56
2016-12-05,2016-12-05,145.0
2016-12-06,2016-12-06,145.4
2016-12-07,2016-12-07,141.62
2016-12-08,2016-12-08,143.34
2016-12-09,2016-12-09,146.25
2016-12-12,2016-12-12,146.49
2016-12-13,2016-12-13,147.97
2016-12-14,2016-12-14,143.37
2016-12-15,2016-12-15,142.34
2016-12-16,2016-12-16,142.29
2016-12-19,2016-12-19,141.56
2016-12-20,2016-12-20,141.13
2016-12-21,2016-12-21,141.59
2016-12-22,2016-12-22,140.34
2016-12-23,2016-12-23,141.18
2016-12-27,2016-12-27,142.07
2016-12-28,2016-12-28,141.53
2016-12-29,2016-12-29,141.78
2016-12-30,2016-12-30,140.45
2017-01-03,2017-01-03,147.43
2017-01-04,2017-01-04,148.58
2017-01-05,2017-01-05,146.5
2017-01-06,2017-01-06,146.92
2017-01-09,2017-01-09,146.84
2017-01-10,2017-01-10,146.82
2017-01-11,2017-01-11,143.2
2017-01-12,2017-01-12,144.68
2017-01-13,2017-01-13,147.18
2017-01-17,2017-01-17,148.43
2017-01-18,2017-01-18,149.74
2017-01-19,2017-01-19,147.29
2017-01-20,2017-01-20,150.28
2017-01-23,2017-01-23,149.32
2017-01-24,2017-01-24,148.31
2017-01-25,2017-01-25,151.1
2017-01-26,2017-01-26,138.55
2017-01-27,2017-01-27,136.74
2017-01-30,2017-01-30,137.11
2017-01-31,2017-01-31,139.15
2017-02-01,2017-02-01,140.03
2017-02-02,2017-02-02,139.0
2017-02-03,2017-02-03,138.84
2017-02-06,2017-02-06,139.82
2017-02-07,2017-02-07,139.93
2017-02-08,2017-02-08,140.94
2017-02-09,2017-02-09,139.71
2017-02-10,2017-02-10,139.57
2017-02-13,2017-02-13,140.49
2017-02-14,2017-02-14,145.2
2017-02-15,2017-02-15,149.52
2017-02-16,2017-02-16,149.42
