DATE,DATE,CLOSE
2016-11-01,2016-11-01,80.92
2016-11-02,2016-11-02,81.09
2016-11-03,2016-11-03,81.6
2016-11-04,2016-11-04,82.14
2016-11-07,2016-11-07,83.95
2016-11-08,2016-11-08,84.34
2016-11-09,2016-11-09,82.86
2016-11-10,2016-11-10,82.72
2016-11-11,2016-11-11,82.07
2016-11-14,2016-11-14,78.75
2016-11-15,2016-11-15,80.27
2016-11-16,2016-11-16,80.89
2016-11-17,2016-11-17,81.8
2016-11-18,2016-11-18,80.93
2016-11-21,2016-11-21,80.58
2016-11-22,2016-11-22,73.6
2016-11-23,2016-11-23,75.78
2016-11-25,2016-11-25,75.52
2016-11-28,2016-11-28,73.99
2016-11-29,2016-11-29,73.42
2016-11-30,2016-11-30,73.01
2016-12-01,2016-12-01,71.88
2016-12-02,2016-12-02,72.01
2016-12-05,2016-12-05,71.67
2016-12-06,2016-12-06,72.11
2016-12-07,2016-12-07,72.22
2016-12-08,2016-12-08,72.07
2016-12-09,2016-12-09,73.35
2016-12-12,2016-12-12,73.71
2016-12-13,2016-12-13,73.37
2016-12-14,2016-12-14,73.3
2016-12-15,2016-12-15,73.44
2016-12-16,2016-12-16,73.46
2016-12-19,2016-12-19,73.1
2016-12-20,2016-12-20,72.44
2016-12-21,2016-12-21,71.58
2016-12-22,2016-12-22,71.74
2016-12-23,2016-12-23,71.95
2016-12-27,2016-12-27,71.77
2016-12-28,2016-12-28,71.81
2016-12-29,2016-12-29,71.54
2016-12-30,2016-12-30,71.23
2017-01-03,2017-01-03,70.61
2017-01-04,2017-01-04,71.27
2017-01-05,2017-01-05,70.83
2017-01-06,2017-01-06,72.87
2017-01-09,2017-01-09,73.82
2017-01-10,2017-01-10,74.9
2017-01-11,2017-01-11,74.44
2017-01-12,2017-01-12,75.11
2017-01-13,2017-01-13,75.09
2017-01-17,2017-01-17,75.82
2017-01-18,2017-01-18,75.67
2017-01-19,2017-01-19,75.3
2017-01-20,2017-01-20,74.99
2017-01-23,2017-01-23,74.77
2017-01-24,2017-01-24,73.83
2017-01-25,2017-01-25,74.49
2017-01-26,2017-01-26,74.04
2017-01-27,2017-01-27,74.95
2017-01-30,2017-01-30,74.67
2017-01-31,2017-01-31,76.02
2017-02-01,2017-02-01,76.0
2017-02-02,2017-02-02,75.92
2017-02-03,2017-02-03,76.34
2017-02-06,2017-02-06,75.98
2017-02-07,2017-02-07,76.12
2017-02-08,2017-02-08,75.6
2017-02-09,2017-02-09,75.71
2017-02-10,2017-02-10,76.15
2017-02-13,2017-02-13,76.92
2017-02-14,2017-02-14,77.05
2017-02-15,2017-02-15,77.7
2017-02-16,2017-02-16,77.99
2017-02-17,2017-02-17,78.88
2017-02-21,2017-02-21,80.56
2017-02-22,2017-02-22,79.62
2017-02-23,2017-02-23,80.74
2017-02-24,2017-02-24,81.03
2017-02-27,2017-02-27,80.75
2017-02-28,2017-02-28,80.91
2017-03-01,2017-03-01,82.07
2017-03-02,2017-03-02,81.99
2017-03-03,2017-03-03,81.86
2017-03-06,2017-03-06,81.54
2017-03-07,2017-03-07,81.4
2017-03-08,2017-03-08,82.22
2017-03-09,2017-03-09,82.79
2017-03-10,2017-03-10,83.04
2017-03-13,2017-03-13,82.89
2017-03-14,2017-03-14,82.52
2017-03-15,2017-03-15,83.3
2017-03-16,2017-03-16,81.83
2017-03-17,2017-03-17,82.23
2017-03-20,2017-03-20,81.42
2017-03-21,2017-03-21,81.12
2017-03-22,2017-03-22,81.0
2017-03-23,2017-03-23,80.86
2017-03-24,2017-03-24,81.0
2017-03-27,2017-03-27,81.03
2017-03-28,2017-03-28,80.74
2017-03-29,2017-03-29,81.14
2017-03-30,2017-03-30,80.99
2017-03-31,2017-03-31,80.56
2017-04-03,2017-04-03,81.03
2017-04-04,2017-04-04,80.62
2017-04-05,2017-04-05,80.24
2017-04-06,2017-04-06,80.22
2017-04-07,2017-04-07,80.37
2017-04-10,2017-04-10,80.3
2017-04-11,2017-04-11,80.15
2017-04-12,2017-04-12,80.1
2017-04-13,2017-04-13,80.01
2017-04-17,2017-04-17,80.36
2017-04-18,2017-04-18,80.33
2017-04-19,2017-04-19,80.32
2017-04-20,2017-04-20,81.02
2017-04-21,2017-04-21,80.48
2017-04-24,2017-04-24,80.65
2017-04-25,2017-04-25,81.76
2017-04-26,2017-04-26,82.14
2017-04-27,2017-04-27,83.13
2017-04-28,2017-04-28,83.09
2017-05-01,2017-05-01,83.74
2017-05-02,2017-05-02,84.75
2017-05-03,2017-05-03,84.09
2017-05-04,2017-05-04,83.91
2017-05-05,2017-05-05,84.0
2017-05-08,2017-05-08,83.3
