DATE,DATE,CLOSE
2016-11-01,2016-11-01,26.4
2016-11-02,2016-11-02,25.94
2016-11-03,2016-11-03,25.77
2016-11-04,2016-11-04,26.41
2016-11-07,2016-11-07,27.18
2016-11-08,2016-11-08,28.0
2016-11-09,2016-11-09,28.32
2016-11-10,2016-11-10,27.87
2016-11-11,2016-11-11,27.5
2016-11-14,2016-11-14,27.37
2016-11-15,2016-11-15,27.83
2016-11-16,2016-11-16,27.71
2016-11-17,2016-11-17,28.03
2016-11-18,2016-11-18,28.43
2016-11-21,2016-11-21,28.97
2016-11-22,2016-11-22,28.71
2016-11-23,2016-11-23,28.47
2016-11-25,2016-11-25,28.67
2016-11-28,2016-11-28,28.73
2016-11-29,2016-11-29,28.87
2016-11-30,2016-11-30,28.71
2016-12-01,2016-12-01,28.52
2016-12-02,2016-12-02,29.01
2016-12-05,2016-12-05,28.97
2016-12-06,2016-12-06,29.63
2016-12-07,2016-12-07,29.95
2016-12-08,2016-12-08,28.65
2016-12-09,2016-12-09,29.27
2016-12-12,2016-12-12,29.19
2016-12-13,2016-12-13,29.79
2016-12-14,2016-12-14,29.72
2016-12-15,2016-12-15,28.97
2016-12-16,2016-12-16,28.86
2016-12-19,2016-12-19,28.59
2016-12-20,2016-12-20,28.63
2016-12-21,2016-12-21,29.28
2016-12-22,2016-12-22,29.33
2016-12-23,2016-12-23,29.36
2016-12-27,2016-12-27,29.01
2016-12-28,2016-12-28,28.72
2016-12-29,2016-12-29,28.5
2016-12-30,2016-12-30,28.83
2017-01-03,2017-01-03,29.48
2017-01-04,2017-01-04,29.46
2017-01-05,2017-01-05,29.37
2017-01-06,2017-01-06,29.52
2017-01-09,2017-01-09,29.16
2017-01-10,2017-01-10,29.62
2017-01-11,2017-01-11,29.03
2017-01-12,2017-01-12,28.63
2017-01-13,2017-01-13,28.62
2017-01-17,2017-01-17,28.66
2017-01-18,2017-01-18,28.61
2017-01-19,2017-01-19,28.69
2017-01-20,2017-01-20,28.74
2017-01-23,2017-01-23,28.5
2017-01-24,2017-01-24,29.01
2017-01-25,2017-01-25,29.6
2017-01-26,2017-01-26,29.48
2017-01-27,2017-01-27,29.79
2017-01-30,2017-01-30,29.11
2017-01-31,2017-01-31,28.8
2017-02-01,2017-02-01,28.56
2017-02-02,2017-02-02,28.8
2017-02-03,2017-02-03,28.86
2017-02-06,2017-02-06,29.05
2017-02-07,2017-02-07,28.56
2017-02-08,2017-02-08,28.64
2017-02-09,2017-02-09,28.62
2017-02-10,2017-02-10,28.53
2017-02-13,2017-02-13,29.16
2017-02-14,2017-02-14,28.65
2017-02-15,2017-02-15,29.6
2017-02-16,2017-02-16,26.86
2017-02-17,2017-02-17,26.6
2017-02-21,2017-02-21,26.95
2017-02-22,2017-02-22,26.46
2017-02-23,2017-02-23,26.18
2017-02-24,2017-02-24,26.39
2017-02-27,2017-02-27,26.47
2017-02-28,2017-02-28,26.29
2017-03-01,2017-03-01,26.83
2017-03-02,2017-03-02,26.31
2017-03-03,2017-03-03,26.46
2017-03-06,2017-03-06,26.55
2017-03-07,2017-03-07,25.74
2017-03-08,2017-03-08,25.68
2017-03-09,2017-03-09,25.43
2017-03-10,2017-03-10,25.5
2017-03-13,2017-03-13,25.95
2017-03-14,2017-03-14,26.35
2017-03-15,2017-03-15,26.82
2017-03-16,2017-03-16,26.79
2017-03-17,2017-03-17,27.58
2017-03-20,2017-03-20,26.62
2017-03-21,2017-03-21,26.13
2017-03-22,2017-03-22,26.03
2017-03-23,2017-03-23,25.92
2017-03-24,2017-03-24,25.71
2017-03-27,2017-03-27,26.58
2017-03-28,2017-03-28,27.17
2017-03-29,2017-03-29,27.29
2017-03-30,2017-03-30,27.33
2017-03-31,2017-03-31,27.4
2017-04-03,2017-04-03,27.75
2017-04-04,2017-04-04,27.82
2017-04-05,2017-04-05,27.6
2017-04-06,2017-04-06,28.43
2017-04-07,2017-04-07,28.11
2017-04-10,2017-04-10,27.77
2017-04-11,2017-04-11,27.71
2017-04-12,2017-04-12,27.57
2017-04-13,2017-04-13,27.19
2017-04-17,2017-04-17,27.12
2017-04-18,2017-04-18,27.75
2017-04-19,2017-04-19,28.02
2017-04-20,2017-04-20,28.46
2017-04-21,2017-04-21,28.41
2017-04-24,2017-04-24,29.0
2017-04-25,2017-04-25,29.35
2017-04-26,2017-04-26,29.79
2017-04-27,2017-04-27,31.01
2017-04-28,2017-04-28,30.71
2017-05-01,2017-05-01,30.97
2017-05-02,2017-05-02,30.96
2017-05-03,2017-05-03,31.11
2017-05-04,2017-05-04,30.72
2017-05-05,2017-05-05,30.85
2017-05-08,2017-05-08,30.42
2017-05-09,2017-05-09,30.96
2017-05-10,2017-05-10,31.23
2017-05-11,2017-05-11,30.98
2017-05-12,2017-05-12,31.15
2017-05-15,2017-05-15,31.68
2017-05-16,2017-05-16,32.2
2017-05-17,2017-05-17,31.15
2017-05-18,2017-05-18,30.96
2017-05-19,2017-05-19,31.25
2017-05-22,2017-05-22,31.57
2017-05-23,2017-05-23,31.3
2017-05-24,2017-05-24,31.19
2017-05-25,2017-05-25,31.6
2017-05-26,2017-05-26,31.82
2017-05-30,2017-05-30,31.87
2017-05-31,2017-05-31,31.72
2017-06-01,2017-06-01,32.26
2017-06-02,2017-06-02,32.52
2017-06-05,2017-06-05,32.19
2017-06-06,2017-06-06,32.49
2017-06-07,2017-06-07,32.76
2017-06-08,2017-06-08,32.77
2017-06-09,2017-06-09,31.98
2017-06-12,2017-06-12,31.59
2017-06-13,2017-06-13,32.09
2017-06-14,2017-06-14,32.35
2017-06-15,2017-06-15,32.58
2017-06-16,2017-06-16,32.61
2017-06-19,2017-06-19,33.15
2017-06-20,2017-06-20,33.18
2017-06-21,2017-06-21,32.96
2017-06-22,2017-06-22,33.25
2017-06-23,2017-06-23,34.16
2017-06-26,2017-06-26,33.85
2017-06-27,2017-06-27,33.73
2017-06-28,2017-06-28,33.7
2017-06-29,2017-06-29,32.89
2017-06-30,2017-06-30,31.29
2017-07-03,2017-07-03,30.56
2017-07-05,2017-07-05,30.98
2017-07-06,2017-07-06,30.3
2017-07-07,2017-07-07,30.84
2017-07-10,2017-07-10,31.18
2017-07-11,2017-07-11,31.43
2017-07-12,2017-07-12,31.74
2017-07-13,2017-07-13,31.93
2017-07-14,2017-07-14,31.91
2017-07-17,2017-07-17,31.85
2017-07-18,2017-07-18,32.55
2017-07-19,2017-07-19,32.79
2017-07-20,2017-07-20,33.73
2017-07-21,2017-07-21,34.03
2017-07-24,2017-07-24,33.99
2017-07-25,2017-07-25,34.27
2017-07-26,2017-07-26,33.87
2017-07-27,2017-07-27,33.39
2017-07-28,2017-07-28,33.14
2017-07-31,2017-07-31,32.93
2017-08-01,2017-08-01,32.41
2017-08-02,2017-08-02,31.98
2017-08-03,2017-08-03,31.56
2017-08-04,2017-08-04,31.79
2017-08-07,2017-08-07,31.86
2017-08-08,2017-08-08,31.55
2017-08-09,2017-08-09,31.49
2017-08-10,2017-08-10,30.51
2017-08-11,2017-08-11,30.59
2017-08-14,2017-08-14,30.99
2017-08-15,2017-08-15,31.59
2017-08-16,2017-08-16,31.3
2017-08-17,2017-08-17,30.51
2017-08-18,2017-08-18,30.71
2017-08-21,2017-08-21,31.11
2017-08-22,2017-08-22,31.6
2017-08-23,2017-08-23,31.32
2017-08-24,2017-08-24,31.55
2017-08-25,2017-08-25,31.83
2017-08-28,2017-08-28,31.69
2017-08-29,2017-08-29,32.04
2017-08-30,2017-08-30,32.12
2017-08-31,2017-08-31,32.96
2017-09-01,2017-09-01,33.21
2017-09-05,2017-09-05,33.14
2017-09-06,2017-09-06,33.77
2017-09-07,2017-09-07,33.99
2017-09-08,2017-09-08,33.25
2017-09-11,2017-09-11,33.08
2017-09-12,2017-09-12,32.75
2017-09-13,2017-09-13,32.59
2017-09-14,2017-09-14,32.06
2017-09-15,2017-09-15,31.92
2017-09-18,2017-09-18,31.68
2017-09-19,2017-09-19,32.56
2017-09-20,2017-09-20,33.08
2017-09-21,2017-09-21,33.06
2017-09-22,2017-09-22,32.38
2017-09-25,2017-09-25,31.94
2017-09-26,2017-09-26,32.16
2017-09-27,2017-09-27,32.46
2017-09-28,2017-09-28,32.34
2017-09-29,2017-09-29,32.59
2017-10-02,2017-10-02,30.77
2017-10-03,2017-10-03,30.85
2017-10-04,2017-10-04,30.75
2017-10-05,2017-10-05,30.9
2017-10-06,2017-10-06,30.81
2017-10-09,2017-10-09,30.81
2017-10-10,2017-10-10,30.43
2017-10-11,2017-10-11,30.9
2017-10-12,2017-10-12,30.07
2017-10-13,2017-10-13,29.74
2017-10-16,2017-10-16,29.69
2017-10-17,2017-10-17,30.49
2017-10-18,2017-10-18,30.44
2017-10-19,2017-10-19,30.48
2017-10-20,2017-10-20,31.03
2017-10-23,2017-10-23,30.9
2017-10-24,2017-10-24,31.22
2017-10-25,2017-10-25,30.97
2017-10-26,2017-10-26,30.83
2017-10-27,2017-10-27,31.25
2017-10-30,2017-10-30,30.57
2017-10-31,2017-10-31,31.35
2017-11-01,2017-11-01,30.82
2017-11-02,2017-11-02,30.71
2017-11-03,2017-11-03,31.26
2017-11-06,2017-11-06,31.71
2017-11-07,2017-11-07,31.46
2017-11-08,2017-11-08,33.06
2017-11-09,2017-11-09,32.75
2017-11-10,2017-11-10,32.88
2017-11-13,2017-11-13,33.06
2017-11-14,2017-11-14,32.85
2017-11-15,2017-11-15,32.89
2017-11-16,2017-11-16,33.0
2017-11-17,2017-11-17,33.0
2017-11-20,2017-11-20,33.18
2017-11-21,2017-11-21,33.34
2017-11-22,2017-11-22,33.45
2017-11-24,2017-11-24,33.89
2017-11-27,2017-11-27,33.67
2017-11-28,2017-11-28,33.25
2017-11-29,2017-11-29,33.65
2017-11-30,2017-11-30,34.12
2017-12-01,2017-12-01,34.02
2017-12-04,2017-12-04,34.22
2017-12-05,2017-12-05,33.94
2017-12-06,2017-12-06,33.1
2017-12-07,2017-12-07,33.34
2017-12-08,2017-12-08,33.18
2017-12-11,2017-12-11,33.34
2017-12-12,2017-12-12,32.71
2017-12-13,2017-12-13,33.16
2017-12-14,2017-12-14,32.83
2017-12-15,2017-12-15,32.88
2017-12-18,2017-12-18,32.95
2017-12-19,2017-12-19,32.84
2017-12-20,2017-12-20,33.16
2017-12-21,2017-12-21,33.73
2017-12-22,2017-12-22,33.34
2017-12-26,2017-12-26,33.35
2017-12-27,2017-12-27,33.71
2017-12-28,2017-12-28,33.63
2017-12-29,2017-12-29,33.39
2018-01-02,2018-01-02,33.51
2018-01-03,2018-01-03,33.33
2018-01-04,2018-01-04,33.66
2018-01-05,2018-01-05,33.89
2018-01-08,2018-01-08,33.1
2018-01-09,2018-01-09,33.63
2018-01-10,2018-01-10,33.92
2018-01-11,2018-01-11,35.11
2018-01-12,2018-01-12,35.03
2018-01-16,2018-01-16,36.03
2018-01-17,2018-01-17,36.54
2018-01-18,2018-01-18,36.07
2018-01-19,2018-01-19,36.35
2018-01-22,2018-01-22,37.12
2018-01-23,2018-01-23,37.02
2018-01-24,2018-01-24,37.63
2018-01-25,2018-01-25,36.81
2018-01-26,2018-01-26,37.05
2018-01-29,2018-01-29,38.03
2018-01-30,2018-01-30,37.11
2018-01-31,2018-01-31,36.45
2018-02-01,2018-02-01,36.83
2018-02-02,2018-02-02,35.58
2018-02-05,2018-02-05,34.47
2018-02-06,2018-02-06,34.88
2018-02-07,2018-02-07,34.68
2018-02-08,2018-02-08,33.5
2018-02-09,2018-02-09,33.43
2018-02-12,2018-02-12,33.2
2018-02-13,2018-02-13,33.13
2018-02-14,2018-02-14,34.44
2018-02-15,2018-02-15,35.0
2018-02-16,2018-02-16,34.47
2018-02-20,2018-02-20,34.71
2018-02-21,2018-02-21,34.4
2018-02-22,2018-02-22,34.51
2018-02-23,2018-02-23,35.38
2018-02-26,2018-02-26,35.33
2018-02-27,2018-02-27,34.27
2018-02-28,2018-02-28,34.23
2018-03-01,2018-03-01,33.28
2018-03-02,2018-03-02,33.73
2018-03-05,2018-03-05,33.85
2018-03-06,2018-03-06,34.75
2018-03-07,2018-03-07,34.86
2018-03-08,2018-03-08,35.91
2018-03-09,2018-03-09,36.79
2018-03-12,2018-03-12,36.77
2018-03-13,2018-03-13,35.79
2018-03-14,2018-03-14,35.69
2018-03-15,2018-03-15,35.68
2018-03-16,2018-03-16,35.99
2018-03-19,2018-03-19,36.28
2018-03-20,2018-03-20,36.73
2018-03-21,2018-03-21,36.12
2018-03-22,2018-03-22,34.53
2018-03-23,2018-03-23,33.26
2018-03-26,2018-03-26,34.92
2018-03-27,2018-03-27,34.86
2018-03-28,2018-03-28,34.1
2018-03-29,2018-03-29,35.02
2018-04-02,2018-04-02,33.88
2018-04-03,2018-04-03,34.44
2018-04-04,2018-04-04,34.93
2018-04-05,2018-04-05,35.57
2018-04-06,2018-04-06,34.13
2018-04-09,2018-04-09,34.37
2018-04-10,2018-04-10,34.67
2018-04-11,2018-04-11,33.68
2018-04-12,2018-04-12,34.93
2018-04-13,2018-04-13,34.4
2018-04-16,2018-04-16,34.77
2018-04-17,2018-04-17,36.11
2018-04-18,2018-04-18,36.41
2018-04-19,2018-04-19,35.56
2018-04-20,2018-04-20,35.44
2018-04-23,2018-04-23,36.17
2018-04-24,2018-04-24,35.52
2018-04-25,2018-04-25,35.33
2018-04-26,2018-04-26,32.29
2018-04-27,2018-04-27,31.28
2018-04-30,2018-04-30,31.42
2018-05-01,2018-05-01,31.4
