DATE,DATE,CLOSE
2016-11-01,2016-11-01,178.98
2016-11-02,2016-11-02,178.59
2016-11-03,2016-11-03,176.98
2016-11-04,2016-11-04,190.75
2016-11-07,2016-11-07,194.73
2016-11-08,2016-11-08,195.19
2016-11-09,2016-11-09,197.77
2016-11-10,2016-11-10,202.38
2016-11-11,2016-11-11,199.61
2016-11-14,2016-11-14,197.25
2016-11-15,2016-11-15,197.16
2016-11-16,2016-11-16,197.56
2016-11-17,2016-11-17,200.27
2016-11-18,2016-11-18,199.97
2016-11-21,2016-11-21,199.75
2016-11-22,2016-11-22,200.19
2016-11-23,2016-11-23,200.7
2016-11-25,2016-11-25,201.0
2016-11-28,2016-11-28,199.37
2016-11-29,2016-11-29,200.1
2016-11-30,2016-11-30,197.44
2016-12-01,2016-12-01,191.48
2016-12-02,2016-12-02,190.0
2016-12-05,2016-12-05,194.96
2016-12-06,2016-12-06,195.0
2016-12-07,2016-12-07,199.97
2016-12-08,2016-12-08,201.27
2016-12-09,2016-12-09,199.86
2016-12-12,2016-12-12,198.64
2016-12-13,2016-12-13,201.26
2016-12-14,2016-12-14,199.64
2016-12-15,2016-12-15,197.74
2016-12-16,2016-12-16,197.0
2016-12-19,2016-12-19,199.61
2016-12-20,2016-12-20,201.16
2016-12-21,2016-12-21,204.87
2016-12-22,2016-12-22,202.99
2016-12-23,2016-12-23,203.71
2016-12-27,2016-12-27,203.73
2016-12-28,2016-12-28,201.77
2016-12-29,2016-12-29,202.14
2016-12-30,2016-12-30,199.68
2017-01-03,2017-01-03,201.75
2017-01-04,2017-01-04,205.88
2017-01-05,2017-01-05,204.35
2017-01-06,2017-01-06,204.44
2017-01-09,2017-01-09,203.73
2017-01-10,2017-01-10,203.18
2017-01-11,2017-01-11,202.2
2017-01-12,2017-01-12,201.74
2017-01-13,2017-01-13,202.41
2017-01-17,2017-01-17,201.81
2017-01-18,2017-01-18,204.09
2017-01-19,2017-01-19,205.9
2017-01-20,2017-01-20,207.14
2017-01-23,2017-01-23,209.52
2017-01-24,2017-01-24,214.87
2017-01-25,2017-01-25,215.38
2017-01-26,2017-01-26,215.45
2017-01-27,2017-01-27,215.17
2017-01-30,2017-01-30,215.46
2017-01-31,2017-01-31,215.84
2017-02-01,2017-02-01,215.87
2017-02-02,2017-02-02,216.03
2017-02-03,2017-02-03,215.39
2017-02-06,2017-02-06,213.38
2017-02-07,2017-02-07,214.0
2017-02-08,2017-02-08,214.1
2017-02-09,2017-02-09,214.77
2017-02-10,2017-02-10,222.72
2017-02-13,2017-02-13,223.8
2017-02-14,2017-02-14,224.23
2017-02-15,2017-02-15,222.98
2017-02-16,2017-02-16,221.78
2017-02-17,2017-02-17,221.55
2017-02-21,2017-02-21,224.54
2017-02-22,2017-02-22,225.05
2017-02-23,2017-02-23,225.31
2017-02-24,2017-02-24,225.96
2017-02-27,2017-02-27,228.08
2017-02-28,2017-02-28,226.36
2017-03-01,2017-03-01,231.53
2017-03-02,2017-03-02,230.15
2017-03-03,2017-03-03,229.67
2017-03-06,2017-03-06,228.04
2017-03-07,2017-03-07,227.3
2017-03-08,2017-03-08,229.57
