DATE,DATE,CLOSE
2016-11-01,2016-11-01,94.81
2016-11-02,2016-11-02,94.8
2016-11-03,2016-11-03,94.86
2016-11-04,2016-11-04,93.35
2016-11-07,2016-11-07,94.24
2016-11-08,2016-11-08,95.77
2016-11-09,2016-11-09,94.55
2016-11-10,2016-11-10,91.57
2016-11-11,2016-11-11,91.52
2016-11-14,2016-11-14,91.91
2016-11-15,2016-11-15,92.06
2016-11-16,2016-11-16,91.87
2016-11-17,2016-11-17,91.4
2016-11-18,2016-11-18,91.2
2016-11-21,2016-11-21,91.88
2016-11-22,2016-11-22,92.84
2016-11-23,2016-11-23,91.08
2016-11-25,2016-11-25,92.3
2016-11-28,2016-11-28,92.38
2016-11-29,2016-11-29,93.13
2016-11-30,2016-11-30,91.2
2016-12-01,2016-12-01,88.78
2016-12-02,2016-12-02,89.05
2016-12-05,2016-12-05,89.59
2016-12-06,2016-12-06,90.38
2016-12-07,2016-12-07,91.92
2016-12-08,2016-12-08,91.42
2016-12-09,2016-12-09,92.43
2016-12-12,2016-12-12,93.37
2016-12-13,2016-12-13,93.7
2016-12-14,2016-12-14,92.09
2016-12-15,2016-12-15,92.35
2016-12-16,2016-12-16,92.44
2016-12-19,2016-12-19,92.63
2016-12-20,2016-12-20,92.77
2016-12-21,2016-12-21,93.22
2016-12-22,2016-12-22,92.86
2016-12-23,2016-12-23,93.05
2016-12-27,2016-12-27,93.05
2016-12-28,2016-12-28,92.79
2016-12-29,2016-12-29,93.67
2016-12-30,2016-12-30,93.33
2017-01-03,2017-01-03,93.59
2017-01-04,2017-01-04,93.32
2017-01-05,2017-01-05,91.49
2017-01-06,2017-01-06,91.4
2017-01-09,2017-01-09,90.14
2017-01-10,2017-01-10,89.79
2017-01-11,2017-01-11,90.23
2017-01-12,2017-01-12,90.7
2017-01-13,2017-01-13,91.37
2017-01-17,2017-01-17,92.68
2017-01-18,2017-01-18,93.06
2017-01-19,2017-01-19,93.01
2017-01-20,2017-01-20,93.31
2017-01-23,2017-01-23,93.17
2017-01-24,2017-01-24,94.05
2017-01-25,2017-01-25,95.79
2017-01-26,2017-01-26,95.6
2017-01-27,2017-01-27,95.88
2017-01-30,2017-01-30,95.48
2017-01-31,2017-01-31,95.55
2017-02-01,2017-02-01,94.55
2017-02-02,2017-02-02,95.08
2017-02-03,2017-02-03,95.86
2017-02-06,2017-02-06,94.51
2017-02-07,2017-02-07,95.56
2017-02-08,2017-02-08,96.5
2017-02-09,2017-02-09,97.05
2017-02-10,2017-02-10,97.25
2017-02-13,2017-02-13,97.28
2017-02-14,2017-02-14,96.85
2017-02-15,2017-02-15,97.04
2017-02-16,2017-02-16,96.44
2017-02-17,2017-02-17,97.59
2017-02-21,2017-02-21,98.52
2017-02-22,2017-02-22,98.01
2017-02-23,2017-02-23,98.91
2017-02-24,2017-02-24,99.33
2017-02-27,2017-02-27,97.5
2017-02-28,2017-02-28,98.42
2017-03-01,2017-03-01,99.06
2017-03-02,2017-03-02,99.36
2017-03-03,2017-03-03,99.43
2017-03-06,2017-03-06,99.24
2017-03-07,2017-03-07,99.0
2017-03-08,2017-03-08,98.95
2017-03-09,2017-03-09,99.99
2017-03-10,2017-03-10,100.32
2017-03-13,2017-03-13,100.38
2017-03-14,2017-03-14,100.66
2017-03-15,2017-03-15,101.87
2017-03-16,2017-03-16,101.48
2017-03-17,2017-03-17,102.0
2017-03-20,2017-03-20,102.02
2017-03-21,2017-03-21,101.67
2017-03-22,2017-03-22,101.36
2017-03-23,2017-03-23,101.22
2017-03-24,2017-03-24,101.01
2017-03-27,2017-03-27,101.36
2017-03-28,2017-03-28,98.43
2017-03-29,2017-03-29,98.05
2017-03-30,2017-03-30,97.53
2017-03-31,2017-03-31,97.55
2017-04-03,2017-04-03,98.15
2017-04-04,2017-04-04,98.42
2017-04-05,2017-04-05,100.64
2017-04-06,2017-04-06,100.08
2017-04-07,2017-04-07,99.59
2017-04-10,2017-04-10,99.77
2017-04-11,2017-04-11,99.67
2017-04-12,2017-04-12,99.84
2017-04-13,2017-04-13,99.19
2017-04-17,2017-04-17,100.11
2017-04-18,2017-04-18,100.69
2017-04-19,2017-04-19,100.52
2017-04-20,2017-04-20,100.44
2017-04-21,2017-04-21,100.4
2017-04-24,2017-04-24,101.08
2017-04-25,2017-04-25,100.68
2017-04-26,2017-04-26,99.72
2017-04-27,2017-04-27,100.02
2017-04-28,2017-04-28,99.9
2017-05-01,2017-05-01,99.19
2017-05-02,2017-05-02,99.36
2017-05-03,2017-05-03,99.37
2017-05-04,2017-05-04,100.33
2017-05-05,2017-05-05,100.16
2017-05-08,2017-05-08,100.42
2017-05-09,2017-05-09,99.72
2017-05-10,2017-05-10,99.97
2017-05-11,2017-05-11,100.04
2017-05-12,2017-05-12,99.4
2017-05-15,2017-05-15,100.31
2017-05-16,2017-05-16,99.49
2017-05-17,2017-05-17,100.35
2017-05-18,2017-05-18,100.11
2017-05-19,2017-05-19,100.99
2017-05-22,2017-05-22,102.27
2017-05-23,2017-05-23,102.53
2017-05-24,2017-05-24,103.51
2017-05-25,2017-05-25,104.18
2017-05-26,2017-05-26,104.48
2017-05-30,2017-05-30,103.72
2017-05-31,2017-05-31,104.15
2017-06-01,2017-06-01,105.47
2017-06-02,2017-06-02,105.42
2017-06-05,2017-06-05,105.4
2017-06-06,2017-06-06,105.28
2017-06-07,2017-06-07,105.92
2017-06-08,2017-06-08,104.51
2017-06-09,2017-06-09,104.4
2017-06-12,2017-06-12,104.54
2017-06-13,2017-06-13,104.98
2017-06-14,2017-06-14,105.41
2017-06-15,2017-06-15,105.53
2017-06-16,2017-06-16,101.83
2017-06-19,2017-06-19,102.16
2017-06-20,2017-06-20,101.1
2017-06-21,2017-06-21,100.02
2017-06-22,2017-06-22,99.71
2017-06-23,2017-06-23,100.23
2017-06-26,2017-06-26,100.41
2017-06-27,2017-06-27,98.53
2017-06-28,2017-06-28,98.95
2017-06-29,2017-06-29,95.36
2017-06-30,2017-06-30,97.51
2017-07-03,2017-07-03,97.3
2017-07-05,2017-07-05,96.75
2017-07-06,2017-07-06,95.74
2017-07-07,2017-07-07,95.75
2017-07-10,2017-07-10,94.97
2017-07-11,2017-07-11,96.25
2017-07-12,2017-07-12,97.2
2017-07-13,2017-07-13,96.94
2017-07-14,2017-07-14,97.67
2017-07-17,2017-07-17,97.28
2017-07-18,2017-07-18,97.14
2017-07-19,2017-07-19,92.07
2017-07-20,2017-07-20,92.48
2017-07-21,2017-07-21,93.67
2017-07-24,2017-07-24,93.95
2017-07-25,2017-07-25,94.81
2017-07-26,2017-07-26,94.7
2017-07-27,2017-07-27,95.25
2017-07-28,2017-07-28,95.52
2017-07-31,2017-07-31,95.3
2017-08-01,2017-08-01,95.25
2017-08-02,2017-08-02,95.63
2017-08-03,2017-08-03,95.18
2017-08-04,2017-08-04,94.51
2017-08-07,2017-08-07,95.05
2017-08-08,2017-08-08,93.01
2017-08-09,2017-08-09,95.76
2017-08-10,2017-08-10,95.2
2017-08-11,2017-08-11,97.03
2017-08-14,2017-08-14,98.03
2017-08-15,2017-08-15,96.75
2017-08-16,2017-08-16,97.97
2017-08-17,2017-08-17,96.63
2017-08-18,2017-08-18,96.09
2017-08-21,2017-08-21,96.23
2017-08-22,2017-08-22,97.3
2017-08-23,2017-08-23,97.06
2017-08-24,2017-08-24,94.78
2017-08-25,2017-08-25,94.91
2017-08-28,2017-08-28,94.65
2017-08-29,2017-08-29,95.36
2017-08-30,2017-08-30,95.58
2017-08-31,2017-08-31,95.13
2017-09-01,2017-09-01,96.14
2017-09-05,2017-09-05,96.27
2017-09-06,2017-09-06,97.54
2017-09-07,2017-09-07,96.63
2017-09-08,2017-09-08,97.6
2017-09-11,2017-09-11,98.04
2017-09-12,2017-09-12,98.67
2017-09-13,2017-09-13,98.36
2017-09-14,2017-09-14,98.47
2017-09-15,2017-09-15,98.94
2017-09-18,2017-09-18,98.93
2017-09-19,2017-09-19,98.65
2017-09-20,2017-09-20,97.72
2017-09-21,2017-09-21,96.85
2017-09-22,2017-09-22,96.06
2017-09-25,2017-09-25,96.78
2017-09-26,2017-09-26,97.28
2017-09-27,2017-09-27,96.45
2017-09-28,2017-09-28,101.65
2017-09-29,2017-09-29,102.64
2017-10-02,2017-10-02,99.77
2017-10-03,2017-10-03,98.08
2017-10-04,2017-10-04,99.77
2017-10-05,2017-10-05,98.32
2017-10-06,2017-10-06,98.18
2017-10-09,2017-10-09,96.83
2017-10-10,2017-10-10,97.45
2017-10-11,2017-10-11,98.29
2017-10-12,2017-10-12,99.02
2017-10-13,2017-10-13,98.51
2017-10-16,2017-10-16,99.13
2017-10-17,2017-10-17,99.17
2017-10-18,2017-10-18,99.14
2017-10-19,2017-10-19,99.37
2017-10-20,2017-10-20,99.26
2017-10-23,2017-10-23,99.22
2017-10-24,2017-10-24,99.16
2017-10-25,2017-10-25,98.87
2017-10-26,2017-10-26,99.04
2017-10-27,2017-10-27,99.36
2017-10-30,2017-10-30,97.98
2017-10-31,2017-10-31,99.53
2017-11-01,2017-11-01,99.85
2017-11-02,2017-11-02,98.05
2017-11-03,2017-11-03,96.9
2017-11-06,2017-11-06,93.99
2017-11-07,2017-11-07,95.18
2017-11-08,2017-11-08,96.43
2017-11-09,2017-11-09,95.51
2017-11-10,2017-11-10,96.92
2017-11-13,2017-11-13,96.96
2017-11-14,2017-11-14,98.58
2017-11-15,2017-11-15,96.49
2017-11-16,2017-11-16,99.55
2017-11-17,2017-11-17,99.33
2017-11-20,2017-11-20,100.08
2017-11-21,2017-11-21,100.06
2017-11-22,2017-11-22,99.01
2017-11-24,2017-11-24,99.13
2017-11-27,2017-11-27,100.12
2017-11-28,2017-11-28,100.81
2017-11-29,2017-11-29,102.12
2017-11-30,2017-11-30,102.18
2017-12-01,2017-12-01,102.85
2017-12-04,2017-12-04,104.48
2017-12-05,2017-12-05,102.96
2017-12-06,2017-12-06,103.0
2017-12-07,2017-12-07,102.14
2017-12-08,2017-12-08,101.16
2017-12-11,2017-12-11,100.52
2017-12-12,2017-12-12,101.07
2017-12-13,2017-12-13,100.96
2017-12-14,2017-12-14,100.24
2017-12-15,2017-12-15,101.43
2017-12-18,2017-12-18,101.69
2017-12-19,2017-12-19,101.57
2017-12-20,2017-12-20,101.4
2017-12-21,2017-12-21,101.15
2017-12-22,2017-12-22,101.92
2017-12-26,2017-12-26,102.01
2017-12-27,2017-12-27,102.13
2017-12-28,2017-12-28,102.24
2017-12-29,2017-12-29,101.91
2018-01-02,2018-01-02,101.23
2018-01-03,2018-01-03,101.47
2018-01-04,2018-01-04,102.11
2018-01-05,2018-01-05,103.11
2018-01-08,2018-01-08,103.22
2018-01-09,2018-01-09,103.12
2018-01-10,2018-01-10,101.58
2018-01-11,2018-01-11,101.0
2018-01-12,2018-01-12,101.01
2018-01-16,2018-01-16,101.29
2018-01-17,2018-01-17,102.65
2018-01-18,2018-01-18,102.91
2018-01-19,2018-01-19,99.19
2018-01-22,2018-01-22,99.13
2018-01-23,2018-01-23,98.89
2018-01-24,2018-01-24,100.09
2018-01-25,2018-01-25,105.09
2018-01-26,2018-01-26,107.45
2018-01-29,2018-01-29,107.78
2018-01-30,2018-01-30,107.97
2018-01-31,2018-01-31,108.77
2018-02-01,2018-02-01,107.52
2018-02-02,2018-02-02,103.56
2018-02-05,2018-02-05,101.53
2018-02-06,2018-02-06,102.46
2018-02-07,2018-02-07,102.66
2018-02-08,2018-02-08,101.36
2018-02-09,2018-02-09,101.84
2018-02-12,2018-02-12,102.3
2018-02-13,2018-02-13,102.71
2018-02-14,2018-02-14,103.76
2018-02-15,2018-02-15,104.81
2018-02-16,2018-02-16,105.5
2018-02-20,2018-02-20,104.6
2018-02-21,2018-02-21,104.06
2018-02-22,2018-02-22,105.06
2018-02-23,2018-02-23,106.22
2018-02-26,2018-02-26,107.42
2018-02-27,2018-02-27,106.59
2018-02-28,2018-02-28,106.78
2018-03-01,2018-03-01,106.74
2018-03-02,2018-03-02,108.29
2018-03-05,2018-03-05,109.74
2018-03-06,2018-03-06,110.06
2018-03-07,2018-03-07,109.19
2018-03-08,2018-03-08,109.62
2018-03-09,2018-03-09,110.54
2018-03-12,2018-03-12,110.69
2018-03-13,2018-03-13,110.74
2018-03-14,2018-03-14,110.56
2018-03-15,2018-03-15,108.97
2018-03-16,2018-03-16,107.81
2018-03-19,2018-03-19,107.87
2018-03-20,2018-03-20,107.75
2018-03-21,2018-03-21,107.04
2018-03-22,2018-03-22,106.56
2018-03-23,2018-03-23,105.72
2018-03-26,2018-03-26,106.97
2018-03-27,2018-03-27,107.35
2018-03-28,2018-03-28,105.95
2018-03-29,2018-03-29,106.39
2018-04-02,2018-04-02,103.83
2018-04-03,2018-04-03,104.03
2018-04-04,2018-04-04,105.04
2018-04-05,2018-04-05,105.3
2018-04-06,2018-04-06,104.2
2018-04-09,2018-04-09,105.42
2018-04-10,2018-04-10,105.72
2018-04-11,2018-04-11,106.59
2018-04-12,2018-04-12,105.08
2018-04-13,2018-04-13,105.8
2018-04-16,2018-04-16,107.26
2018-04-17,2018-04-17,108.45
2018-04-18,2018-04-18,108.13
2018-04-19,2018-04-19,106.45
2018-04-20,2018-04-20,103.24
2018-04-23,2018-04-23,103.77
2018-04-24,2018-04-24,103.66
2018-04-25,2018-04-25,105.19
2018-04-26,2018-04-26,106.85
2018-04-27,2018-04-27,106.69
2018-04-30,2018-04-30,105.41
2018-05-01,2018-05-01,104.7
