DATE,DATE,CLOSE
2016-11-01,2016-11-01,192.88
2016-11-02,2016-11-02,190.45
2016-11-03,2016-11-03,188.48
2016-11-04,2016-11-04,192.33
2016-11-07,2016-11-07,198.27
2016-11-08,2016-11-08,202.01
2016-11-09,2016-11-09,225.39
2016-11-10,2016-11-10,233.52
2016-11-11,2016-11-11,229.74
2016-11-14,2016-11-14,231.5
2016-11-15,2016-11-15,229.18
2016-11-16,2016-11-16,220.85
2016-11-17,2016-11-17,221.07
2016-11-18,2016-11-18,219.67
2016-11-21,2016-11-21,222.82
2016-11-22,2016-11-22,221.28
2016-11-23,2016-11-23,224.22
2016-11-25,2016-11-25,225.31
2016-11-28,2016-11-28,216.32
2016-11-29,2016-11-29,218.5
2016-11-30,2016-11-30,219.45
2016-12-01,2016-12-01,220.9
2016-12-02,2016-12-02,223.25
2016-12-05,2016-12-05,223.54
2016-12-06,2016-12-06,225.33
2016-12-07,2016-12-07,229.85
2016-12-08,2016-12-08,230.72
2016-12-09,2016-12-09,231.16
2016-12-12,2016-12-12,223.69
2016-12-13,2016-12-13,222.2
2016-12-14,2016-12-14,221.81
2016-12-15,2016-12-15,221.41
2016-12-16,2016-12-16,220.39
2016-12-19,2016-12-19,222.68
2016-12-20,2016-12-20,226.04
2016-12-21,2016-12-21,225.45
2016-12-22,2016-12-22,224.15
2016-12-23,2016-12-23,225.11
2016-12-27,2016-12-27,229.19
2016-12-28,2016-12-28,226.17
2016-12-29,2016-12-29,224.84
2016-12-30,2016-12-30,221.53
2017-01-03,2017-01-03,223.33
2017-01-04,2017-01-04,226.36
2017-01-05,2017-01-05,226.52
2017-01-06,2017-01-06,219.84
2017-01-09,2017-01-09,219.36
2017-01-10,2017-01-10,220.56
2017-01-11,2017-01-11,221.95
2017-01-12,2017-01-12,219.92
2017-01-13,2017-01-13,220.67
2017-01-17,2017-01-17,219.86
2017-01-18,2017-01-18,225.36
2017-01-19,2017-01-19,225.76
2017-01-20,2017-01-20,227.75
2017-01-23,2017-01-23,227.36
2017-01-24,2017-01-24,234.5
2017-01-25,2017-01-25,242.0
2017-01-26,2017-01-26,241.62
2017-01-27,2017-01-27,239.78
2017-01-30,2017-01-30,235.31
2017-01-31,2017-01-31,229.6
2017-02-01,2017-02-01,230.5
2017-02-02,2017-02-02,228.59
