DATE,DATE,CLOSE
2016-11-01,2016-11-01,62.86
2016-11-02,2016-11-02,62.96
2016-11-03,2016-11-03,63.64
2016-11-04,2016-11-04,63.9
2016-11-07,2016-11-07,65.09
2016-11-08,2016-11-08,65.38
2016-11-09,2016-11-09,66.91
2016-11-10,2016-11-10,67.8
2016-11-11,2016-11-11,67.78
2016-11-14,2016-11-14,67.61
2016-11-15,2016-11-15,67.73
2016-11-16,2016-11-16,67.7
2016-11-17,2016-11-17,69.07
2016-11-18,2016-11-18,69.23
2016-11-21,2016-11-21,69.21
2016-11-22,2016-11-22,69.4
2016-11-23,2016-11-23,69.46
2016-11-25,2016-11-25,69.77
2016-11-28,2016-11-28,68.91
2016-11-29,2016-11-29,68.98
2016-11-30,2016-11-30,69.31
2016-12-01,2016-12-01,68.9
2016-12-02,2016-12-02,68.39
2016-12-05,2016-12-05,68.69
2016-12-06,2016-12-06,68.78
2016-12-07,2016-12-07,69.43
2016-12-08,2016-12-08,69.33
2016-12-09,2016-12-09,69.47
2016-12-12,2016-12-12,69.46
2016-12-13,2016-12-13,69.32
2016-12-14,2016-12-14,68.54
2016-12-15,2016-12-15,68.56
2016-12-16,2016-12-16,68.46
2016-12-19,2016-12-19,68.68
2016-12-20,2016-12-20,68.39
2016-12-21,2016-12-21,68.31
2016-12-22,2016-12-22,68.41
2016-12-23,2016-12-23,68.52
2016-12-27,2016-12-27,68.2
2016-12-28,2016-12-28,67.72
2016-12-29,2016-12-29,67.75
2016-12-30,2016-12-30,67.59
2017-01-03,2017-01-03,67.87
2017-01-04,2017-01-04,68.29
2017-01-05,2017-01-05,68.31
2017-01-06,2017-01-06,68.68
2017-01-09,2017-01-09,67.8
2017-01-10,2017-01-10,67.51
2017-01-11,2017-01-11,67.44
2017-01-12,2017-01-12,67.58
2017-01-13,2017-01-13,67.73
2017-01-17,2017-01-17,67.64
2017-01-18,2017-01-18,68.17
2017-01-19,2017-01-19,67.45
2017-01-20,2017-01-20,67.99
2017-01-23,2017-01-23,67.56
2017-01-24,2017-01-24,68.23
2017-01-25,2017-01-25,68.66
2017-01-26,2017-01-26,68.75
2017-01-27,2017-01-27,68.85
2017-01-30,2017-01-30,68.34
2017-01-31,2017-01-31,68.02
2017-02-01,2017-02-01,67.41
2017-02-02,2017-02-02,69.55
2017-02-03,2017-02-03,70.52
2017-02-06,2017-02-06,69.91
2017-02-07,2017-02-07,69.77
2017-02-08,2017-02-08,70.41
2017-02-09,2017-02-09,70.58
2017-02-10,2017-02-10,71.08
2017-02-13,2017-02-13,71.48
2017-02-14,2017-02-14,71.94
2017-02-15,2017-02-15,72.63
2017-02-16,2017-02-16,73.26
2017-02-17,2017-02-17,73.52
2017-02-21,2017-02-21,72.93
2017-02-22,2017-02-22,72.93
2017-02-23,2017-02-23,73.54
2017-02-24,2017-02-24,73.51
2017-02-27,2017-02-27,73.47
2017-02-28,2017-02-28,73.48
2017-03-01,2017-03-01,74.65
2017-03-02,2017-03-02,74.13
2017-03-03,2017-03-03,74.22
2017-03-06,2017-03-06,73.82
2017-03-07,2017-03-07,73.62
2017-03-08,2017-03-08,72.95
2017-03-09,2017-03-09,73.1
2017-03-10,2017-03-10,73.67
2017-03-13,2017-03-13,74.23
2017-03-14,2017-03-14,74.25
2017-03-15,2017-03-15,74.35
2017-03-16,2017-03-16,74.68
2017-03-17,2017-03-17,75.14
2017-03-20,2017-03-20,75.03
2017-03-21,2017-03-21,74.2
2017-03-22,2017-03-22,74.44
2017-03-23,2017-03-23,74.61
2017-03-24,2017-03-24,74.57
2017-03-27,2017-03-27,74.61
2017-03-28,2017-03-28,74.92
2017-03-29,2017-03-29,74.4
2017-03-30,2017-03-30,74.11
2017-03-31,2017-03-31,73.89
