DATE,DATE,CLOSE
2016-11-01,2016-11-01,164.25
2016-11-02,2016-11-02,165.73
2016-11-03,2016-11-03,166.83
2016-11-04,2016-11-04,166.48
2016-11-07,2016-11-07,169.74
2016-11-08,2016-11-08,171.03
2016-11-09,2016-11-09,170.39
2016-11-10,2016-11-10,174.28
2016-11-11,2016-11-11,175.08
2016-11-14,2016-11-14,172.91
2016-11-15,2016-11-15,174.24
2016-11-16,2016-11-16,172.01
2016-11-17,2016-11-17,172.77
2016-11-18,2016-11-18,172.96
2016-11-21,2016-11-21,171.52
2016-11-22,2016-11-22,171.91
2016-11-23,2016-11-23,172.25
2016-11-25,2016-11-25,173.49
2016-11-28,2016-11-28,172.5
2016-11-29,2016-11-29,172.77
2016-11-30,2016-11-30,171.74
2016-12-01,2016-12-01,172.63
2016-12-02,2016-12-02,172.43
2016-12-05,2016-12-05,171.62
2016-12-06,2016-12-06,171.8
2016-12-07,2016-12-07,176.05
2016-12-08,2016-12-08,175.88
2016-12-09,2016-12-09,178.49
2016-12-12,2016-12-12,179.64
2016-12-13,2016-12-13,178.83
2016-12-14,2016-12-14,176.6
2016-12-15,2016-12-15,176.02
2016-12-16,2016-12-16,177.45
2016-12-19,2016-12-19,178.16
2016-12-20,2016-12-20,178.65
2016-12-21,2016-12-21,178.43
2016-12-22,2016-12-22,179.2
2016-12-23,2016-12-23,178.75
2016-12-27,2016-12-27,178.92
2016-12-28,2016-12-28,178.08
2016-12-29,2016-12-29,178.41
2016-12-30,2016-12-30,178.57
2017-01-03,2017-01-03,178.05
2017-01-04,2017-01-04,178.32
2017-01-05,2017-01-05,177.71
2017-01-06,2017-01-06,178.23
2017-01-09,2017-01-09,177.27
2017-01-10,2017-01-10,176.58
2017-01-11,2017-01-11,177.89
2017-01-12,2017-01-12,177.44
2017-01-13,2017-01-13,177.39
2017-01-17,2017-01-17,177.26
2017-01-18,2017-01-18,178.49
2017-01-19,2017-01-19,178.68
2017-01-20,2017-01-20,178.49
2017-01-23,2017-01-23,178.51
2017-01-24,2017-01-24,175.97
2017-01-25,2017-01-25,176.73
2017-01-26,2017-01-26,176.82
2017-01-27,2017-01-27,177.48
2017-01-30,2017-01-30,175.42
