DATE,DATE,CLOSE
2016-11-01,2016-11-01,24.32
2016-11-02,2016-11-02,24.73
2016-11-03,2016-11-03,24.15
2016-11-04,2016-11-04,24.5
2016-11-07,2016-11-07,25.11
2016-11-08,2016-11-08,26.18
2016-11-09,2016-11-09,26.77
2016-11-10,2016-11-10,28.23
2016-11-11,2016-11-11,27.41
2016-11-14,2016-11-14,28.29
2016-11-15,2016-11-15,27.95
2016-11-16,2016-11-16,27.21
2016-11-17,2016-11-17,27.33
2016-11-18,2016-11-18,28.26
2016-11-21,2016-11-21,29.05
2016-11-22,2016-11-22,27.37
2016-11-23,2016-11-23,27.45
2016-11-25,2016-11-25,27.43
2016-11-28,2016-11-28,27.35
2016-11-29,2016-11-29,27.06
2016-11-30,2016-11-30,28.4
2016-12-01,2016-12-01,29.09
2016-12-02,2016-12-02,28.82
2016-12-05,2016-12-05,29.17
2016-12-06,2016-12-06,29.38
2016-12-07,2016-12-07,30.23
2016-12-08,2016-12-08,30.18
2016-12-09,2016-12-09,31.42
2016-12-12,2016-12-12,30.24
2016-12-13,2016-12-13,29.52
2016-12-14,2016-12-14,29.38
2016-12-15,2016-12-15,29.74
2016-12-16,2016-12-16,29.56
2016-12-19,2016-12-19,27.77
2016-12-20,2016-12-20,28.16
2016-12-21,2016-12-21,28.78
2016-12-22,2016-12-22,29.35
2016-12-23,2016-12-23,29.18
2016-12-27,2016-12-27,30.04
2016-12-28,2016-12-28,29.06
2016-12-29,2016-12-29,29.33
2016-12-30,2016-12-30,29.33
2017-01-03,2017-01-03,29.53
2017-01-04,2017-01-04,30.81
2017-01-05,2017-01-05,30.87
2017-01-06,2017-01-06,30.8
2017-01-09,2017-01-09,30.71
2017-01-10,2017-01-10,30.72
2017-01-11,2017-01-11,31.43
2017-01-12,2017-01-12,31.41
2017-01-13,2017-01-13,31.25
2017-01-17,2017-01-17,30.77
2017-01-18,2017-01-18,30.6
2017-01-19,2017-01-19,30.25
2017-01-20,2017-01-20,31.28
2017-01-23,2017-01-23,31.55
2017-01-24,2017-01-24,33.45
2017-01-25,2017-01-25,33.26
2017-01-26,2017-01-26,31.84
2017-01-27,2017-01-27,31.42
2017-01-30,2017-01-30,30.97
2017-01-31,2017-01-31,31.37
2017-02-01,2017-02-01,31.68
2017-02-02,2017-02-02,31.45
2017-02-03,2017-02-03,31.85
2017-02-06,2017-02-06,32.03
2017-02-07,2017-02-07,32.23
2017-02-08,2017-02-08,32.21
2017-02-09,2017-02-09,31.83
2017-02-10,2017-02-10,32.86
2017-02-13,2017-02-13,33.75
2017-02-14,2017-02-14,34.02
2017-02-15,2017-02-15,33.78
2017-02-16,2017-02-16,33.15
2017-02-17,2017-02-17,33.59
2017-02-21,2017-02-21,33.64
2017-02-22,2017-02-22,33.13
2017-02-23,2017-02-23,31.83
2017-02-24,2017-02-24,31.42
2017-02-27,2017-02-27,31.54
2017-02-28,2017-02-28,31.19
2017-03-01,2017-03-01,31.03
2017-03-02,2017-03-02,30.42
2017-03-03,2017-03-03,30.22
2017-03-06,2017-03-06,29.65
2017-03-07,2017-03-07,29.18
2017-03-08,2017-03-08,28.67
2017-03-09,2017-03-09,29.0
2017-03-10,2017-03-10,29.19
2017-03-13,2017-03-13,29.12
2017-03-14,2017-03-14,28.6
2017-03-15,2017-03-15,29.14
2017-03-16,2017-03-16,28.99
2017-03-17,2017-03-17,29.17
2017-03-20,2017-03-20,29.25
2017-03-21,2017-03-21,28.64
2017-03-22,2017-03-22,28.75
2017-03-23,2017-03-23,29.0
2017-03-24,2017-03-24,28.75
2017-03-27,2017-03-27,28.64
2017-03-28,2017-03-28,29.17
2017-03-29,2017-03-29,29.48
2017-03-30,2017-03-30,29.35
2017-03-31,2017-03-31,29.18
2017-04-03,2017-04-03,28.91
2017-04-04,2017-04-04,29.16
2017-04-05,2017-04-05,29.0
2017-04-06,2017-04-06,29.19
2017-04-07,2017-04-07,28.85
2017-04-10,2017-04-10,28.94
2017-04-11,2017-04-11,28.69
2017-04-12,2017-04-12,28.15
2017-04-13,2017-04-13,27.46
2017-04-17,2017-04-17,27.36
2017-04-18,2017-04-18,27.04
2017-04-19,2017-04-19,26.83
2017-04-20,2017-04-20,27.1
2017-04-21,2017-04-21,26.67
2017-04-24,2017-04-24,27.09
2017-04-25,2017-04-25,27.54
2017-04-26,2017-04-26,27.42
2017-04-27,2017-04-27,27.45
2017-04-28,2017-04-28,26.93
2017-05-01,2017-05-01,26.87
2017-05-02,2017-05-02,24.95
