DATE,DATE,CLOSE
2016-11-01,2016-11-01,13.27
2016-11-02,2016-11-02,12.78
2016-11-03,2016-11-03,14.15
2016-11-04,2016-11-04,13.69
2016-11-07,2016-11-07,14.15
2016-11-08,2016-11-08,14.25
2016-11-09,2016-11-09,14.88
2016-11-10,2016-11-10,15.14
2016-11-11,2016-11-11,14.89
2016-11-14,2016-11-14,14.93
2016-11-15,2016-11-15,15.7
2016-11-16,2016-11-16,15.56
2016-11-17,2016-11-17,15.46
2016-11-18,2016-11-18,15.62
2016-11-21,2016-11-21,16.48
2016-11-22,2016-11-22,16.55
2016-11-23,2016-11-23,16.78
2016-11-25,2016-11-25,16.28
2016-11-28,2016-11-28,15.54
2016-11-29,2016-11-29,14.95
2016-11-30,2016-11-30,18.06
2016-12-01,2016-12-01,17.89
2016-12-02,2016-12-02,18.2
2016-12-05,2016-12-05,18.39
2016-12-06,2016-12-06,18.35
2016-12-07,2016-12-07,18.42
2016-12-08,2016-12-08,18.38
2016-12-09,2016-12-09,18.25
2016-12-12,2016-12-12,18.49
2016-12-13,2016-12-13,18.8
2016-12-14,2016-12-14,18.2
2016-12-15,2016-12-15,18.24
2016-12-16,2016-12-16,18.59
2016-12-19,2016-12-19,18.51
2016-12-20,2016-12-20,18.31
2016-12-21,2016-12-21,18.08
2016-12-22,2016-12-22,18.04
2016-12-23,2016-12-23,18.06
2016-12-27,2016-12-27,18.14
2016-12-28,2016-12-28,17.85
2016-12-29,2016-12-29,17.57
2016-12-30,2016-12-30,17.31
2017-01-03,2017-01-03,17.76
2017-01-04,2017-01-04,18.05
2017-01-05,2017-01-05,18.18
2017-01-06,2017-01-06,17.88
2017-01-09,2017-01-09,17.4
2017-01-10,2017-01-10,17.48
2017-01-11,2017-01-11,17.69
2017-01-12,2017-01-12,17.44
2017-01-13,2017-01-13,17.45
2017-01-17,2017-01-17,17.44
2017-01-18,2017-01-18,17.33
2017-01-19,2017-01-19,17.27
2017-01-20,2017-01-20,17.61
2017-01-23,2017-01-23,17.42
2017-01-24,2017-01-24,17.7
2017-01-25,2017-01-25,17.75
2017-01-26,2017-01-26,17.75
2017-01-27,2017-01-27,17.41
2017-01-30,2017-01-30,16.53
2017-01-31,2017-01-31,16.75
2017-02-01,2017-02-01,16.59
2017-02-02,2017-02-02,16.68
2017-02-03,2017-02-03,17.23
2017-02-06,2017-02-06,16.52
2017-02-07,2017-02-07,16.03
2017-02-08,2017-02-08,15.88
2017-02-09,2017-02-09,16.05
2017-02-10,2017-02-10,16.19
2017-02-13,2017-02-13,16.06
2017-02-14,2017-02-14,16.41
2017-02-15,2017-02-15,16.3
2017-02-16,2017-02-16,16.17
2017-02-17,2017-02-17,16.23
2017-02-21,2017-02-21,16.38
2017-02-22,2017-02-22,15.76
2017-02-23,2017-02-23,15.98
2017-02-24,2017-02-24,15.73
2017-02-27,2017-02-27,15.85
2017-02-28,2017-02-28,16.0
2017-03-01,2017-03-01,16.45
2017-03-02,2017-03-02,16.14
2017-03-03,2017-03-03,16.18
2017-03-06,2017-03-06,16.47
2017-03-07,2017-03-07,16.28
2017-03-08,2017-03-08,14.87
2017-03-09,2017-03-09,16.07
2017-03-10,2017-03-10,16.16
2017-03-13,2017-03-13,15.84
2017-03-14,2017-03-14,15.32
2017-03-15,2017-03-15,15.56
2017-03-16,2017-03-16,15.55
2017-03-17,2017-03-17,15.46
2017-03-20,2017-03-20,15.48
2017-03-21,2017-03-21,15.05
2017-03-22,2017-03-22,15.02
2017-03-23,2017-03-23,14.68
2017-03-24,2017-03-24,14.61
2017-03-27,2017-03-27,14.75
2017-03-28,2017-03-28,15.23
2017-03-29,2017-03-29,15.85
2017-03-30,2017-03-30,15.85
2017-03-31,2017-03-31,15.8
2017-04-03,2017-04-03,15.82
2017-04-04,2017-04-04,16.14
2017-04-05,2017-04-05,15.98
2017-04-06,2017-04-06,16.31
