DATE,DATE,CLOSE
2016-11-01,2016-11-01,72.32
2016-11-02,2016-11-02,71.57
2016-11-03,2016-11-03,71.29
2016-11-04,2016-11-04,75.9
2016-11-07,2016-11-07,77.71
2016-11-08,2016-11-08,78.56
2016-11-09,2016-11-09,78.96
2016-11-10,2016-11-10,79.19
2016-11-11,2016-11-11,80.38
2016-11-14,2016-11-14,80.6
2016-11-15,2016-11-15,81.8
2016-11-16,2016-11-16,80.51
2016-11-17,2016-11-17,80.35
2016-11-18,2016-11-18,79.98
2016-11-21,2016-11-21,79.83
2016-11-22,2016-11-22,80.31
2016-11-23,2016-11-23,80.26
2016-11-25,2016-11-25,80.98
2016-11-28,2016-11-28,80.86
2016-11-29,2016-11-29,81.11
2016-11-30,2016-11-30,80.25
2016-12-01,2016-12-01,79.19
2016-12-02,2016-12-02,79.5
2016-12-05,2016-12-05,80.92
2016-12-06,2016-12-06,82.22
2016-12-07,2016-12-07,83.27
2016-12-08,2016-12-08,83.3
2016-12-09,2016-12-09,82.79
2016-12-12,2016-12-12,82.6
2016-12-13,2016-12-13,83.24
2016-12-14,2016-12-14,82.9
2016-12-15,2016-12-15,83.46
2016-12-16,2016-12-16,83.4
2016-12-19,2016-12-19,83.93
2016-12-20,2016-12-20,83.76
2016-12-21,2016-12-21,84.0
2016-12-22,2016-12-22,83.72
2016-12-23,2016-12-23,83.41
2016-12-27,2016-12-27,83.52
2016-12-28,2016-12-28,82.86
2016-12-29,2016-12-29,82.87
2016-12-30,2016-12-30,82.89
2017-01-03,2017-01-03,83.6
2017-01-04,2017-01-04,83.49
2017-01-05,2017-01-05,82.64
2017-01-06,2017-01-06,82.89
2017-01-09,2017-01-09,83.02
2017-01-10,2017-01-10,82.63
2017-01-11,2017-01-11,82.88
2017-01-12,2017-01-12,82.18
2017-01-13,2017-01-13,82.27
2017-01-17,2017-01-17,80.73
2017-01-18,2017-01-18,81.65
2017-01-19,2017-01-19,81.86
2017-01-20,2017-01-20,82.36
2017-01-23,2017-01-23,82.44
2017-01-24,2017-01-24,84.35
2017-01-25,2017-01-25,85.29
2017-01-26,2017-01-26,83.36
2017-01-27,2017-01-27,82.98
2017-01-30,2017-01-30,81.7
2017-01-31,2017-01-31,80.71
2017-02-01,2017-02-01,80.03
2017-02-02,2017-02-02,81.0
2017-02-03,2017-02-03,81.6
