DATE,DATE,CLOSE
2016-11-01,2016-11-01,39.42
2016-11-02,2016-11-02,39.2
2016-11-03,2016-11-03,39.18
2016-11-04,2016-11-04,38.95
2016-11-07,2016-11-07,39.79
2016-11-08,2016-11-08,39.7
2016-11-09,2016-11-09,39.51
2016-11-10,2016-11-10,38.76
2016-11-11,2016-11-11,38.94
2016-11-14,2016-11-14,38.89
2016-11-15,2016-11-15,39.41
2016-11-16,2016-11-16,39.79
2016-11-17,2016-11-17,39.74
2016-11-18,2016-11-18,40.09
2016-11-21,2016-11-21,40.32
2016-11-22,2016-11-22,40.07
2016-11-23,2016-11-23,39.96
2016-11-25,2016-11-25,40.2
2016-11-28,2016-11-28,39.93
2016-11-29,2016-11-29,39.75
2016-11-30,2016-11-30,39.27
2016-12-01,2016-12-01,37.77
2016-12-02,2016-12-02,37.87
2016-12-05,2016-12-05,38.24
2016-12-06,2016-12-06,38.57
2016-12-07,2016-12-07,39.37
2016-12-08,2016-12-08,39.44
2016-12-09,2016-12-09,39.15
2016-12-12,2016-12-12,38.73
2016-12-13,2016-12-13,38.94
2016-12-14,2016-12-14,38.64
2016-12-15,2016-12-15,39.23
2016-12-16,2016-12-16,38.83
2016-12-19,2016-12-19,39.06
2016-12-20,2016-12-20,39.25
2016-12-21,2016-12-21,39.18
2016-12-22,2016-12-22,39.16
2016-12-23,2016-12-23,39.26
2016-12-27,2016-12-27,39.4
2016-12-28,2016-12-28,38.96
2016-12-29,2016-12-29,39.02
2016-12-30,2016-12-30,38.57
2017-01-03,2017-01-03,38.62
2017-01-04,2017-01-04,39.03
2017-01-05,2017-01-05,38.44
2017-01-06,2017-01-06,39.74
2017-01-09,2017-01-09,40.65
2017-01-10,2017-01-10,40.89
2017-01-11,2017-01-11,40.7
2017-01-12,2017-01-12,40.47
2017-01-13,2017-01-13,41.47
2017-01-17,2017-01-17,40.73
2017-01-18,2017-01-18,41.22
2017-01-19,2017-01-19,40.58
2017-01-20,2017-01-20,41.39
2017-01-23,2017-01-23,41.39
2017-01-24,2017-01-24,42.03
2017-01-25,2017-01-25,42.23
2017-01-26,2017-01-26,41.97
2017-01-27,2017-01-27,44.71
2017-01-30,2017-01-30,45.01
2017-01-31,2017-01-31,44.48
2017-02-01,2017-02-01,44.76
2017-02-02,2017-02-02,44.54
2017-02-03,2017-02-03,44.67
2017-02-06,2017-02-06,44.84
2017-02-07,2017-02-07,45.47
2017-02-08,2017-02-08,45.14
2017-02-09,2017-02-09,44.88
2017-02-10,2017-02-10,45.07
2017-02-13,2017-02-13,45.03
2017-02-14,2017-02-14,44.63
2017-02-15,2017-02-15,45.0
2017-02-16,2017-02-16,45.03
2017-02-17,2017-02-17,45.11
2017-02-21,2017-02-21,45.37
2017-02-22,2017-02-22,45.35
2017-02-23,2017-02-23,44.86
2017-02-24,2017-02-24,45.06
2017-02-27,2017-02-27,44.96
2017-02-28,2017-02-28,44.3
2017-03-01,2017-03-01,44.64
2017-03-02,2017-03-02,44.18
2017-03-03,2017-03-03,44.32
2017-03-06,2017-03-06,44.64
2017-03-07,2017-03-07,44.73
2017-03-08,2017-03-08,44.84
2017-03-09,2017-03-09,44.83
2017-03-10,2017-03-10,45.02
2017-03-13,2017-03-13,45.78
2017-03-14,2017-03-14,45.57
2017-03-15,2017-03-15,46.0
2017-03-16,2017-03-16,45.36
2017-03-17,2017-03-17,45.62
2017-03-20,2017-03-20,45.8
2017-03-21,2017-03-21,45.0
2017-03-22,2017-03-22,45.58
2017-03-23,2017-03-23,45.14
2017-03-24,2017-03-24,45.23
2017-03-27,2017-03-27,45.09
2017-03-28,2017-03-28,44.92
2017-03-29,2017-03-29,44.77
2017-03-30,2017-03-30,44.92
2017-03-31,2017-03-31,44.96
2017-04-03,2017-04-03,44.5
2017-04-04,2017-04-04,44.53
2017-04-05,2017-04-05,44.37
2017-04-06,2017-04-06,44.49
2017-04-07,2017-04-07,45.02
2017-04-10,2017-04-10,44.67
2017-04-11,2017-04-11,44.31
2017-04-12,2017-04-12,43.69
2017-04-13,2017-04-13,43.77
2017-04-17,2017-04-17,44.11
2017-04-18,2017-04-18,44.42
2017-04-19,2017-04-19,44.59
2017-04-20,2017-04-20,45.45
2017-04-21,2017-04-21,44.92
2017-04-24,2017-04-24,44.75
2017-04-25,2017-04-25,45.12
2017-04-26,2017-04-26,44.72
2017-04-27,2017-04-27,45.08
2017-04-28,2017-04-28,44.15
2017-05-01,2017-05-01,44.71
2017-05-02,2017-05-02,45.08
2017-05-03,2017-05-03,44.89
2017-05-04,2017-05-04,45.38
2017-05-05,2017-05-05,45.51
2017-05-08,2017-05-08,45.69
2017-05-09,2017-05-09,45.9
2017-05-10,2017-05-10,46.12
2017-05-11,2017-05-11,45.72
2017-05-12,2017-05-12,46.03
2017-05-15,2017-05-15,46.82
2017-05-16,2017-05-16,46.94
2017-05-17,2017-05-17,45.51
2017-05-18,2017-05-18,46.45
2017-05-19,2017-05-19,46.85
2017-05-22,2017-05-22,46.69
2017-05-23,2017-05-23,46.84
2017-05-24,2017-05-24,47.18
2017-05-25,2017-05-25,47.74
2017-05-26,2017-05-26,47.7
2017-05-30,2017-05-30,47.7
2017-05-31,2017-05-31,47.8
2017-06-01,2017-06-01,48.12
2017-06-02,2017-06-02,48.42
2017-06-05,2017-06-05,48.51
2017-06-06,2017-06-06,48.55
2017-06-07,2017-06-07,49.02
2017-06-08,2017-06-08,49.41
2017-06-09,2017-06-09,47.08
2017-06-12,2017-06-12,46.72
2017-06-13,2017-06-13,47.14
2017-06-14,2017-06-14,47.02
2017-06-15,2017-06-15,46.86
2017-06-16,2017-06-16,46.25
2017-06-19,2017-06-19,46.49
2017-06-20,2017-06-20,45.64
2017-06-21,2017-06-21,46.01
2017-06-22,2017-06-22,45.75
2017-06-23,2017-06-23,45.92
2017-06-26,2017-06-26,45.78
2017-06-27,2017-06-27,44.73
2017-06-28,2017-06-28,45.05
2017-06-29,2017-06-29,44.44
2017-06-30,2017-06-30,44.9
2017-07-03,2017-07-03,44.19
2017-07-05,2017-07-05,44.97
2017-07-06,2017-07-06,44.94
2017-07-07,2017-07-07,45.74
2017-07-10,2017-07-10,46.03
2017-07-11,2017-07-11,46.16
2017-07-12,2017-07-12,46.7
2017-07-13,2017-07-13,46.67
2017-07-14,2017-07-14,47.1
2017-07-17,2017-07-17,46.94
2017-07-18,2017-07-18,46.94
2017-07-19,2017-07-19,47.11
2017-07-20,2017-07-20,47.84
2017-07-21,2017-07-21,45.1
2017-07-24,2017-07-24,44.52
2017-07-25,2017-07-25,44.62
2017-07-26,2017-07-26,45.19
2017-07-27,2017-07-27,45.58
2017-07-28,2017-07-28,45.47
2017-07-31,2017-07-31,45.44
2017-08-01,2017-08-01,45.67
2017-08-02,2017-08-02,45.55
2017-08-03,2017-08-03,44.97
2017-08-04,2017-08-04,44.71
2017-08-07,2017-08-07,45.76
2017-08-08,2017-08-08,45.28
2017-08-09,2017-08-09,44.62
2017-08-10,2017-08-10,43.9
2017-08-11,2017-08-11,44.39
2017-08-14,2017-08-14,45.44
2017-08-15,2017-08-15,45.33
2017-08-16,2017-08-16,45.69
2017-08-17,2017-08-17,43.99
2017-08-18,2017-08-18,43.87
2017-08-21,2017-08-21,43.71
2017-08-22,2017-08-22,44.39
2017-08-23,2017-08-23,44.83
2017-08-24,2017-08-24,45.67
2017-08-25,2017-08-25,45.04
2017-08-28,2017-08-28,45.14
2017-08-29,2017-08-29,44.75
2017-08-30,2017-08-30,45.56
2017-08-31,2017-08-31,46.66
2017-09-01,2017-09-01,46.99
2017-09-05,2017-09-05,46.44
2017-09-06,2017-09-06,46.56
2017-09-07,2017-09-07,46.36
2017-09-08,2017-09-08,45.87
2017-09-11,2017-09-11,46.52
2017-09-12,2017-09-12,46.64
2017-09-13,2017-09-13,46.84
2017-09-14,2017-09-14,46.8
2017-09-15,2017-09-15,47.0
2017-09-18,2017-09-18,47.3
2017-09-19,2017-09-19,47.16
2017-09-20,2017-09-20,46.44
2017-09-21,2017-09-21,46.43
2017-09-22,2017-09-22,46.93
2017-09-25,2017-09-25,46.7
2017-09-26,2017-09-26,46.76
2017-09-27,2017-09-27,47.37
2017-09-28,2017-09-28,47.66
2017-09-29,2017-09-29,47.71
2017-10-02,2017-10-02,47.92
2017-10-03,2017-10-03,48.1
2017-10-04,2017-10-04,48.42
2017-10-05,2017-10-05,48.47
2017-10-06,2017-10-06,48.57
2017-10-09,2017-10-09,48.81
2017-10-10,2017-10-10,48.98
2017-10-11,2017-10-11,49.16
2017-10-12,2017-10-12,49.14
2017-10-13,2017-10-13,49.35
2017-10-16,2017-10-16,49.5
2017-10-17,2017-10-17,49.86
2017-10-18,2017-10-18,49.85
2017-10-19,2017-10-19,50.09
2017-10-20,2017-10-20,52.09
2017-10-23,2017-10-23,52.0
2017-10-24,2017-10-24,52.34
2017-10-25,2017-10-25,51.45
2017-10-26,2017-10-26,52.01
2017-10-27,2017-10-27,52.07
2017-10-30,2017-10-30,52.36
2017-10-31,2017-10-31,52.54
2017-11-01,2017-11-01,52.33
2017-11-02,2017-11-02,52.34
2017-11-03,2017-11-03,53.45
2017-11-06,2017-11-06,54.79
2017-11-07,2017-11-07,54.71
2017-11-08,2017-11-08,55.33
2017-11-09,2017-11-09,53.81
2017-11-10,2017-11-10,53.54
2017-11-13,2017-11-13,53.46
2017-11-14,2017-11-14,53.66
2017-11-15,2017-11-15,53.22
2017-11-16,2017-11-16,53.54
2017-11-17,2017-11-17,53.51
2017-11-20,2017-11-20,53.88
2017-11-21,2017-11-21,54.21
2017-11-22,2017-11-22,53.52
2017-11-24,2017-11-24,53.85
2017-11-27,2017-11-27,53.29
2017-11-28,2017-11-28,53.86
2017-11-29,2017-11-29,52.11
2017-11-30,2017-11-30,52.33
2017-12-01,2017-12-01,51.91
