DATE,DATE,CLOSE
2016-11-01,2016-11-01,37.16
2016-11-02,2016-11-02,36.67
2016-11-03,2016-11-03,34.14
2016-11-04,2016-11-04,35.0
2016-11-07,2016-11-07,36.59
2016-11-08,2016-11-08,37.11
2016-11-09,2016-11-09,38.92
2016-11-10,2016-11-10,38.28
2016-11-11,2016-11-11,37.93
2016-11-14,2016-11-14,38.44
2016-11-15,2016-11-15,38.66
2016-11-16,2016-11-16,37.9
2016-11-17,2016-11-17,37.56
2016-11-18,2016-11-18,36.47
2016-11-21,2016-11-21,36.68
2016-11-22,2016-11-22,36.32
2016-11-23,2016-11-23,36.85
2016-11-25,2016-11-25,36.68
2016-11-28,2016-11-28,36.74
2016-11-29,2016-11-29,36.06
2016-11-30,2016-11-30,36.61
2016-12-01,2016-12-01,36.03
2016-12-02,2016-12-02,35.99
2016-12-05,2016-12-05,35.65
2016-12-06,2016-12-06,35.86
2016-12-07,2016-12-07,34.5
2016-12-08,2016-12-08,36.06
2016-12-09,2016-12-09,36.51
2016-12-12,2016-12-12,37.13
2016-12-13,2016-12-13,38.3
2016-12-14,2016-12-14,37.69
2016-12-15,2016-12-15,37.76
2016-12-16,2016-12-16,37.82
2016-12-19,2016-12-19,37.49
2016-12-20,2016-12-20,37.29
2016-12-21,2016-12-21,37.52
2016-12-22,2016-12-22,37.31
2016-12-23,2016-12-23,37.5
2016-12-27,2016-12-27,37.58
2016-12-28,2016-12-28,37.21
2016-12-29,2016-12-29,37.38
2016-12-30,2016-12-30,38.15
2017-01-03,2017-01-03,39.11
2017-01-04,2017-01-04,39.63
2017-01-05,2017-01-05,39.16
2017-01-06,2017-01-06,38.5
2017-01-09,2017-01-09,38.95
2017-01-10,2017-01-10,38.95
2017-01-11,2017-01-11,37.28
2017-01-12,2017-01-12,36.77
2017-01-13,2017-01-13,36.73
2017-01-17,2017-01-17,37.07
2017-01-18,2017-01-18,37.19
2017-01-19,2017-01-19,36.95
2017-01-20,2017-01-20,37.07
2017-01-23,2017-01-23,36.03
2017-01-24,2017-01-24,35.81
2017-01-25,2017-01-25,36.48
2017-01-26,2017-01-26,36.1
2017-01-27,2017-01-27,36.66
2017-01-30,2017-01-30,36.34
2017-01-31,2017-01-31,38.05
2017-02-01,2017-02-01,38.66
2017-02-02,2017-02-02,39.0
2017-02-03,2017-02-03,39.21
2017-02-06,2017-02-06,39.98
2017-02-07,2017-02-07,39.39
2017-02-08,2017-02-08,39.19
2017-02-09,2017-02-09,39.3
2017-02-10,2017-02-10,39.31
2017-02-13,2017-02-13,39.78
2017-02-14,2017-02-14,40.75
2017-02-15,2017-02-15,42.44
2017-02-16,2017-02-16,42.0
2017-02-17,2017-02-17,42.05
2017-02-21,2017-02-21,42.3
2017-02-22,2017-02-22,42.0
2017-02-23,2017-02-23,42.33
2017-02-24,2017-02-24,42.16
2017-02-27,2017-02-27,42.44
2017-02-28,2017-02-28,41.85
2017-03-01,2017-03-01,44.87
2017-03-02,2017-03-02,45.28
2017-03-03,2017-03-03,45.18
2017-03-06,2017-03-06,44.04
2017-03-07,2017-03-07,43.33
2017-03-08,2017-03-08,43.47
2017-03-09,2017-03-09,43.23
2017-03-10,2017-03-10,43.4
2017-03-13,2017-03-13,42.98
2017-03-14,2017-03-14,42.77
2017-03-15,2017-03-15,42.83
2017-03-16,2017-03-16,42.49
2017-03-17,2017-03-17,42.03
2017-03-20,2017-03-20,42.17
2017-03-21,2017-03-21,41.67
2017-03-22,2017-03-22,41.7
2017-03-23,2017-03-23,41.605
2017-03-24,2017-03-24,40.96
2017-03-27,2017-03-27,41.71
2017-03-28,2017-03-28,41.72
2017-03-29,2017-03-29,40.35
2017-03-30,2017-03-30,39.59
2017-03-31,2017-03-31,38.99
2017-04-03,2017-04-03,39.01
2017-04-04,2017-04-04,38.7
2017-04-05,2017-04-05,38.82
2017-04-06,2017-04-06,38.96
2017-04-07,2017-04-07,39.6
2017-04-10,2017-04-10,39.25
2017-04-11,2017-04-11,38.45
2017-04-12,2017-04-12,38.04
2017-04-13,2017-04-13,37.67
2017-04-17,2017-04-17,37.55
2017-04-18,2017-04-18,37.03
2017-04-19,2017-04-19,36.96
2017-04-20,2017-04-20,37.08
2017-04-21,2017-04-21,36.83
2017-04-24,2017-04-24,37.47
2017-04-25,2017-04-25,36.85
2017-04-26,2017-04-26,37.44
2017-04-27,2017-04-27,37.72
2017-04-28,2017-04-28,37.35
2017-05-01,2017-05-01,37.4
2017-05-02,2017-05-02,38.17
2017-05-03,2017-05-03,37.19
2017-05-04,2017-05-04,38.01
2017-05-05,2017-05-05,37.9
2017-05-08,2017-05-08,37.38
2017-05-09,2017-05-09,38.01
2017-05-10,2017-05-10,38.21
2017-05-11,2017-05-11,39.43
2017-05-12,2017-05-12,38.94
2017-05-15,2017-05-15,38.68
2017-05-16,2017-05-16,39.15
2017-05-17,2017-05-17,38.65
2017-05-18,2017-05-18,38.15
2017-05-19,2017-05-19,37.94
2017-05-22,2017-05-22,38.64
2017-05-23,2017-05-23,39.59
2017-05-24,2017-05-24,39.18
2017-05-25,2017-05-25,39.83
2017-05-26,2017-05-26,39.72
2017-05-30,2017-05-30,39.36
2017-05-31,2017-05-31,38.98
2017-06-01,2017-06-01,39.56
2017-06-02,2017-06-02,39.08
2017-06-05,2017-06-05,38.64
2017-06-06,2017-06-06,38.55
2017-06-07,2017-06-07,39.34
2017-06-08,2017-06-08,39.71
2017-06-09,2017-06-09,40.09
2017-06-12,2017-06-12,38.88
2017-06-13,2017-06-13,37.77
2017-06-14,2017-06-14,37.88
2017-06-15,2017-06-15,36.98
2017-06-16,2017-06-16,36.72
2017-06-19,2017-06-19,37.23
2017-06-20,2017-06-20,37.42
2017-06-21,2017-06-21,38.27
2017-06-22,2017-06-22,39.01
2017-06-23,2017-06-23,39.03
2017-06-26,2017-06-26,39.03
2017-06-27,2017-06-27,38.43
2017-06-28,2017-06-28,39.07
2017-06-29,2017-06-29,38.76
2017-06-30,2017-06-30,38.82
2017-07-03,2017-07-03,38.81
2017-07-05,2017-07-05,38.47
2017-07-06,2017-07-06,37.65
2017-07-07,2017-07-07,37.61
2017-07-10,2017-07-10,37.72
2017-07-11,2017-07-11,37.65
2017-07-12,2017-07-12,38.58
2017-07-13,2017-07-13,39.05
2017-07-14,2017-07-14,39.21
2017-07-17,2017-07-17,38.75
2017-07-18,2017-07-18,38.11
2017-07-19,2017-07-19,38.34
2017-07-20,2017-07-20,39.49
2017-07-21,2017-07-21,39.17
2017-07-24,2017-07-24,38.76
2017-07-25,2017-07-25,38.82
2017-07-26,2017-07-26,39.19
2017-07-27,2017-07-27,38.49
2017-07-28,2017-07-28,38.74
2017-07-31,2017-07-31,38.99
2017-08-01,2017-08-01,38.59
2017-08-02,2017-08-02,36.92
2017-08-03,2017-08-03,34.7
2017-08-04,2017-08-04,32.92
2017-08-07,2017-08-07,32.0
2017-08-08,2017-08-08,31.79
2017-08-09,2017-08-09,32.08
2017-08-10,2017-08-10,32.29
2017-08-11,2017-08-11,30.88
2017-08-14,2017-08-14,29.63
2017-08-15,2017-08-15,30.13
2017-08-16,2017-08-16,30.47
2017-08-17,2017-08-17,30.56
2017-08-18,2017-08-18,30.72
2017-08-21,2017-08-21,30.44
2017-08-22,2017-08-22,30.73
2017-08-23,2017-08-23,30.32
2017-08-24,2017-08-24,30.21
2017-08-25,2017-08-25,30.53
2017-08-28,2017-08-28,30.83
2017-08-29,2017-08-29,30.5
2017-08-30,2017-08-30,30.59
2017-08-31,2017-08-31,31.48
2017-09-01,2017-09-01,31.57
2017-09-05,2017-09-05,31.59
2017-09-06,2017-09-06,32.24
2017-09-07,2017-09-07,31.91
2017-09-08,2017-09-08,32.1
2017-09-11,2017-09-11,33.04
2017-09-12,2017-09-12,33.6
2017-09-13,2017-09-13,33.56
2017-09-14,2017-09-14,32.87
2017-09-15,2017-09-15,32.03
2017-09-18,2017-09-18,31.5
2017-09-19,2017-09-19,30.98
2017-09-20,2017-09-20,31.39
2017-09-21,2017-09-21,31.24
2017-09-22,2017-09-22,31.3
2017-09-25,2017-09-25,31.48
2017-09-26,2017-09-26,31.13
2017-09-27,2017-09-27,31.93
2017-09-28,2017-09-28,30.86
2017-09-29,2017-09-29,31.37
2017-10-02,2017-10-02,32.39
2017-10-03,2017-10-03,32.53
2017-10-04,2017-10-04,37.8
2017-10-05,2017-10-05,37.92
2017-10-06,2017-10-06,38.29
2017-10-09,2017-10-09,38.25
2017-10-10,2017-10-10,38.45
2017-10-11,2017-10-11,38.29
2017-10-12,2017-10-12,37.76
2017-10-13,2017-10-13,37.95
2017-10-16,2017-10-16,38.18
2017-10-17,2017-10-17,38.54
2017-10-18,2017-10-18,37.51
2017-10-19,2017-10-19,38.29
2017-10-20,2017-10-20,38.51
2017-10-23,2017-10-23,38.47
2017-10-24,2017-10-24,38.92
2017-10-25,2017-10-25,39.02
2017-10-26,2017-10-26,38.57
2017-10-27,2017-10-27,38.35
2017-10-30,2017-10-30,38.24
2017-10-31,2017-10-31,35.71
2017-11-01,2017-11-01,36.85
2017-11-02,2017-11-02,35.34
2017-11-03,2017-11-03,35.72
2017-11-06,2017-11-06,37.39
2017-11-07,2017-11-07,36.67
2017-11-08,2017-11-08,37.24
2017-11-09,2017-11-09,38.08
2017-11-10,2017-11-10,38.16
2017-11-13,2017-11-13,37.57
2017-11-14,2017-11-14,37.85
2017-11-15,2017-11-15,37.8
2017-11-16,2017-11-16,37.5
2017-11-17,2017-11-17,37.59
2017-11-20,2017-11-20,36.5
