DATE,DATE,CLOSE
2016-11-01,2016-11-01,35.15
2016-11-02,2016-11-02,36.85
2016-11-03,2016-11-03,37.32
2016-11-04,2016-11-04,37.08
2016-11-07,2016-11-07,37.48
2016-11-08,2016-11-08,37.42
2016-11-09,2016-11-09,37.58
2016-11-10,2016-11-10,37.32
2016-11-11,2016-11-11,36.15
2016-11-14,2016-11-14,36.1
2016-11-15,2016-11-15,37.47
2016-11-16,2016-11-16,36.61
2016-11-17,2016-11-17,35.34
2016-11-18,2016-11-18,35.0
2016-11-21,2016-11-21,36.3
2016-11-22,2016-11-22,35.76
2016-11-23,2016-11-23,36.22
2016-11-25,2016-11-25,35.95
2016-11-28,2016-11-28,34.88
2016-11-29,2016-11-29,34.67
2016-11-30,2016-11-30,38.16
2016-12-01,2016-12-01,38.87
2016-12-02,2016-12-02,38.82
2016-12-05,2016-12-05,39.5
2016-12-06,2016-12-06,39.87
2016-12-07,2016-12-07,39.63
2016-12-08,2016-12-08,39.57
2016-12-09,2016-12-09,39.3
2016-12-12,2016-12-12,39.84
2016-12-13,2016-12-13,41.64
2016-12-14,2016-12-14,40.79
2016-12-15,2016-12-15,40.91
2016-12-16,2016-12-16,41.16
2016-12-19,2016-12-19,40.25
2016-12-20,2016-12-20,40.15
2016-12-21,2016-12-21,39.6
2016-12-22,2016-12-22,39.53
2016-12-23,2016-12-23,39.19
2016-12-27,2016-12-27,39.31
2016-12-28,2016-12-28,38.8
2016-12-29,2016-12-29,38.27
2016-12-30,2016-12-30,38.06
2017-01-03,2017-01-03,38.43
2017-01-04,2017-01-04,38.33
2017-01-05,2017-01-05,38.16
2017-01-06,2017-01-06,38.14
2017-01-09,2017-01-09,37.4
2017-01-10,2017-01-10,36.99
2017-01-11,2017-01-11,37.34
2017-01-12,2017-01-12,37.18
2017-01-13,2017-01-13,37.39
2017-01-17,2017-01-17,40.05
2017-01-18,2017-01-18,39.79
2017-01-19,2017-01-19,40.27
2017-01-20,2017-01-20,40.21
2017-01-23,2017-01-23,39.77
2017-01-24,2017-01-24,40.03
2017-01-25,2017-01-25,39.79
2017-01-26,2017-01-26,40.23
2017-01-27,2017-01-27,40.27
2017-01-30,2017-01-30,39.52
2017-01-31,2017-01-31,39.76
2017-02-01,2017-02-01,39.46
2017-02-02,2017-02-02,39.73
2017-02-03,2017-02-03,40.3
2017-02-06,2017-02-06,39.86
2017-02-07,2017-02-07,38.8
2017-02-08,2017-02-08,38.25
2017-02-09,2017-02-09,38.39
2017-02-10,2017-02-10,38.87
2017-02-13,2017-02-13,38.46
2017-02-14,2017-02-14,37.65
2017-02-15,2017-02-15,37.47
2017-02-16,2017-02-16,37.21
2017-02-17,2017-02-17,37.05
2017-02-21,2017-02-21,37.54
2017-02-22,2017-02-22,36.67
2017-02-23,2017-02-23,37.42
2017-02-24,2017-02-24,36.78
2017-02-27,2017-02-27,36.75
2017-02-28,2017-02-28,36.41
2017-03-01,2017-03-01,37.27
2017-03-02,2017-03-02,36.82
2017-03-03,2017-03-03,36.71
2017-03-06,2017-03-06,36.81
2017-03-07,2017-03-07,35.88
2017-03-08,2017-03-08,34.09
2017-03-09,2017-03-09,34.63
2017-03-10,2017-03-10,34.07
2017-03-13,2017-03-13,34.05
2017-03-14,2017-03-14,33.69
2017-03-15,2017-03-15,34.41
2017-03-16,2017-03-16,33.91
2017-03-17,2017-03-17,33.86
2017-03-20,2017-03-20,33.92
2017-03-21,2017-03-21,33.33
2017-03-22,2017-03-22,33.51
2017-03-23,2017-03-23,32.97
2017-03-24,2017-03-24,32.82
2017-03-27,2017-03-27,32.85
2017-03-28,2017-03-28,34.15
2017-03-29,2017-03-29,34.75
2017-03-30,2017-03-30,34.31
2017-03-31,2017-03-31,34.34
2017-04-03,2017-04-03,33.97
2017-04-04,2017-04-04,34.4
2017-04-05,2017-04-05,34.04
2017-04-06,2017-04-06,34.69
2017-04-07,2017-04-07,34.58
2017-04-10,2017-04-10,35.31
2017-04-11,2017-04-11,35.24
2017-04-12,2017-04-12,35.24
2017-04-13,2017-04-13,34.92
2017-04-17,2017-04-17,35.36
2017-04-18,2017-04-18,34.12
2017-04-19,2017-04-19,33.62
2017-04-20,2017-04-20,34.18
2017-04-21,2017-04-21,34.15
2017-04-24,2017-04-24,34.17
2017-04-25,2017-04-25,34.43
2017-04-26,2017-04-26,34.16
2017-04-27,2017-04-27,32.57
2017-04-28,2017-04-28,32.33
2017-05-01,2017-05-01,32.3
2017-05-02,2017-05-02,31.42
