DATE,DATE,CLOSE
2016-11-01,2016-11-01,125.89
2016-11-02,2016-11-02,123.68
2016-11-03,2016-11-03,123.84
2016-11-04,2016-11-04,123.18
2016-11-07,2016-11-07,124.66
2016-11-08,2016-11-08,125.17
2016-11-09,2016-11-09,117.49
2016-11-10,2016-11-10,115.06
2016-11-11,2016-11-11,113.54
2016-11-14,2016-11-14,114.44
2016-11-15,2016-11-15,115.03
2016-11-16,2016-11-16,114.29
2016-11-17,2016-11-17,114.78
2016-11-18,2016-11-18,114.09
2016-11-21,2016-11-21,114.35
2016-11-22,2016-11-22,113.83
2016-11-23,2016-11-23,113.42
2016-11-25,2016-11-25,114.76
2016-11-28,2016-11-28,116.3
2016-11-29,2016-11-29,117.27
2016-11-30,2016-11-30,114.23
2016-12-01,2016-12-01,112.95
2016-12-02,2016-12-02,114.41
2016-12-05,2016-12-05,115.0
2016-12-06,2016-12-06,114.75
2016-12-07,2016-12-07,117.68
2016-12-08,2016-12-08,116.87
2016-12-09,2016-12-09,116.49
2016-12-12,2016-12-12,117.45
2016-12-13,2016-12-13,119.02
2016-12-14,2016-12-14,116.03
2016-12-15,2016-12-15,117.03
2016-12-16,2016-12-16,118.9
2016-12-19,2016-12-19,119.22
2016-12-20,2016-12-20,119.3
2016-12-21,2016-12-21,118.6
2016-12-22,2016-12-22,118.9
2016-12-23,2016-12-23,119.23
2016-12-27,2016-12-27,119.25
2016-12-28,2016-12-28,118.65
2016-12-29,2016-12-29,120.18
2016-12-30,2016-12-30,119.46
2017-01-03,2017-01-03,118.72
2017-01-04,2017-01-04,119.07
2017-01-05,2017-01-05,119.0
2017-01-06,2017-01-06,118.65
2017-01-09,2017-01-09,118.35
2017-01-10,2017-01-10,118.58
2017-01-11,2017-01-11,119.41
2017-01-12,2017-01-12,119.5
2017-01-13,2017-01-13,119.05
2017-01-17,2017-01-17,120.22
2017-01-18,2017-01-18,120.03
2017-01-19,2017-01-19,119.28
2017-01-20,2017-01-20,119.26
2017-01-23,2017-01-23,118.78
2017-01-24,2017-01-24,118.81
2017-01-25,2017-01-25,119.02
2017-01-26,2017-01-26,118.75
2017-01-27,2017-01-27,121.37
2017-01-30,2017-01-30,122.45
2017-01-31,2017-01-31,123.72
2017-02-01,2017-02-01,122.62
2017-02-02,2017-02-02,123.46
2017-02-03,2017-02-03,124.21
2017-02-06,2017-02-06,123.86
2017-02-07,2017-02-07,124.33
2017-02-08,2017-02-08,126.3
2017-02-09,2017-02-09,124.65
2017-02-10,2017-02-10,125.47
2017-02-13,2017-02-13,126.0
2017-02-14,2017-02-14,126.0
2017-02-15,2017-02-15,125.29
2017-02-16,2017-02-16,126.19
2017-02-17,2017-02-17,126.86
2017-02-21,2017-02-21,128.26
2017-02-22,2017-02-22,128.44
2017-02-23,2017-02-23,129.17
2017-02-24,2017-02-24,130.96
2017-02-27,2017-02-27,129.87
2017-02-28,2017-02-28,131.0
2017-03-01,2017-03-01,129.41
2017-03-02,2017-03-02,130.94
2017-03-03,2017-03-03,130.8
2017-03-06,2017-03-06,130.64
2017-03-07,2017-03-07,130.65
2017-03-08,2017-03-08,129.44
2017-03-09,2017-03-09,128.75
2017-03-10,2017-03-10,130.06
2017-03-13,2017-03-13,130.46
2017-03-14,2017-03-14,130.57
2017-03-15,2017-03-15,131.9
2017-03-16,2017-03-16,129.9
2017-03-17,2017-03-17,130.23
2017-03-20,2017-03-20,129.89
2017-03-21,2017-03-21,131.85
2017-03-22,2017-03-22,132.41
2017-03-23,2017-03-23,132.09
2017-03-24,2017-03-24,132.8
2017-03-27,2017-03-27,131.1
2017-03-28,2017-03-28,131.26
2017-03-29,2017-03-29,130.55
2017-03-30,2017-03-30,128.13
2017-03-31,2017-03-31,128.37
2017-04-03,2017-04-03,128.72
2017-04-04,2017-04-04,129.54
2017-04-05,2017-04-05,130.64
2017-04-06,2017-04-06,129.76
2017-04-07,2017-04-07,128.93
2017-04-10,2017-04-10,129.43
2017-04-11,2017-04-11,129.32
2017-04-12,2017-04-12,130.51
2017-04-13,2017-04-13,130.77
2017-04-17,2017-04-17,130.91
