DATE,DATE,CLOSE
2016-11-01,2016-11-01,37.026677
2016-11-02,2016-11-02,36.275411
2016-11-03,2016-11-03,36.831543
2016-11-04,2016-11-04,36.880326
2016-11-07,2016-11-07,35.602198
2016-11-08,2016-11-08,35.18266
2016-11-09,2016-11-09,36.138817
2016-11-10,2016-11-10,33.836236
2016-11-11,2016-11-11,30.821415
2016-11-14,2016-11-14,31.806842
2016-11-15,2016-11-15,33.08497
2016-11-16,2016-11-16,32.938619
2016-11-17,2016-11-17,31.904409
2016-11-18,2016-11-18,31.894652
2016-11-21,2016-11-21,32.265407
2016-11-22,2016-11-22,32.392244
2016-11-23,2016-11-23,30.733605
2016-11-25,2016-11-25,31.143386
2016-11-28,2016-11-28,32.636162
2016-11-29,2016-11-29,32.733729
2016-11-30,2016-11-30,31.650735
2016-12-01,2016-12-01,31.484871
2016-12-02,2016-12-02,32.762999
2016-12-05,2016-12-05,32.665432
2016-12-06,2016-12-06,32.216623
2016-12-07,2016-12-07,32.802025
2016-12-08,2016-12-08,33.045943
2016-12-09,2016-12-09,31.992219
2016-12-12,2016-12-12,31.806842
2016-12-13,2016-12-13,33.045943
2016-12-14,2016-12-14,30.909226
2016-12-15,2016-12-15,30.15796
2016-12-16,2016-12-16,30.889712
2016-12-19,2016-12-19,31.006793
2016-12-20,2016-12-20,30.889712
2016-12-21,2016-12-21,30.782389
2016-12-22,2016-12-22,30.675065
2016-12-23,2016-12-23,31.670248
2016-12-27,2016-12-27,31.797085
2016-12-28,2016-12-28,31.982463
2016-12-29,2016-12-29,34.411881
2016-12-30,2016-12-30,33.241077
2017-01-03,2017-01-03,33.787452
2017-01-04,2017-01-04,34.109423
2017-01-05,2017-01-05,35.680252
2017-01-06,2017-01-06,34.558231
2017-01-09,2017-01-09,34.499691
2017-01-10,2017-01-10,34.226504
2017-01-11,2017-01-11,33.533778
2017-01-12,2017-01-12,33.631345
2017-01-13,2017-01-13,33.689885
2017-01-17,2017-01-17,34.285044
2017-01-18,2017-01-18,34.402124
2017-01-19,2017-01-19,34.080153
2017-01-20,2017-01-20,34.187477
2017-01-23,2017-01-23,35.00704
2017-01-24,2017-01-24,35.163147
2017-01-25,2017-01-25,34.099667
2017-01-26,2017-01-26,33.358157
2017-01-27,2017-01-27,33.543535
2017-01-30,2017-01-30,34.11918
2017-01-31,2017-01-31,35.397308
2017-02-01,2017-02-01,34.997283
2017-02-02,2017-02-02,35.787576
2017-02-03,2017-02-03,35.865629
2017-02-06,2017-02-06,37.01692
2017-02-07,2017-02-07,36.412004
2017-02-08,2017-02-08,36.92911
2017-02-09,2017-02-09,36.294924
2017-02-10,2017-02-10,36.733976
2017-02-13,2017-02-13,36.470545
2017-02-14,2017-02-14,36.1876
2017-02-15,2017-02-15,36.12906
2017-02-16,2017-02-16,36.655922
2017-02-17,2017-02-17,36.109547
2017-02-21,2017-02-21,36.529085
2017-02-22,2017-02-22,35.12412
2017-02-23,2017-02-23,34.987526
2017-02-24,2017-02-24,35.202174
2017-02-27,2017-02-27,33.14351
2017-02-28,2017-02-28,33.406941
2017-03-01,2017-03-01,33.582561
2017-03-02,2017-03-02,32.782512
2017-03-03,2017-03-03,33.241077
2017-03-06,2017-03-06,32.206867
2017-03-07,2017-03-07,32.177597
2017-03-08,2017-03-08,32.089786
2017-03-09,2017-03-09,31.806842
2017-03-10,2017-03-10,32.13857
2017-03-13,2017-03-13,32.216623
2017-03-14,2017-03-14,31.611708
2017-03-15,2017-03-15,33.270347
2017-03-16,2017-03-16,32.011733
2017-03-17,2017-03-17,32.041003
2017-03-20,2017-03-20,32.743485
2017-03-21,2017-03-21,33.20205
2017-03-22,2017-03-22,33.016673
2017-03-23,2017-03-23,32.802025
2017-03-24,2017-03-24,32.665432
2017-03-27,2017-03-27,33.08497
2017-03-28,2017-03-28,32.19711
2017-03-29,2017-03-29,32.382487
2017-03-30,2017-03-30,32.128813
2017-03-31,2017-03-31,32.158083
2017-04-03,2017-04-03,33.065456
2017-04-04,2017-04-04,33.358157
2017-04-05,2017-04-05,33.475238
2017-04-06,2017-04-06,33.338644
2017-04-07,2017-04-07,33.475238
2017-04-10,2017-04-10,33.767939
2017-04-11,2017-04-11,34.275287
2017-04-12,2017-04-12,34.226504
2017-04-13,2017-04-13,33.660615
2017-04-17,2017-04-17,33.748425
2017-04-18,2017-04-18,33.484994
2017-04-19,2017-04-19,32.704458
2017-04-20,2017-04-20,32.850809
2017-04-21,2017-04-21,33.299617
2017-04-24,2017-04-24,32.889836
2017-04-25,2017-04-25,32.089786
2017-04-26,2017-04-26,32.177597
2017-04-27,2017-04-27,32.1093
2017-04-28,2017-04-28,32.987403
2017-05-01,2017-05-01,31.884896
2017-05-02,2017-05-02,32.206867
2017-05-03,2017-05-03,31.894652
2017-05-04,2017-05-04,31.494628
2017-05-05,2017-05-05,31.933679
2017-05-08,2017-05-08,31.884896
2017-05-09,2017-05-09,31.962949
2017-05-10,2017-05-10,32.148327
2017-05-11,2017-05-11,32.665432
2017-05-12,2017-05-12,32.928863
2017-05-15,2017-05-15,33.045943
2017-05-16,2017-05-16,32.928863
2017-05-17,2017-05-17,33.426454
2017-05-18,2017-05-18,32.499568
2017-05-19,2017-05-19,32.811782
2017-05-22,2017-05-22,32.860566
2017-05-23,2017-05-23,32.245894
2017-05-24,2017-05-24,32.841052
2017-05-25,2017-05-25,32.616648
2017-05-26,2017-05-26,33.280104
2017-05-30,2017-05-30,33.14351
2017-05-31,2017-05-31,33.319131
2017-06-01,2017-06-01,33.192293
2017-06-02,2017-06-02,33.20205
2017-06-05,2017-06-05,33.016673
2017-06-06,2017-06-06,34.538718
2017-06-07,2017-06-07,34.646042
2017-06-08,2017-06-08,34.167963
2017-06-09,2017-06-09,33.465481
2017-06-12,2017-06-12,33.543535
2017-06-13,2017-06-13,33.641102
2017-06-14,2017-06-14,32.899592
2017-06-15,2017-06-15,32.236137
2017-06-16,2017-06-16,32.041003
2017-06-19,2017-06-19,32.08003
2017-06-20,2017-06-20,32.041003
2017-06-21,2017-06-21,32.343461
2017-06-22,2017-06-22,32.684945
2017-06-23,2017-06-23,32.987403
2017-06-26,2017-06-26,32.948376
2017-06-27,2017-06-27,32.265407
2017-06-28,2017-06-28,32.236137
2017-06-29,2017-06-29,31.445844
2017-06-30,2017-06-30,31.601951
2017-07-03,2017-07-03,31.114116
2017-07-05,2017-07-05,31.884896
2017-07-06,2017-07-06,31.494628
2017-07-07,2017-07-07,31.25071
2017-07-10,2017-07-10,31.738545
2017-07-11,2017-07-11,32.148327
2017-07-12,2017-07-12,32.362974
2017-07-13,2017-07-13,32.13857
2017-07-14,2017-07-14,32.489811
2017-07-17,2017-07-17,32.909349
2017-07-18,2017-07-18,32.889836
2017-07-19,2017-07-19,33.0557
2017-07-20,2017-07-20,33.094726
2017-07-21,2017-07-21,33.553291
2017-07-24,2017-07-24,33.075213
2017-07-25,2017-07-25,35.358281
2017-07-26,2017-07-26,36.060763
2017-07-27,2017-07-27,35.553415
2017-07-28,2017-07-28,36.15833
2017-07-31,2017-07-31,36.265654
2017-08-01,2017-08-01,36.080277
2017-08-02,2017-08-02,35.972953
2017-08-03,2017-08-03,35.699765
2017-08-04,2017-08-04,35.270471
2017-08-07,2017-08-07,35.289984
2017-08-08,2017-08-08,34.870446
2017-08-09,2017-08-09,35.221687
2017-08-10,2017-08-10,35.553415
2017-08-11,2017-08-11,35.641225
2017-08-14,2017-08-14,35.143633
2017-08-15,2017-08-15,34.899716
2017-08-16,2017-08-16,35.250957
2017-08-17,2017-08-17,35.172904
2017-08-18,2017-08-18,34.958256
2017-08-21,2017-08-21,35.719279
2017-08-22,2017-08-22,35.611955
2017-08-23,2017-08-23,36.080277
2017-08-24,2017-08-24,35.924169
2017-08-25,2017-08-25,36.090033
2017-08-28,2017-08-28,37.368161
2017-08-29,2017-08-29,37.114487
2017-08-30,2017-08-30,37.134
2017-08-31,2017-08-31,37.407188
2017-09-01,2017-09-01,37.719402
2017-09-05,2017-09-05,37.807213
2017-09-06,2017-09-06,37.446215
2017-09-07,2017-09-07,38.636532
2017-09-08,2017-09-08,38.353588
2017-09-11,2017-09-11,37.290107
2017-09-12,2017-09-12,37.416945
2017-09-13,2017-09-13,36.95838
2017-09-14,2017-09-14,37.134
2017-09-15,2017-09-15,36.92911
2017-09-18,2017-09-18,36.860813
2017-09-19,2017-09-19,37.16327
2017-09-20,2017-09-20,36.714462
2017-09-21,2017-09-21,36.519328
2017-09-22,2017-09-22,36.968136
2017-09-25,2017-09-25,37.690132
2017-09-26,2017-09-26,37.04619
2017-09-27,2017-09-27,36.304681
2017-09-28,2017-09-28,36.704705
2017-09-29,2017-09-29,36.597382
2017-10-02,2017-10-02,36.95838
2017-10-03,2017-10-03,37.299864
2017-10-04,2017-10-04,37.153514
2017-10-05,2017-10-05,37.026677
2017-10-06,2017-10-06,37.134
2017-10-09,2017-10-09,37.348648
2017-10-10,2017-10-10,36.977893
2017-10-11,2017-10-11,37.153514
2017-10-12,2017-10-12,37.455971
2017-10-13,2017-10-13,37.651105
2017-10-16,2017-10-16,37.065703
2017-10-17,2017-10-17,37.416945
2017-10-18,2017-10-18,36.938866
2017-10-19,2017-10-19,36.919353
2017-10-20,2017-10-20,36.870569
2017-10-23,2017-10-23,36.460788
2017-10-24,2017-10-24,36.226627
2017-10-25,2017-10-25,35.855873
2017-10-26,2017-10-26,34.938743
2017-10-27,2017-10-27,34.928986
2017-10-30,2017-10-30,35.348524
2017-10-31,2017-10-31,35.280227
2017-11-01,2017-11-01,34.821662
2017-11-02,2017-11-02,35.592442
2017-11-03,2017-11-03,35.163147
2017-11-06,2017-11-06,35.485118
2017-11-07,2017-11-07,35.163147
2017-11-08,2017-11-08,35.426578
2017-11-09,2017-11-09,35.00704
2017-11-10,2017-11-10,34.655798
2017-11-13,2017-11-13,34.841176
2017-11-14,2017-11-14,35.397308
2017-11-15,2017-11-15,35.202174
2017-11-16,2017-11-16,35.21193
2017-11-17,2017-11-17,35.329011
2017-11-20,2017-11-20,35.446091
2017-11-21,2017-11-21,35.485118
2017-11-22,2017-11-22,35.816846
2017-11-24,2017-11-24,35.787576
2017-11-27,2017-11-27,36.197357
2017-11-28,2017-11-28,36.236384
2017-11-29,2017-11-29,35.709522
2017-11-30,2017-11-30,36.090033
2017-12-01,2017-12-01,36.285167
2017-12-04,2017-12-04,35.943683
2017-12-05,2017-12-05,35.319254
2017-12-06,2017-12-06,34.958256
2017-12-07,2017-12-07,35.046066
2017-12-08,2017-12-08,34.538718
2017-12-11,2017-12-11,33.826479
2017-12-12,2017-12-12,33.748425
2017-12-13,2017-12-13,34.880203
2017-12-14,2017-12-14,35.026553
2017-12-15,2017-12-15,34.997283
2017-12-18,2017-12-18,35.758306
2017-12-19,2017-12-19,35.465605
2017-12-20,2017-12-20,35.719279
2017-12-21,2017-12-21,35.836359
2017-12-22,2017-12-22,36.021736
2017-12-26,2017-12-26,36.655922
2017-12-27,2017-12-27,36.685192
2017-12-28,2017-12-28,36.597382
2017-12-29,2017-12-29,36.607138
2018-01-02,2018-01-02,37.231567
2018-01-03,2018-01-03,36.919353
2018-01-04,2018-01-04,37.329134
2018-01-05,2018-01-05,37.465728
2018-01-08,2018-01-08,37.426701
2018-01-09,2018-01-09,37.182784
2018-01-10,2018-01-10,37.407188
2018-01-11,2018-01-11,37.895023
2018-01-12,2018-01-12,38.821909
2018-01-16,2018-01-16,39.0268
2018-01-17,2018-01-17,38.490182
2018-01-18,2018-01-18,38.285291
2018-01-19,2018-01-19,38.509695
2018-01-22,2018-01-22,38.695072
2018-01-23,2018-01-23,39.339014
2018-01-24,2018-01-24,40.558602
2018-01-25,2018-01-25,39.778066
2018-01-26,2018-01-26,40.051254
2018-01-29,2018-01-29,39.104854
2018-01-30,2018-01-30,39.124367
2018-01-31,2018-01-31,39.524392
2018-02-01,2018-02-01,39.378041
2018-02-02,2018-02-02,38.02186
2018-02-05,2018-02-05,36.880326
2018-02-06,2018-02-06,36.714462
2018-02-07,2018-02-07,36.12906
2018-02-08,2018-02-08,35.719279
2018-02-09,2018-02-09,35.865629
2018-02-12,2018-02-12,36.01198
2018-02-13,2018-02-13,36.119303
2018-02-14,2018-02-14,38.05113
2018-02-15,2018-02-15,38.451155
2018-02-16,2018-02-16,38.158454
2018-02-20,2018-02-20,37.455971
2018-02-21,2018-02-21,37.231567
2018-02-22,2018-02-22,36.714462
2018-02-23,2018-02-23,37.748672
2018-02-26,2018-02-26,38.363344
2018-02-27,2018-02-27,37.504755
2018-02-28,2018-02-28,37.270594
2018-03-01,2018-03-01,37.182784
2018-03-02,2018-03-02,37.007163
2018-03-05,2018-03-05,37.348648
2018-03-06,2018-03-06,37.90478
2018-03-07,2018-03-07,36.782759
2018-03-08,2018-03-08,36.743732
2018-03-09,2018-03-09,36.792516
2018-03-12,2018-03-12,37.055947
2018-03-13,2018-03-13,37.290107
2018-03-14,2018-03-14,37.260837
2018-03-15,2018-03-15,36.402248
2018-03-16,2018-03-16,36.480301
2018-03-19,2018-03-19,36.558355
2018-03-20,2018-03-20,36.392491
2018-03-21,2018-03-21,37.290107
2018-03-22,2018-03-22,36.694949
2018-03-23,2018-03-23,37.816969
2018-03-26,2018-03-26,38.919476
2018-03-27,2018-03-27,38.0804
2018-03-28,2018-03-28,37.455971
2018-03-29,2018-03-29,38.119427
2018-04-02,2018-04-02,38.314561
2018-04-03,2018-04-03,37.885266
2018-04-04,2018-04-04,38.041373
2018-04-05,2018-04-05,38.314561
2018-04-06,2018-04-06,38.334074
2018-04-09,2018-04-09,37.641349
2018-04-10,2018-04-10,38.509695
2018-04-11,2018-04-11,39.651229
2018-04-12,2018-04-12,39.417068
2018-04-13,2018-04-13,40.587872
2018-04-16,2018-04-16,40.412251
2018-04-17,2018-04-17,40.373225
2018-04-18,2018-04-18,40.09028
2018-04-19,2018-04-19,40.9196
2018-04-20,2018-04-20,40.343955
2018-04-23,2018-04-23,40.06101
2018-04-24,2018-04-24,40.051254
2018-04-25,2018-04-25,39.534148
2018-04-26,2018-04-26,39.778066
2018-04-27,2018-04-27,39.670742
2018-04-30,2018-04-30,38.334074
2018-05-01,2018-05-01,38.265777
