DATE,DATE,CLOSE
2016-11-01,2016-11-01,22.34
2016-11-02,2016-11-02,22.09
2016-11-03,2016-11-03,22.14
2016-11-04,2016-11-04,21.92
2016-11-07,2016-11-07,22.31
2016-11-08,2016-11-08,22.58
2016-11-09,2016-11-09,22.26
2016-11-10,2016-11-10,21.53
2016-11-11,2016-11-11,21.41
2016-11-14,2016-11-14,21.56
2016-11-15,2016-11-15,21.91
2016-11-16,2016-11-16,21.75
2016-11-17,2016-11-17,21.61
2016-11-18,2016-11-18,21.71
2016-11-21,2016-11-21,21.89
2016-11-22,2016-11-22,21.83
2016-11-23,2016-11-23,21.64
2016-11-25,2016-11-25,22.14
2016-11-28,2016-11-28,22.21
2016-11-29,2016-11-29,22.37
2016-11-30,2016-11-30,21.94
2016-12-01,2016-12-01,21.71
2016-12-02,2016-12-02,21.69
2016-12-05,2016-12-05,21.64
2016-12-06,2016-12-06,21.47
2016-12-07,2016-12-07,21.57
2016-12-08,2016-12-08,21.71
2016-12-09,2016-12-09,21.78
2016-12-12,2016-12-12,21.88
2016-12-13,2016-12-13,22.1
2016-12-14,2016-12-14,21.66
2016-12-15,2016-12-15,22.01
2016-12-16,2016-12-16,22.03
2016-12-19,2016-12-19,22.33
2016-12-20,2016-12-20,22.21
2016-12-21,2016-12-21,22.33
2016-12-22,2016-12-22,22.43
2016-12-23,2016-12-23,22.3
2016-12-27,2016-12-27,22.23
2016-12-28,2016-12-28,21.95
2016-12-29,2016-12-29,22.24
2016-12-30,2016-12-30,22.14
2017-01-03,2017-01-03,22.19
2017-01-04,2017-01-04,22.36
2017-01-05,2017-01-05,22.68
2017-01-06,2017-01-06,22.36
2017-01-09,2017-01-09,22.06
2017-01-10,2017-01-10,21.94
2017-01-11,2017-01-11,22.12
2017-01-12,2017-01-12,22.03
2017-01-13,2017-01-13,21.96
2017-01-17,2017-01-17,22.35
2017-01-18,2017-01-18,22.52
2017-01-19,2017-01-19,22.34
2017-01-20,2017-01-20,22.51
2017-01-23,2017-01-23,22.2
2017-01-24,2017-01-24,22.25
2017-01-25,2017-01-25,22.2
2017-01-26,2017-01-26,22.22
2017-01-27,2017-01-27,22.03
2017-01-30,2017-01-30,21.84
2017-01-31,2017-01-31,22.37
2017-02-01,2017-02-01,21.98
2017-02-02,2017-02-02,22.16
2017-02-03,2017-02-03,22.26
2017-02-06,2017-02-06,22.24
2017-02-07,2017-02-07,22.16
2017-02-08,2017-02-08,22.18
2017-02-09,2017-02-09,22.23
2017-02-10,2017-02-10,22.41
2017-02-13,2017-02-13,22.52
2017-02-14,2017-02-14,22.25
2017-02-15,2017-02-15,22.23
