DATE,DATE,CLOSE
2016-11-01,2016-11-01,49.62
2016-11-02,2016-11-02,49.72
2016-11-03,2016-11-03,49.73
2016-11-04,2016-11-04,49.96
2016-11-07,2016-11-07,50.91
2016-11-08,2016-11-08,51.08
2016-11-09,2016-11-09,51.12
2016-11-10,2016-11-10,50.39
2016-11-11,2016-11-11,50.77
2016-11-14,2016-11-14,50.21
2016-11-15,2016-11-15,50.13
2016-11-16,2016-11-16,50.68
2016-11-17,2016-11-17,51.59
2016-11-18,2016-11-18,51.1
2016-11-21,2016-11-21,51.28
2016-11-22,2016-11-22,51.71
2016-11-23,2016-11-23,51.34
2016-11-25,2016-11-25,51.52
2016-11-28,2016-11-28,51.01
2016-11-29,2016-11-29,50.63
2016-11-30,2016-11-30,50.07
2016-12-01,2016-12-01,50.65
2016-12-02,2016-12-02,50.46
2016-12-05,2016-12-05,51.85
2016-12-06,2016-12-06,50.57
2016-12-07,2016-12-07,52.1
2016-12-08,2016-12-08,51.55
2016-12-09,2016-12-09,51.72
2016-12-12,2016-12-12,51.54
2016-12-13,2016-12-13,52.3
2016-12-14,2016-12-14,51.79
2016-12-15,2016-12-15,51.29
2016-12-16,2016-12-16,50.92
2016-12-19,2016-12-19,50.85
2016-12-20,2016-12-20,51.79
2016-12-21,2016-12-21,52.3
2016-12-22,2016-12-22,52.14
2016-12-23,2016-12-23,51.91
2016-12-27,2016-12-27,51.29
2016-12-28,2016-12-28,51.02
2016-12-29,2016-12-29,51.06
2016-12-30,2016-12-30,50.83
2017-01-03,2017-01-03,51.98
2017-01-04,2017-01-04,53.07
2017-01-05,2017-01-05,53.06
2017-01-06,2017-01-06,53.91
2017-01-09,2017-01-09,53.38
2017-01-10,2017-01-10,53.11
2017-01-11,2017-01-11,52.69
2017-01-12,2017-01-12,52.4
2017-01-13,2017-01-13,52.92
2017-01-17,2017-01-17,53.65
2017-01-18,2017-01-18,53.27
2017-01-19,2017-01-19,52.93
2017-01-20,2017-01-20,53.2
2017-01-23,2017-01-23,53.24
2017-01-24,2017-01-24,53.45
2017-01-25,2017-01-25,53.86
2017-01-26,2017-01-26,53.65
2017-01-27,2017-01-27,53.19
2017-01-30,2017-01-30,53.08
2017-01-31,2017-01-31,52.9
2017-02-01,2017-02-01,53.02
2017-02-02,2017-02-02,52.8
2017-02-03,2017-02-03,52.36
2017-02-06,2017-02-06,52.8
2017-02-07,2017-02-07,52.81
2017-02-08,2017-02-08,53.88
2017-02-09,2017-02-09,55.31
2017-02-10,2017-02-10,56.22
2017-02-13,2017-02-13,56.09
2017-02-14,2017-02-14,56.45
2017-02-15,2017-02-15,56.64
2017-02-16,2017-02-16,56.29
2017-02-17,2017-02-17,56.75
2017-02-21,2017-02-21,57.36
2017-02-22,2017-02-22,58.24
2017-02-23,2017-02-23,57.39
2017-02-24,2017-02-24,57.86
2017-02-27,2017-02-27,57.69
2017-02-28,2017-02-28,57.16
2017-03-01,2017-03-01,57.95
2017-03-02,2017-03-02,57.8
2017-03-03,2017-03-03,56.7
2017-03-06,2017-03-06,56.77
2017-03-07,2017-03-07,56.55
2017-03-08,2017-03-08,56.51
2017-03-09,2017-03-09,56.36
2017-03-10,2017-03-10,56.43
2017-03-13,2017-03-13,56.67
2017-03-14,2017-03-14,57.28
2017-03-15,2017-03-15,57.66
2017-03-16,2017-03-16,57.6
2017-03-17,2017-03-17,57.8
2017-03-20,2017-03-20,58.68
2017-03-21,2017-03-21,58.01
2017-03-22,2017-03-22,53.92
2017-03-23,2017-03-23,55.37
2017-03-24,2017-03-24,56.36
2017-03-27,2017-03-27,55.93
2017-03-28,2017-03-28,56.62
2017-03-29,2017-03-29,56.68
2017-03-30,2017-03-30,56.04
2017-03-31,2017-03-31,55.73
2017-04-03,2017-04-03,55.56
2017-04-04,2017-04-04,55.04
2017-04-05,2017-04-05,54.98
2017-04-06,2017-04-06,55.14
2017-04-07,2017-04-07,55.11
2017-04-10,2017-04-10,54.9
2017-04-11,2017-04-11,54.92
2017-04-12,2017-04-12,55.57
2017-04-13,2017-04-13,55.34
2017-04-17,2017-04-17,56.24
2017-04-18,2017-04-18,56.11
2017-04-19,2017-04-19,55.86
2017-04-20,2017-04-20,56.4
2017-04-21,2017-04-21,55.85
2017-04-24,2017-04-24,55.47
2017-04-25,2017-04-25,55.45
2017-04-26,2017-04-26,55.16
2017-04-27,2017-04-27,55.47
2017-04-28,2017-04-28,55.41
2017-05-01,2017-05-01,54.99
2017-05-02,2017-05-02,55.07
2017-05-03,2017-05-03,54.53
2017-05-04,2017-05-04,54.47
2017-05-05,2017-05-05,53.95
2017-05-08,2017-05-08,54.3
2017-05-09,2017-05-09,54.89
2017-05-10,2017-05-10,54.56
2017-05-11,2017-05-11,54.24
2017-05-12,2017-05-12,54.2
2017-05-15,2017-05-15,53.77
2017-05-16,2017-05-16,52.78
2017-05-17,2017-05-17,51.8
2017-05-18,2017-05-18,51.68
2017-05-19,2017-05-19,51.77
