DATE,DATE,CLOSE
2016-11-01,2016-11-01,228.42
2016-11-02,2016-11-02,228.67
2016-11-03,2016-11-03,225.54
2016-11-04,2016-11-04,225.23
2016-11-07,2016-11-07,230.06
2016-11-08,2016-11-08,229.87
2016-11-09,2016-11-09,242.3
2016-11-10,2016-11-10,245.17
2016-11-11,2016-11-11,247.5
2016-11-14,2016-11-14,251.12
2016-11-15,2016-11-15,247.45
2016-11-16,2016-11-16,245.39
2016-11-17,2016-11-17,244.66
2016-11-18,2016-11-18,245.46
2016-11-21,2016-11-21,246.29
2016-11-22,2016-11-22,248.07
2016-11-23,2016-11-23,247.59
2016-11-25,2016-11-25,248.58
2016-11-28,2016-11-28,248.96
2016-11-29,2016-11-29,251.8
2016-11-30,2016-11-30,249.65
2016-12-01,2016-12-01,249.07
2016-12-02,2016-12-02,250.87
2016-12-05,2016-12-05,247.49
2016-12-06,2016-12-06,247.84
2016-12-07,2016-12-07,247.14
2016-12-08,2016-12-08,237.72
2016-12-09,2016-12-09,238.43
2016-12-12,2016-12-12,232.07
2016-12-13,2016-12-13,231.56
2016-12-14,2016-12-14,232.1
2016-12-15,2016-12-15,231.99
2016-12-16,2016-12-16,231.7
2016-12-19,2016-12-19,233.54
2016-12-20,2016-12-20,235.14
2016-12-21,2016-12-21,233.15
2016-12-22,2016-12-22,233.72
2016-12-23,2016-12-23,232.99
2016-12-27,2016-12-27,233.24
2016-12-28,2016-12-28,231.95
2016-12-29,2016-12-29,232.63
2016-12-30,2016-12-30,232.58
2017-01-03,2017-01-03,234.89
2017-01-04,2017-01-04,235.25
2017-01-05,2017-01-05,235.99
2017-01-06,2017-01-06,236.73
2017-01-09,2017-01-09,235.81
2017-01-10,2017-01-10,233.11
2017-01-11,2017-01-11,231.55
2017-01-12,2017-01-12,229.15
2017-01-13,2017-01-13,230.17
2017-01-17,2017-01-17,228.48
2017-01-18,2017-01-18,230.24
2017-01-19,2017-01-19,232.39
2017-01-20,2017-01-20,232.11
2017-01-23,2017-01-23,231.69
2017-01-24,2017-01-24,232.59
2017-01-25,2017-01-25,230.84
2017-01-26,2017-01-26,226.96
2017-01-27,2017-01-27,229.83
2017-01-30,2017-01-30,229.48
2017-01-31,2017-01-31,229.08
2017-02-01,2017-02-01,228.82
2017-02-02,2017-02-02,229.85
2017-02-03,2017-02-03,231.36
2017-02-06,2017-02-06,232.82
2017-02-07,2017-02-07,232.98
2017-02-08,2017-02-08,232.42
2017-02-09,2017-02-09,234.84
2017-02-10,2017-02-10,236.25
2017-02-13,2017-02-13,239.08
2017-02-14,2017-02-14,239.62
2017-02-15,2017-02-15,241.59
2017-02-16,2017-02-16,243.53
2017-02-17,2017-02-17,243.58
2017-02-21,2017-02-21,244.12
2017-02-22,2017-02-22,242.98
2017-02-23,2017-02-23,243.86
2017-02-24,2017-02-24,245.05
2017-02-27,2017-02-27,248.6
2017-02-28,2017-02-28,247.09
2017-03-01,2017-03-01,245.93
2017-03-02,2017-03-02,243.07
2017-03-03,2017-03-03,242.93
2017-03-06,2017-03-06,242.92
2017-03-07,2017-03-07,243.78
2017-03-08,2017-03-08,243.57
2017-03-09,2017-03-09,244.12
2017-03-10,2017-03-10,243.59
2017-03-13,2017-03-13,244.42
2017-03-14,2017-03-14,243.77
2017-03-15,2017-03-15,243.84
2017-03-16,2017-03-16,240.28
2017-03-17,2017-03-17,244.25
2017-03-20,2017-03-20,242.99
2017-03-21,2017-03-21,239.72
2017-03-22,2017-03-22,241.14
2017-03-23,2017-03-23,239.5
2017-03-24,2017-03-24,236.88
2017-03-27,2017-03-27,235.83
2017-03-28,2017-03-28,237.19
2017-03-29,2017-03-29,236.52
2017-03-30,2017-03-30,239.06
2017-03-31,2017-03-31,237.84
2017-04-03,2017-04-03,237.81
2017-04-04,2017-04-04,237.64
2017-04-05,2017-04-05,236.1
2017-04-06,2017-04-06,236.67
2017-04-07,2017-04-07,238.81
2017-04-10,2017-04-10,239.34
2017-04-11,2017-04-11,241.05
2017-04-12,2017-04-12,239.36
2017-04-13,2017-04-13,240.2
2017-04-17,2017-04-17,243.1
2017-04-18,2017-04-18,243.18
2017-04-19,2017-04-19,243.74
2017-04-20,2017-04-20,244.85
2017-04-21,2017-04-21,246.33
2017-04-24,2017-04-24,249.14
2017-04-25,2017-04-25,248.13
2017-04-26,2017-04-26,248.06
2017-04-27,2017-04-27,248.4
2017-04-28,2017-04-28,245.96
2017-05-01,2017-05-01,244.34
2017-05-02,2017-05-02,245.33
2017-05-03,2017-05-03,245.51
2017-05-04,2017-05-04,245.75
2017-05-05,2017-05-05,248.91
2017-05-08,2017-05-08,249.14
2017-05-09,2017-05-09,249.49
2017-05-10,2017-05-10,248.11
2017-05-11,2017-05-11,247.52
2017-05-12,2017-05-12,247.45
2017-05-15,2017-05-15,248.25
2017-05-16,2017-05-16,247.38
2017-05-17,2017-05-17,246.32
2017-05-18,2017-05-18,246.88
2017-05-19,2017-05-19,249.88
2017-05-22,2017-05-22,249.45
2017-05-23,2017-05-23,250.65
2017-05-24,2017-05-24,253.38
2017-05-25,2017-05-25,256.52
2017-05-26,2017-05-26,256.99
2017-05-30,2017-05-30,256.21
2017-05-31,2017-05-31,259.22
2017-06-01,2017-06-01,257.61
2017-06-02,2017-06-02,258.52
2017-06-05,2017-06-05,255.61
2017-06-06,2017-06-06,253.19
2017-06-07,2017-06-07,254.67
2017-06-08,2017-06-08,256.14
2017-06-09,2017-06-09,256.69
2017-06-12,2017-06-12,255.99
2017-06-13,2017-06-13,257.59
2017-06-14,2017-06-14,259.66
2017-06-15,2017-06-15,258.64
2017-06-16,2017-06-16,258.59
2017-06-19,2017-06-19,261.27
2017-06-20,2017-06-20,260.16
2017-06-21,2017-06-21,260.29
2017-06-22,2017-06-22,256.89
2017-06-23,2017-06-23,257.4
2017-06-26,2017-06-26,255.95
2017-06-27,2017-06-27,255.33
2017-06-28,2017-06-28,257.56
2017-06-29,2017-06-29,254.88
2017-06-30,2017-06-30,256.71
