DATE,DATE,CLOSE
2016-11-01,2016-11-01,31.93
2016-11-02,2016-11-02,31.43
2016-11-03,2016-11-03,32.37
2016-11-04,2016-11-04,31.88
2016-11-07,2016-11-07,32.24
2016-11-08,2016-11-08,31.91
2016-11-09,2016-11-09,32.95
2016-11-10,2016-11-10,33.59
2016-11-11,2016-11-11,33.34
2016-11-14,2016-11-14,34.9
2016-11-15,2016-11-15,36.04
2016-11-16,2016-11-16,35.25
2016-11-17,2016-11-17,35.31
2016-11-18,2016-11-18,35.21
2016-11-21,2016-11-21,36.44
2016-11-22,2016-11-22,36.35
2016-11-23,2016-11-23,36.35
2016-11-25,2016-11-25,35.94
2016-11-28,2016-11-28,35.53
2016-11-29,2016-11-29,34.6
2016-11-30,2016-11-30,37.36
2016-12-01,2016-12-01,37.59
2016-12-02,2016-12-02,37.89
2016-12-05,2016-12-05,38.8
2016-12-06,2016-12-06,39.37
2016-12-07,2016-12-07,39.38
2016-12-08,2016-12-08,39.88
2016-12-09,2016-12-09,39.78
2016-12-12,2016-12-12,40.02
2016-12-13,2016-12-13,40.32
2016-12-14,2016-12-14,39.48
2016-12-15,2016-12-15,39.7
2016-12-16,2016-12-16,38.72
2016-12-19,2016-12-19,38.49
2016-12-20,2016-12-20,38.8
2016-12-21,2016-12-21,38.85
2016-12-22,2016-12-22,38.9
2016-12-23,2016-12-23,38.38
2016-12-27,2016-12-27,38.92
2016-12-28,2016-12-28,37.96
2016-12-29,2016-12-29,37.83
2016-12-30,2016-12-30,37.44
2017-01-03,2017-01-03,37.81
2017-01-04,2017-01-04,38.53
2017-01-05,2017-01-05,38.67
2017-01-06,2017-01-06,38.99
2017-01-09,2017-01-09,38.07
2017-01-10,2017-01-10,37.76
2017-01-11,2017-01-11,38.53
2017-01-12,2017-01-12,38.16
2017-01-13,2017-01-13,37.4
2017-01-17,2017-01-17,37.67
2017-01-18,2017-01-18,37.42
2017-01-19,2017-01-19,37.9
2017-01-20,2017-01-20,39.08
2017-01-23,2017-01-23,38.43
2017-01-24,2017-01-24,39.04
2017-01-25,2017-01-25,39.72
2017-01-26,2017-01-26,39.25
2017-01-27,2017-01-27,38.87
2017-01-30,2017-01-30,37.55
2017-01-31,2017-01-31,37.81
2017-02-01,2017-02-01,38.55
2017-02-02,2017-02-02,37.8
2017-02-03,2017-02-03,38.57
2017-02-06,2017-02-06,37.46
2017-02-07,2017-02-07,39.29
2017-02-08,2017-02-08,39.21
2017-02-09,2017-02-09,38.99
2017-02-10,2017-02-10,39.42
2017-02-13,2017-02-13,39.6
2017-02-14,2017-02-14,40.66
2017-02-15,2017-02-15,40.42
2017-02-16,2017-02-16,40.24
2017-02-17,2017-02-17,39.31
2017-02-21,2017-02-21,39.56
2017-02-22,2017-02-22,38.86
2017-02-23,2017-02-23,39.71
2017-02-24,2017-02-24,39.79
2017-02-27,2017-02-27,41.1
2017-02-28,2017-02-28,40.42
2017-03-01,2017-03-01,41.74
2017-03-02,2017-03-02,40.29
2017-03-03,2017-03-03,40.38
2017-03-06,2017-03-06,39.87
2017-03-07,2017-03-07,39.3
2017-03-08,2017-03-08,37.94
2017-03-09,2017-03-09,37.69
2017-03-10,2017-03-10,37.84
2017-03-13,2017-03-13,38.1
2017-03-14,2017-03-14,37.76
2017-03-15,2017-03-15,39.13
2017-03-16,2017-03-16,39.15
2017-03-17,2017-03-17,39.31
2017-03-20,2017-03-20,39.21
2017-03-21,2017-03-21,38.92
2017-03-22,2017-03-22,38.71
2017-03-23,2017-03-23,38.41
2017-03-24,2017-03-24,38.46
2017-03-27,2017-03-27,38.42
2017-03-28,2017-03-28,39.3
2017-03-29,2017-03-29,40.34
2017-03-30,2017-03-30,40.07
2017-03-31,2017-03-31,40.09
2017-04-03,2017-04-03,39.68
2017-04-04,2017-04-04,39.51
2017-04-05,2017-04-05,39.07
2017-04-06,2017-04-06,39.4
2017-04-07,2017-04-07,38.89
2017-04-10,2017-04-10,39.16
2017-04-11,2017-04-11,38.73
2017-04-12,2017-04-12,37.78
2017-04-13,2017-04-13,37.71
2017-04-17,2017-04-17,37.56
2017-04-18,2017-04-18,36.9
2017-04-19,2017-04-19,35.83
2017-04-20,2017-04-20,35.63
2017-04-21,2017-04-21,34.65
2017-04-24,2017-04-24,35.43
2017-04-25,2017-04-25,35.82
2017-04-26,2017-04-26,36.15
2017-04-27,2017-04-27,34.98
2017-04-28,2017-04-28,34.97
2017-05-01,2017-05-01,34.26
2017-05-02,2017-05-02,33.69
2017-05-03,2017-05-03,33.86
2017-05-04,2017-05-04,33.25
2017-05-05,2017-05-05,34.35
2017-05-08,2017-05-08,34.04
2017-05-09,2017-05-09,33.76
2017-05-10,2017-05-10,34.08
2017-05-11,2017-05-11,33.8
2017-05-12,2017-05-12,33.79
2017-05-15,2017-05-15,33.91
2017-05-16,2017-05-16,34.08
2017-05-17,2017-05-17,33.38
2017-05-18,2017-05-18,34.02
2017-05-19,2017-05-19,34.81
2017-05-22,2017-05-22,34.95
2017-05-23,2017-05-23,35.0
2017-05-24,2017-05-24,34.46
2017-05-25,2017-05-25,32.6
2017-05-26,2017-05-26,32.77
2017-05-30,2017-05-30,32.6
2017-05-31,2017-05-31,32.67
2017-06-01,2017-06-01,32.64
2017-06-02,2017-06-02,32.89
2017-06-05,2017-06-05,32.93
