DATE,DATE,CLOSE
2016-11-01,2016-11-01,10.63
2016-11-02,2016-11-02,9.89
2016-11-03,2016-11-03,10.13
2016-11-04,2016-11-04,11.03
2016-11-07,2016-11-07,11.38
2016-11-08,2016-11-08,11.47
2016-11-09,2016-11-09,12.03
2016-11-10,2016-11-10,11.07
2016-11-11,2016-11-11,11.07
2016-11-14,2016-11-14,11.68
2016-11-15,2016-11-15,11.48
2016-11-16,2016-11-16,11.19
2016-11-17,2016-11-17,11.25
2016-11-18,2016-11-18,11.21
2016-11-21,2016-11-21,11.52
2016-11-22,2016-11-22,10.91
2016-11-23,2016-11-23,11.03
2016-11-25,2016-11-25,10.95
2016-11-28,2016-11-28,11.55
2016-11-29,2016-11-29,11.31
2016-11-30,2016-11-30,11.34
2016-12-01,2016-12-01,11.11
2016-12-02,2016-12-02,11.24
2016-12-05,2016-12-05,11.71
2016-12-06,2016-12-06,11.82
2016-12-07,2016-12-07,11.95
2016-12-08,2016-12-08,12.46
2016-12-09,2016-12-09,12.86
2016-12-12,2016-12-12,12.6
2016-12-13,2016-12-13,12.79
2016-12-14,2016-12-14,12.48
2016-12-15,2016-12-15,12.58
2016-12-16,2016-12-16,12.3
2016-12-19,2016-12-19,12.85
2016-12-20,2016-12-20,12.5
2016-12-21,2016-12-21,12.37
2016-12-22,2016-12-22,12.13
2016-12-23,2016-12-23,12.34
2016-12-27,2016-12-27,12.6
2016-12-28,2016-12-28,12.43
2016-12-29,2016-12-29,12.39
2016-12-30,2016-12-30,12.26
2017-01-03,2017-01-03,12.3
2017-01-04,2017-01-04,13.03
2017-01-05,2017-01-05,13.28
2017-01-06,2017-01-06,13.36
2017-01-09,2017-01-09,13.47
2017-01-10,2017-01-10,13.62
2017-01-11,2017-01-11,14.1
2017-01-12,2017-01-12,14.38
2017-01-13,2017-01-13,14.6
2017-01-17,2017-01-17,15.34
2017-01-18,2017-01-18,15.26
2017-01-19,2017-01-19,15.56
2017-01-20,2017-01-20,16.11
2017-01-23,2017-01-23,16.21
2017-01-24,2017-01-24,16.37
2017-01-25,2017-01-25,16.44
2017-01-26,2017-01-26,16.46
2017-01-27,2017-01-27,16.45
2017-01-30,2017-01-30,16.26
2017-01-31,2017-01-31,16.54
2017-02-01,2017-02-01,16.34
2017-02-02,2017-02-02,16.71
2017-02-03,2017-02-03,17.08
2017-02-06,2017-02-06,16.7
2017-02-07,2017-02-07,16.27
2017-02-08,2017-02-08,16.36
2017-02-09,2017-02-09,16.42
2017-02-10,2017-02-10,16.66
2017-02-13,2017-02-13,16.75
2017-02-14,2017-02-14,16.79
2017-02-15,2017-02-15,17.49
2017-02-16,2017-02-16,17.11
2017-02-17,2017-02-17,17.1
2017-02-21,2017-02-21,17.12
2017-02-22,2017-02-22,16.83
2017-02-23,2017-02-23,17.04
2017-02-24,2017-02-24,17.46
2017-02-27,2017-02-27,16.77
2017-02-28,2017-02-28,16.56
2017-03-01,2017-03-01,16.85
2017-03-02,2017-03-02,17.03
2017-03-03,2017-03-03,17.3
2017-03-06,2017-03-06,17.36
2017-03-07,2017-03-07,17.1
2017-03-08,2017-03-08,17.17
2017-03-09,2017-03-09,17.86
2017-03-10,2017-03-10,17.86
2017-03-13,2017-03-13,17.33
2017-03-14,2017-03-14,17.01
2017-03-15,2017-03-15,17.46
2017-03-16,2017-03-16,17.89
2017-03-17,2017-03-17,18.06
2017-03-20,2017-03-20,18.33
2017-03-21,2017-03-21,18.24
2017-03-22,2017-03-22,18.01
2017-03-23,2017-03-23,18.14
2017-03-24,2017-03-24,18.16
2017-03-27,2017-03-27,18.18
2017-03-28,2017-03-28,18.11
2017-03-29,2017-03-29,18.73
2017-03-30,2017-03-30,18.37
2017-03-31,2017-03-31,18.7
2017-04-03,2017-04-03,18.73
2017-04-04,2017-04-04,18.88
2017-04-05,2017-04-05,18.69
2017-04-06,2017-04-06,18.9
2017-04-07,2017-04-07,18.51
2017-04-10,2017-04-10,18.76
2017-04-11,2017-04-11,18.71
2017-04-12,2017-04-12,18.73
2017-04-13,2017-04-13,18.39
2017-04-17,2017-04-17,18.45
2017-04-18,2017-04-18,18.44
2017-04-19,2017-04-19,17.88
2017-04-20,2017-04-20,17.24
2017-04-21,2017-04-21,17.07
2017-04-24,2017-04-24,17.3
2017-04-25,2017-04-25,17.01
2017-04-26,2017-04-26,17.28
2017-04-27,2017-04-27,16.84
2017-04-28,2017-04-28,16.9
2017-05-01,2017-05-01,16.67
2017-05-02,2017-05-02,15.77
2017-05-03,2017-05-03,14.98
2017-05-04,2017-05-04,14.6
2017-05-05,2017-05-05,15.03
2017-05-08,2017-05-08,14.79
2017-05-09,2017-05-09,14.72
2017-05-10,2017-05-10,15.13
2017-05-11,2017-05-11,15.27
2017-05-12,2017-05-12,15.07
2017-05-15,2017-05-15,15.08
2017-05-16,2017-05-16,14.92
2017-05-17,2017-05-17,15.05
2017-05-18,2017-05-18,15.24
2017-05-19,2017-05-19,15.71
2017-05-22,2017-05-22,15.96
2017-05-23,2017-05-23,15.88
2017-05-24,2017-05-24,16.76
2017-05-25,2017-05-25,16.45
2017-05-26,2017-05-26,16.47
2017-05-30,2017-05-30,16.21
2017-05-31,2017-05-31,16.06
2017-06-01,2017-06-01,16.76
2017-06-02,2017-06-02,16.92
2017-06-05,2017-06-05,16.7
2017-06-06,2017-06-06,16.78
2017-06-07,2017-06-07,16.4
2017-06-08,2017-06-08,16.4
2017-06-09,2017-06-09,16.69
2017-06-12,2017-06-12,16.71
2017-06-13,2017-06-13,16.94
2017-06-14,2017-06-14,16.47
2017-06-15,2017-06-15,16.61
2017-06-16,2017-06-16,16.91
2017-06-19,2017-06-19,16.95
2017-06-20,2017-06-20,16.76
2017-06-21,2017-06-21,16.78
2017-06-22,2017-06-22,17.23
2017-06-23,2017-06-23,17.39
2017-06-26,2017-06-26,17.64
2017-06-27,2017-06-27,17.21
2017-06-28,2017-06-28,17.32
2017-06-29,2017-06-29,17.02
2017-06-30,2017-06-30,17.22
2017-07-03,2017-07-03,17.17
2017-07-05,2017-07-05,16.8
2017-07-06,2017-07-06,16.36
2017-07-07,2017-07-07,16.24
2017-07-10,2017-07-10,16.12
2017-07-11,2017-07-11,16.3
2017-07-12,2017-07-12,21.09
2017-07-13,2017-07-13,22.2
2017-07-14,2017-07-14,23.24
2017-07-17,2017-07-17,22.92
2017-07-18,2017-07-18,23.42
2017-07-19,2017-07-19,24.0
2017-07-20,2017-07-20,24.11
2017-07-21,2017-07-21,24.49
2017-07-24,2017-07-24,25.28
2017-07-25,2017-07-25,25.01
2017-07-26,2017-07-26,24.67
2017-07-27,2017-07-27,24.61
2017-07-28,2017-07-28,25.17
2017-07-31,2017-07-31,24.62
2017-08-01,2017-08-01,24.53
2017-08-02,2017-08-02,24.47
2017-08-03,2017-08-03,23.98
2017-08-04,2017-08-04,24.45
2017-08-07,2017-08-07,24.5
2017-08-08,2017-08-08,24.25
2017-08-09,2017-08-09,24.33
2017-08-10,2017-08-10,24.39
2017-08-11,2017-08-11,24.67
2017-08-14,2017-08-14,25.47
2017-08-15,2017-08-15,25.47
2017-08-16,2017-08-16,25.67
2017-08-17,2017-08-17,25.25
2017-08-18,2017-08-18,25.77
2017-08-21,2017-08-21,25.72
2017-08-22,2017-08-22,25.86
2017-08-23,2017-08-23,25.61
2017-08-24,2017-08-24,25.43
2017-08-25,2017-08-25,24.58
2017-08-28,2017-08-28,24.57
2017-08-29,2017-08-29,24.95
2017-08-30,2017-08-30,24.85
2017-08-31,2017-08-31,24.91
2017-09-01,2017-09-01,24.81
2017-09-05,2017-09-05,24.4
2017-09-06,2017-09-06,23.94
2017-09-07,2017-09-07,24.13
2017-09-08,2017-09-08,23.92
2017-09-11,2017-09-11,23.88
2017-09-12,2017-09-12,23.88
2017-09-13,2017-09-13,23.56
2017-09-14,2017-09-14,23.1
2017-09-15,2017-09-15,22.93
2017-09-18,2017-09-18,23.84
2017-09-19,2017-09-19,24.62
2017-09-20,2017-09-20,24.14
2017-09-21,2017-09-21,24.19
2017-09-22,2017-09-22,23.94
2017-09-25,2017-09-25,23.39
2017-09-26,2017-09-26,24.1
2017-09-27,2017-09-27,24.9
2017-09-28,2017-09-28,24.9
2017-09-29,2017-09-29,25.59
2017-10-02,2017-10-02,25.58
2017-10-03,2017-10-03,25.89
2017-10-04,2017-10-04,25.77
2017-10-05,2017-10-05,25.57
2017-10-06,2017-10-06,25.49
2017-10-09,2017-10-09,25.74
2017-10-10,2017-10-10,25.69
2017-10-11,2017-10-11,25.47
2017-10-12,2017-10-12,25.68
2017-10-13,2017-10-13,26.06
2017-10-16,2017-10-16,26.62
2017-10-17,2017-10-17,26.0
2017-10-18,2017-10-18,25.95
2017-10-19,2017-10-19,25.54
2017-10-20,2017-10-20,25.4
2017-10-23,2017-10-23,24.89
2017-10-24,2017-10-24,25.11
2017-10-25,2017-10-25,24.92
2017-10-26,2017-10-26,24.77
2017-10-27,2017-10-27,25.34
2017-10-30,2017-10-30,25.01
2017-10-31,2017-10-31,25.0
2017-11-01,2017-11-01,24.84
2017-11-02,2017-11-02,25.97
2017-11-03,2017-11-03,27.62
2017-11-06,2017-11-06,28.25
2017-11-07,2017-11-07,28.42
2017-11-08,2017-11-08,28.02
2017-11-09,2017-11-09,27.82
2017-11-10,2017-11-10,28.35
2017-11-13,2017-11-13,28.78
2017-11-14,2017-11-14,28.92
2017-11-15,2017-11-15,29.37
2017-11-16,2017-11-16,29.44
2017-11-17,2017-11-17,29.49
2017-11-20,2017-11-20,29.32
2017-11-21,2017-11-21,29.47
2017-11-22,2017-11-22,29.22
2017-11-24,2017-11-24,29.03
2017-11-27,2017-11-27,28.77
2017-11-28,2017-11-28,28.86
2017-11-29,2017-11-29,28.2
2017-11-30,2017-11-30,27.65
2017-12-01,2017-12-01,27.95
2017-12-04,2017-12-04,27.41
2017-12-05,2017-12-05,27.32
2017-12-06,2017-12-06,27.29
2017-12-07,2017-12-07,27.73
2017-12-08,2017-12-08,28.25
2017-12-11,2017-12-11,29.13
2017-12-12,2017-12-12,28.7
2017-12-13,2017-12-13,28.15
2017-12-14,2017-12-14,27.68
2017-12-15,2017-12-15,27.5
2017-12-18,2017-12-18,27.59
2017-12-19,2017-12-19,27.25
2017-12-20,2017-12-20,27.0
2017-12-21,2017-12-21,27.46
2017-12-22,2017-12-22,28.16
2017-12-26,2017-12-26,28.43
2017-12-27,2017-12-27,27.7
2017-12-28,2017-12-28,28.01
2017-12-29,2017-12-29,28.48
2018-01-02,2018-01-02,28.9
2018-01-03,2018-01-03,28.88
2018-01-04,2018-01-04,28.55
2018-01-05,2018-01-05,28.73
2018-01-08,2018-01-08,29.17
2018-01-09,2018-01-09,28.72
2018-01-10,2018-01-10,28.24
2018-01-11,2018-01-11,28.61
2018-01-12,2018-01-12,28.7
2018-01-16,2018-01-16,27.9
2018-01-17,2018-01-17,27.43
2018-01-18,2018-01-18,26.81
2018-01-19,2018-01-19,26.9
2018-01-22,2018-01-22,26.92
2018-01-23,2018-01-23,27.14
2018-01-24,2018-01-24,27.25
2018-01-25,2018-01-25,27.65
2018-01-26,2018-01-26,27.4
2018-01-29,2018-01-29,26.86
2018-01-30,2018-01-30,26.09
2018-01-31,2018-01-31,26.01
2018-02-01,2018-02-01,26.43
2018-02-02,2018-02-02,26.19
2018-02-05,2018-02-05,25.16
2018-02-06,2018-02-06,25.51
2018-02-07,2018-02-07,25.36
2018-02-08,2018-02-08,24.0
2018-02-09,2018-02-09,24.59
2018-02-12,2018-02-12,24.72
2018-02-13,2018-02-13,24.61
2018-02-14,2018-02-14,24.8
2018-02-15,2018-02-15,25.26
2018-02-16,2018-02-16,25.22
2018-02-20,2018-02-20,25.69
2018-02-21,2018-02-21,25.0
2018-02-22,2018-02-22,25.26
2018-02-23,2018-02-23,26.42
2018-02-26,2018-02-26,26.29
2018-02-27,2018-02-27,25.99
2018-02-28,2018-02-28,25.86
2018-03-01,2018-03-01,26.92
2018-03-02,2018-03-02,27.89
2018-03-05,2018-03-05,28.95
2018-03-06,2018-03-06,29.21
2018-03-07,2018-03-07,29.38
2018-03-08,2018-03-08,29.6
2018-03-09,2018-03-09,29.75
2018-03-12,2018-03-12,29.89
2018-03-13,2018-03-13,30.0
2018-03-14,2018-03-14,30.2
2018-03-15,2018-03-15,30.77
2018-03-16,2018-03-16,30.3
2018-03-19,2018-03-19,30.17
2018-03-20,2018-03-20,30.3
2018-03-21,2018-03-21,30.19
2018-03-22,2018-03-22,30.3
2018-03-23,2018-03-23,29.79
2018-03-26,2018-03-26,30.37
2018-03-27,2018-03-27,30.0
2018-03-28,2018-03-28,30.27
2018-03-29,2018-03-29,30.53
2018-04-02,2018-04-02,30.34
2018-04-03,2018-04-03,30.47
2018-04-04,2018-04-04,30.4
2018-04-05,2018-04-05,30.31
2018-04-06,2018-04-06,29.96
2018-04-09,2018-04-09,30.53
2018-04-10,2018-04-10,30.56
2018-04-11,2018-04-11,30.64
2018-04-12,2018-04-12,30.02
2018-04-13,2018-04-13,30.13
2018-04-16,2018-04-16,30.72
2018-04-17,2018-04-17,31.25
2018-04-18,2018-04-18,31.38
2018-04-19,2018-04-19,31.49
2018-04-20,2018-04-20,31.17
2018-04-23,2018-04-23,31.21
2018-04-24,2018-04-24,30.99
2018-04-25,2018-04-25,31.09
2018-04-26,2018-04-26,31.34
2018-04-27,2018-04-27,31.51
2018-04-30,2018-04-30,31.0
2018-05-01,2018-05-01,30.65
