DATE,DATE,CLOSE
2016-11-01,2016-11-01,91.6
2016-11-02,2016-11-02,91.99
2016-11-03,2016-11-03,91.76
2016-11-04,2016-11-04,91.62
2016-11-07,2016-11-07,94.95
2016-11-08,2016-11-08,96.0
2016-11-09,2016-11-09,98.8
2016-11-10,2016-11-10,100.5
2016-11-11,2016-11-11,100.91
2016-11-14,2016-11-14,103.99
2016-11-15,2016-11-15,104.58
2016-11-16,2016-11-16,103.0
2016-11-17,2016-11-17,103.14
2016-11-18,2016-11-18,103.45
2016-11-21,2016-11-21,104.6
2016-11-22,2016-11-22,103.92
2016-11-23,2016-11-23,104.04
2016-11-25,2016-11-25,104.34
2016-11-28,2016-11-28,103.99
2016-11-29,2016-11-29,104.37
2016-11-30,2016-11-30,106.46
2016-12-01,2016-12-01,106.83
2016-12-02,2016-12-02,105.6
2016-12-05,2016-12-05,105.96
2016-12-06,2016-12-06,106.21
2016-12-07,2016-12-07,109.75
2016-12-08,2016-12-08,110.02
2016-12-09,2016-12-09,110.6
2016-12-12,2016-12-12,110.69
2016-12-13,2016-12-13,109.83
2016-12-14,2016-12-14,107.58
2016-12-15,2016-12-15,108.11
2016-12-16,2016-12-16,106.67
2016-12-19,2016-12-19,106.93
2016-12-20,2016-12-20,108.17
2016-12-21,2016-12-21,108.05
2016-12-22,2016-12-22,108.78
2016-12-23,2016-12-23,109.28
2016-12-27,2016-12-27,109.45
2016-12-28,2016-12-28,108.72
2016-12-29,2016-12-29,108.82
2016-12-30,2016-12-30,108.07
2017-01-03,2017-01-03,106.99
2017-01-04,2017-01-04,110.64
2017-01-05,2017-01-05,110.29
2017-01-06,2017-01-06,111.66
2017-01-09,2017-01-09,109.18
2017-01-10,2017-01-10,109.26
2017-01-11,2017-01-11,110.55
2017-01-12,2017-01-12,111.01
2017-01-13,2017-01-13,111.59
2017-01-17,2017-01-17,108.9
2017-01-18,2017-01-18,109.97
2017-01-19,2017-01-19,114.42
2017-01-20,2017-01-20,113.59
2017-01-23,2017-01-23,113.55
2017-01-24,2017-01-24,116.62
2017-01-25,2017-01-25,120.53
2017-01-26,2017-01-26,119.51
2017-01-27,2017-01-27,120.35
2017-01-30,2017-01-30,119.63
2017-01-31,2017-01-31,117.46
2017-02-01,2017-02-01,119.93
2017-02-02,2017-02-02,119.47
2017-02-03,2017-02-03,120.46
2017-02-06,2017-02-06,119.87
2017-02-07,2017-02-07,120.88
2017-02-08,2017-02-08,120.94
2017-02-09,2017-02-09,120.65
2017-02-10,2017-02-10,121.12
2017-02-13,2017-02-13,122.21
2017-02-14,2017-02-14,122.49
2017-02-15,2017-02-15,122.71
2017-02-16,2017-02-16,122.93
2017-02-17,2017-02-17,122.78
2017-02-21,2017-02-21,123.53
2017-02-22,2017-02-22,122.32
2017-02-23,2017-02-23,120.03
2017-02-24,2017-02-24,120.08
2017-02-27,2017-02-27,121.12
2017-02-28,2017-02-28,121.03
2017-03-01,2017-03-01,123.35
2017-03-02,2017-03-02,121.77
2017-03-03,2017-03-03,122.4
2017-03-06,2017-03-06,122.93
2017-03-07,2017-03-07,122.0
2017-03-08,2017-03-08,119.87
2017-03-09,2017-03-09,119.4
2017-03-10,2017-03-10,119.66
2017-03-13,2017-03-13,119.53
2017-03-14,2017-03-14,118.35
2017-03-15,2017-03-15,117.51
2017-03-16,2017-03-16,115.35
2017-03-17,2017-03-17,114.71
2017-03-20,2017-03-20,114.84
2017-03-21,2017-03-21,111.5
2017-03-22,2017-03-22,111.77
2017-03-23,2017-03-23,110.55
2017-03-24,2017-03-24,110.66
2017-03-27,2017-03-27,111.13
2017-03-28,2017-03-28,113.32
2017-03-29,2017-03-29,113.21
2017-03-30,2017-03-30,114.25
2017-03-31,2017-03-31,111.97
2017-04-03,2017-04-03,113.5
2017-04-04,2017-04-04,115.19
2017-04-05,2017-04-05,114.73
2017-04-06,2017-04-06,115.88
2017-04-07,2017-04-07,115.9
2017-04-10,2017-04-10,115.49
2017-04-11,2017-04-11,115.22
2017-04-12,2017-04-12,111.79
2017-04-13,2017-04-13,111.58
2017-04-17,2017-04-17,113.19
2017-04-18,2017-04-18,112.85
2017-04-19,2017-04-19,112.54
2017-04-20,2017-04-20,115.81
2017-04-21,2017-04-21,116.37
2017-04-24,2017-04-24,117.05
2017-04-25,2017-04-25,116.78
2017-04-26,2017-04-26,117.82
2017-04-27,2017-04-27,118.8
2017-04-28,2017-04-28,117.49
2017-05-01,2017-05-01,117.71
2017-05-02,2017-05-02,118.24
2017-05-03,2017-05-03,117.21
2017-05-04,2017-05-04,116.84
2017-05-05,2017-05-05,117.01
2017-05-08,2017-05-08,115.75
2017-05-09,2017-05-09,116.67
2017-05-10,2017-05-10,116.91
