DATE,DATE,CLOSE
2016-11-01,2016-11-01,1507.88
2016-11-02,2016-11-02,1497.19
2016-11-03,2016-11-03,1499.06
2016-11-04,2016-11-04,1503.18
2016-11-07,2016-11-07,1518.0
2016-11-08,2016-11-08,1519.48
2016-11-09,2016-11-09,1520.0
2016-11-10,2016-11-10,1511.86
2016-11-11,2016-11-11,1528.51
2016-11-14,2016-11-14,1547.5
2016-11-15,2016-11-15,1555.96
2016-11-16,2016-11-16,1569.29
2016-11-17,2016-11-17,1580.0
2016-11-18,2016-11-18,1598.62
2016-11-21,2016-11-21,1596.5
2016-11-22,2016-11-22,1595.13
2016-11-23,2016-11-23,1596.18
2016-11-25,2016-11-25,1601.0
2016-11-28,2016-11-28,1595.0
2016-11-29,2016-11-29,1613.38
2016-11-30,2016-11-30,1595.0
2016-12-01,2016-12-01,1581.29
2016-12-02,2016-12-02,1576.94
2016-12-05,2016-12-05,1584.92
2016-12-06,2016-12-06,1612.29
2016-12-07,2016-12-07,1626.99
2016-12-08,2016-12-08,1655.68
2016-12-09,2016-12-09,1650.9
2016-12-12,2016-12-12,1665.5
2016-12-13,2016-12-13,1674.14
2016-12-14,2016-12-14,1635.85
2016-12-15,2016-12-15,1615.46
2016-12-16,2016-12-16,1638.6
2016-12-19,2016-12-19,1652.79
2016-12-20,2016-12-20,1650.64
2016-12-21,2016-12-21,1665.34
2016-12-22,2016-12-22,1665.5
2016-12-23,2016-12-23,1670.0
2016-12-27,2016-12-27,1684.0
2016-12-28,2016-12-28,1679.0
2016-12-29,2016-12-29,1680.0
2016-12-30,2016-12-30,1669.0
2017-01-03,2017-01-03,1649.99
2017-01-04,2017-01-04,1678.77
2017-01-05,2017-01-05,1689.4
2017-01-06,2017-01-06,1678.1
2017-01-09,2017-01-09,1681.5
2017-01-10,2017-01-10,1690.97
2017-01-11,2017-01-11,1690.76
2017-01-12,2017-01-12,1703.63
2017-01-13,2017-01-13,1700.0
2017-01-17,2017-01-17,1679.11
2017-01-18,2017-01-18,1686.97
2017-01-19,2017-01-19,1673.56
2017-01-20,2017-01-20,1673.35
2017-01-23,2017-01-23,1672.35
2017-01-24,2017-01-24,1700.0
2017-01-25,2017-01-25,1880.61
2017-01-26,2017-01-26,1901.72
2017-01-27,2017-01-27,1860.0
2017-01-30,2017-01-30,1876.83
2017-01-31,2017-01-31,1858.0
2017-02-01,2017-02-01,1856.94
2017-02-02,2017-02-02,1875.0
2017-02-03,2017-02-03,1884.45
2017-02-06,2017-02-06,1879.96
2017-02-07,2017-02-07,1875.77
2017-02-08,2017-02-08,1889.83
2017-02-09,2017-02-09,1885.15
2017-02-10,2017-02-10,1903.41
2017-02-13,2017-02-13,1904.38
2017-02-14,2017-02-14,1884.31
2017-02-15,2017-02-15,1893.31
2017-02-16,2017-02-16,1897.32
2017-02-17,2017-02-17,1896.35
2017-02-21,2017-02-21,1922.2
2017-02-22,2017-02-22,1923.46
2017-02-23,2017-02-23,1915.0
2017-02-24,2017-02-24,1928.58
2017-02-27,2017-02-27,1954.52
2017-02-28,2017-02-28,1934.97
2017-03-01,2017-03-01,1977.86
2017-03-02,2017-03-02,1960.76
2017-03-03,2017-03-03,1965.62
