DATE,DATE,CLOSE
2016-11-01,2016-11-01,12.4
2016-11-02,2016-11-02,12.1
2016-11-03,2016-11-03,12.15
2016-11-04,2016-11-04,12.15
2016-11-07,2016-11-07,12.5
2016-11-08,2016-11-08,12.1
2016-11-09,2016-11-09,12.35
2016-11-10,2016-11-10,12.35
2016-11-11,2016-11-11,12.35
2016-11-14,2016-11-14,12.5
2016-11-15,2016-11-15,12.35
2016-11-16,2016-11-16,12.35
2016-11-17,2016-11-17,12.35
2016-11-18,2016-11-18,12.2
2016-11-21,2016-11-21,12.05
2016-11-22,2016-11-22,12.0
2016-11-23,2016-11-23,12.1
2016-11-25,2016-11-25,12.1
2016-11-28,2016-11-28,12.1
2016-11-29,2016-11-29,11.9
2016-11-30,2016-11-30,11.95
2016-12-01,2016-12-01,12.0
2016-12-02,2016-12-02,12.05
2016-12-05,2016-12-05,12.05
2016-12-06,2016-12-06,12.05
2016-12-07,2016-12-07,12.15
2016-12-08,2016-12-08,12.2
2016-12-09,2016-12-09,12.4
2016-12-12,2016-12-12,12.3
2016-12-13,2016-12-13,12.25
2016-12-14,2016-12-14,12.2
2016-12-15,2016-12-15,12.05
2016-12-16,2016-12-16,12.0
2016-12-19,2016-12-19,12.15
2016-12-20,2016-12-20,11.95
2016-12-21,2016-12-21,12.05
2016-12-22,2016-12-22,12.05
2016-12-23,2016-12-23,12.05
2016-12-27,2016-12-27,12.25
2016-12-28,2016-12-28,12.05
2016-12-29,2016-12-29,12.05
2016-12-30,2016-12-30,11.8
2017-01-03,2017-01-03,12.05
2017-01-04,2017-01-04,12.25
2017-01-05,2017-01-05,12.25
2017-01-06,2017-01-06,12.25
2017-01-09,2017-01-09,12.4
2017-01-10,2017-01-10,12.5
2017-01-11,2017-01-11,12.55
2017-01-12,2017-01-12,12.45
2017-01-13,2017-01-13,12.45
2017-01-17,2017-01-17,12.7
2017-01-18,2017-01-18,12.55
2017-01-19,2017-01-19,12.45
2017-01-20,2017-01-20,12.35
2017-01-23,2017-01-23,12.4
2017-01-24,2017-01-24,12.6
2017-01-25,2017-01-25,12.7
2017-01-26,2017-01-26,12.55
2017-01-27,2017-01-27,12.65
2017-01-30,2017-01-30,12.7
2017-01-31,2017-01-31,12.65
2017-02-01,2017-02-01,12.7
2017-02-02,2017-02-02,12.6
2017-02-03,2017-02-03,12.6
2017-02-06,2017-02-06,12.55
2017-02-07,2017-02-07,12.55
2017-02-08,2017-02-08,12.45
2017-02-09,2017-02-09,12.75
2017-02-10,2017-02-10,13.6
2017-02-13,2017-02-13,13.35
2017-02-14,2017-02-14,13.35
2017-02-15,2017-02-15,13.45
2017-02-16,2017-02-16,13.4
2017-02-17,2017-02-17,13.5
2017-02-21,2017-02-21,13.65
2017-02-22,2017-02-22,13.6
2017-02-23,2017-02-23,13.5
2017-02-24,2017-02-24,13.4
2017-02-27,2017-02-27,13.4
2017-02-28,2017-02-28,13.2
2017-03-01,2017-03-01,13.4
2017-03-02,2017-03-02,13.25
2017-03-03,2017-03-03,13.25
2017-03-06,2017-03-06,13.25
2017-03-07,2017-03-07,13.0
2017-03-08,2017-03-08,12.8
2017-03-09,2017-03-09,12.8
2017-03-10,2017-03-10,12.8
2017-03-13,2017-03-13,12.55
2017-03-14,2017-03-14,12.7
2017-03-15,2017-03-15,12.9
2017-03-16,2017-03-16,12.9
2017-03-17,2017-03-17,12.95
2017-03-20,2017-03-20,12.9
2017-03-21,2017-03-21,12.85
2017-03-22,2017-03-22,12.95
2017-03-23,2017-03-23,12.95
2017-03-24,2017-03-24,12.95
2017-03-27,2017-03-27,12.95
2017-03-28,2017-03-28,13.25
2017-03-29,2017-03-29,13.45
2017-03-30,2017-03-30,13.7
2017-03-31,2017-03-31,13.5
2017-04-03,2017-04-03,13.25
2017-04-04,2017-04-04,13.15
2017-04-05,2017-04-05,13.05
2017-04-06,2017-04-06,12.95
2017-04-07,2017-04-07,12.9
2017-04-10,2017-04-10,12.9
2017-04-11,2017-04-11,12.85
2017-04-12,2017-04-12,12.95
2017-04-13,2017-04-13,12.7
2017-04-17,2017-04-17,12.85
2017-04-18,2017-04-18,12.7
2017-04-19,2017-04-19,12.85
2017-04-20,2017-04-20,13.35
2017-04-21,2017-04-21,13.3
2017-04-24,2017-04-24,13.35
2017-04-25,2017-04-25,13.45
2017-04-26,2017-04-26,13.25
2017-04-27,2017-04-27,13.2
2017-04-28,2017-04-28,13.0
2017-05-01,2017-05-01,13.0
2017-05-02,2017-05-02,12.9
2017-05-03,2017-05-03,12.85
2017-05-04,2017-05-04,12.85
2017-05-05,2017-05-05,13.0
2017-05-08,2017-05-08,13.1
2017-05-09,2017-05-09,13.4
2017-05-10,2017-05-10,13.05
2017-05-11,2017-05-11,13.0
2017-05-12,2017-05-12,13.05
2017-05-15,2017-05-15,13.3
2017-05-16,2017-05-16,13.3
2017-05-17,2017-05-17,13.05
2017-05-18,2017-05-18,13.05
2017-05-19,2017-05-19,13.2
2017-05-22,2017-05-22,13.55
2017-05-23,2017-05-23,13.5
2017-05-24,2017-05-24,13.65
2017-05-25,2017-05-25,13.6
2017-05-26,2017-05-26,13.8
2017-05-30,2017-05-30,13.65
2017-05-31,2017-05-31,13.7
2017-06-01,2017-06-01,14.0
2017-06-02,2017-06-02,13.95
2017-06-05,2017-06-05,13.8
2017-06-06,2017-06-06,13.9
2017-06-07,2017-06-07,13.8
2017-06-08,2017-06-08,13.95
2017-06-09,2017-06-09,14.1
2017-06-12,2017-06-12,14.05
2017-06-13,2017-06-13,13.95
2017-06-14,2017-06-14,14.0
2017-06-15,2017-06-15,14.05
2017-06-16,2017-06-16,14.15
2017-06-19,2017-06-19,14.25
2017-06-20,2017-06-20,14.0
2017-06-21,2017-06-21,13.95
2017-06-22,2017-06-22,13.95
2017-06-23,2017-06-23,14.05
2017-06-26,2017-06-26,14.1
2017-06-27,2017-06-27,14.1
2017-06-28,2017-06-28,14.3
2017-06-29,2017-06-29,14.05
2017-06-30,2017-06-30,14.15
2017-07-03,2017-07-03,14.3
2017-07-05,2017-07-05,14.15
2017-07-06,2017-07-06,13.65
2017-07-07,2017-07-07,13.75
2017-07-10,2017-07-10,13.55
2017-07-11,2017-07-11,13.75
2017-07-12,2017-07-12,13.6
2017-07-13,2017-07-13,13.7
2017-07-14,2017-07-14,14.0
2017-07-17,2017-07-17,14.1
2017-07-18,2017-07-18,14.05
2017-07-19,2017-07-19,14.35
2017-07-20,2017-07-20,14.35
2017-07-21,2017-07-21,14.45
2017-07-24,2017-07-24,14.45
2017-07-25,2017-07-25,14.55
2017-07-26,2017-07-26,14.6
2017-07-27,2017-07-27,14.7
2017-07-28,2017-07-28,14.8
2017-07-31,2017-07-31,14.7
2017-08-01,2017-08-01,14.85
2017-08-02,2017-08-02,14.75
2017-08-03,2017-08-03,14.65
2017-08-04,2017-08-04,14.6
2017-08-07,2017-08-07,14.8
2017-08-08,2017-08-08,14.6
2017-08-09,2017-08-09,14.55
2017-08-10,2017-08-10,14.0
2017-08-11,2017-08-11,13.8
2017-08-14,2017-08-14,13.8
2017-08-15,2017-08-15,13.7
2017-08-16,2017-08-16,13.65
2017-08-17,2017-08-17,13.65
2017-08-18,2017-08-18,13.75
2017-08-21,2017-08-21,13.75
2017-08-22,2017-08-22,13.8
2017-08-23,2017-08-23,13.5
2017-08-24,2017-08-24,13.6
2017-08-25,2017-08-25,13.75
2017-08-28,2017-08-28,13.8
2017-08-29,2017-08-29,13.7
2017-08-30,2017-08-30,13.6
2017-08-31,2017-08-31,13.7
2017-09-01,2017-09-01,13.8
2017-09-05,2017-09-05,13.55
2017-09-06,2017-09-06,13.65
2017-09-07,2017-09-07,13.8
