DATE,DATE,CLOSE
2016-11-01,2016-11-01,48.56
2016-11-02,2016-11-02,46.59
2016-11-03,2016-11-03,46.44
2016-11-04,2016-11-04,46.65
2016-11-07,2016-11-07,48.08
2016-11-08,2016-11-08,49.5
2016-11-09,2016-11-09,49.39
2016-11-10,2016-11-10,49.05
2016-11-11,2016-11-11,47.92
2016-11-14,2016-11-14,47.81
2016-11-15,2016-11-15,49.93
2016-11-16,2016-11-16,49.69
2016-11-17,2016-11-17,49.83
2016-11-18,2016-11-18,50.42
2016-11-21,2016-11-21,52.72
2016-11-22,2016-11-22,53.46
2016-11-23,2016-11-23,53.95
2016-11-25,2016-11-25,53.75
2016-11-28,2016-11-28,52.82
2016-11-29,2016-11-29,52.44
2016-11-30,2016-11-30,54.93
2016-12-01,2016-12-01,54.42
2016-12-02,2016-12-02,54.69
2016-12-05,2016-12-05,56.42
2016-12-06,2016-12-06,56.12
2016-12-07,2016-12-07,57.09
2016-12-08,2016-12-08,57.91
2016-12-09,2016-12-09,57.01
2016-12-12,2016-12-12,57.21
2016-12-13,2016-12-13,57.77
2016-12-14,2016-12-14,57.36
2016-12-15,2016-12-15,57.72
2016-12-16,2016-12-16,58.42
2016-12-19,2016-12-19,58.1
2016-12-20,2016-12-20,58.67
2016-12-21,2016-12-21,58.54
2016-12-22,2016-12-22,57.91
2016-12-23,2016-12-23,58.69
2016-12-27,2016-12-27,59.03
2016-12-28,2016-12-28,57.67
2016-12-29,2016-12-29,57.98
2016-12-30,2016-12-30,57.41
2017-01-03,2017-01-03,58.75
2017-01-04,2017-01-04,58.6
2017-01-05,2017-01-05,58.83
2017-01-06,2017-01-06,57.9
2017-01-09,2017-01-09,57.48
2017-01-10,2017-01-10,56.07
2017-01-11,2017-01-11,57.26
2017-01-12,2017-01-12,56.57
2017-01-13,2017-01-13,56.31
2017-01-17,2017-01-17,56.31
2017-01-18,2017-01-18,56.56
2017-01-19,2017-01-19,55.96
2017-01-20,2017-01-20,56.59
2017-01-23,2017-01-23,55.89
2017-01-24,2017-01-24,56.28
2017-01-25,2017-01-25,55.55
2017-01-26,2017-01-26,54.93
2017-01-27,2017-01-27,54.91
2017-01-30,2017-01-30,53.77
2017-01-31,2017-01-31,55.11
2017-02-01,2017-02-01,54.0
2017-02-02,2017-02-02,55.56
2017-02-03,2017-02-03,56.45
2017-02-06,2017-02-06,55.31
2017-02-07,2017-02-07,54.37
2017-02-08,2017-02-08,54.4
2017-02-09,2017-02-09,55.12
2017-02-10,2017-02-10,55.31
2017-02-13,2017-02-13,55.02
2017-02-14,2017-02-14,54.95
2017-02-15,2017-02-15,54.49
2017-02-16,2017-02-16,54.03
2017-02-17,2017-02-17,53.64
2017-02-21,2017-02-21,54.22
2017-02-22,2017-02-22,53.52
2017-02-23,2017-02-23,54.64
2017-02-24,2017-02-24,53.16
2017-02-27,2017-02-27,53.35
2017-02-28,2017-02-28,54.05
2017-03-01,2017-03-01,55.39
2017-03-02,2017-03-02,55.25
2017-03-03,2017-03-03,56.42
2017-03-06,2017-03-06,56.61
2017-03-07,2017-03-07,56.58
2017-03-08,2017-03-08,54.77
2017-03-09,2017-03-09,54.51
2017-03-10,2017-03-10,54.33
2017-03-13,2017-03-13,53.98
2017-03-14,2017-03-14,52.2
2017-03-15,2017-03-15,53.64
2017-03-16,2017-03-16,53.24
2017-03-17,2017-03-17,52.82
2017-03-20,2017-03-20,53.24
2017-03-21,2017-03-21,52.28
2017-03-22,2017-03-22,52.7
2017-03-23,2017-03-23,52.25
2017-03-24,2017-03-24,53.1
2017-03-27,2017-03-27,53.09
2017-03-28,2017-03-28,53.06
2017-03-29,2017-03-29,54.73
2017-03-30,2017-03-30,54.92
2017-03-31,2017-03-31,55.44
2017-04-03,2017-04-03,55.31
2017-04-04,2017-04-04,55.94
2017-04-05,2017-04-05,55.93
2017-04-06,2017-04-06,56.33
2017-04-07,2017-04-07,56.19
2017-04-10,2017-04-10,55.93
2017-04-11,2017-04-11,55.72
2017-04-12,2017-04-12,55.33
2017-04-13,2017-04-13,54.62
2017-04-17,2017-04-17,54.41
2017-04-18,2017-04-18,54.82
2017-04-19,2017-04-19,53.92
2017-04-20,2017-04-20,53.79
2017-04-21,2017-04-21,53.53
2017-04-24,2017-04-24,53.87
2017-04-25,2017-04-25,54.73
2017-04-26,2017-04-26,54.5
2017-04-27,2017-04-27,53.01
2017-04-28,2017-04-28,52.61
2017-05-01,2017-05-01,53.02
2017-05-02,2017-05-02,52.3
2017-05-03,2017-05-03,52.14
2017-05-04,2017-05-04,49.34
2017-05-05,2017-05-05,50.64
2017-05-08,2017-05-08,51.04
2017-05-09,2017-05-09,50.48
2017-05-10,2017-05-10,51.12
2017-05-11,2017-05-11,51.27
2017-05-12,2017-05-12,51.0
2017-05-15,2017-05-15,51.28
2017-05-16,2017-05-16,50.89
2017-05-17,2017-05-17,49.75
2017-05-18,2017-05-18,49.82
