DATE,DATE,CLOSE
2016-11-01,2016-11-01,264.24
2016-11-02,2016-11-02,262.7
2016-11-03,2016-11-03,261.84
2016-11-04,2016-11-04,261.2
2016-11-07,2016-11-07,259.61
2016-11-08,2016-11-08,259.58
2016-11-09,2016-11-09,264.15
2016-11-10,2016-11-10,262.54
2016-11-11,2016-11-11,262.79
2016-11-14,2016-11-14,262.14
2016-11-15,2016-11-15,268.05
2016-11-16,2016-11-16,269.9
2016-11-17,2016-11-17,270.99
2016-11-18,2016-11-18,265.74
2016-11-21,2016-11-21,270.01
2016-11-22,2016-11-22,275.0
2016-11-23,2016-11-23,275.47
2016-11-25,2016-11-25,276.61
2016-11-28,2016-11-28,274.63
2016-11-29,2016-11-29,275.39
2016-11-30,2016-11-30,274.5
2016-12-01,2016-12-01,273.06
2016-12-02,2016-12-02,273.94
2016-12-05,2016-12-05,276.47
2016-12-06,2016-12-06,277.68
2016-12-07,2016-12-07,285.2
2016-12-08,2016-12-08,277.31
2016-12-09,2016-12-09,275.96
2016-12-12,2016-12-12,276.87
2016-12-13,2016-12-13,282.53
2016-12-14,2016-12-14,276.83
2016-12-15,2016-12-15,278.04
2016-12-16,2016-12-16,279.3
2016-12-19,2016-12-19,283.11
2016-12-20,2016-12-20,285.15
2016-12-21,2016-12-21,285.53
2016-12-22,2016-12-22,282.99
2016-12-23,2016-12-23,283.22
2016-12-27,2016-12-27,283.65
2016-12-28,2016-12-28,280.67
2016-12-29,2016-12-29,281.64
2016-12-30,2016-12-30,278.41
2017-01-03,2017-01-03,280.82
2017-01-04,2017-01-04,282.11
2017-01-05,2017-01-05,282.81
2017-01-06,2017-01-06,281.78
2017-01-09,2017-01-09,279.4
2017-01-10,2017-01-10,281.3
2017-01-11,2017-01-11,281.33
2017-01-12,2017-01-12,281.58
2017-01-13,2017-01-13,279.15
2017-01-17,2017-01-17,278.76
2017-01-18,2017-01-18,280.81
2017-01-19,2017-01-19,275.05
2017-01-20,2017-01-20,274.01
2017-01-23,2017-01-23,264.99
2017-01-24,2017-01-24,267.46
2017-01-25,2017-01-25,266.07
2017-01-26,2017-01-26,263.0
2017-01-27,2017-01-27,263.79
2017-01-30,2017-01-30,261.89
2017-01-31,2017-01-31,262.27
2017-02-01,2017-02-01,254.35
2017-02-02,2017-02-02,256.69
2017-02-03,2017-02-03,259.84
2017-02-06,2017-02-06,258.4
2017-02-07,2017-02-07,262.19
2017-02-08,2017-02-08,271.65
2017-02-09,2017-02-09,274.78
2017-02-10,2017-02-10,271.8
2017-02-13,2017-02-13,268.48
2017-02-14,2017-02-14,269.52
2017-02-15,2017-02-15,270.62
2017-02-16,2017-02-16,266.85
2017-02-17,2017-02-17,268.12
2017-02-21,2017-02-21,268.7
2017-02-22,2017-02-22,268.09
2017-02-23,2017-02-23,265.94
2017-02-24,2017-02-24,268.73
2017-02-27,2017-02-27,268.25
2017-02-28,2017-02-28,271.71
2017-03-01,2017-03-01,271.52
2017-03-02,2017-03-02,271.98
2017-03-03,2017-03-03,270.65
2017-03-06,2017-03-06,268.86
2017-03-07,2017-03-07,269.82
2017-03-08,2017-03-08,271.45
2017-03-09,2017-03-09,269.14
2017-03-10,2017-03-10,269.63
2017-03-13,2017-03-13,274.43
2017-03-14,2017-03-14,275.39
2017-03-15,2017-03-15,270.71
2017-03-16,2017-03-16,272.06
2017-03-17,2017-03-17,274.2
2017-03-20,2017-03-20,273.08
2017-03-21,2017-03-21,270.5
2017-03-22,2017-03-22,271.4
2017-03-23,2017-03-23,271.45
2017-03-24,2017-03-24,271.76
2017-03-27,2017-03-27,269.8
2017-03-28,2017-03-28,269.71
2017-03-29,2017-03-29,274.78
2017-03-30,2017-03-30,272.41
2017-03-31,2017-03-31,269.84
2017-04-03,2017-04-03,258.69
2017-04-04,2017-04-04,255.51
2017-04-05,2017-04-05,255.17
2017-04-06,2017-04-06,254.37
2017-04-07,2017-04-07,253.19
2017-04-10,2017-04-10,254.91
2017-04-11,2017-04-11,254.74
2017-04-12,2017-04-12,253.03
2017-04-13,2017-04-13,251.99
2017-04-17,2017-04-17,253.95
2017-04-18,2017-04-18,256.06
2017-04-19,2017-04-19,258.87
2017-04-20,2017-04-20,263.0
2017-04-21,2017-04-21,265.36
2017-04-24,2017-04-24,269.28
2017-04-25,2017-04-25,263.96
2017-04-26,2017-04-26,265.07
2017-04-27,2017-04-27,257.19
2017-04-28,2017-04-28,248.15
2017-05-01,2017-05-01,241.7
2017-05-02,2017-05-02,245.82
2017-05-03,2017-05-03,246.94
2017-05-04,2017-05-04,250.82
2017-05-05,2017-05-05,252.7
2017-05-08,2017-05-08,253.82
2017-05-09,2017-05-09,255.75
2017-05-10,2017-05-10,257.49
2017-05-11,2017-05-11,256.28
2017-05-12,2017-05-12,255.5
2017-05-15,2017-05-15,258.13
2017-05-16,2017-05-16,254.91
2017-05-17,2017-05-17,248.91
2017-05-18,2017-05-18,249.78
2017-05-19,2017-05-19,251.36
2017-05-22,2017-05-22,248.46
2017-05-23,2017-05-23,240.18
2017-05-24,2017-05-24,240.01
2017-05-25,2017-05-25,243.85
2017-05-26,2017-05-26,248.48
2017-05-30,2017-05-30,247.63
2017-05-31,2017-05-31,242.08
2017-06-01,2017-06-01,245.65
2017-06-02,2017-06-02,245.92
2017-06-05,2017-06-05,240.18
2017-06-06,2017-06-06,235.41
2017-06-07,2017-06-07,234.89
2017-06-08,2017-06-08,230.62
2017-06-09,2017-06-09,232.84
2017-06-12,2017-06-12,234.72
2017-06-13,2017-06-13,234.54
2017-06-14,2017-06-14,234.33
2017-06-15,2017-06-15,233.97
2017-06-16,2017-06-16,231.39
2017-06-19,2017-06-19,230.38
2017-06-20,2017-06-20,225.01
2017-06-21,2017-06-21,220.77
2017-06-22,2017-06-22,220.13
2017-06-23,2017-06-23,220.08
2017-06-26,2017-06-26,222.97
2017-06-27,2017-06-27,221.87
2017-06-28,2017-06-28,217.02
2017-06-29,2017-06-29,216.04
2017-06-30,2017-06-30,218.74
2017-07-03,2017-07-03,220.41
2017-07-05,2017-07-05,178.77
2017-07-06,2017-07-06,176.53
2017-07-07,2017-07-07,172.85
2017-07-10,2017-07-10,173.17
2017-07-11,2017-07-11,174.1
2017-07-12,2017-07-12,177.1
2017-07-13,2017-07-13,184.63
2017-07-14,2017-07-14,184.22
2017-07-17,2017-07-17,185.5
2017-07-18,2017-07-18,187.54
2017-07-19,2017-07-19,186.91
2017-07-20,2017-07-20,188.69
2017-07-21,2017-07-21,188.19
2017-07-24,2017-07-24,184.43
2017-07-25,2017-07-25,186.85
2017-07-26,2017-07-26,187.43
2017-07-27,2017-07-27,201.31
2017-07-28,2017-07-28,200.03
2017-07-31,2017-07-31,204.3
2017-08-01,2017-08-01,208.16
2017-08-02,2017-08-02,209.66
2017-08-03,2017-08-03,205.6
2017-08-04,2017-08-04,205.05
2017-08-07,2017-08-07,205.09
2017-08-08,2017-08-08,203.07
2017-08-09,2017-08-09,203.17
2017-08-10,2017-08-10,197.22
2017-08-11,2017-08-11,198.91
2017-08-14,2017-08-14,198.44
2017-08-15,2017-08-15,196.0
2017-08-16,2017-08-16,201.58
2017-08-17,2017-08-17,200.63
2017-08-18,2017-08-18,197.92
2017-08-21,2017-08-21,197.8
2017-08-22,2017-08-22,197.99
2017-08-23,2017-08-23,195.26
2017-08-24,2017-08-24,196.44
2017-08-25,2017-08-25,202.28
2017-08-28,2017-08-28,198.06
2017-08-29,2017-08-29,197.02
2017-08-30,2017-08-30,198.09
2017-08-31,2017-08-31,196.13
2017-09-01,2017-09-01,196.99
2017-09-05,2017-09-05,200.38
2017-09-06,2017-09-06,202.28
2017-09-07,2017-09-07,200.38
2017-09-08,2017-09-08,199.1
2017-09-11,2017-09-11,196.41
2017-09-12,2017-09-12,199.27
2017-09-13,2017-09-13,208.01
2017-09-14,2017-09-14,207.13
2017-09-15,2017-09-15,209.86
2017-09-18,2017-09-18,210.08
2017-09-19,2017-09-19,202.91
2017-09-20,2017-09-20,203.26
2017-09-21,2017-09-21,202.26
2017-09-22,2017-09-22,209.59
2017-09-25,2017-09-25,215.15
2017-09-26,2017-09-26,212.95
2017-09-27,2017-09-27,214.51
2017-09-28,2017-09-28,215.28
2017-09-29,2017-09-29,215.37
2017-10-02,2017-10-02,215.4
2017-10-03,2017-10-03,213.95
2017-10-04,2017-10-04,212.16
2017-10-05,2017-10-05,211.18
2017-10-06,2017-10-06,212.94
2017-10-09,2017-10-09,207.82
2017-10-10,2017-10-10,209.87
2017-10-11,2017-10-11,208.42
2017-10-12,2017-10-12,207.01
2017-10-13,2017-10-13,209.72
2017-10-16,2017-10-16,209.02
2017-10-17,2017-10-17,212.01
2017-10-18,2017-10-18,212.99
2017-10-19,2017-10-19,209.3
2017-10-20,2017-10-20,205.9
