DATE,DATE,CLOSE
2016-11-01,2016-11-01,51.387295
2016-11-02,2016-11-02,51.321414
2016-11-03,2016-11-03,50.954362
2016-11-04,2016-11-04,51.312003
2016-11-07,2016-11-07,52.47904
2016-11-08,2016-11-08,52.290808
2016-11-09,2016-11-09,54.549591
2016-11-10,2016-11-10,56.780138
2016-11-11,2016-11-11,55.688393
2016-11-14,2016-11-14,56.046034
2016-11-15,2016-11-15,57.062486
2016-11-16,2016-11-16,56.751903
2016-11-17,2016-11-17,56.488379
2016-11-18,2016-11-18,56.2625
2016-11-21,2016-11-21,56.601318
2016-11-22,2016-11-22,57.175425
2016-11-23,2016-11-23,58.333051
2016-11-25,2016-11-25,58.351874
2016-11-28,2016-11-28,57.410715
2016-11-29,2016-11-29,57.664828
2016-11-30,2016-11-30,58.493048
2016-12-01,2016-12-01,59.33068
2016-12-02,2016-12-02,59.387149
2016-12-05,2016-12-05,61.561227
2016-12-06,2016-12-06,60.638891
2016-12-07,2016-12-07,63.650601
2016-12-08,2016-12-08,64.064711
2016-12-09,2016-12-09,63.697659
2016-12-12,2016-12-12,63.151786
2016-12-13,2016-12-13,63.217667
2016-12-14,2016-12-14,62.401003
2016-12-15,2016-12-15,62.078125
2016-12-16,2016-12-16,61.821721
2016-12-19,2016-12-19,61.926182
2016-12-20,2016-12-20,62.391507
2016-12-21,2016-12-21,62.068628
2016-12-22,2016-12-22,61.859707
2016-12-23,2016-12-23,62.135103
2016-12-27,2016-12-27,62.325032
2016-12-28,2016-12-28,61.688771
2016-12-29,2016-12-29,61.128482
2016-12-30,2016-12-30,60.68215
2017-01-03,2017-01-03,62.030642
2017-01-04,2017-01-04,62.885321
2017-01-05,2017-01-05,61.859707
2017-01-06,2017-01-06,62.562442
2017-01-09,2017-01-09,61.793232
2017-01-10,2017-01-10,62.91381
2017-01-11,2017-01-11,63.436113
2017-01-12,2017-01-12,62.989781
2017-01-13,2017-01-13,64.119856
2017-01-17,2017-01-17,63.55007
2017-01-18,2017-01-18,62.970788
2017-01-19,2017-01-19,62.429492
2017-01-20,2017-01-20,62.676399
2017-01-23,2017-01-23,62.173089
2017-01-24,2017-01-24,63.341149
2017-01-25,2017-01-25,64.955541
2017-01-26,2017-01-26,64.651656
2017-01-27,2017-01-27,64.186331
2017-01-30,2017-01-30,64.21482
2017-01-31,2017-01-31,63.920431
2017-02-01,2017-02-01,65.173959
2017-02-02,2017-02-02,64.186331
2017-02-03,2017-02-03,65.041009
2017-02-06,2017-02-06,64.642159
2017-02-07,2017-02-07,64.224316
2017-02-08,2017-02-08,63.474099
2017-02-09,2017-02-09,64.756116
2017-02-10,2017-02-10,65.268923
2017-02-13,2017-02-13,66.351515
2017-02-14,2017-02-14,66.541444
2017-02-15,2017-02-15,66.28504
2017-02-16,2017-02-16,65.259427
2017-02-17,2017-02-17,65.38288
2017-02-21,2017-02-21,65.306909
2017-02-22,2017-02-22,64.61367
2017-02-23,2017-02-23,64.043884
2017-02-24,2017-02-24,64.024892
2017-02-27,2017-02-27,64.205324
2017-02-28,2017-02-28,63.44561
2017-03-01,2017-03-01,65.705759
2017-03-02,2017-03-02,63.986906
2017-03-03,2017-03-03,65.173959
2017-03-06,2017-03-06,64.832088
2017-03-07,2017-03-07,64.167338
2017-03-08,2017-03-08,63.920431
2017-03-09,2017-03-09,63.360142
2017-03-10,2017-03-10,64.300288
2017-03-13,2017-03-13,64.452231
2017-03-14,2017-03-14,63.958417
2017-03-15,2017-03-15,65.401873
2017-03-16,2017-03-16,65.420866
2017-03-17,2017-03-17,66.019141
2017-03-20,2017-03-20,65.629787
2017-03-21,2017-03-21,64.243309
2017-03-22,2017-03-22,64.129352
2017-03-23,2017-03-23,64.186331
2017-03-24,2017-03-24,64.21482
2017-03-27,2017-03-27,63.141724
2017-03-28,2017-03-28,63.71151
2017-03-29,2017-03-29,64.243309
2017-03-30,2017-03-30,64.233813
