DATE,DATE,CLOSE
2016-11-01,2016-11-01,41.35
2016-11-02,2016-11-02,40.8
2016-11-03,2016-11-03,40.97
2016-11-04,2016-11-04,40.9
2016-11-07,2016-11-07,41.88
2016-11-08,2016-11-08,42.05
2016-11-09,2016-11-09,40.63
2016-11-10,2016-11-10,40.04
2016-11-11,2016-11-11,39.57
2016-11-14,2016-11-14,39.97
2016-11-15,2016-11-15,41.33
2016-11-16,2016-11-16,40.68
2016-11-17,2016-11-17,40.72
2016-11-18,2016-11-18,40.34
2016-11-21,2016-11-21,41.0
2016-11-22,2016-11-22,41.25
2016-11-23,2016-11-23,40.74
2016-11-25,2016-11-25,41.45
2016-11-28,2016-11-28,42.8
2016-11-29,2016-11-29,42.84
2016-11-30,2016-11-30,41.31
2016-12-01,2016-12-01,41.04
2016-12-02,2016-12-02,41.25
2016-12-05,2016-12-05,41.74
2016-12-06,2016-12-06,41.38
2016-12-07,2016-12-07,41.67
2016-12-08,2016-12-08,42.25
2016-12-09,2016-12-09,42.7
2016-12-12,2016-12-12,42.97
2016-12-13,2016-12-13,43.34
2016-12-14,2016-12-14,42.71
2016-12-15,2016-12-15,42.95
2016-12-16,2016-12-16,43.99
2016-12-19,2016-12-19,43.67
2016-12-20,2016-12-20,43.77
2016-12-21,2016-12-21,43.59
2016-12-22,2016-12-22,43.68
2016-12-23,2016-12-23,43.68
2016-12-27,2016-12-27,43.8
2016-12-28,2016-12-28,43.41
2016-12-29,2016-12-29,44.05
2016-12-30,2016-12-30,43.88
2017-01-03,2017-01-03,43.39
2017-01-04,2017-01-04,43.69
2017-01-05,2017-01-05,43.76
2017-01-06,2017-01-06,44.2
2017-01-09,2017-01-09,43.52
2017-01-10,2017-01-10,43.46
2017-01-11,2017-01-11,44.04
2017-01-12,2017-01-12,44.07
2017-01-13,2017-01-13,44.03
2017-01-17,2017-01-17,44.41
2017-01-18,2017-01-18,44.18
2017-01-19,2017-01-19,43.68
2017-01-20,2017-01-20,43.74
