DATE,DATE,CLOSE
2016-11-01,2016-11-01,31.07
2016-11-02,2016-11-02,30.63
2016-11-03,2016-11-03,29.89
2016-11-04,2016-11-04,30.0
2016-11-07,2016-11-07,30.38
2016-11-08,2016-11-08,30.0
2016-11-09,2016-11-09,32.12
2016-11-10,2016-11-10,33.49
2016-11-11,2016-11-11,32.59
2016-11-14,2016-11-14,32.38
2016-11-15,2016-11-15,32.23
2016-11-16,2016-11-16,31.96
2016-11-17,2016-11-17,31.73
2016-11-18,2016-11-18,31.48
2016-11-21,2016-11-21,31.57
2016-11-22,2016-11-22,31.33
2016-11-23,2016-11-23,31.42
2016-11-25,2016-11-25,31.69
2016-11-28,2016-11-28,31.54
2016-11-29,2016-11-29,31.92
2016-11-30,2016-11-30,32.14
2016-12-01,2016-12-01,31.46
2016-12-02,2016-12-02,31.63
2016-12-05,2016-12-05,31.59
2016-12-06,2016-12-06,31.56
2016-12-07,2016-12-07,31.19
2016-12-08,2016-12-08,30.94
2016-12-09,2016-12-09,31.7
2016-12-12,2016-12-12,32.4
2016-12-13,2016-12-13,32.83
2016-12-14,2016-12-14,32.82
2016-12-15,2016-12-15,32.75
2016-12-16,2016-12-16,32.84
2016-12-19,2016-12-19,32.83
2016-12-20,2016-12-20,32.85
2016-12-21,2016-12-21,32.4
2016-12-22,2016-12-22,32.34
2016-12-23,2016-12-23,32.48
2016-12-27,2016-12-27,32.53
2016-12-28,2016-12-28,32.35
2016-12-29,2016-12-29,32.49
2016-12-30,2016-12-30,32.48
2017-01-03,2017-01-03,33.0
2017-01-04,2017-01-04,33.29
2017-01-05,2017-01-05,33.61
2017-01-06,2017-01-06,33.48
2017-01-09,2017-01-09,33.47
2017-01-10,2017-01-10,33.44
2017-01-11,2017-01-11,32.83
2017-01-12,2017-01-12,32.6
2017-01-13,2017-01-13,32.52
2017-01-17,2017-01-17,32.06
2017-01-18,2017-01-18,32.03
2017-01-19,2017-01-19,31.7
2017-01-20,2017-01-20,31.77
2017-01-23,2017-01-23,31.46
2017-01-24,2017-01-24,31.15
2017-01-25,2017-01-25,31.29
2017-01-26,2017-01-26,31.28
2017-01-27,2017-01-27,31.42
2017-01-30,2017-01-30,31.31
2017-01-31,2017-01-31,31.73
2017-02-01,2017-02-01,31.67
2017-02-02,2017-02-02,31.73
2017-02-03,2017-02-03,32.09
2017-02-06,2017-02-06,32.23
2017-02-07,2017-02-07,32.08
2017-02-08,2017-02-08,32.14
2017-02-09,2017-02-09,32.38
2017-02-10,2017-02-10,32.35
2017-02-13,2017-02-13,32.61
2017-02-14,2017-02-14,32.75
2017-02-15,2017-02-15,33.51
2017-02-16,2017-02-16,33.62
2017-02-17,2017-02-17,33.62
2017-02-21,2017-02-21,33.62
2017-02-22,2017-02-22,33.59
2017-02-23,2017-02-23,34.06
2017-02-24,2017-02-24,34.26
2017-02-27,2017-02-27,34.28
2017-02-28,2017-02-28,34.12
2017-03-01,2017-03-01,34.42
2017-03-02,2017-03-02,34.51
2017-03-03,2017-03-03,34.52
2017-03-06,2017-03-06,34.35
2017-03-07,2017-03-07,33.99
2017-03-08,2017-03-08,33.91
2017-03-09,2017-03-09,34.05
2017-03-10,2017-03-10,34.11
2017-03-13,2017-03-13,34.11
2017-03-14,2017-03-14,34.22
2017-03-15,2017-03-15,34.63
2017-03-16,2017-03-16,34.43
2017-03-17,2017-03-17,34.32
2017-03-20,2017-03-20,34.38
2017-03-21,2017-03-21,34.25
2017-03-22,2017-03-22,34.47
2017-03-23,2017-03-23,34.29
2017-03-24,2017-03-24,34.0
2017-03-27,2017-03-27,34.18
2017-03-28,2017-03-28,34.16
2017-03-29,2017-03-29,34.33
2017-03-30,2017-03-30,34.35
2017-03-31,2017-03-31,34.21
2017-04-03,2017-04-03,34.24
2017-04-04,2017-04-04,34.34
2017-04-05,2017-04-05,34.19
2017-04-06,2017-04-06,34.11
2017-04-07,2017-04-07,34.1
2017-04-10,2017-04-10,34.04
2017-04-11,2017-04-11,33.93
2017-04-12,2017-04-12,33.92
2017-04-13,2017-04-13,33.88
2017-04-17,2017-04-17,34.0
2017-04-18,2017-04-18,33.84
2017-04-19,2017-04-19,33.61
2017-04-20,2017-04-20,33.74
2017-04-21,2017-04-21,33.64
2017-04-24,2017-04-24,33.74
2017-04-25,2017-04-25,33.76
2017-04-26,2017-04-26,33.85
2017-04-27,2017-04-27,33.86
2017-04-28,2017-04-28,33.92
2017-05-01,2017-05-01,33.78
2017-05-02,2017-05-02,33.61
2017-05-03,2017-05-03,33.47
2017-05-04,2017-05-04,33.45
2017-05-05,2017-05-05,33.48
2017-05-08,2017-05-08,33.45
2017-05-09,2017-05-09,33.38
2017-05-10,2017-05-10,33.03
2017-05-11,2017-05-11,33.04
2017-05-12,2017-05-12,33.01
2017-05-15,2017-05-15,33.12
2017-05-16,2017-05-16,32.6
2017-05-17,2017-05-17,32.23
2017-05-18,2017-05-18,32.22
2017-05-19,2017-05-19,32.46
2017-05-22,2017-05-22,32.12
2017-05-23,2017-05-23,32.14
2017-05-24,2017-05-24,32.05
2017-05-25,2017-05-25,32.16
2017-05-26,2017-05-26,32.14
2017-05-30,2017-05-30,32.13
2017-05-31,2017-05-31,32.65
2017-06-01,2017-06-01,32.71
2017-06-02,2017-06-02,32.54
2017-06-05,2017-06-05,32.35
2017-06-06,2017-06-06,32.07
