DATE,DATE,CLOSE
2016-11-01,2016-11-01,54.15
2016-11-02,2016-11-02,53.46
2016-11-03,2016-11-03,53.33
2016-11-04,2016-11-04,53.13
2016-11-07,2016-11-07,54.32
2016-11-08,2016-11-08,54.49
2016-11-09,2016-11-09,56.1
2016-11-10,2016-11-10,57.88
2016-11-11,2016-11-11,57.3
2016-11-14,2016-11-14,57.31
2016-11-15,2016-11-15,57.71
2016-11-16,2016-11-16,57.12
2016-11-17,2016-11-17,57.79
2016-11-18,2016-11-18,57.66
2016-11-21,2016-11-21,57.8
2016-11-22,2016-11-22,57.68
2016-11-23,2016-11-23,58.41
2016-11-25,2016-11-25,58.33
2016-11-28,2016-11-28,57.06
2016-11-29,2016-11-29,57.19
2016-11-30,2016-11-30,57.69
2016-12-01,2016-12-01,58.31
2016-12-02,2016-12-02,57.78
2016-12-05,2016-12-05,59.47
2016-12-06,2016-12-06,59.42
2016-12-07,2016-12-07,60.69
2016-12-08,2016-12-08,60.86
2016-12-09,2016-12-09,60.3
2016-12-12,2016-12-12,59.44
2016-12-13,2016-12-13,59.52
2016-12-14,2016-12-14,58.72
2016-12-15,2016-12-15,59.08
2016-12-16,2016-12-16,57.8
2016-12-19,2016-12-19,57.84
2016-12-20,2016-12-20,58.75
2016-12-21,2016-12-21,59.11
2016-12-22,2016-12-22,58.42
2016-12-23,2016-12-23,58.41
2016-12-27,2016-12-27,58.73
2016-12-28,2016-12-28,58.0
2016-12-29,2016-12-29,57.85
2016-12-30,2016-12-30,57.86
2017-01-03,2017-01-03,58.58
2017-01-04,2017-01-04,59.11
2017-01-05,2017-01-05,58.51
2017-01-06,2017-01-06,58.86
2017-01-09,2017-01-09,58.19
2017-01-10,2017-01-10,58.65
2017-01-11,2017-01-11,58.98
2017-01-12,2017-01-12,58.87
2017-01-13,2017-01-13,59.03
2017-01-17,2017-01-17,58.27
2017-01-18,2017-01-18,59.48
2017-01-19,2017-01-19,58.3
2017-01-20,2017-01-20,58.24
2017-01-23,2017-01-23,57.74
2017-01-24,2017-01-24,58.58
2017-01-25,2017-01-25,59.65
2017-01-26,2017-01-26,58.57
2017-01-27,2017-01-27,58.0
2017-01-30,2017-01-30,57.74
2017-01-31,2017-01-31,57.09
2017-02-01,2017-02-01,57.2
2017-02-02,2017-02-02,57.51
2017-02-03,2017-02-03,59.42
2017-02-06,2017-02-06,59.47
2017-02-07,2017-02-07,59.72
2017-02-08,2017-02-08,59.84
2017-02-09,2017-02-09,60.58
2017-02-10,2017-02-10,60.86
2017-02-13,2017-02-13,62.09
2017-02-14,2017-02-14,62.06
2017-02-15,2017-02-15,62.73
2017-02-16,2017-02-16,62.6
2017-02-17,2017-02-17,62.12
2017-02-21,2017-02-21,62.42
2017-02-22,2017-02-22,62.83
2017-02-23,2017-02-23,62.87
2017-02-24,2017-02-24,62.75
2017-02-27,2017-02-27,62.78
2017-02-28,2017-02-28,62.54
2017-03-01,2017-03-01,64.02
2017-03-02,2017-03-02,62.71
2017-03-03,2017-03-03,63.57
2017-03-06,2017-03-06,63.37
2017-03-07,2017-03-07,63.04
2017-03-08,2017-03-08,63.07
2017-03-09,2017-03-09,63.07
2017-03-10,2017-03-10,63.54
2017-03-13,2017-03-13,63.58
2017-03-14,2017-03-14,63.01
2017-03-15,2017-03-15,63.83
2017-03-16,2017-03-16,64.2
2017-03-17,2017-03-17,63.44
2017-03-20,2017-03-20,63.11
2017-03-21,2017-03-21,61.26
2017-03-22,2017-03-22,61.9
2017-03-23,2017-03-23,62.18
2017-03-24,2017-03-24,62.17
2017-03-27,2017-03-27,62.11
2017-03-28,2017-03-28,63.01
2017-03-29,2017-03-29,62.47
2017-03-30,2017-03-30,63.11
2017-03-31,2017-03-31,63.11
2017-04-03,2017-04-03,63.09
2017-04-04,2017-04-04,62.85
2017-04-05,2017-04-05,62.16
2017-04-06,2017-04-06,62.73
2017-04-07,2017-04-07,62.57
2017-04-10,2017-04-10,62.67
2017-04-11,2017-04-11,62.9
2017-04-12,2017-04-12,61.93
2017-04-13,2017-04-13,61.51
2017-04-17,2017-04-17,62.63
2017-04-18,2017-04-18,62.39
2017-04-19,2017-04-19,62.08
2017-04-20,2017-04-20,62.92
2017-04-21,2017-04-21,62.81
2017-04-24,2017-04-24,63.92
2017-04-25,2017-04-25,64.35
2017-04-26,2017-04-26,64.31
2017-04-27,2017-04-27,65.18
2017-04-28,2017-04-28,65.13
2017-05-01,2017-05-01,64.97
2017-05-02,2017-05-02,64.91
2017-05-03,2017-05-03,64.9
2017-05-04,2017-05-04,64.43
2017-05-05,2017-05-05,64.34
2017-05-08,2017-05-08,63.95
2017-05-09,2017-05-09,63.46
2017-05-10,2017-05-10,63.86
2017-05-11,2017-05-11,63.54
2017-05-12,2017-05-12,63.0
2017-05-15,2017-05-15,63.71
2017-05-16,2017-05-16,63.98
2017-05-17,2017-05-17,61.4
2017-05-18,2017-05-18,60.55
2017-05-19,2017-05-19,60.83
2017-05-22,2017-05-22,61.43
2017-05-23,2017-05-23,61.71
2017-05-24,2017-05-24,61.96
2017-05-25,2017-05-25,62.66
2017-05-26,2017-05-26,62.75
2017-05-30,2017-05-30,62.52
2017-05-31,2017-05-31,62.91
2017-06-01,2017-06-01,64.08
2017-06-02,2017-06-02,63.96
2017-06-05,2017-06-05,63.29
2017-06-06,2017-06-06,62.07
2017-06-07,2017-06-07,62.41
2017-06-08,2017-06-08,63.63
2017-06-09,2017-06-09,64.91
2017-06-12,2017-06-12,64.97
2017-06-13,2017-06-13,65.54
2017-06-14,2017-06-14,65.36
2017-06-15,2017-06-15,65.2
2017-06-16,2017-06-16,65.35
2017-06-19,2017-06-19,65.88
2017-06-20,2017-06-20,65.02
2017-06-21,2017-06-21,63.86
2017-06-22,2017-06-22,62.69
2017-06-23,2017-06-23,62.58
2017-06-26,2017-06-26,63.06
2017-06-27,2017-06-27,63.4
2017-06-28,2017-06-28,64.69
2017-06-29,2017-06-29,64.53
2017-06-30,2017-06-30,64.07
2017-07-03,2017-07-03,64.76
2017-07-05,2017-07-05,64.25
2017-07-06,2017-07-06,64.12
2017-07-07,2017-07-07,64.61
2017-07-10,2017-07-10,65.36
2017-07-11,2017-07-11,65.16
2017-07-12,2017-07-12,65.51
2017-07-13,2017-07-13,65.95
2017-07-14,2017-07-14,66.1
2017-07-17,2017-07-17,66.34
2017-07-18,2017-07-18,66.41
2017-07-19,2017-07-19,66.7
