DATE,DATE,CLOSE
2016-11-01,2016-11-01,31.27
2016-11-02,2016-11-02,31.12
2016-11-03,2016-11-03,31.35
2016-11-04,2016-11-04,31.11
2016-11-07,2016-11-07,31.45
2016-11-08,2016-11-08,31.98
2016-11-09,2016-11-09,32.08
2016-11-10,2016-11-10,33.0
2016-11-11,2016-11-11,33.21
2016-11-14,2016-11-14,33.4
2016-11-15,2016-11-15,33.34
2016-11-16,2016-11-16,32.56
2016-11-17,2016-11-17,32.93
2016-11-18,2016-11-18,32.94
2016-11-21,2016-11-21,32.94
2016-11-22,2016-11-22,33.26
2016-11-23,2016-11-23,33.4
2016-11-25,2016-11-25,33.45
2016-11-28,2016-11-28,33.42
2016-11-29,2016-11-29,33.58
2016-11-30,2016-11-30,33.3
2016-12-01,2016-12-01,33.63
2016-12-02,2016-12-02,33.54
2016-12-05,2016-12-05,33.32
2016-12-06,2016-12-06,33.44
2016-12-07,2016-12-07,33.86
2016-12-08,2016-12-08,34.05
2016-12-09,2016-12-09,34.27
2016-12-12,2016-12-12,34.53
2016-12-13,2016-12-13,34.41
2016-12-14,2016-12-14,35.09
2016-12-15,2016-12-15,35.47
2016-12-16,2016-12-16,35.72
2016-12-19,2016-12-19,35.69
2016-12-20,2016-12-20,35.74
2016-12-21,2016-12-21,35.73
2016-12-22,2016-12-22,35.62
2016-12-23,2016-12-23,35.6
2016-12-27,2016-12-27,35.73
2016-12-28,2016-12-28,35.47
2016-12-29,2016-12-29,35.51
2016-12-30,2016-12-30,35.5
2017-01-03,2017-01-03,35.53
2017-01-04,2017-01-04,35.85
2017-01-05,2017-01-05,35.84
2017-01-06,2017-01-06,36.03
2017-01-09,2017-01-09,35.72
2017-01-10,2017-01-10,36.32
2017-01-11,2017-01-11,36.47
2017-01-12,2017-01-12,36.2
2017-01-13,2017-01-13,36.25
2017-01-17,2017-01-17,35.98
2017-01-18,2017-01-18,36.35
2017-01-19,2017-01-19,36.38
2017-01-20,2017-01-20,36.54
2017-01-23,2017-01-23,36.44
2017-01-24,2017-01-24,36.61
2017-01-25,2017-01-25,37.77
2017-01-26,2017-01-26,38.04
2017-01-27,2017-01-27,38.0
2017-01-30,2017-01-30,37.49
2017-01-31,2017-01-31,37.44
2017-02-01,2017-02-01,36.94
2017-02-02,2017-02-02,37.09
2017-02-03,2017-02-03,37.13
2017-02-06,2017-02-06,37.01
2017-02-07,2017-02-07,37.04
2017-02-08,2017-02-08,36.97
2017-02-09,2017-02-09,37.32
2017-02-10,2017-02-10,37.66
2017-02-13,2017-02-13,37.6
2017-02-14,2017-02-14,37.45
2017-02-15,2017-02-15,38.39
2017-02-16,2017-02-16,38.61
2017-02-17,2017-02-17,38.57
2017-02-21,2017-02-21,38.93
2017-02-22,2017-02-22,38.84
2017-02-23,2017-02-23,39.09
2017-02-24,2017-02-24,39.05
2017-02-27,2017-02-27,38.9
2017-02-28,2017-02-28,39.18
2017-03-01,2017-03-01,39.87
2017-03-02,2017-03-02,39.68
2017-03-03,2017-03-03,39.83
2017-03-06,2017-03-06,39.41
2017-03-07,2017-03-07,39.32
2017-03-08,2017-03-08,39.31
2017-03-09,2017-03-09,39.35
2017-03-10,2017-03-10,39.54
2017-03-13,2017-03-13,39.68
2017-03-14,2017-03-14,39.76
2017-03-15,2017-03-15,40.16
2017-03-16,2017-03-16,40.03
2017-03-17,2017-03-17,40.31
2017-03-20,2017-03-20,40.22
2017-03-21,2017-03-21,40.02
2017-03-22,2017-03-22,39.8
2017-03-23,2017-03-23,39.57
2017-03-24,2017-03-24,39.53
2017-03-27,2017-03-27,39.48
2017-03-28,2017-03-28,39.85
2017-03-29,2017-03-29,39.38
2017-03-30,2017-03-30,39.48
2017-03-31,2017-03-31,39.18
2017-04-03,2017-04-03,39.28
2017-04-04,2017-04-04,39.26
2017-04-05,2017-04-05,39.25
2017-04-06,2017-04-06,39.25
2017-04-07,2017-04-07,39.29
2017-04-10,2017-04-10,39.61
2017-04-11,2017-04-11,39.51
2017-04-12,2017-04-12,39.28
2017-04-13,2017-04-13,39.29
2017-04-17,2017-04-17,39.56
2017-04-18,2017-04-18,39.01
2017-04-19,2017-04-19,38.87
2017-04-20,2017-04-20,39.41
2017-04-21,2017-04-21,39.38
2017-04-24,2017-04-24,39.71
2017-04-25,2017-04-25,39.92
2017-04-26,2017-04-26,39.98
2017-04-27,2017-04-27,40.1
2017-04-28,2017-04-28,39.72
2017-05-01,2017-05-01,39.77
2017-05-02,2017-05-02,39.41
2017-05-03,2017-05-03,40.05
2017-05-04,2017-05-04,40.37
2017-05-05,2017-05-05,40.74
2017-05-08,2017-05-08,40.58
2017-05-09,2017-05-09,40.32
2017-05-10,2017-05-10,40.53
2017-05-11,2017-05-11,40.23
2017-05-12,2017-05-12,39.98
2017-05-15,2017-05-15,40.22
2017-05-16,2017-05-16,40.12
2017-05-17,2017-05-17,41.16
2017-05-18,2017-05-18,41.57
2017-05-19,2017-05-19,41.1
2017-05-22,2017-05-22,41.52
2017-05-23,2017-05-23,41.55
2017-05-24,2017-05-24,41.82
2017-05-25,2017-05-25,42.27
2017-05-26,2017-05-26,42.3
2017-05-30,2017-05-30,42.22
2017-05-31,2017-05-31,42.43
2017-06-01,2017-06-01,42.76
2017-06-02,2017-06-02,43.08
2017-06-05,2017-06-05,43.06
2017-06-06,2017-06-06,42.96
2017-06-07,2017-06-07,42.95
2017-06-08,2017-06-08,43.06
2017-06-09,2017-06-09,43.48
2017-06-12,2017-06-12,43.68
2017-06-13,2017-06-13,43.61
2017-06-14,2017-06-14,44.41
2017-06-15,2017-06-15,44.74
2017-06-16,2017-06-16,44.83
2017-06-19,2017-06-19,44.7
2017-06-20,2017-06-20,44.41
2017-06-21,2017-06-21,44.47
2017-06-22,2017-06-22,44.09
2017-06-23,2017-06-23,44.39
2017-06-26,2017-06-26,44.56
2017-06-27,2017-06-27,44.63
2017-06-28,2017-06-28,44.53
2017-06-29,2017-06-29,44.15
2017-06-30,2017-06-30,44.09
2017-07-03,2017-07-03,44.31
2017-07-05,2017-07-05,44.76
2017-07-06,2017-07-06,44.43
2017-07-07,2017-07-07,44.99
2017-07-10,2017-07-10,45.0
2017-07-11,2017-07-11,44.58
2017-07-12,2017-07-12,44.86
2017-07-13,2017-07-13,45.2
2017-07-14,2017-07-14,45.58
2017-07-17,2017-07-17,45.45
2017-07-18,2017-07-18,45.34
2017-07-19,2017-07-19,45.67
2017-07-20,2017-07-20,46.48
2017-07-21,2017-07-21,46.36
2017-07-24,2017-07-24,46.78
2017-07-25,2017-07-25,46.91
2017-07-26,2017-07-26,46.51
2017-07-27,2017-07-27,46.28
2017-07-28,2017-07-28,47.22
2017-07-31,2017-07-31,47.13
2017-08-01,2017-08-01,47.26
2017-08-02,2017-08-02,47.22
2017-08-03,2017-08-03,47.61
2017-08-04,2017-08-04,47.71
2017-08-07,2017-08-07,47.67
2017-08-08,2017-08-08,47.64
2017-08-09,2017-08-09,48.04
2017-08-10,2017-08-10,47.71
2017-08-11,2017-08-11,47.23
2017-08-14,2017-08-14,47.77
2017-08-15,2017-08-15,47.59
2017-08-16,2017-08-16,48.71
2017-08-17,2017-08-17,48.51
2017-08-18,2017-08-18,48.63
2017-08-21,2017-08-21,48.69
2017-08-22,2017-08-22,48.89
2017-08-23,2017-08-23,48.83
2017-08-24,2017-08-24,48.26
2017-08-25,2017-08-25,48.4
2017-08-28,2017-08-28,47.31
2017-08-29,2017-08-29,47.63
2017-08-30,2017-08-30,46.57
2017-08-31,2017-08-31,46.48
2017-09-01,2017-09-01,45.66
2017-09-05,2017-09-05,44.11
2017-09-06,2017-09-06,44.94
2017-09-07,2017-09-07,43.73
2017-09-08,2017-09-08,45.41
2017-09-11,2017-09-11,46.42
2017-09-12,2017-09-12,46.58
2017-09-13,2017-09-13,46.14
2017-09-14,2017-09-14,46.07
2017-09-15,2017-09-15,46.02
2017-09-18,2017-09-18,46.31
2017-09-19,2017-09-19,47.63
2017-09-20,2017-09-20,47.7
2017-09-21,2017-09-21,47.68
2017-09-22,2017-09-22,47.98
2017-09-25,2017-09-25,48.0
2017-09-26,2017-09-26,47.85
2017-09-27,2017-09-27,47.71
2017-09-28,2017-09-28,48.06
2017-09-29,2017-09-29,48.42
2017-10-02,2017-10-02,49.03
2017-10-03,2017-10-03,49.07
2017-10-04,2017-10-04,49.17
2017-10-05,2017-10-05,49.05
2017-10-06,2017-10-06,49.28
2017-10-09,2017-10-09,49.45
2017-10-10,2017-10-10,49.37
2017-10-11,2017-10-11,49.25
2017-10-12,2017-10-12,48.75
2017-10-13,2017-10-13,48.67
2017-10-16,2017-10-16,48.98
2017-10-17,2017-10-17,48.55
2017-10-18,2017-10-18,48.09
2017-10-19,2017-10-19,48.69
2017-10-20,2017-10-20,48.91
2017-10-23,2017-10-23,48.9
2017-10-24,2017-10-24,49.03
2017-10-25,2017-10-25,48.61
2017-10-26,2017-10-26,49.15
2017-10-27,2017-10-27,48.9
2017-10-30,2017-10-30,48.66
2017-10-31,2017-10-31,48.65
2017-11-01,2017-11-01,48.8
2017-11-02,2017-11-02,49.31
2017-11-03,2017-11-03,50.15
2017-11-06,2017-11-06,50.21
2017-11-07,2017-11-07,50.49
2017-11-08,2017-11-08,50.55
2017-11-09,2017-11-09,50.64
2017-11-10,2017-11-10,50.75
2017-11-13,2017-11-13,51.1
2017-11-14,2017-11-14,51.28
2017-11-15,2017-11-15,51.65
2017-11-16,2017-11-16,51.57
2017-11-17,2017-11-17,51.55
2017-11-20,2017-11-20,51.82
2017-11-21,2017-11-21,51.87
2017-11-22,2017-11-22,51.68
2017-11-24,2017-11-24,51.85
2017-11-27,2017-11-27,52.07
2017-11-28,2017-11-28,52.78
2017-11-29,2017-11-29,52.45
2017-11-30,2017-11-30,53.18
2017-12-01,2017-12-01,53.6
2017-12-04,2017-12-04,54.36
2017-12-05,2017-12-05,54.25
2017-12-06,2017-12-06,54.59
2017-12-07,2017-12-07,54.52
2017-12-08,2017-12-08,54.99
2017-12-11,2017-12-11,54.88
2017-12-12,2017-12-12,55.15
2017-12-13,2017-12-13,55.86
2017-12-14,2017-12-14,55.14
2017-12-15,2017-12-15,55.46
2017-12-18,2017-12-18,55.2
2017-12-19,2017-12-19,55.79
2017-12-20,2017-12-20,56.17
2017-12-21,2017-12-21,55.8
2017-12-22,2017-12-22,56.09
2017-12-26,2017-12-26,56.22
2017-12-27,2017-12-27,56.36
2017-12-28,2017-12-28,56.51
2017-12-29,2017-12-29,56.32
2018-01-02,2018-01-02,55.36
2018-01-03,2018-01-03,55.33
2018-01-04,2018-01-04,55.32
2018-01-05,2018-01-05,55.53
2018-01-08,2018-01-08,55.7
2018-01-09,2018-01-09,56.17
2018-01-10,2018-01-10,55.68
2018-01-11,2018-01-11,55.66
2018-01-12,2018-01-12,55.94
2018-01-16,2018-01-16,56.27
2018-01-17,2018-01-17,57.23
2018-01-18,2018-01-18,57.29
2018-01-19,2018-01-19,57.66
2018-01-22,2018-01-22,58.22
2018-01-23,2018-01-23,57.05
2018-01-24,2018-01-24,55.33
2018-01-25,2018-01-25,55.76
2018-01-26,2018-01-26,54.83
2018-01-29,2018-01-29,53.13
2018-01-30,2018-01-30,53.49
2018-01-31,2018-01-31,54.1
2018-02-01,2018-02-01,53.58
2018-02-02,2018-02-02,53.24
2018-02-05,2018-02-05,51.95
2018-02-06,2018-02-06,52.87
2018-02-07,2018-02-07,53.4
2018-02-08,2018-02-08,51.07
2018-02-09,2018-02-09,52.22
2018-02-12,2018-02-12,52.38
2018-02-13,2018-02-13,53.22
2018-02-14,2018-02-14,56.3
2018-02-15,2018-02-15,56.78
2018-02-16,2018-02-16,57.35
2018-02-20,2018-02-20,56.54
2018-02-21,2018-02-21,57.17
2018-02-22,2018-02-22,56.85
2018-02-23,2018-02-23,57.71
2018-02-26,2018-02-26,58.85
2018-02-27,2018-02-27,58.53
2018-02-28,2018-02-28,57.58
2018-03-01,2018-03-01,57.79
2018-03-02,2018-03-02,57.58
2018-03-05,2018-03-05,58.79
2018-03-06,2018-03-06,58.62
