DATE,DATE,CLOSE
2016-11-01,2016-11-01,18.63
2016-11-02,2016-11-02,18.31
2016-11-03,2016-11-03,18.01
2016-11-04,2016-11-04,18.24
2016-11-07,2016-11-07,18.6
2016-11-08,2016-11-08,18.31
2016-11-09,2016-11-09,18.04
2016-11-10,2016-11-10,18.69
2016-11-11,2016-11-11,18.32
2016-11-14,2016-11-14,18.64
2016-11-15,2016-11-15,18.66
2016-11-16,2016-11-16,18.44
2016-11-17,2016-11-17,18.94
2016-11-18,2016-11-18,18.84
2016-11-21,2016-11-21,18.91
2016-11-22,2016-11-22,18.82
2016-11-23,2016-11-23,18.99
2016-11-25,2016-11-25,19.27
2016-11-28,2016-11-28,19.1
2016-11-29,2016-11-29,19.29
2016-11-30,2016-11-30,18.86
2016-12-01,2016-12-01,18.39
2016-12-02,2016-12-02,18.31
2016-12-05,2016-12-05,18.28
2016-12-06,2016-12-06,18.68
2016-12-07,2016-12-07,19.31
2016-12-08,2016-12-08,19.85
2016-12-09,2016-12-09,19.6
2016-12-12,2016-12-12,19.83
2016-12-13,2016-12-13,19.7
2016-12-14,2016-12-14,19.09
2016-12-15,2016-12-15,18.73
2016-12-16,2016-12-16,18.83
2016-12-19,2016-12-19,18.91
2016-12-20,2016-12-20,19.09
2016-12-21,2016-12-21,19.15
2016-12-22,2016-12-22,18.55
2016-12-23,2016-12-23,18.38
2016-12-27,2016-12-27,18.62
2016-12-28,2016-12-28,18.45
2016-12-29,2016-12-29,18.5
2016-12-30,2016-12-30,18.38
2017-01-03,2017-01-03,18.55
2017-01-04,2017-01-04,18.99
2017-01-05,2017-01-05,18.93
2017-01-06,2017-01-06,18.46
2017-01-09,2017-01-09,18.53
2017-01-10,2017-01-10,18.69
2017-01-11,2017-01-11,18.84
2017-01-12,2017-01-12,19.01
2017-01-13,2017-01-13,19.19
2017-01-17,2017-01-17,19.16
2017-01-18,2017-01-18,19.21
2017-01-19,2017-01-19,18.94
2017-01-20,2017-01-20,19.12
2017-01-23,2017-01-23,19.21
2017-01-24,2017-01-24,20.34
2017-01-25,2017-01-25,20.44
2017-01-26,2017-01-26,21.18
2017-01-27,2017-01-27,21.26
2017-01-30,2017-01-30,21.39
2017-01-31,2017-01-31,21.51
2017-02-01,2017-02-01,21.21
2017-02-02,2017-02-02,21.26
2017-02-03,2017-02-03,21.39
2017-02-06,2017-02-06,21.29
2017-02-07,2017-02-07,21.25
2017-02-08,2017-02-08,21.27
2017-02-09,2017-02-09,21.4
2017-02-10,2017-02-10,21.62
2017-02-13,2017-02-13,21.52
2017-02-14,2017-02-14,21.49
2017-02-15,2017-02-15,21.63
2017-02-16,2017-02-16,21.34
2017-02-17,2017-02-17,21.4
2017-02-21,2017-02-21,21.61
2017-02-22,2017-02-22,21.71
2017-02-23,2017-02-23,21.6
2017-02-24,2017-02-24,21.73
