DATE,DATE,CLOSE
2016-11-01,2016-11-01,80.33
2016-11-02,2016-11-02,79.73
2016-11-03,2016-11-03,78.67
2016-11-04,2016-11-04,79.07
2016-11-07,2016-11-07,79.34
2016-11-08,2016-11-08,80.14
2016-11-09,2016-11-09,82.27
2016-11-10,2016-11-10,82.12
2016-11-11,2016-11-11,82.6
2016-11-14,2016-11-14,85.97
2016-11-15,2016-11-15,85.92
2016-11-16,2016-11-16,85.72
2016-11-17,2016-11-17,86.78
2016-11-18,2016-11-18,87.51
2016-11-21,2016-11-21,86.29
2016-11-22,2016-11-22,84.67
2016-11-23,2016-11-23,84.72
2016-11-25,2016-11-25,85.43
2016-11-28,2016-11-28,85.4
2016-11-29,2016-11-29,85.64
2016-11-30,2016-11-30,84.76
2016-12-01,2016-12-01,85.19
2016-12-02,2016-12-02,87.07
2016-12-05,2016-12-05,87.15
2016-12-06,2016-12-06,86.94
2016-12-07,2016-12-07,87.29
2016-12-08,2016-12-08,87.33
2016-12-09,2016-12-09,87.38
2016-12-12,2016-12-12,86.48
2016-12-13,2016-12-13,86.59
2016-12-14,2016-12-14,86.16
2016-12-15,2016-12-15,86.53
2016-12-16,2016-12-16,86.46
2016-12-19,2016-12-19,86.75
2016-12-20,2016-12-20,86.72
2016-12-21,2016-12-21,86.51
2016-12-22,2016-12-22,85.98
2016-12-23,2016-12-23,86.48
2016-12-27,2016-12-27,86.66
2016-12-28,2016-12-28,85.19
2016-12-29,2016-12-29,85.06
2016-12-30,2016-12-30,84.82
2017-01-03,2017-01-03,85.0
2017-01-04,2017-01-04,86.37
2017-01-05,2017-01-05,85.33
2017-01-06,2017-01-06,87.2
2017-01-09,2017-01-09,87.77
2017-01-10,2017-01-10,87.98
2017-01-11,2017-01-11,88.52
2017-01-12,2017-01-12,86.88
2017-01-13,2017-01-13,87.22
2017-01-17,2017-01-17,85.67
2017-01-18,2017-01-18,86.66
2017-01-19,2017-01-19,85.76
2017-01-20,2017-01-20,86.05
2017-01-23,2017-01-23,88.33
2017-01-24,2017-01-24,92.08
2017-01-25,2017-01-25,94.7
2017-01-26,2017-01-26,94.02
2017-01-27,2017-01-27,93.58
2017-01-30,2017-01-30,91.82
2017-01-31,2017-01-31,92.18
2017-02-01,2017-02-01,93.1
2017-02-02,2017-02-02,93.37
2017-02-03,2017-02-03,94.22
2017-02-06,2017-02-06,94.2
2017-02-07,2017-02-07,95.08
2017-02-08,2017-02-08,94.18
2017-02-09,2017-02-09,93.75
2017-02-10,2017-02-10,94.09
2017-02-13,2017-02-13,94.87
2017-02-14,2017-02-14,95.14
2017-02-15,2017-02-15,95.46
2017-02-16,2017-02-16,96.62
2017-02-17,2017-02-17,95.26
2017-02-21,2017-02-21,95.81
2017-02-22,2017-02-22,94.0
2017-02-23,2017-02-23,93.99
2017-02-24,2017-02-24,93.45
2017-02-27,2017-02-27,93.66
2017-02-28,2017-02-28,92.43
2017-03-01,2017-03-01,93.75
2017-03-02,2017-03-02,93.5
2017-03-03,2017-03-03,93.74
2017-03-06,2017-03-06,92.34
2017-03-07,2017-03-07,92.45
2017-03-08,2017-03-08,92.97
2017-03-09,2017-03-09,92.78
2017-03-10,2017-03-10,92.18
2017-03-13,2017-03-13,92.02
2017-03-14,2017-03-14,91.85
2017-03-15,2017-03-15,92.9
2017-03-16,2017-03-16,92.41
2017-03-17,2017-03-17,92.36
2017-03-20,2017-03-20,94.41
2017-03-21,2017-03-21,91.54
2017-03-22,2017-03-22,92.12
2017-03-23,2017-03-23,92.44
2017-03-24,2017-03-24,90.41
2017-03-27,2017-03-27,89.21
2017-03-28,2017-03-28,90.81
2017-03-29,2017-03-29,90.05
2017-03-30,2017-03-30,91.11
2017-03-31,2017-03-31,91.62
2017-04-03,2017-04-03,90.79
2017-04-04,2017-04-04,91.16
2017-04-05,2017-04-05,90.82
2017-04-06,2017-04-06,91.77
2017-04-07,2017-04-07,91.04
2017-04-10,2017-04-10,91.0
2017-04-11,2017-04-11,91.01
2017-04-12,2017-04-12,90.18
2017-04-13,2017-04-13,90.02
2017-04-17,2017-04-17,91.31
2017-04-18,2017-04-18,92.48
2017-04-19,2017-04-19,93.61
2017-04-20,2017-04-20,93.84
2017-04-21,2017-04-21,93.73
2017-04-24,2017-04-24,94.08
2017-04-25,2017-04-25,94.36
2017-04-26,2017-04-26,94.54
2017-04-27,2017-04-27,100.24
2017-04-28,2017-04-28,98.78
2017-05-01,2017-05-01,98.63
2017-05-02,2017-05-02,98.78
2017-05-03,2017-05-03,98.91
2017-05-04,2017-05-04,100.52
2017-05-05,2017-05-05,102.2
2017-05-08,2017-05-08,101.31
2017-05-09,2017-05-09,100.6
