DATE,DATE,CLOSE
2016-11-01,2016-11-01,96.08
2016-11-02,2016-11-02,96.05
2016-11-03,2016-11-03,96.23
2016-11-04,2016-11-04,95.49
2016-11-07,2016-11-07,97.33
2016-11-08,2016-11-08,97.86
2016-11-09,2016-11-09,94.35
2016-11-10,2016-11-10,90.5
2016-11-11,2016-11-11,88.95
2016-11-14,2016-11-14,87.33
2016-11-15,2016-11-15,87.5
2016-11-16,2016-11-16,87.92
2016-11-17,2016-11-17,89.27
2016-11-18,2016-11-18,89.09
2016-11-21,2016-11-21,89.62
2016-11-22,2016-11-22,90.0
2016-11-23,2016-11-23,88.89
2016-11-25,2016-11-25,89.29
2016-11-28,2016-11-28,90.24
2016-11-29,2016-11-29,90.6
2016-11-30,2016-11-30,88.28
2016-12-01,2016-12-01,87.77
2016-12-02,2016-12-02,88.08
2016-12-05,2016-12-05,87.77
2016-12-06,2016-12-06,88.18
2016-12-07,2016-12-07,89.87
2016-12-08,2016-12-08,89.39
2016-12-09,2016-12-09,90.24
2016-12-12,2016-12-12,90.82
2016-12-13,2016-12-13,92.03
2016-12-14,2016-12-14,90.72
2016-12-15,2016-12-15,89.9
2016-12-16,2016-12-16,91.31
2016-12-19,2016-12-19,91.46
2016-12-20,2016-12-20,90.7
2016-12-21,2016-12-21,91.31
2016-12-22,2016-12-22,91.61
2016-12-23,2016-12-23,91.58
2016-12-27,2016-12-27,91.33
2016-12-28,2016-12-28,90.94
2016-12-29,2016-12-29,91.73
2016-12-30,2016-12-30,91.49
2017-01-03,2017-01-03,91.23
2017-01-04,2017-01-04,90.42
2017-01-05,2017-01-05,91.13
2017-01-06,2017-01-06,91.84
2017-01-09,2017-01-09,91.31
2017-01-10,2017-01-10,90.52
2017-01-11,2017-01-11,90.44
2017-01-12,2017-01-12,90.51
2017-01-13,2017-01-13,90.4
2017-01-17,2017-01-17,92.36
2017-01-18,2017-01-18,93.49
2017-01-19,2017-01-19,93.85
2017-01-20,2017-01-20,94.57
