DATE,DATE,CLOSE
2016-11-01,2016-11-01,36.879988
2016-11-02,2016-11-02,36.208466
2016-11-03,2016-11-03,36.362916
2016-11-04,2016-11-04,36.732253
2016-11-07,2016-11-07,37.262756
2016-11-08,2016-11-08,37.558225
2016-11-09,2016-11-09,38.478211
2016-11-10,2016-11-10,40.452485
2016-11-11,2016-11-11,39.921983
2016-11-14,2016-11-14,40.251029
2016-11-15,2016-11-15,39.552646
2016-11-16,2016-11-16,39.143017
2016-11-17,2016-11-17,38.9147
2016-11-18,2016-11-18,38.813972
2016-11-21,2016-11-21,39.096011
2016-11-22,2016-11-22,38.941561
2016-11-23,2016-11-23,38.834117
2016-11-25,2016-11-25,38.988567
2016-11-28,2016-11-28,38.317045
2016-11-29,2016-11-29,37.746252
2016-11-30,2016-11-30,38.585654
2016-12-01,2016-12-01,39.492209
2016-12-02,2016-12-02,39.472063
2016-12-05,2016-12-05,40.076433
2016-12-06,2016-12-06,40.378618
2016-12-07,2016-12-07,41.197875
2016-12-08,2016-12-08,40.721094
2016-12-09,2016-12-09,40.452485
2016-12-12,2016-12-12,40.210737
2016-12-13,2016-12-13,39.592937
2016-12-14,2016-12-14,38.766965
2016-12-15,2016-12-15,38.276754
2016-12-16,2016-12-16,37.974569
2016-12-19,2016-12-19,38.377482
2016-12-20,2016-12-20,38.357337
2016-12-21,2016-12-21,38.317045
2016-12-22,2016-12-22,38.15588
2016-12-23,2016-12-23,38.15588
2016-12-27,2016-12-27,38.46478
2016-12-28,2016-12-28,37.779828
2016-12-29,2016-12-29,37.947708
2016-12-30,2016-12-30,37.652239
2017-01-03,2017-01-03,38.9147
2017-01-04,2017-01-04,39.049004
2017-01-05,2017-01-05,38.995283
2017-01-06,2017-01-06,38.954991
2017-01-09,2017-01-09,37.988
2017-01-10,2017-01-10,38.229747
2017-01-11,2017-01-11,38.592369
2017-01-12,2017-01-12,38.458065
2017-01-13,2017-01-13,39.425057
2017-01-17,2017-01-17,39.284037
2017-01-18,2017-01-18,39.445202
2017-01-19,2017-01-19,39.572791
2017-01-20,2017-01-20,39.485494
2017-01-23,2017-01-23,39.485494
2017-01-24,2017-01-24,40.44577
2017-01-25,2017-01-25,41.298603
2017-01-26,2017-01-26,40.848683
2017-01-27,2017-01-27,40.996418
2017-01-30,2017-01-30,40.801677
2017-01-31,2017-01-31,39.371335
2017-02-01,2017-02-01,39.028859
2017-02-02,2017-02-02,38.827402
2017-02-03,2017-02-03,39.21017
2017-02-06,2017-02-06,38.874409
2017-02-07,2017-02-07,39.042289
2017-02-08,2017-02-08,38.921415
2017-02-09,2017-02-09,39.149733
2017-02-10,2017-02-10,39.431772
2017-02-13,2017-02-13,39.942129
2017-02-14,2017-02-14,39.36462
2017-02-15,2017-02-15,39.720526
2017-02-16,2017-02-16,39.310898
2017-02-17,2017-02-17,39.035574
2017-02-21,2017-02-21,39.848115
2017-02-22,2017-02-22,39.552646
2017-02-23,2017-02-23,39.270607
2017-02-24,2017-02-24,39.049004
2017-02-27,2017-02-27,39.36462
2017-02-28,2017-02-28,38.988567
2017-03-01,2017-03-01,40.197307
2017-03-02,2017-03-02,39.465348
2017-03-03,2017-03-03,39.720526
2017-03-06,2017-03-06,39.525785
2017-03-07,2017-03-07,39.552646
2017-03-08,2017-03-08,39.82797
2017-03-09,2017-03-09,39.754102
2017-03-10,2017-03-10,40.365187
2017-03-13,2017-03-13,40.835253
2017-03-14,2017-03-14,40.559929
2017-03-15,2017-03-15,42.111145
2017-03-16,2017-03-16,42.064138
2017-03-17,2017-03-17,42.218588
2017-03-20,2017-03-20,41.768668
2017-03-21,2017-03-21,40.888975
2017-03-22,2017-03-22,40.922551
2017-03-23,2017-03-23,40.935981
2017-03-24,2017-03-24,40.774816
2017-03-27,2017-03-27,41.003133
2017-03-28,2017-03-28,42.144721
2017-03-29,2017-03-29,42.352893
2017-03-30,2017-03-30,42.232019
2017-03-31,2017-03-31,42.158151
2017-04-03,2017-04-03,41.815675
2017-04-04,2017-04-04,42.198442
2017-04-05,2017-04-05,41.889542
2017-04-06,2017-04-06,42.185012
2017-04-07,2017-04-07,42.164866
2017-04-10,2017-04-10,42.386469
2017-04-11,2017-04-11,42.601356
2017-04-12,2017-04-12,41.869397
2017-04-13,2017-04-13,41.741808
2017-04-17,2017-04-17,42.514058
2017-04-18,2017-04-18,42.265595
2017-04-19,2017-04-19,41.782099
2017-04-20,2017-04-20,42.171582
2017-04-21,2017-04-21,42.017132
2017-04-24,2017-04-24,42.487197
2017-04-25,2017-04-25,43.420613
2017-04-26,2017-04-26,43.628784
2017-04-27,2017-04-27,43.420613
2017-04-28,2017-04-28,43.319884
2017-05-01,2017-05-01,43.19901
2017-05-02,2017-05-02,43.467619
2017-05-03,2017-05-03,43.951115
2017-05-04,2017-05-04,43.843671
2017-05-05,2017-05-05,44.609206
2017-05-08,2017-05-08,44.380889
2017-05-09,2017-05-09,45.482185
2017-05-10,2017-05-10,44.307022
2017-05-11,2017-05-11,43.689221
2017-05-12,2017-05-12,43.407182
2017-05-15,2017-05-15,43.977976
2017-05-16,2017-05-16,43.984691
2017-05-17,2017-05-17,43.796665
2017-05-18,2017-05-18,44.286876
2017-05-19,2017-05-19,45.065841
2017-05-22,2017-05-22,45.428463
2017-05-23,2017-05-23,44.42118
2017-05-24,2017-05-24,44.71665
2017-05-25,2017-05-25,44.689789
2017-05-26,2017-05-26,44.488333
2017-05-30,2017-05-30,44.756941
2017-05-31,2017-05-31,44.468187
2017-06-01,2017-06-01,44.481617
2017-06-02,2017-06-02,44.454756
2017-06-05,2017-06-05,43.890678
2017-06-06,2017-06-06,43.440758
2017-06-07,2017-06-07,43.219156
2017-06-08,2017-06-08,43.474334
2017-06-09,2017-06-09,44.495048
2017-06-12,2017-06-12,44.542054
2017-06-13,2017-06-13,44.676359
2017-06-14,2017-06-14,44.656213
2017-06-15,2017-06-15,44.555485
2017-06-16,2017-06-16,44.777087
2017-06-19,2017-06-19,45.153139
2017-06-20,2017-06-20,44.649498
2017-06-21,2017-06-21,43.595208
2017-06-22,2017-06-22,43.622069
2017-06-23,2017-06-23,44.071989
2017-06-26,2017-06-26,44.078704
2017-06-27,2017-06-27,43.709367
2017-06-28,2017-06-28,44.354028
2017-06-29,2017-06-29,44.065274
2017-06-30,2017-06-30,44.683074
2017-07-03,2017-07-03,45.01212
2017-07-05,2017-07-05,44.783802
2017-07-06,2017-07-06,44.058558
2017-07-07,2017-07-07,44.743511
2017-07-10,2017-07-10,44.897961
2017-07-11,2017-07-11,44.73008
2017-07-12,2017-07-12,45.200146
2017-07-13,2017-07-13,44.850954
2017-07-14,2017-07-14,44.689789
2017-07-17,2017-07-17,44.683074
2017-07-18,2017-07-18,44.508478
2017-07-19,2017-07-19,44.374174
2017-07-20,2017-07-20,43.736228
2017-07-21,2017-07-21,43.49448
2017-07-24,2017-07-24,43.366891
2017-07-25,2017-07-25,42.487197
2017-07-26,2017-07-26,41.882827
2017-07-27,2017-07-27,41.970125
2017-07-28,2017-07-28,42.487197
2017-07-31,2017-07-31,42.352893
2017-08-01,2017-08-01,41.943264
2017-08-02,2017-08-02,42.077569
2017-08-03,2017-08-03,42.205158
2017-08-04,2017-08-04,42.41333
2017-08-07,2017-08-07,42.191727
2017-08-08,2017-08-08,41.835821
2017-08-09,2017-08-09,41.882827
2017-08-10,2017-08-10,41.312033
2017-08-11,2017-08-11,41.34561
2017-08-14,2017-08-14,41.97684
2017-08-15,2017-08-15,41.65451
2017-08-16,2017-08-16,41.889542
2017-08-17,2017-08-17,41.20459
2017-08-18,2017-08-18,40.942696
2017-08-21,2017-08-21,40.875544
2017-08-22,2017-08-22,41.231451
2017-08-23,2017-08-23,40.788246
2017-08-24,2017-08-24,40.942696
2017-08-25,2017-08-25,41.305318
2017-08-28,2017-08-28,40.929266
2017-08-29,2017-08-29,41.003133
2017-08-30,2017-08-30,40.956127
2017-08-31,2017-08-31,41.66794
2017-09-01,2017-09-01,41.956695
2017-09-05,2017-09-05,41.34561
2017-09-06,2017-09-06,41.459768
2017-09-07,2017-09-07,41.392616
2017-09-08,2017-09-08,41.647794
2017-09-11,2017-09-11,42.742375
2017-09-12,2017-09-12,43.259447
2017-09-13,2017-09-13,43.34003
2017-09-14,2017-09-14,43.622069
2017-09-15,2017-09-15,43.380321
2017-09-18,2017-09-18,44.011552
2017-09-19,2017-09-19,44.723365
2017-09-20,2017-09-20,45.059126
2017-09-21,2017-09-21,44.844239
2017-09-22,2017-09-22,45.02555
2017-09-25,2017-09-25,44.978544
2017-09-26,2017-09-26,44.5622
2017-09-27,2017-09-27,45.005404
2017-09-28,2017-09-28,45.106133
2017-09-29,2017-09-29,45.636635
2017-10-02,2017-10-02,46.55662
2017-10-03,2017-10-03,46.758077
2017-10-04,2017-10-04,47.033401
2017-10-05,2017-10-05,46.724501
2017-10-06,2017-10-06,47.01997
2017-10-09,2017-10-09,47.00654
2017-10-10,2017-10-10,46.972964
2017-10-11,2017-10-11,46.972964
2017-10-12,2017-10-12,46.932673
2017-10-13,2017-10-13,46.99311
2017-10-16,2017-10-16,47.745214
2017-10-17,2017-10-17,47.288579
2017-10-18,2017-10-18,47.342301
2017-10-19,2017-10-19,47.483321
2017-10-20,2017-10-20,47.792221
2017-10-23,2017-10-23,47.557188
2017-10-24,2017-10-24,47.396023
2017-10-25,2017-10-25,47.637771
2017-10-26,2017-10-26,47.785506
2017-10-27,2017-10-27,47.093838
2017-10-30,2017-10-30,47.073692
2017-10-31,2017-10-31,47.31544
2017-11-01,2017-11-01,46.509614
2017-11-02,2017-11-02,46.959533
2017-11-03,2017-11-03,46.576766
2017-11-06,2017-11-06,46.657349
2017-11-07,2017-11-07,46.294727
2017-11-08,2017-11-08,46.449177
2017-11-09,2017-11-09,45.777655
2017-11-10,2017-11-10,45.697072
2017-11-13,2017-11-13,45.844807
2017-11-14,2017-11-14,45.676926
2017-11-15,2017-11-15,45.307589
2017-11-16,2017-11-16,45.817946
2017-11-17,2017-11-17,45.958966
2017-11-20,2017-11-20,46.442462
2017-11-21,2017-11-21,46.570051
2017-11-22,2017-11-22,46.677494
2017-11-24,2017-11-24,46.442462
2017-11-27,2017-11-27,46.408885
