DATE,DATE,CLOSE
2016-11-01,2016-11-01,74.79
2016-11-02,2016-11-02,74.51
2016-11-03,2016-11-03,74.22
2016-11-04,2016-11-04,74.11
2016-11-07,2016-11-07,75.05
2016-11-08,2016-11-08,75.74
2016-11-09,2016-11-09,73.98
2016-11-10,2016-11-10,72.82
2016-11-11,2016-11-11,73.44
2016-11-14,2016-11-14,73.08
2016-11-15,2016-11-15,74.06
2016-11-16,2016-11-16,73.75
2016-11-17,2016-11-17,73.75
2016-11-18,2016-11-18,73.26
2016-11-21,2016-11-21,74.1
2016-11-22,2016-11-22,75.06
2016-11-23,2016-11-23,73.96
2016-11-25,2016-11-25,75.34
2016-11-28,2016-11-28,76.63
2016-11-29,2016-11-29,76.68
2016-11-30,2016-11-30,73.93
2016-12-01,2016-12-01,73.13
2016-12-02,2016-12-02,73.54
2016-12-05,2016-12-05,73.82
2016-12-06,2016-12-06,74.56
2016-12-07,2016-12-07,75.11
2016-12-08,2016-12-08,75.14
2016-12-09,2016-12-09,76.19
2016-12-12,2016-12-12,77.14
2016-12-13,2016-12-13,78.17
2016-12-14,2016-12-14,75.97
2016-12-15,2016-12-15,75.85
2016-12-16,2016-12-16,76.67
2016-12-19,2016-12-19,77.1
2016-12-20,2016-12-20,77.14
2016-12-21,2016-12-21,77.06
2016-12-22,2016-12-22,77.6
2016-12-23,2016-12-23,77.66
2016-12-27,2016-12-27,77.85
2016-12-28,2016-12-28,76.93
2016-12-29,2016-12-29,78.25
2016-12-30,2016-12-30,78.03
2017-01-03,2017-01-03,77.32
2017-01-04,2017-01-04,77.75
2017-01-05,2017-01-05,78.39
2017-01-06,2017-01-06,78.49
2017-01-09,2017-01-09,77.23
2017-01-10,2017-01-10,77.13
2017-01-11,2017-01-11,77.72
2017-01-12,2017-01-12,77.5
2017-01-13,2017-01-13,77.26
2017-01-17,2017-01-17,78.0
2017-01-18,2017-01-18,77.89
2017-01-19,2017-01-19,77.05
2017-01-20,2017-01-20,77.02
2017-01-23,2017-01-23,77.2
2017-01-24,2017-01-24,77.44
2017-01-25,2017-01-25,77.14
2017-01-26,2017-01-26,76.98
2017-01-27,2017-01-27,76.77
2017-01-30,2017-01-30,76.44
2017-01-31,2017-01-31,77.63
2017-02-01,2017-02-01,76.69
2017-02-02,2017-02-02,77.79
2017-02-03,2017-02-03,78.03
2017-02-06,2017-02-06,77.85
2017-02-07,2017-02-07,77.92
2017-02-08,2017-02-08,78.57
2017-02-09,2017-02-09,78.13
2017-02-10,2017-02-10,78.67
2017-02-13,2017-02-13,78.72
2017-02-14,2017-02-14,78.09
2017-02-15,2017-02-15,78.0
2017-02-16,2017-02-16,78.55
2017-02-17,2017-02-17,78.7
2017-02-21,2017-02-21,79.77
2017-02-22,2017-02-22,79.72
2017-02-23,2017-02-23,80.5
2017-02-24,2017-02-24,81.44
2017-02-27,2017-02-27,81.18
2017-02-28,2017-02-28,82.19
2017-03-01,2017-03-01,82.4
2017-03-02,2017-03-02,83.32
2017-03-03,2017-03-03,83.03
2017-03-06,2017-03-06,82.96
2017-03-07,2017-03-07,82.54
2017-03-08,2017-03-08,80.94
2017-03-09,2017-03-09,80.87
2017-03-10,2017-03-10,81.61
2017-03-13,2017-03-13,81.68
2017-03-14,2017-03-14,81.88
2017-03-15,2017-03-15,83.6
2017-03-16,2017-03-16,82.55
2017-03-17,2017-03-17,83.23
2017-03-20,2017-03-20,82.53
2017-03-21,2017-03-21,83.69
2017-03-22,2017-03-22,83.66
2017-03-23,2017-03-23,83.59
2017-03-24,2017-03-24,84.12
2017-03-27,2017-03-27,84.14
2017-03-28,2017-03-28,84.2
2017-03-29,2017-03-29,83.52
2017-03-30,2017-03-30,83.28
2017-03-31,2017-03-31,83.38
2017-04-03,2017-04-03,83.51
2017-04-04,2017-04-04,83.74
2017-04-05,2017-04-05,84.02
2017-04-06,2017-04-06,84.48
2017-04-07,2017-04-07,84.26
2017-04-10,2017-04-10,84.78
2017-04-11,2017-04-11,84.79
2017-04-12,2017-04-12,85.37
2017-04-13,2017-04-13,85.23
2017-04-17,2017-04-17,85.74
2017-04-18,2017-04-18,86.18
2017-04-19,2017-04-19,85.61
2017-04-20,2017-04-20,85.32
2017-04-21,2017-04-21,85.83
2017-04-24,2017-04-24,86.18
2017-04-25,2017-04-25,86.36
2017-04-26,2017-04-26,86.25
2017-04-27,2017-04-27,86.1
2017-04-28,2017-04-28,85.09
2017-05-01,2017-05-01,84.06
2017-05-02,2017-05-02,84.7
2017-05-03,2017-05-03,84.36
2017-05-04,2017-05-04,84.45
2017-05-05,2017-05-05,84.87
2017-05-08,2017-05-08,84.91
2017-05-09,2017-05-09,84.14
2017-05-10,2017-05-10,84.19
2017-05-11,2017-05-11,84.29
2017-05-12,2017-05-12,84.76
2017-05-15,2017-05-15,84.52
2017-05-16,2017-05-16,83.89
2017-05-17,2017-05-17,84.1
2017-05-18,2017-05-18,84.61
2017-05-19,2017-05-19,84.57
2017-05-22,2017-05-22,85.15
2017-05-23,2017-05-23,85.78
2017-05-24,2017-05-24,86.44
2017-05-25,2017-05-25,87.46
2017-05-26,2017-05-26,87.4
2017-05-30,2017-05-30,87.72
2017-05-31,2017-05-31,88.35
2017-06-01,2017-06-01,89.03
2017-06-02,2017-06-02,89.22
2017-06-05,2017-06-05,88.36
2017-06-06,2017-06-06,87.96
2017-06-07,2017-06-07,88.06
2017-06-08,2017-06-08,87.85
2017-06-09,2017-06-09,87.99
2017-06-12,2017-06-12,87.45
2017-06-13,2017-06-13,87.5
2017-06-14,2017-06-14,88.06
2017-06-15,2017-06-15,88.64
2017-06-16,2017-06-16,88.92
2017-06-19,2017-06-19,88.7
2017-06-20,2017-06-20,88.81
2017-06-21,2017-06-21,88.6
2017-06-22,2017-06-22,88.17
2017-06-23,2017-06-23,87.84
2017-06-26,2017-06-26,88.2
2017-06-27,2017-06-27,87.3
2017-06-28,2017-06-28,86.51
2017-06-29,2017-06-29,85.19
2017-06-30,2017-06-30,85.16
2017-07-03,2017-07-03,84.82
2017-07-05,2017-07-05,84.64
2017-07-06,2017-07-06,84.36
2017-07-07,2017-07-07,84.67
2017-07-10,2017-07-10,84.2
2017-07-11,2017-07-11,84.35
2017-07-12,2017-07-12,85.09
2017-07-13,2017-07-13,84.72
2017-07-14,2017-07-14,85.13
2017-07-17,2017-07-17,85.56
2017-07-18,2017-07-18,85.76
2017-07-19,2017-07-19,86.01
2017-07-20,2017-07-20,86.56
2017-07-21,2017-07-21,87.23
2017-07-24,2017-07-24,86.48
2017-07-25,2017-07-25,86.1
2017-07-26,2017-07-26,86.89
2017-07-27,2017-07-27,86.96
2017-07-28,2017-07-28,86.14
2017-07-31,2017-07-31,86.73
2017-08-01,2017-08-01,87.13
2017-08-02,2017-08-02,87.24
2017-08-03,2017-08-03,88.72
2017-08-04,2017-08-04,88.06
2017-08-07,2017-08-07,88.59
2017-08-08,2017-08-08,88.73
2017-08-09,2017-08-09,88.32
2017-08-10,2017-08-10,88.97
2017-08-11,2017-08-11,88.53
2017-08-14,2017-08-14,88.84
2017-08-15,2017-08-15,89.23
2017-08-16,2017-08-16,89.62
2017-08-17,2017-08-17,88.88
2017-08-18,2017-08-18,89.29
2017-08-21,2017-08-21,89.2
2017-08-22,2017-08-22,89.48
2017-08-23,2017-08-23,89.92
2017-08-24,2017-08-24,89.9
2017-08-25,2017-08-25,90.02
2017-08-28,2017-08-28,90.44
2017-08-29,2017-08-29,90.41
2017-08-30,2017-08-30,89.99
2017-08-31,2017-08-31,89.97
2017-09-01,2017-09-01,89.86
2017-09-05,2017-09-05,89.69
2017-09-06,2017-09-06,89.0
2017-09-07,2017-09-07,89.54
2017-09-08,2017-09-08,90.01
2017-09-11,2017-09-11,90.75
2017-09-12,2017-09-12,88.91
2017-09-13,2017-09-13,88.12
2017-09-14,2017-09-14,88.97
2017-09-15,2017-09-15,89.27
2017-09-18,2017-09-18,88.34
2017-09-19,2017-09-19,88.28
2017-09-20,2017-09-20,87.3
2017-09-21,2017-09-21,87.12
2017-09-22,2017-09-22,86.15
2017-09-25,2017-09-25,86.85
2017-09-26,2017-09-26,86.48
2017-09-27,2017-09-27,84.76
2017-09-28,2017-09-28,84.91
2017-09-29,2017-09-29,84.56
2017-10-02,2017-10-02,85.29
2017-10-03,2017-10-03,85.0
2017-10-04,2017-10-04,85.78
2017-10-05,2017-10-05,85.55
2017-10-06,2017-10-06,85.33
2017-10-09,2017-10-09,85.37
2017-10-10,2017-10-10,85.8
2017-10-11,2017-10-11,86.4
2017-10-12,2017-10-12,87.31
