DATE,DATE,CLOSE
2016-11-01,2016-11-01,92.74
2016-11-02,2016-11-02,92.38
2016-11-03,2016-11-03,91.75
2016-11-04,2016-11-04,92.81
2016-11-07,2016-11-07,94.35
2016-11-08,2016-11-08,94.74
2016-11-09,2016-11-09,95.29
2016-11-10,2016-11-10,96.87
2016-11-11,2016-11-11,95.77
2016-11-14,2016-11-14,96.05
2016-11-15,2016-11-15,96.23
2016-11-16,2016-11-16,96.36
2016-11-17,2016-11-17,96.61
2016-11-18,2016-11-18,95.19
2016-11-21,2016-11-21,96.19
2016-11-22,2016-11-22,96.62
2016-11-23,2016-11-23,97.59
2016-11-25,2016-11-25,98.13
2016-11-28,2016-11-28,97.35
2016-11-29,2016-11-29,98.0
2016-11-30,2016-11-30,95.93
2016-12-01,2016-12-01,95.24
2016-12-02,2016-12-02,94.58
2016-12-05,2016-12-05,95.99
2016-12-06,2016-12-06,96.22
2016-12-07,2016-12-07,98.18
2016-12-08,2016-12-08,99.41
2016-12-09,2016-12-09,99.3
2016-12-12,2016-12-12,98.65
2016-12-13,2016-12-13,97.05
2016-12-14,2016-12-14,96.17
2016-12-15,2016-12-15,96.1
2016-12-16,2016-12-16,95.92
2016-12-19,2016-12-19,96.22
2016-12-20,2016-12-20,95.64
2016-12-21,2016-12-21,95.87
2016-12-22,2016-12-22,95.0
2016-12-23,2016-12-23,94.69
2016-12-27,2016-12-27,95.85
2016-12-28,2016-12-28,94.67
2016-12-29,2016-12-29,95.31
2016-12-30,2016-12-30,94.76
2017-01-03,2017-01-03,95.25
2017-01-04,2017-01-04,97.27
2017-01-05,2017-01-05,95.62
2017-01-06,2017-01-06,95.59
2017-01-09,2017-01-09,96.35
2017-01-10,2017-01-10,96.39
2017-01-11,2017-01-11,96.63
2017-01-12,2017-01-12,96.87
2017-01-13,2017-01-13,96.32
2017-01-17,2017-01-17,95.97
2017-01-18,2017-01-18,96.69
2017-01-19,2017-01-19,97.5
2017-01-20,2017-01-20,99.0
2017-01-23,2017-01-23,100.24
2017-01-24,2017-01-24,101.8
2017-01-25,2017-01-25,101.08
2017-01-26,2017-01-26,101.85
2017-01-27,2017-01-27,102.02
2017-01-30,2017-01-30,102.03
2017-01-31,2017-01-31,100.01
2017-02-01,2017-02-01,100.56
2017-02-02,2017-02-02,100.58
2017-02-03,2017-02-03,100.94
2017-02-06,2017-02-06,99.92
2017-02-07,2017-02-07,100.01
2017-02-08,2017-02-08,100.1
2017-02-09,2017-02-09,100.13
2017-02-10,2017-02-10,100.54
2017-02-13,2017-02-13,100.81
2017-02-14,2017-02-14,101.57
2017-02-15,2017-02-15,101.5
2017-02-16,2017-02-16,101.77
2017-02-17,2017-02-17,102.37
2017-02-21,2017-02-21,103.0
2017-02-22,2017-02-22,102.81
2017-02-23,2017-02-23,102.6
2017-02-24,2017-02-24,103.31
2017-02-27,2017-02-27,102.45
2017-02-28,2017-02-28,102.43
2017-03-01,2017-03-01,103.29
2017-03-02,2017-03-02,102.38
2017-03-03,2017-03-03,102.06
2017-03-06,2017-03-06,101.2
2017-03-07,2017-03-07,100.78
2017-03-08,2017-03-08,106.83
2017-03-09,2017-03-09,102.93
2017-03-10,2017-03-10,102.09
2017-03-13,2017-03-13,102.68
2017-03-14,2017-03-14,101.73
2017-03-15,2017-03-15,104.04
2017-03-16,2017-03-16,103.62
2017-03-17,2017-03-17,104.49
2017-03-20,2017-03-20,105.57
2017-03-21,2017-03-21,104.48
