DATE,DATE,CLOSE
2016-11-01,2016-11-01,34.0
2016-11-02,2016-11-02,33.91
2016-11-03,2016-11-03,34.1
2016-11-04,2016-11-04,34.02
2016-11-07,2016-11-07,34.55
2016-11-08,2016-11-08,34.74
2016-11-09,2016-11-09,33.58
2016-11-10,2016-11-10,33.11
2016-11-11,2016-11-11,33.15
2016-11-14,2016-11-14,32.86
2016-11-15,2016-11-15,33.24
2016-11-16,2016-11-16,32.87
2016-11-17,2016-11-17,32.83
2016-11-18,2016-11-18,32.84
2016-11-21,2016-11-21,33.34
2016-11-22,2016-11-22,33.32
2016-11-23,2016-11-23,32.81
2016-11-25,2016-11-25,33.32
2016-11-28,2016-11-28,34.15
2016-11-29,2016-11-29,34.19
2016-11-30,2016-11-30,33.46
2016-12-01,2016-12-01,33.1
2016-12-02,2016-12-02,33.34
2016-12-05,2016-12-05,33.25
2016-12-06,2016-12-06,33.08
2016-12-07,2016-12-07,33.1
2016-12-08,2016-12-08,33.11
2016-12-09,2016-12-09,33.51
2016-12-12,2016-12-12,33.94
2016-12-13,2016-12-13,34.21
2016-12-14,2016-12-14,33.78
2016-12-15,2016-12-15,34.15
2016-12-16,2016-12-16,34.63
2016-12-19,2016-12-19,34.58
2016-12-20,2016-12-20,34.5
2016-12-21,2016-12-21,34.43
2016-12-22,2016-12-22,34.46
2016-12-23,2016-12-23,34.29
2016-12-27,2016-12-27,34.21
2016-12-28,2016-12-28,33.86
2016-12-29,2016-12-29,34.26
2016-12-30,2016-12-30,34.05
2017-01-03,2017-01-03,34.03
2017-01-04,2017-01-04,34.1
2017-01-05,2017-01-05,34.3
2017-01-06,2017-01-06,34.56
2017-01-09,2017-01-09,34.22
2017-01-10,2017-01-10,33.94
2017-01-11,2017-01-11,34.24
2017-01-12,2017-01-12,34.5
2017-01-13,2017-01-13,34.36
2017-01-17,2017-01-17,34.69
2017-01-18,2017-01-18,34.54
2017-01-19,2017-01-19,34.23
2017-01-20,2017-01-20,34.4
2017-01-23,2017-01-23,34.36
2017-01-24,2017-01-24,34.61
2017-01-25,2017-01-25,34.52
2017-01-26,2017-01-26,34.41
2017-01-27,2017-01-27,34.27
2017-01-30,2017-01-30,34.38
2017-01-31,2017-01-31,34.84
2017-02-01,2017-02-01,34.95
2017-02-02,2017-02-02,35.28
2017-02-03,2017-02-03,35.46
2017-02-06,2017-02-06,35.24
2017-02-07,2017-02-07,35.4
2017-02-08,2017-02-08,35.65
2017-02-09,2017-02-09,35.42
2017-02-10,2017-02-10,35.5
2017-02-13,2017-02-13,35.73
2017-02-14,2017-02-14,35.47
2017-02-15,2017-02-15,35.48
2017-02-16,2017-02-16,35.72
2017-02-17,2017-02-17,35.63
2017-02-21,2017-02-21,36.03
2017-02-22,2017-02-22,36.2
