DATE,DATE,CLOSE
2016-11-01,2016-11-01,41.54
2016-11-02,2016-11-02,41.35
2016-11-03,2016-11-03,41.19
2016-11-04,2016-11-04,40.9
2016-11-07,2016-11-07,41.28
2016-11-08,2016-11-08,41.58
2016-11-09,2016-11-09,41.26
2016-11-10,2016-11-10,40.45
2016-11-11,2016-11-11,40.08
2016-11-14,2016-11-14,38.81
2016-11-15,2016-11-15,38.94
2016-11-16,2016-11-16,39.07
2016-11-17,2016-11-17,39.88
2016-11-18,2016-11-18,40.08
2016-11-21,2016-11-21,40.63
2016-11-22,2016-11-22,40.33
2016-11-23,2016-11-23,40.05
2016-11-25,2016-11-25,40.26
2016-11-28,2016-11-28,39.96
2016-11-29,2016-11-29,39.89
2016-11-30,2016-11-30,39.28
2016-12-01,2016-12-01,38.34
2016-12-02,2016-12-02,38.62
2016-12-05,2016-12-05,38.99
2016-12-06,2016-12-06,38.98
2016-12-07,2016-12-07,39.45
2016-12-08,2016-12-08,39.61
2016-12-09,2016-12-09,39.65
2016-12-12,2016-12-12,39.43
2016-12-13,2016-12-13,39.43
2016-12-14,2016-12-14,39.55
2016-12-15,2016-12-15,39.54
2016-12-16,2016-12-16,39.32
2016-12-19,2016-12-19,39.44
2016-12-20,2016-12-20,39.74
2016-12-21,2016-12-21,40.09
2016-12-22,2016-12-22,39.68
2016-12-23,2016-12-23,39.58
2016-12-27,2016-12-27,39.72
2016-12-28,2016-12-28,39.57
2016-12-29,2016-12-29,39.96
2016-12-30,2016-12-30,39.47
2017-01-03,2017-01-03,40.25
2017-01-04,2017-01-04,41.0
2017-01-05,2017-01-05,41.06
2017-01-06,2017-01-06,41.45
2017-01-09,2017-01-09,41.4
2017-01-10,2017-01-10,41.08
2017-01-11,2017-01-11,41.28
2017-01-12,2017-01-12,41.56
2017-01-13,2017-01-13,41.6
2017-01-17,2017-01-17,41.27
2017-01-18,2017-01-18,41.35
2017-01-19,2017-01-19,41.27
2017-01-20,2017-01-20,41.69
2017-01-23,2017-01-23,41.62
2017-01-24,2017-01-24,41.96
2017-01-25,2017-01-25,41.71
2017-01-26,2017-01-26,41.5
2017-01-27,2017-01-27,40.27
2017-01-30,2017-01-30,39.86
2017-01-31,2017-01-31,39.78
2017-02-01,2017-02-01,39.31
2017-02-02,2017-02-02,39.58
2017-02-03,2017-02-03,39.59
2017-02-06,2017-02-06,39.74
2017-02-07,2017-02-07,40.02
2017-02-08,2017-02-08,40.88
2017-02-09,2017-02-09,40.83
2017-02-10,2017-02-10,40.58
2017-02-13,2017-02-13,41.17
2017-02-14,2017-02-14,41.62
2017-02-15,2017-02-15,41.87
2017-02-16,2017-02-16,42.15
2017-02-17,2017-02-17,41.96
2017-02-21,2017-02-21,42.43
2017-02-22,2017-02-22,42.42
2017-02-23,2017-02-23,42.53
2017-02-24,2017-02-24,43.07
2017-02-27,2017-02-27,42.64
2017-02-28,2017-02-28,42.0
2017-03-01,2017-03-01,42.43
2017-03-02,2017-03-02,42.77
2017-03-03,2017-03-03,43.03
2017-03-06,2017-03-06,42.87
2017-03-07,2017-03-07,42.89
2017-03-08,2017-03-08,42.79
2017-03-09,2017-03-09,42.92
2017-03-10,2017-03-10,42.99
2017-03-13,2017-03-13,42.59
2017-03-14,2017-03-14,42.1
2017-03-15,2017-03-15,42.39
2017-03-16,2017-03-16,42.4
2017-03-17,2017-03-17,43.08
2017-03-20,2017-03-20,43.16
2017-03-21,2017-03-21,42.64
2017-03-22,2017-03-22,43.19
2017-03-23,2017-03-23,43.14
2017-03-24,2017-03-24,43.13
2017-03-27,2017-03-27,43.08
2017-03-28,2017-03-28,43.15
2017-03-29,2017-03-29,43.24
2017-03-30,2017-03-30,43.54
2017-03-31,2017-03-31,43.02
2017-04-03,2017-04-03,42.63
2017-04-04,2017-04-04,42.72
2017-04-05,2017-04-05,42.89
2017-04-06,2017-04-06,42.9
2017-04-07,2017-04-07,43.04
2017-04-10,2017-04-10,43.05
2017-04-11,2017-04-11,42.69
2017-04-12,2017-04-12,42.49
2017-04-13,2017-04-13,42.55
2017-04-17,2017-04-17,43.1
2017-04-18,2017-04-18,43.09
2017-04-19,2017-04-19,43.3
2017-04-20,2017-04-20,43.69
2017-04-21,2017-04-21,43.81
2017-04-24,2017-04-24,44.27
2017-04-25,2017-04-25,44.71
2017-04-26,2017-04-26,44.41
2017-04-27,2017-04-27,47.15
2017-04-28,2017-04-28,47.72
2017-05-01,2017-05-01,47.54
2017-05-02,2017-05-02,49.05
2017-05-03,2017-05-03,49.02
2017-05-04,2017-05-04,48.91
2017-05-05,2017-05-05,49.3
2017-05-08,2017-05-08,49.17
2017-05-09,2017-05-09,49.22
2017-05-10,2017-05-10,49.79
2017-05-11,2017-05-11,49.7
2017-05-12,2017-05-12,49.37
2017-05-15,2017-05-15,49.77
2017-05-16,2017-05-16,50.34
2017-05-17,2017-05-17,49.05
2017-05-18,2017-05-18,49.11
2017-05-19,2017-05-19,49.39
2017-05-22,2017-05-22,49.77
2017-05-23,2017-05-23,50.13
2017-05-24,2017-05-24,51.05
2017-05-25,2017-05-25,50.93
2017-05-26,2017-05-26,51.19
2017-05-30,2017-05-30,51.06
2017-05-31,2017-05-31,52.21
2017-06-01,2017-06-01,53.16
2017-06-02,2017-06-02,53.52
2017-06-05,2017-06-05,53.8
2017-06-06,2017-06-06,53.4
2017-06-07,2017-06-07,53.85
2017-06-08,2017-06-08,54.39
2017-06-09,2017-06-09,53.4
2017-06-12,2017-06-12,52.16
2017-06-13,2017-06-13,52.06
2017-06-14,2017-06-14,51.9
2017-06-15,2017-06-15,52.29
2017-06-16,2017-06-16,51.84
2017-06-19,2017-06-19,52.93
2017-06-20,2017-06-20,52.52
2017-06-21,2017-06-21,53.54
2017-06-22,2017-06-22,53.87
2017-06-23,2017-06-23,54.33
2017-06-26,2017-06-26,53.74
2017-06-27,2017-06-27,52.73
2017-06-28,2017-06-28,54.39
2017-06-29,2017-06-29,53.42
2017-06-30,2017-06-30,53.67
2017-07-03,2017-07-03,52.87
2017-07-05,2017-07-05,54.61
2017-07-06,2017-07-06,53.47
2017-07-07,2017-07-07,53.97
2017-07-10,2017-07-10,54.94
