DATE,DATE,CLOSE
2016-11-01,2016-11-01,56.01
2016-11-02,2016-11-02,56.06
2016-11-03,2016-11-03,56.74
2016-11-04,2016-11-04,51.08
2016-11-07,2016-11-07,50.47
2016-11-08,2016-11-08,50.96
2016-11-09,2016-11-09,51.78
2016-11-10,2016-11-10,51.56
2016-11-11,2016-11-11,53.52
2016-11-14,2016-11-14,52.74
2016-11-15,2016-11-15,54.3
2016-11-16,2016-11-16,54.4
2016-11-17,2016-11-17,55.55
2016-11-18,2016-11-18,55.28
2016-11-21,2016-11-21,54.95
2016-11-22,2016-11-22,55.3
2016-11-23,2016-11-23,54.61
2016-11-25,2016-11-25,54.9
2016-11-28,2016-11-28,54.86
2016-11-29,2016-11-29,54.28
2016-11-30,2016-11-30,53.41
2016-12-01,2016-12-01,50.03
2016-12-02,2016-12-02,50.54
2016-12-05,2016-12-05,52.48
2016-12-06,2016-12-06,54.06
2016-12-07,2016-12-07,55.14
2016-12-08,2016-12-08,57.81
2016-12-09,2016-12-09,56.48
2016-12-12,2016-12-12,54.79
2016-12-13,2016-12-13,54.78
2016-12-14,2016-12-14,53.59
2016-12-15,2016-12-15,55.69
2016-12-16,2016-12-16,54.69
2016-12-19,2016-12-19,55.45
2016-12-20,2016-12-20,54.74
2016-12-21,2016-12-21,54.99
2016-12-22,2016-12-22,55.1
2016-12-23,2016-12-23,55.53
2016-12-27,2016-12-27,55.54
2016-12-28,2016-12-28,54.7
2016-12-29,2016-12-29,53.61
2016-12-30,2016-12-30,52.73
2017-01-03,2017-01-03,52.9
2017-01-04,2017-01-04,54.51
2017-01-05,2017-01-05,53.36
2017-01-06,2017-01-06,53.86
2017-01-09,2017-01-09,54.37
2017-01-10,2017-01-10,56.4
2017-01-11,2017-01-11,56.8
2017-01-12,2017-01-12,56.84
2017-01-13,2017-01-13,58.57
2017-01-17,2017-01-17,57.26
2017-01-18,2017-01-18,59.17
2017-01-19,2017-01-19,58.31
2017-01-20,2017-01-20,61.02
2017-01-23,2017-01-23,61.85
2017-01-24,2017-01-24,62.5
2017-01-25,2017-01-25,64.04
2017-01-26,2017-01-26,63.34
2017-01-27,2017-01-27,63.65
2017-01-30,2017-01-30,64.29
2017-01-31,2017-01-31,64.21
2017-02-01,2017-02-01,64.55
2017-02-02,2017-02-02,63.35
2017-02-03,2017-02-03,63.96
2017-02-06,2017-02-06,64.36
2017-02-07,2017-02-07,64.75
2017-02-08,2017-02-08,66.2
2017-02-09,2017-02-09,66.28
2017-02-10,2017-02-10,66.27
2017-02-13,2017-02-13,66.53
2017-02-14,2017-02-14,66.44
2017-02-15,2017-02-15,67.17
2017-02-16,2017-02-16,67.15
2017-02-17,2017-02-17,67.12
2017-02-21,2017-02-21,67.57
2017-02-22,2017-02-22,67.55
2017-02-23,2017-02-23,67.2
2017-02-24,2017-02-24,66.19
2017-02-27,2017-02-27,67.62
2017-02-28,2017-02-28,66.1
2017-03-01,2017-03-01,67.85
2017-03-02,2017-03-02,66.11
2017-03-03,2017-03-03,66.21
2017-03-06,2017-03-06,66.42
2017-03-07,2017-03-07,66.89
2017-03-08,2017-03-08,66.4
2017-03-09,2017-03-09,66.65
2017-03-10,2017-03-10,67.11
2017-03-13,2017-03-13,67.68
2017-03-14,2017-03-14,67.85
2017-03-15,2017-03-15,68.95
2017-03-16,2017-03-16,68.22
2017-03-17,2017-03-17,67.42
2017-03-20,2017-03-20,67.58
2017-03-21,2017-03-21,65.53
2017-03-22,2017-03-22,66.53
2017-03-23,2017-03-23,66.83
2017-03-24,2017-03-24,67.64
2017-03-27,2017-03-27,68.37
2017-03-28,2017-03-28,68.25
2017-03-29,2017-03-29,67.85
2017-03-30,2017-03-30,69.08
2017-03-31,2017-03-31,68.56
2017-04-03,2017-04-03,68.05
2017-04-04,2017-04-04,68.32
2017-04-05,2017-04-05,68.6
2017-04-06,2017-04-06,69.29
2017-04-07,2017-04-07,71.33
2017-04-10,2017-04-10,70.64
2017-04-11,2017-04-11,70.2
2017-04-12,2017-04-12,68.76
