DATE,DATE,CLOSE
2016-11-01,2016-11-01,203.84
2016-11-02,2016-11-02,204.67
2016-11-03,2016-11-03,205.76
2016-11-04,2016-11-04,205.45
2016-11-07,2016-11-07,207.1
2016-11-08,2016-11-08,207.93
2016-11-09,2016-11-09,207.88
2016-11-10,2016-11-10,209.51
2016-11-11,2016-11-11,211.53
2016-11-14,2016-11-14,212.07
2016-11-15,2016-11-15,212.07
2016-11-16,2016-11-16,213.07
2016-11-17,2016-11-17,212.86
2016-11-18,2016-11-18,211.48
2016-11-21,2016-11-21,210.88
2016-11-22,2016-11-22,208.5
2016-11-23,2016-11-23,209.67
2016-11-25,2016-11-25,209.15
2016-11-28,2016-11-28,208.66
2016-11-29,2016-11-29,211.91
2016-11-30,2016-11-30,210.55
2016-12-01,2016-12-01,210.61
2016-12-02,2016-12-02,209.95
2016-12-05,2016-12-05,209.57
2016-12-06,2016-12-06,210.83
2016-12-07,2016-12-07,211.68
2016-12-08,2016-12-08,213.3
2016-12-09,2016-12-09,214.37
2016-12-12,2016-12-12,217.35
2016-12-13,2016-12-13,216.82
2016-12-14,2016-12-14,216.65
2016-12-15,2016-12-15,213.45
2016-12-16,2016-12-16,214.3
2016-12-19,2016-12-19,218.38
2016-12-20,2016-12-20,217.06
2016-12-21,2016-12-21,216.48
2016-12-22,2016-12-22,217.23
2016-12-23,2016-12-23,217.46
2016-12-27,2016-12-27,217.41
2016-12-28,2016-12-28,215.58
2016-12-29,2016-12-29,216.12
2016-12-30,2016-12-30,216.4
2017-01-03,2017-01-03,216.04
2017-01-04,2017-01-04,217.8
2017-01-05,2017-01-05,217.78
2017-01-06,2017-01-06,218.82
2017-01-09,2017-01-09,216.97
2017-01-10,2017-01-10,219.42
2017-01-11,2017-01-11,220.09
2017-01-12,2017-01-12,219.78
2017-01-13,2017-01-13,219.25
2017-01-17,2017-01-17,217.87
2017-01-18,2017-01-18,221.18
2017-01-19,2017-01-19,219.39
2017-01-20,2017-01-20,218.62
2017-01-23,2017-01-23,219.15
2017-01-24,2017-01-24,218.38
2017-01-25,2017-01-25,219.9
2017-01-26,2017-01-26,221.86
2017-01-27,2017-01-27,221.12
2017-01-30,2017-01-30,220.44
2017-01-31,2017-01-31,219.93
2017-02-01,2017-02-01,219.5
2017-02-02,2017-02-02,222.19
2017-02-03,2017-02-03,221.61
2017-02-06,2017-02-06,222.1
2017-02-07,2017-02-07,227.85
2017-02-08,2017-02-08,229.46
2017-02-09,2017-02-09,229.79
2017-02-10,2017-02-10,230.71
2017-02-13,2017-02-13,233.08
2017-02-14,2017-02-14,233.57
2017-02-15,2017-02-15,234.11
2017-02-16,2017-02-16,235.51
2017-02-17,2017-02-17,235.12
2017-02-21,2017-02-21,233.94
2017-02-22,2017-02-22,234.91
2017-02-23,2017-02-23,235.38
2017-02-24,2017-02-24,235.03
2017-02-27,2017-02-27,233.03
2017-02-28,2017-02-28,235.14
2017-03-01,2017-03-01,239.15
2017-03-02,2017-03-02,237.18
2017-03-03,2017-03-03,235.62
2017-03-06,2017-03-06,232.66
2017-03-07,2017-03-07,231.43
2017-03-08,2017-03-08,233.05
2017-03-09,2017-03-09,232.74
2017-03-10,2017-03-10,234.99
2017-03-13,2017-03-13,235.0
2017-03-14,2017-03-14,234.71
2017-03-15,2017-03-15,236.28
2017-03-16,2017-03-16,235.67
2017-03-17,2017-03-17,235.99
2017-03-20,2017-03-20,235.17
2017-03-21,2017-03-21,233.47
2017-03-22,2017-03-22,234.43
2017-03-23,2017-03-23,234.04
2017-03-24,2017-03-24,233.4
2017-03-27,2017-03-27,231.77
2017-03-28,2017-03-28,233.81
2017-03-29,2017-03-29,233.43
2017-03-30,2017-03-30,234.89
2017-03-31,2017-03-31,233.81
2017-04-03,2017-04-03,233.8
2017-04-04,2017-04-04,236.11
2017-04-05,2017-04-05,233.8
2017-04-06,2017-04-06,233.64
2017-04-07,2017-04-07,232.62
2017-04-10,2017-04-10,233.66
2017-04-11,2017-04-11,234.35
2017-04-12,2017-04-12,233.35
2017-04-13,2017-04-13,230.63
2017-04-17,2017-04-17,234.56
2017-04-18,2017-04-18,233.91
2017-04-19,2017-04-19,233.21
2017-04-20,2017-04-20,234.95
2017-04-21,2017-04-21,233.73
2017-04-24,2017-04-24,239.38
2017-04-25,2017-04-25,251.92
2017-04-26,2017-04-26,256.91
2017-04-27,2017-04-27,253.91
2017-04-28,2017-04-28,251.71
2017-05-01,2017-05-01,250.33
2017-05-02,2017-05-02,247.99
