DATE,DATE,CLOSE
2016-11-01,2016-11-01,70.33
2016-11-02,2016-11-02,68.81
2016-11-03,2016-11-03,69.49
2016-11-04,2016-11-04,69.32
2016-11-07,2016-11-07,70.03
2016-11-08,2016-11-08,70.29
2016-11-09,2016-11-09,68.66
2016-11-10,2016-11-10,68.16
2016-11-11,2016-11-11,68.64
2016-11-14,2016-11-14,69.86
2016-11-15,2016-11-15,66.91
2016-11-16,2016-11-16,66.84
2016-11-17,2016-11-17,65.38
2016-11-18,2016-11-18,65.99
2016-11-21,2016-11-21,66.11
2016-11-22,2016-11-22,66.93
2016-11-23,2016-11-23,66.68
2016-11-25,2016-11-25,66.67
2016-11-28,2016-11-28,66.69
2016-11-29,2016-11-29,66.9
2016-11-30,2016-11-30,66.84
2016-12-01,2016-12-01,65.51
2016-12-02,2016-12-02,65.81
2016-12-05,2016-12-05,66.02
2016-12-06,2016-12-06,66.01
2016-12-07,2016-12-07,67.15
2016-12-08,2016-12-08,67.57
2016-12-09,2016-12-09,67.69
2016-12-12,2016-12-12,69.04
2016-12-13,2016-12-13,68.48
2016-12-14,2016-12-14,66.98
2016-12-15,2016-12-15,66.49
2016-12-16,2016-12-16,67.73
2016-12-19,2016-12-19,68.23
2016-12-20,2016-12-20,68.21
2016-12-21,2016-12-21,67.02
2016-12-22,2016-12-22,67.33
2016-12-23,2016-12-23,67.45
2016-12-27,2016-12-27,67.4
2016-12-28,2016-12-28,66.77
2016-12-29,2016-12-29,68.0
2016-12-30,2016-12-30,68.95
2017-01-03,2017-01-03,68.89
2017-01-04,2017-01-04,69.99
2017-01-05,2017-01-05,70.15
2017-01-06,2017-01-06,70.3
2017-01-09,2017-01-09,69.33
2017-01-10,2017-01-10,68.7
2017-01-11,2017-01-11,68.18
2017-01-12,2017-01-12,69.0
2017-01-13,2017-01-13,68.88
2017-01-17,2017-01-17,69.71
2017-01-18,2017-01-18,70.01
2017-01-19,2017-01-19,68.91
2017-01-20,2017-01-20,69.76
2017-01-23,2017-01-23,71.01
2017-01-24,2017-01-24,71.14
2017-01-25,2017-01-25,70.15
2017-01-26,2017-01-26,69.88
