DATE,DATE,CLOSE
2016-11-01,2016-11-01,346.55
2016-11-02,2016-11-02,343.66
2016-11-03,2016-11-03,336.01
2016-11-04,2016-11-04,341.39
2016-11-07,2016-11-07,365.39
2016-11-08,2016-11-08,367.77
2016-11-09,2016-11-09,418.42
2016-11-10,2016-11-10,423.0
2016-11-11,2016-11-11,419.79
2016-11-14,2016-11-14,444.52
2016-11-15,2016-11-15,428.65
2016-11-16,2016-11-16,420.08
2016-11-17,2016-11-17,404.56
2016-11-18,2016-11-18,397.48
2016-11-21,2016-11-21,405.48
2016-11-22,2016-11-22,398.97
2016-11-23,2016-11-23,402.41
2016-11-25,2016-11-25,398.16
2016-11-28,2016-11-28,390.38
2016-11-29,2016-11-29,387.26
2016-11-30,2016-11-30,379.24
2016-12-01,2016-12-01,375.56
2016-12-02,2016-12-02,372.71
2016-12-05,2016-12-05,369.82
2016-12-06,2016-12-06,368.95
2016-12-07,2016-12-07,362.01
2016-12-08,2016-12-08,369.15
2016-12-09,2016-12-09,372.83
2016-12-12,2016-12-12,387.1
2016-12-13,2016-12-13,382.0
2016-12-14,2016-12-14,381.5
2016-12-15,2016-12-15,378.01
2016-12-16,2016-12-16,378.85
2016-12-19,2016-12-19,371.75
2016-12-20,2016-12-20,371.02
2016-12-21,2016-12-21,365.06
2016-12-22,2016-12-22,372.38
2016-12-23,2016-12-23,381.78
2016-12-27,2016-12-27,385.95
2016-12-28,2016-12-28,378.75
2016-12-29,2016-12-29,373.72
2016-12-30,2016-12-30,367.09
2017-01-03,2017-01-03,379.7
2017-01-04,2017-01-04,383.11
2017-01-05,2017-01-05,380.92
2017-01-06,2017-01-06,358.68
2017-01-09,2017-01-09,355.06
2017-01-10,2017-01-10,373.0
2017-01-11,2017-01-11,364.47
2017-01-12,2017-01-12,364.44
2017-01-13,2017-01-13,368.16
2017-01-17,2017-01-17,363.24
2017-01-18,2017-01-18,362.95
2017-01-19,2017-01-19,363.41
2017-01-20,2017-01-20,362.56
2017-01-23,2017-01-23,354.36
2017-01-24,2017-01-24,347.96
2017-01-25,2017-01-25,348.93
2017-01-26,2017-01-26,340.75
2017-01-27,2017-01-27,346.5
2017-01-30,2017-01-30,344.5
2017-01-31,2017-01-31,359.29
2017-02-01,2017-02-01,364.17
2017-02-02,2017-02-02,360.56
2017-02-03,2017-02-03,358.26
2017-02-06,2017-02-06,362.0
2017-02-07,2017-02-07,357.69
2017-02-08,2017-02-08,353.25
2017-02-09,2017-02-09,360.0
2017-02-10,2017-02-10,359.87
2017-02-13,2017-02-13,375.66
2017-02-14,2017-02-14,376.52
2017-02-15,2017-02-15,384.0
2017-02-16,2017-02-16,373.02
2017-02-17,2017-02-17,371.18
2017-02-21,2017-02-21,371.61
2017-02-22,2017-02-22,370.22
2017-02-23,2017-02-23,360.96
2017-02-24,2017-02-24,361.01
2017-02-27,2017-02-27,373.05
2017-02-28,2017-02-28,373.5
2017-03-01,2017-03-01,379.05
2017-03-02,2017-03-02,375.86
2017-03-03,2017-03-03,378.66
2017-03-06,2017-03-06,381.93
2017-03-07,2017-03-07,372.52
2017-03-08,2017-03-08,381.37
2017-03-09,2017-03-09,390.14
2017-03-10,2017-03-10,388.23
2017-03-13,2017-03-13,388.88
2017-03-14,2017-03-14,391.1
2017-03-15,2017-03-15,397.8
2017-03-16,2017-03-16,392.59
2017-03-17,2017-03-17,380.29
2017-03-20,2017-03-20,382.02
2017-03-21,2017-03-21,370.98
2017-03-22,2017-03-22,369.14
2017-03-23,2017-03-23,365.02
2017-03-24,2017-03-24,373.0
2017-03-27,2017-03-27,383.68
2017-03-28,2017-03-28,382.55
2017-03-29,2017-03-29,394.14
2017-03-30,2017-03-30,386.18
2017-03-31,2017-03-31,387.51
2017-04-03,2017-04-03,383.19
2017-04-04,2017-04-04,382.92
2017-04-05,2017-04-05,377.36
2017-04-06,2017-04-06,379.48
2017-04-07,2017-04-07,380.55
2017-04-10,2017-04-10,373.26
2017-04-11,2017-04-11,367.07
2017-04-12,2017-04-12,366.33
2017-04-13,2017-04-13,370.37
2017-04-17,2017-04-17,373.45
2017-04-18,2017-04-18,366.06
2017-04-19,2017-04-19,370.96
2017-04-20,2017-04-20,376.4
2017-04-21,2017-04-21,370.12
2017-04-24,2017-04-24,371.93
2017-04-25,2017-04-25,372.32
2017-04-26,2017-04-26,371.39
2017-04-27,2017-04-27,366.62
2017-04-28,2017-04-28,388.49
2017-05-01,2017-05-01,396.17
2017-05-02,2017-05-02,402.04
2017-05-03,2017-05-03,407.03
2017-05-04,2017-05-04,434.31
2017-05-05,2017-05-05,429.0
2017-05-08,2017-05-08,423.38
2017-05-09,2017-05-09,427.18
2017-05-10,2017-05-10,431.57
2017-05-11,2017-05-11,440.43
2017-05-12,2017-05-12,442.05
2017-05-15,2017-05-15,450.41
2017-05-16,2017-05-16,454.75
2017-05-17,2017-05-17,446.72
2017-05-18,2017-05-18,457.33
2017-05-19,2017-05-19,450.01
2017-05-22,2017-05-22,460.99
2017-05-23,2017-05-23,461.37
2017-05-24,2017-05-24,458.24
2017-05-25,2017-05-25,455.7
2017-05-26,2017-05-26,455.17
2017-05-30,2017-05-30,448.67
2017-05-31,2017-05-31,459.06
2017-06-01,2017-06-01,466.02
2017-06-02,2017-06-02,480.43
2017-06-05,2017-06-05,480.26
2017-06-06,2017-06-06,477.73
2017-06-07,2017-06-07,482.0
2017-06-08,2017-06-08,485.9
2017-06-09,2017-06-09,475.79
2017-06-12,2017-06-12,476.23
2017-06-13,2017-06-13,473.67
2017-06-14,2017-06-14,476.84
2017-06-15,2017-06-15,469.5
2017-06-16,2017-06-16,459.91
2017-06-19,2017-06-19,471.67
2017-06-20,2017-06-20,495.33
2017-06-21,2017-06-21,522.02
2017-06-22,2017-06-22,526.53
2017-06-23,2017-06-23,517.33
2017-06-26,2017-06-26,515.91
2017-06-27,2017-06-27,502.12
2017-06-28,2017-06-28,513.19
2017-06-29,2017-06-29,509.93
2017-06-30,2017-06-30,491.14
2017-07-03,2017-07-03,487.73
2017-07-05,2017-07-05,497.0
2017-07-06,2017-07-06,490.19
2017-07-07,2017-07-07,496.5
2017-07-10,2017-07-10,499.91
2017-07-11,2017-07-11,492.0
2017-07-12,2017-07-12,496.99
2017-07-13,2017-07-13,505.05
2017-07-14,2017-07-14,504.9
2017-07-17,2017-07-17,498.11
2017-07-18,2017-07-18,497.63
2017-07-19,2017-07-19,506.79
2017-07-20,2017-07-20,521.13
2017-07-21,2017-07-21,515.92
2017-07-24,2017-07-24,521.22
2017-07-25,2017-07-25,513.45
2017-07-26,2017-07-26,515.63
2017-07-27,2017-07-27,508.41
2017-07-28,2017-07-28,508.71
2017-07-31,2017-07-31,491.62
2017-08-01,2017-08-01,472.0
2017-08-02,2017-08-02,476.82
2017-08-03,2017-08-03,467.11
2017-08-04,2017-08-04,468.76
2017-08-07,2017-08-07,470.1
2017-08-08,2017-08-08,469.68
2017-08-09,2017-08-09,474.09
2017-08-10,2017-08-10,460.08
2017-08-11,2017-08-11,466.59
2017-08-14,2017-08-14,474.54
2017-08-15,2017-08-15,472.57
2017-08-16,2017-08-16,468.54
2017-08-17,2017-08-17,464.02
2017-08-18,2017-08-18,467.98
2017-08-21,2017-08-21,469.74
2017-08-22,2017-08-22,478.65
2017-08-23,2017-08-23,477.15
2017-08-24,2017-08-24,485.26
2017-08-25,2017-08-25,477.8
2017-08-28,2017-08-28,479.22
2017-08-29,2017-08-29,479.03
2017-08-30,2017-08-30,487.12
2017-08-31,2017-08-31,496.9
2017-09-01,2017-09-01,504.0
2017-09-05,2017-09-05,494.36
2017-09-06,2017-09-06,500.22
2017-09-07,2017-09-07,471.92
2017-09-08,2017-09-08,471.49
2017-09-11,2017-09-11,445.11
2017-09-12,2017-09-12,444.48
2017-09-13,2017-09-13,437.74
2017-09-14,2017-09-14,441.26
2017-09-15,2017-09-15,433.45
2017-09-18,2017-09-18,434.64
2017-09-19,2017-09-19,431.38
2017-09-20,2017-09-20,438.17
2017-09-21,2017-09-21,433.45
2017-09-22,2017-09-22,432.72
2017-09-25,2017-09-25,438.15
2017-09-26,2017-09-26,434.97
2017-09-27,2017-09-27,435.43
2017-09-28,2017-09-28,435.11
2017-09-29,2017-09-29,447.12
2017-10-02,2017-10-02,462.24
2017-10-03,2017-10-03,455.63
2017-10-04,2017-10-04,456.05
2017-10-05,2017-10-05,463.4
2017-10-06,2017-10-06,469.95
2017-10-09,2017-10-09,469.56
2017-10-10,2017-10-10,461.13
2017-10-11,2017-10-11,452.97
2017-10-12,2017-10-12,447.15
2017-10-13,2017-10-13,442.96
2017-10-16,2017-10-16,445.68
2017-10-17,2017-10-17,442.56
2017-10-18,2017-10-18,439.37
2017-10-19,2017-10-19,440.94
2017-10-20,2017-10-20,432.98
2017-10-23,2017-10-23,432.76
2017-10-24,2017-10-24,426.51
2017-10-25,2017-10-25,421.93
2017-10-26,2017-10-26,416.04
2017-10-27,2017-10-27,409.22
2017-10-30,2017-10-30,406.52
2017-10-31,2017-10-31,402.62
2017-11-01,2017-11-01,397.0
2017-11-02,2017-11-02,397.45
2017-11-03,2017-11-03,408.41
2017-11-06,2017-11-06,406.63
2017-11-07,2017-11-07,404.39
2017-11-08,2017-11-08,415.17
2017-11-09,2017-11-09,406.21
2017-11-10,2017-11-10,404.54
2017-11-13,2017-11-13,393.62
2017-11-14,2017-11-14,384.8
2017-11-15,2017-11-15,386.3
2017-11-16,2017-11-16,394.69
2017-11-17,2017-11-17,391.59
2017-11-20,2017-11-20,385.22
2017-11-21,2017-11-21,384.44
2017-11-22,2017-11-22,387.54
2017-11-24,2017-11-24,384.85
2017-11-27,2017-11-27,374.53
2017-11-28,2017-11-28,366.0
2017-11-29,2017-11-29,358.63
2017-11-30,2017-11-30,361.86
2017-12-01,2017-12-01,373.47
2017-12-04,2017-12-04,378.37
2017-12-05,2017-12-05,372.34
2017-12-06,2017-12-06,375.13
2017-12-07,2017-12-07,373.61
2017-12-08,2017-12-08,380.78
2017-12-11,2017-12-11,381.32
2017-12-12,2017-12-12,381.72
2017-12-13,2017-12-13,386.67
2017-12-14,2017-12-14,383.12
2017-12-15,2017-12-15,388.95
2017-12-18,2017-12-18,383.39
2017-12-19,2017-12-19,385.72
2017-12-20,2017-12-20,382.89
2017-12-21,2017-12-21,384.14
2017-12-22,2017-12-22,381.0
2017-12-26,2017-12-26,387.43
2017-12-27,2017-12-27,384.09
2017-12-28,2017-12-28,382.82
2017-12-29,2017-12-29,375.96
2018-01-02,2018-01-02,382.6
2018-01-03,2018-01-03,393.78
2018-01-04,2018-01-04,382.95
2018-01-05,2018-01-05,385.1
2018-01-08,2018-01-08,372.52
2018-01-09,2018-01-09,368.65
2018-01-10,2018-01-10,366.46
2018-01-11,2018-01-11,368.26
2018-01-12,2018-01-12,366.96
2018-01-16,2018-01-16,370.21
2018-01-17,2018-01-17,374.07
2018-01-18,2018-01-18,371.28
2018-01-19,2018-01-19,371.53
2018-01-22,2018-01-22,375.86
2018-01-23,2018-01-23,381.71
2018-01-24,2018-01-24,383.32
2018-01-25,2018-01-25,391.84
2018-01-26,2018-01-26,374.36
2018-01-29,2018-01-29,382.88
2018-01-30,2018-01-30,379.77
2018-01-31,2018-01-31,366.65
2018-02-01,2018-02-01,345.79
2018-02-02,2018-02-02,347.86
2018-02-05,2018-02-05,331.98
2018-02-06,2018-02-06,338.8
2018-02-07,2018-02-07,334.61
2018-02-08,2018-02-08,322.62
2018-02-09,2018-02-09,336.38
2018-02-12,2018-02-12,342.67
2018-02-13,2018-02-13,324.57
2018-02-14,2018-02-14,330.69
2018-02-15,2018-02-15,333.18
2018-02-16,2018-02-16,332.15
2018-02-20,2018-02-20,323.04
2018-02-21,2018-02-21,317.51
2018-02-22,2018-02-22,315.82
2018-02-23,2018-02-23,323.86
2018-02-26,2018-02-26,324.89
2018-02-27,2018-02-27,320.97
2018-02-28,2018-02-28,320.44
2018-03-01,2018-03-01,321.78
2018-03-02,2018-03-02,330.47
2018-03-05,2018-03-05,333.91
2018-03-06,2018-03-06,333.48
2018-03-07,2018-03-07,334.41
