DATE,DATE,CLOSE
2016-11-01,2016-11-01,37.09
2016-11-02,2016-11-02,37.36
2016-11-03,2016-11-03,37.53
2016-11-04,2016-11-04,37.43
2016-11-07,2016-11-07,38.64
2016-11-08,2016-11-08,39.04
2016-11-09,2016-11-09,40.34
2016-11-10,2016-11-10,41.89
2016-11-11,2016-11-11,43.35
2016-11-14,2016-11-14,43.79
2016-11-15,2016-11-15,43.64
2016-11-16,2016-11-16,43.47
2016-11-17,2016-11-17,44.95
2016-11-18,2016-11-18,44.76
2016-11-21,2016-11-21,44.54
2016-11-22,2016-11-22,44.66
2016-11-23,2016-11-23,44.8
2016-11-25,2016-11-25,45.26
2016-11-28,2016-11-28,44.47
2016-11-29,2016-11-29,44.67
2016-11-30,2016-11-30,44.87
2016-12-01,2016-12-01,45.54
2016-12-02,2016-12-02,45.56
2016-12-05,2016-12-05,46.41
2016-12-06,2016-12-06,47.42
2016-12-07,2016-12-07,47.99
2016-12-08,2016-12-08,48.86
2016-12-09,2016-12-09,48.47
2016-12-12,2016-12-12,48.55
2016-12-13,2016-12-13,48.54
2016-12-14,2016-12-14,48.16
2016-12-15,2016-12-15,48.68
2016-12-16,2016-12-16,48.51
2016-12-19,2016-12-19,48.98
2016-12-20,2016-12-20,49.24
2016-12-21,2016-12-21,48.9
2016-12-22,2016-12-22,48.89
2016-12-23,2016-12-23,48.95
2016-12-27,2016-12-27,49.1
2016-12-28,2016-12-28,48.83
2016-12-29,2016-12-29,48.85
2016-12-30,2016-12-30,48.78
2017-01-03,2017-01-03,49.76
2017-01-04,2017-01-04,50.91
2017-01-05,2017-01-05,48.6
2017-01-06,2017-01-06,48.3
2017-01-09,2017-01-09,48.35
2017-01-10,2017-01-10,49.02
2017-01-11,2017-01-11,49.23
2017-01-12,2017-01-12,49.37
2017-01-13,2017-01-13,49.91
2017-01-17,2017-01-17,49.12
2017-01-18,2017-01-18,49.35
2017-01-19,2017-01-19,48.59
2017-01-20,2017-01-20,48.9
2017-01-23,2017-01-23,48.64
2017-01-24,2017-01-24,49.37
2017-01-25,2017-01-25,49.81
