DATE,DATE,CLOSE
2016-11-01,2016-11-01,60.37
2016-11-02,2016-11-02,58.84
2016-11-03,2016-11-03,59.37
2016-11-04,2016-11-04,59.09
2016-11-07,2016-11-07,60.95
2016-11-08,2016-11-08,61.31
2016-11-09,2016-11-09,65.27
2016-11-10,2016-11-10,67.34
2016-11-11,2016-11-11,67.75
2016-11-14,2016-11-14,70.09
2016-11-15,2016-11-15,71.9
2016-11-16,2016-11-16,71.65
2016-11-17,2016-11-17,72.71
2016-11-18,2016-11-18,73.28
2016-11-21,2016-11-21,72.32
2016-11-22,2016-11-22,73.33
2016-11-23,2016-11-23,72.83
2016-11-25,2016-11-25,72.5
2016-11-28,2016-11-28,71.17
2016-11-29,2016-11-29,71.1
2016-11-30,2016-11-30,71.94
2016-12-01,2016-12-01,73.64
2016-12-02,2016-12-02,72.96
2016-12-05,2016-12-05,73.52
2016-12-06,2016-12-06,73.36
2016-12-07,2016-12-07,73.65
2016-12-08,2016-12-08,73.99
2016-12-09,2016-12-09,73.14
2016-12-12,2016-12-12,71.59
2016-12-13,2016-12-13,71.6
2016-12-14,2016-12-14,71.87
2016-12-15,2016-12-15,72.51
2016-12-16,2016-12-16,71.63
2016-12-19,2016-12-19,71.52
2016-12-20,2016-12-20,72.94
2016-12-21,2016-12-21,72.64
2016-12-22,2016-12-22,71.44
2016-12-23,2016-12-23,71.8
2016-12-27,2016-12-27,71.37
2016-12-28,2016-12-28,70.12
2016-12-29,2016-12-29,69.35
2016-12-30,2016-12-30,69.27
2017-01-03,2017-01-03,69.68
2017-01-04,2017-01-04,72.31
2017-01-05,2017-01-05,73.59
2017-01-06,2017-01-06,74.66
2017-01-09,2017-01-09,73.65
2017-01-10,2017-01-10,74.43
2017-01-11,2017-01-11,74.9
2017-01-12,2017-01-12,73.82
2017-01-13,2017-01-13,74.38
2017-01-17,2017-01-17,72.13
2017-01-18,2017-01-18,72.83
2017-01-19,2017-01-19,72.21
2017-01-20,2017-01-20,72.7
2017-01-23,2017-01-23,72.93
2017-01-24,2017-01-24,74.25
2017-01-25,2017-01-25,75.61
2017-01-26,2017-01-26,77.16
2017-01-27,2017-01-27,75.99
2017-01-30,2017-01-30,75.56
2017-01-31,2017-01-31,74.93
2017-02-01,2017-02-01,75.48
2017-02-02,2017-02-02,74.43
2017-02-03,2017-02-03,76.35
2017-02-06,2017-02-06,76.57
2017-02-07,2017-02-07,76.9
2017-02-08,2017-02-08,76.45
2017-02-09,2017-02-09,77.55
2017-02-10,2017-02-10,76.9
2017-02-13,2017-02-13,77.58
2017-02-14,2017-02-14,78.27
2017-02-15,2017-02-15,79.06
2017-02-16,2017-02-16,79.07
2017-02-17,2017-02-17,78.86
2017-02-21,2017-02-21,79.24
2017-02-22,2017-02-22,79.65
2017-02-23,2017-02-23,78.53
2017-02-24,2017-02-24,78.49
2017-02-27,2017-02-27,79.41
2017-02-28,2017-02-28,78.56
2017-03-01,2017-03-01,81.04
2017-03-02,2017-03-02,79.51
2017-03-03,2017-03-03,79.79
2017-03-06,2017-03-06,79.17
2017-03-07,2017-03-07,78.69
2017-03-08,2017-03-08,78.67
2017-03-09,2017-03-09,79.22
2017-03-10,2017-03-10,79.3
2017-03-13,2017-03-13,79.07
2017-03-14,2017-03-14,78.23
2017-03-15,2017-03-15,77.21
2017-03-16,2017-03-16,77.91
2017-03-17,2017-03-17,77.9
2017-03-20,2017-03-20,77.65
2017-03-21,2017-03-21,73.91
2017-03-22,2017-03-22,74.31
2017-03-23,2017-03-23,74.85
2017-03-24,2017-03-24,74.68
2017-03-27,2017-03-27,73.76
2017-03-28,2017-03-28,75.11
2017-03-29,2017-03-29,74.94
2017-03-30,2017-03-30,76.09
2017-03-31,2017-03-31,76.26
2017-04-03,2017-04-03,76.26
