DATE,DATE,CLOSE
2016-11-01,2016-11-01,98.66
2016-11-02,2016-11-02,97.76
2016-11-03,2016-11-03,97.64
2016-11-04,2016-11-04,98.59
2016-11-07,2016-11-07,99.83
2016-11-08,2016-11-08,98.91
2016-11-09,2016-11-09,102.15
2016-11-10,2016-11-10,106.26
2016-11-11,2016-11-11,107.1
2016-11-14,2016-11-14,111.59
2016-11-15,2016-11-15,113.17
2016-11-16,2016-11-16,111.92
2016-11-17,2016-11-17,113.57
2016-11-18,2016-11-18,110.28
2016-11-21,2016-11-21,110.57
2016-11-22,2016-11-22,113.68
2016-11-23,2016-11-23,112.52
2016-11-25,2016-11-25,112.17
2016-11-28,2016-11-28,110.91
2016-11-29,2016-11-29,108.61
2016-11-30,2016-11-30,104.61
2016-12-01,2016-12-01,104.37
2016-12-02,2016-12-02,105.72
2016-12-05,2016-12-05,108.19
2016-12-06,2016-12-06,107.42
2016-12-07,2016-12-07,108.96
2016-12-08,2016-12-08,108.88
2016-12-09,2016-12-09,109.0
2016-12-12,2016-12-12,103.77
2016-12-13,2016-12-13,103.76
2016-12-14,2016-12-14,101.75
2016-12-15,2016-12-15,96.93
2016-12-16,2016-12-16,94.75
2016-12-19,2016-12-19,93.24
2016-12-20,2016-12-20,92.92
2016-12-21,2016-12-21,92.81
2016-12-22,2016-12-22,90.73
2016-12-23,2016-12-23,89.45
2016-12-27,2016-12-27,90.1
2016-12-28,2016-12-28,89.98
2016-12-29,2016-12-29,90.74
2016-12-30,2016-12-30,90.32
2017-01-03,2017-01-03,90.63
2017-01-04,2017-01-04,90.62
2017-01-05,2017-01-05,89.05
2017-01-06,2017-01-06,88.58
2017-01-09,2017-01-09,87.25
2017-01-10,2017-01-10,87.94
2017-01-11,2017-01-11,86.64
2017-01-12,2017-01-12,86.39
2017-01-13,2017-01-13,86.32
2017-01-17,2017-01-17,89.58
2017-01-18,2017-01-18,89.29
2017-01-19,2017-01-19,88.2
2017-01-20,2017-01-20,88.9
2017-01-23,2017-01-23,89.29
2017-01-24,2017-01-24,90.11
2017-01-25,2017-01-25,91.15
2017-01-26,2017-01-26,90.01
2017-01-27,2017-01-27,87.97
2017-01-30,2017-01-30,88.44
2017-01-31,2017-01-31,88.43
2017-02-01,2017-02-01,87.37
2017-02-02,2017-02-02,76.61
2017-02-03,2017-02-03,76.17
2017-02-06,2017-02-06,76.53
2017-02-07,2017-02-07,75.98
2017-02-08,2017-02-08,77.5
2017-02-09,2017-02-09,77.98
2017-02-10,2017-02-10,79.61
2017-02-13,2017-02-13,79.34
2017-02-14,2017-02-14,79.49
2017-02-15,2017-02-15,79.17
2017-02-16,2017-02-16,78.47
2017-02-17,2017-02-17,78.39
