DATE,DATE,CLOSE
2016-11-01,2016-11-01,58.18
2016-11-02,2016-11-02,57.55
2016-11-03,2016-11-03,57.34
2016-11-04,2016-11-04,57.42
2016-11-07,2016-11-07,57.96
2016-11-08,2016-11-08,57.59
2016-11-09,2016-11-09,58.36
2016-11-10,2016-11-10,59.32
2016-11-11,2016-11-11,59.85
2016-11-14,2016-11-14,58.56
2016-11-15,2016-11-15,58.52
2016-11-16,2016-11-16,57.76
2016-11-17,2016-11-17,58.79
2016-11-18,2016-11-18,58.53
2016-11-21,2016-11-21,58.52
2016-11-22,2016-11-22,58.07
2016-11-23,2016-11-23,58.23
2016-11-25,2016-11-25,59.03
2016-11-28,2016-11-28,60.61
2016-11-29,2016-11-29,62.11
2016-11-30,2016-11-30,61.48
2016-12-01,2016-12-01,59.56
2016-12-02,2016-12-02,59.52
2016-12-05,2016-12-05,59.93
2016-12-06,2016-12-06,59.78
2016-12-07,2016-12-07,60.34
2016-12-08,2016-12-08,61.37
2016-12-09,2016-12-09,62.23
2016-12-12,2016-12-12,62.77
2016-12-13,2016-12-13,62.64
2016-12-14,2016-12-14,62.21
2016-12-15,2016-12-15,62.31
2016-12-16,2016-12-16,62.53
2016-12-19,2016-12-19,62.3
2016-12-20,2016-12-20,62.03
2016-12-21,2016-12-21,61.62
2016-12-22,2016-12-22,61.62
2016-12-23,2016-12-23,62.03
2016-12-27,2016-12-27,61.86
2016-12-28,2016-12-28,61.68
2016-12-29,2016-12-29,62.44
2016-12-30,2016-12-30,62.05
2017-01-03,2017-01-03,61.95
2017-01-04,2017-01-04,62.35
2017-01-05,2017-01-05,61.87
2017-01-06,2017-01-06,62.14
2017-01-09,2017-01-09,63.26
2017-01-10,2017-01-10,64.25
2017-01-11,2017-01-11,64.11
2017-01-12,2017-01-12,64.26
2017-01-13,2017-01-13,65.33
2017-01-17,2017-01-17,64.18
2017-01-18,2017-01-18,63.29
2017-01-19,2017-01-19,62.9
2017-01-20,2017-01-20,63.65
2017-01-23,2017-01-23,63.6
2017-01-24,2017-01-24,69.72
2017-01-25,2017-01-25,69.85
2017-01-26,2017-01-26,68.39
2017-01-27,2017-01-27,68.14
2017-01-30,2017-01-30,67.7
2017-01-31,2017-01-31,67.54
2017-02-01,2017-02-01,66.95
2017-02-02,2017-02-02,67.0
2017-02-03,2017-02-03,68.21
2017-02-06,2017-02-06,68.69
2017-02-07,2017-02-07,68.93
2017-02-08,2017-02-08,69.36
2017-02-09,2017-02-09,69.8
2017-02-10,2017-02-10,70.23
2017-02-13,2017-02-13,70.86
2017-02-14,2017-02-14,71.07
2017-02-15,2017-02-15,71.7
2017-02-16,2017-02-16,71.92
2017-02-17,2017-02-17,72.27
2017-02-21,2017-02-21,72.21
2017-02-22,2017-02-22,72.38
2017-02-23,2017-02-23,71.62
2017-02-24,2017-02-24,71.96
2017-02-27,2017-02-27,72.02
2017-02-28,2017-02-28,72.03
2017-03-01,2017-03-01,72.95
2017-03-02,2017-03-02,72.48
2017-03-03,2017-03-03,72.38
2017-03-06,2017-03-06,71.82
2017-03-07,2017-03-07,71.52
2017-03-08,2017-03-08,70.73
2017-03-09,2017-03-09,70.78
2017-03-10,2017-03-10,71.44
2017-03-13,2017-03-13,71.68
2017-03-14,2017-03-14,71.0
2017-03-15,2017-03-15,71.49
2017-03-16,2017-03-16,71.28
2017-03-17,2017-03-17,71.64
2017-03-20,2017-03-20,71.31
2017-03-21,2017-03-21,70.72
2017-03-22,2017-03-22,71.29
2017-03-23,2017-03-23,71.31
2017-03-24,2017-03-24,71.57
2017-03-27,2017-03-27,71.68
2017-03-28,2017-03-28,71.96
2017-03-29,2017-03-29,72.48
2017-03-30,2017-03-30,71.52
2017-03-31,2017-03-31,71.97
2017-04-03,2017-04-03,71.38
2017-04-04,2017-04-04,70.55
2017-04-05,2017-04-05,69.26
2017-04-06,2017-04-06,69.05
2017-04-07,2017-04-07,69.03
2017-04-10,2017-04-10,68.98
2017-04-11,2017-04-11,69.43
2017-04-12,2017-04-12,68.41
2017-04-13,2017-04-13,68.12
2017-04-17,2017-04-17,69.25
2017-04-18,2017-04-18,68.65
2017-04-19,2017-04-19,69.1
2017-04-20,2017-04-20,69.62
2017-04-21,2017-04-21,69.84
2017-04-24,2017-04-24,70.74
2017-04-25,2017-04-25,70.94
2017-04-26,2017-04-26,71.75
2017-04-27,2017-04-27,72.85
2017-04-28,2017-04-28,67.99
2017-05-01,2017-05-01,68.92
2017-05-02,2017-05-02,69.79
2017-05-03,2017-05-03,68.95
2017-05-04,2017-05-04,69.0
2017-05-05,2017-05-05,69.39
2017-05-08,2017-05-08,68.55
2017-05-09,2017-05-09,67.46
2017-05-10,2017-05-10,68.2
2017-05-11,2017-05-11,67.93
2017-05-12,2017-05-12,68.36
2017-05-15,2017-05-15,68.89
2017-05-16,2017-05-16,68.48
2017-05-17,2017-05-17,67.66
2017-05-18,2017-05-18,67.5
2017-05-19,2017-05-19,68.4
2017-05-22,2017-05-22,69.51
2017-05-23,2017-05-23,69.6
2017-05-24,2017-05-24,69.93
2017-05-25,2017-05-25,70.05
2017-05-26,2017-05-26,70.07
2017-05-30,2017-05-30,70.0
2017-05-31,2017-05-31,71.1
2017-06-01,2017-06-01,71.9
2017-06-02,2017-06-02,71.96
2017-06-05,2017-06-05,72.75
2017-06-06,2017-06-06,72.55
2017-06-07,2017-06-07,73.32
2017-06-08,2017-06-08,73.27
2017-06-09,2017-06-09,73.48
2017-06-12,2017-06-12,73.04
2017-06-13,2017-06-13,75.16
2017-06-14,2017-06-14,75.35
2017-06-15,2017-06-15,76.17
2017-06-16,2017-06-16,77.1
2017-06-19,2017-06-19,78.91
2017-06-20,2017-06-20,78.47
2017-06-21,2017-06-21,78.39
2017-06-22,2017-06-22,77.63
2017-06-23,2017-06-23,78.44
2017-06-26,2017-06-26,77.69
2017-06-27,2017-06-27,77.02
2017-06-28,2017-06-28,77.17
2017-06-29,2017-06-29,77.09
2017-06-30,2017-06-30,77.87
2017-07-03,2017-07-03,77.79
2017-07-05,2017-07-05,77.08
2017-07-06,2017-07-06,76.04
2017-07-07,2017-07-07,76.82
2017-07-10,2017-07-10,76.82
2017-07-11,2017-07-11,76.43
2017-07-12,2017-07-12,77.1
2017-07-13,2017-07-13,77.12
2017-07-14,2017-07-14,77.59
2017-07-17,2017-07-17,77.62
2017-07-18,2017-07-18,77.52
