DATE,DATE,CLOSE
2016-11-01,2016-11-01,118.96
2016-11-02,2016-11-02,118.31
2016-11-03,2016-11-03,117.47
2016-11-04,2016-11-04,117.56
2016-11-07,2016-11-07,124.24
2016-11-08,2016-11-08,125.03
2016-11-09,2016-11-09,126.85
2016-11-10,2016-11-10,130.75
2016-11-11,2016-11-11,131.71
2016-11-14,2016-11-14,132.22
2016-11-15,2016-11-15,133.48
2016-11-16,2016-11-16,133.38
2016-11-17,2016-11-17,131.95
2016-11-18,2016-11-18,131.2
2016-11-21,2016-11-21,131.71
2016-11-22,2016-11-22,131.71
2016-11-23,2016-11-23,131.86
2016-11-25,2016-11-25,132.92
2016-11-28,2016-11-28,130.5
2016-11-29,2016-11-29,131.34
2016-11-30,2016-11-30,133.71
2016-12-01,2016-12-01,137.19
2016-12-02,2016-12-02,136.79
2016-12-05,2016-12-05,136.22
2016-12-06,2016-12-06,136.4
2016-12-07,2016-12-07,138.93
2016-12-08,2016-12-08,137.61
2016-12-09,2016-12-09,139.56
2016-12-12,2016-12-12,137.4
2016-12-13,2016-12-13,137.07
2016-12-14,2016-12-14,135.57
2016-12-15,2016-12-15,136.21
2016-12-16,2016-12-16,134.91
2016-12-19,2016-12-19,134.83
2016-12-20,2016-12-20,135.57
2016-12-21,2016-12-21,135.57
2016-12-22,2016-12-22,135.57
2016-12-23,2016-12-23,136.01
2016-12-27,2016-12-27,136.03
2016-12-28,2016-12-28,134.74
2016-12-29,2016-12-29,134.85
2016-12-30,2016-12-30,134.4
2017-01-03,2017-01-03,138.54
2017-01-04,2017-01-04,137.96
2017-01-05,2017-01-05,137.74
2017-01-06,2017-01-06,138.51
2017-01-09,2017-01-09,138.31
2017-01-10,2017-01-10,139.53
2017-01-11,2017-01-11,141.66
2017-01-12,2017-01-12,140.76
2017-01-13,2017-01-13,141.99
2017-01-17,2017-01-17,139.64
2017-01-18,2017-01-18,139.96
2017-01-19,2017-01-19,140.0
2017-01-20,2017-01-20,140.56
2017-01-23,2017-01-23,140.02
2017-01-24,2017-01-24,142.03
2017-01-25,2017-01-25,153.01
2017-01-26,2017-01-26,152.92
2017-01-27,2017-01-27,150.75
2017-01-30,2017-01-30,149.31
2017-01-31,2017-01-31,147.99
2017-02-01,2017-02-01,147.76
2017-02-02,2017-02-02,147.65
2017-02-03,2017-02-03,149.73
2017-02-06,2017-02-06,149.96
2017-02-07,2017-02-07,149.41
2017-02-08,2017-02-08,148.63
2017-02-09,2017-02-09,150.35
2017-02-10,2017-02-10,151.45
2017-02-13,2017-02-13,152.01
2017-02-14,2017-02-14,152.21
2017-02-15,2017-02-15,152.49
2017-02-16,2017-02-16,151.88
2017-02-17,2017-02-17,151.92
2017-02-21,2017-02-21,151.83
2017-02-22,2017-02-22,152.88
2017-02-23,2017-02-23,151.47
2017-02-24,2017-02-24,151.14
2017-02-27,2017-02-27,151.26
2017-02-28,2017-02-28,151.1
2017-03-01,2017-03-01,155.48
2017-03-02,2017-03-02,153.05
2017-03-03,2017-03-03,153.01
2017-03-06,2017-03-06,153.19
2017-03-07,2017-03-07,153.58
2017-03-08,2017-03-08,153.03
2017-03-09,2017-03-09,152.18
2017-03-10,2017-03-10,154.31
2017-03-13,2017-03-13,154.45
2017-03-14,2017-03-14,152.45
2017-03-15,2017-03-15,156.47
2017-03-16,2017-03-16,155.62
2017-03-17,2017-03-17,155.99
2017-03-20,2017-03-20,155.95
2017-03-21,2017-03-21,154.15
2017-03-22,2017-03-22,154.61
2017-03-23,2017-03-23,154.08
2017-03-24,2017-03-24,153.25
2017-03-27,2017-03-27,152.85
2017-03-28,2017-03-28,155.14
2017-03-29,2017-03-29,154.47
2017-03-30,2017-03-30,155.38
2017-03-31,2017-03-31,155.71
2017-04-03,2017-04-03,155.31
2017-04-04,2017-04-04,155.96
2017-04-05,2017-04-05,155.18
2017-04-06,2017-04-06,155.88
2017-04-07,2017-04-07,155.28
2017-04-10,2017-04-10,156.05
2017-04-11,2017-04-11,156.11
2017-04-12,2017-04-12,150.23
2017-04-13,2017-04-13,148.43
2017-04-17,2017-04-17,150.52
2017-04-18,2017-04-18,149.53
2017-04-19,2017-04-19,149.58
2017-04-20,2017-04-20,153.82
2017-04-21,2017-04-21,153.59
2017-04-24,2017-04-24,156.95
2017-04-25,2017-04-25,160.14
2017-04-26,2017-04-26,159.96
2017-04-27,2017-04-27,159.27
2017-04-28,2017-04-28,157.35
2017-05-01,2017-05-01,156.5
2017-05-02,2017-05-02,155.97
2017-05-03,2017-05-03,154.54
2017-05-04,2017-05-04,154.9
2017-05-05,2017-05-05,156.39
2017-05-08,2017-05-08,156.13
2017-05-09,2017-05-09,157.13
2017-05-10,2017-05-10,157.64
2017-05-11,2017-05-11,156.87
2017-05-12,2017-05-12,155.7
2017-05-15,2017-05-15,158.02
2017-05-16,2017-05-16,157.5
2017-05-17,2017-05-17,153.74
2017-05-18,2017-05-18,154.22
2017-05-19,2017-05-19,157.36
2017-05-22,2017-05-22,158.45
2017-05-23,2017-05-23,158.59
2017-05-24,2017-05-24,158.01
2017-05-25,2017-05-25,159.26
2017-05-26,2017-05-26,159.28
2017-05-30,2017-05-30,159.38
2017-05-31,2017-05-31,158.72
2017-06-01,2017-06-01,161.07
2017-06-02,2017-06-02,162.39
2017-06-05,2017-06-05,162.16
2017-06-06,2017-06-06,159.74
2017-06-07,2017-06-07,157.52
2017-06-08,2017-06-08,160.05
2017-06-09,2017-06-09,162.13
2017-06-12,2017-06-12,161.3
2017-06-13,2017-06-13,161.01
2017-06-14,2017-06-14,159.86
2017-06-15,2017-06-15,161.6
2017-06-16,2017-06-16,164.09
2017-06-19,2017-06-19,164.06
2017-06-20,2017-06-20,162.15
2017-06-21,2017-06-21,160.12
2017-06-22,2017-06-22,160.53
2017-06-23,2017-06-23,162.19
2017-06-26,2017-06-26,161.36
2017-06-27,2017-06-27,159.37
2017-06-28,2017-06-28,160.53
2017-06-29,2017-06-29,158.82
2017-06-30,2017-06-30,161.96
2017-07-03,2017-07-03,162.84
2017-07-05,2017-07-05,163.49
2017-07-06,2017-07-06,162.79
2017-07-07,2017-07-07,164.43
2017-07-10,2017-07-10,164.69
2017-07-11,2017-07-11,164.16
2017-07-12,2017-07-12,165.73
2017-07-13,2017-07-13,165.68
2017-07-14,2017-07-14,167.34
2017-07-17,2017-07-17,166.3
2017-07-18,2017-07-18,165.49
2017-07-19,2017-07-19,167.34
2017-07-20,2017-07-20,166.83
2017-07-21,2017-07-21,165.08
2017-07-24,2017-07-24,163.96
2017-07-25,2017-07-25,163.1
2017-07-26,2017-07-26,162.78
2017-07-27,2017-07-27,164.97
2017-07-28,2017-07-28,164.47
2017-07-31,2017-07-31,165.03
2017-08-01,2017-08-01,163.57
2017-08-02,2017-08-02,165.22
2017-08-03,2017-08-03,165.53
2017-08-04,2017-08-04,164.9
2017-08-07,2017-08-07,165.82
2017-08-08,2017-08-08,165.6
2017-08-09,2017-08-09,165.64
2017-08-10,2017-08-10,162.21
2017-08-11,2017-08-11,161.66
2017-08-14,2017-08-14,163.96
2017-08-15,2017-08-15,164.12
2017-08-16,2017-08-16,164.03
2017-08-17,2017-08-17,161.26
2017-08-18,2017-08-18,161.38
2017-08-21,2017-08-21,160.46
2017-08-22,2017-08-22,163.17
2017-08-23,2017-08-23,160.01
2017-08-24,2017-08-24,160.13
2017-08-25,2017-08-25,159.61
2017-08-28,2017-08-28,159.57
2017-08-29,2017-08-29,160.38
2017-08-30,2017-08-30,162.62
2017-08-31,2017-08-31,164.06
2017-09-01,2017-09-01,164.36
2017-09-05,2017-09-05,163.41
2017-09-06,2017-09-06,162.32
2017-09-07,2017-09-07,162.56
2017-09-08,2017-09-08,164.01
2017-09-11,2017-09-11,168.84
2017-09-12,2017-09-12,169.12
2017-09-13,2017-09-13,169.89
2017-09-14,2017-09-14,172.15
2017-09-15,2017-09-15,173.73
2017-09-18,2017-09-18,175.16
2017-09-19,2017-09-19,177.13
2017-09-20,2017-09-20,177.58
2017-09-21,2017-09-21,177.33
2017-09-22,2017-09-22,177.55
2017-09-25,2017-09-25,177.67
2017-09-26,2017-09-26,176.98
2017-09-27,2017-09-27,177.33
2017-09-28,2017-09-28,177.27
2017-09-29,2017-09-29,178.21
2017-10-02,2017-10-02,180.7
2017-10-03,2017-10-03,180.8
2017-10-04,2017-10-04,182.35
2017-10-05,2017-10-05,182.51
2017-10-06,2017-10-06,182.31
2017-10-09,2017-10-09,183.27
2017-10-10,2017-10-10,182.74
2017-10-11,2017-10-11,183.75
2017-10-12,2017-10-12,184.5
2017-10-13,2017-10-13,185.88
2017-10-16,2017-10-16,186.41
2017-10-17,2017-10-17,186.27
2017-10-18,2017-10-18,184.97
2017-10-19,2017-10-19,186.44
2017-10-20,2017-10-20,188.5
2017-10-23,2017-10-23,187.67
2017-10-24,2017-10-24,188.68
2017-10-25,2017-10-25,187.07
2017-10-26,2017-10-26,188.03
2017-10-27,2017-10-27,188.78
2017-10-30,2017-10-30,187.0
2017-10-31,2017-10-31,200.82
2017-11-01,2017-11-01,195.16
2017-11-02,2017-11-02,199.22
2017-11-03,2017-11-03,198.38
2017-11-06,2017-11-06,196.83
2017-11-07,2017-11-07,200.83
2017-11-08,2017-11-08,193.78
2017-11-09,2017-11-09,189.81
2017-11-10,2017-11-10,192.61
2017-11-13,2017-11-13,192.54
2017-11-14,2017-11-14,191.58
2017-11-15,2017-11-15,188.73
2017-11-16,2017-11-16,193.61
2017-11-17,2017-11-17,194.36
2017-11-20,2017-11-20,194.23
2017-11-21,2017-11-21,193.02
2017-11-22,2017-11-22,191.02
2017-11-24,2017-11-24,191.48
2017-11-27,2017-11-27,191.04
2017-11-28,2017-11-28,197.13
2017-11-29,2017-11-29,190.13
2017-11-30,2017-11-30,193.08
