DATE,DATE,CLOSE
2016-11-01,2016-11-01,171.58
2016-11-02,2016-11-02,170.07
2016-11-03,2016-11-03,170.36
2016-11-04,2016-11-04,169.47
2016-11-07,2016-11-07,172.85
2016-11-08,2016-11-08,174.04
2016-11-09,2016-11-09,176.95
2016-11-10,2016-11-10,179.81
2016-11-11,2016-11-11,178.95
2016-11-14,2016-11-14,179.58
2016-11-15,2016-11-15,181.65
2016-11-16,2016-11-16,181.28
2016-11-17,2016-11-17,181.42
2016-11-18,2016-11-18,180.12
2016-11-21,2016-11-21,182.04
2016-11-22,2016-11-22,183.79
2016-11-23,2016-11-23,184.2
2016-11-25,2016-11-25,183.13
2016-11-28,2016-11-28,182.08
2016-11-29,2016-11-29,181.1
2016-11-30,2016-11-30,181.11
2016-12-01,2016-12-01,181.83
2016-12-02,2016-12-02,182.32
2016-12-05,2016-12-05,181.64
2016-12-06,2016-12-06,183.05
2016-12-07,2016-12-07,183.51
2016-12-08,2016-12-08,183.29
2016-12-09,2016-12-09,185.8
2016-12-12,2016-12-12,184.89
2016-12-13,2016-12-13,188.04
2016-12-14,2016-12-14,186.66
2016-12-15,2016-12-15,186.97
2016-12-16,2016-12-16,185.0
2016-12-19,2016-12-19,184.43
2016-12-20,2016-12-20,186.33
2016-12-21,2016-12-21,185.81
2016-12-22,2016-12-22,186.01
2016-12-23,2016-12-23,185.93
2016-12-27,2016-12-27,186.2
2016-12-28,2016-12-28,183.81
2016-12-29,2016-12-29,183.13
2016-12-30,2016-12-30,183.08
2017-01-03,2017-01-03,184.93
2017-01-04,2017-01-04,185.29
2017-01-05,2017-01-05,185.27
2017-01-06,2017-01-06,187.87
2017-01-09,2017-01-09,186.31
2017-01-10,2017-01-10,186.0
2017-01-11,2017-01-11,188.97
2017-01-12,2017-01-12,187.66
2017-01-13,2017-01-13,188.5
2017-01-17,2017-01-17,186.02
2017-01-18,2017-01-18,186.91
2017-01-19,2017-01-19,185.42
2017-01-20,2017-01-20,186.22
2017-01-23,2017-01-23,186.36
2017-01-24,2017-01-24,187.88
2017-01-25,2017-01-25,190.58
2017-01-26,2017-01-26,190.44
2017-01-27,2017-01-27,190.75
2017-01-30,2017-01-30,190.4
2017-01-31,2017-01-31,191.85
2017-02-01,2017-02-01,191.36
2017-02-02,2017-02-02,191.76
2017-02-03,2017-02-03,192.86
2017-02-06,2017-02-06,192.7
2017-02-07,2017-02-07,192.35
2017-02-08,2017-02-08,193.01
2017-02-09,2017-02-09,202.2
2017-02-10,2017-02-10,204.56
2017-02-13,2017-02-13,205.74
2017-02-14,2017-02-14,205.37
2017-02-15,2017-02-15,206.74
2017-02-16,2017-02-16,206.81
2017-02-17,2017-02-17,207.14
2017-02-21,2017-02-21,207.38
2017-02-22,2017-02-22,207.87
2017-02-23,2017-02-23,209.45
2017-02-24,2017-02-24,209.91
2017-02-27,2017-02-27,210.04
2017-02-28,2017-02-28,209.2
2017-03-01,2017-03-01,212.96
2017-03-02,2017-03-02,212.78
2017-03-03,2017-03-03,212.85
2017-03-06,2017-03-06,212.33
2017-03-07,2017-03-07,211.75
2017-03-08,2017-03-08,210.28
2017-03-09,2017-03-09,210.62
2017-03-10,2017-03-10,211.37
