DATE,DATE,CLOSE
2016-11-01,2016-11-01,51.29
2016-11-02,2016-11-02,51.15
2016-11-03,2016-11-03,51.03
2016-11-04,2016-11-04,51.23
2016-11-07,2016-11-07,52.01
2016-11-08,2016-11-08,52.24
2016-11-09,2016-11-09,52.76
2016-11-10,2016-11-10,52.9
2016-11-11,2016-11-11,53.67
2016-11-14,2016-11-14,54.1
2016-11-15,2016-11-15,54.91
2016-11-16,2016-11-16,54.57
2016-11-17,2016-11-17,54.67
2016-11-18,2016-11-18,54.61
2016-11-21,2016-11-21,55.35
2016-11-22,2016-11-22,55.43
2016-11-23,2016-11-23,55.18
2016-11-25,2016-11-25,55.63
2016-11-28,2016-11-28,55.86
2016-11-29,2016-11-29,55.9
2016-11-30,2016-11-30,55.49
2016-12-01,2016-12-01,55.47
2016-12-02,2016-12-02,55.81
2016-12-05,2016-12-05,55.28
2016-12-06,2016-12-06,55.72
2016-12-07,2016-12-07,56.29
2016-12-08,2016-12-08,56.44
2016-12-09,2016-12-09,56.52
2016-12-12,2016-12-12,56.92
2016-12-13,2016-12-13,57.05
2016-12-14,2016-12-14,56.51
2016-12-15,2016-12-15,56.65
2016-12-16,2016-12-16,56.59
2016-12-19,2016-12-19,57.41
2016-12-20,2016-12-20,57.5
2016-12-21,2016-12-21,57.29
2016-12-22,2016-12-22,57.32
2016-12-23,2016-12-23,57.36
2016-12-27,2016-12-27,57.41
2016-12-28,2016-12-28,57.32
2016-12-29,2016-12-29,57.15
2016-12-30,2016-12-30,57.05
2017-01-03,2017-01-03,56.87
2017-01-04,2017-01-04,56.97
2017-01-05,2017-01-05,57.21
2017-01-06,2017-01-06,57.03
2017-01-09,2017-01-09,56.42
2017-01-10,2017-01-10,56.69
2017-01-11,2017-01-11,56.91
2017-01-12,2017-01-12,57.1
2017-01-13,2017-01-13,57.24
2017-01-17,2017-01-17,56.91
2017-01-18,2017-01-18,57.36
2017-01-19,2017-01-19,57.31
2017-01-20,2017-01-20,57.36
2017-01-23,2017-01-23,57.24
2017-01-24,2017-01-24,57.54
2017-01-25,2017-01-25,57.82
2017-01-26,2017-01-26,57.65
2017-01-27,2017-01-27,57.51
2017-01-30,2017-01-30,57.45
2017-01-31,2017-01-31,57.38
2017-02-01,2017-02-01,56.9
2017-02-02,2017-02-02,57.35
2017-02-03,2017-02-03,57.58
2017-02-06,2017-02-06,57.36
2017-02-07,2017-02-07,57.65
2017-02-08,2017-02-08,57.74
2017-02-09,2017-02-09,57.86
2017-02-10,2017-02-10,57.96
2017-02-13,2017-02-13,58.49
2017-02-14,2017-02-14,58.43
2017-02-15,2017-02-15,59.11
2017-02-16,2017-02-16,59.05
2017-02-17,2017-02-17,60.75
2017-02-21,2017-02-21,61.22
2017-02-22,2017-02-22,61.68
2017-02-23,2017-02-23,61.57
2017-02-24,2017-02-24,61.35
2017-02-27,2017-02-27,61.75
2017-02-28,2017-02-28,61.95
2017-03-01,2017-03-01,62.2
2017-03-02,2017-03-02,62.23
2017-03-03,2017-03-03,62.01
2017-03-06,2017-03-06,61.93
2017-03-07,2017-03-07,62.08
2017-03-08,2017-03-08,62.11
2017-03-09,2017-03-09,62.3
2017-03-10,2017-03-10,62.77
2017-03-13,2017-03-13,62.99
2017-03-14,2017-03-14,62.87
2017-03-15,2017-03-15,63.69
2017-03-16,2017-03-16,63.06
2017-03-17,2017-03-17,63.37
2017-03-20,2017-03-20,63.22
2017-03-21,2017-03-21,62.58
2017-03-22,2017-03-22,62.75
2017-03-23,2017-03-23,62.63
2017-03-24,2017-03-24,62.49
2017-03-27,2017-03-27,62.1
2017-03-28,2017-03-28,62.42
2017-03-29,2017-03-29,62.32
2017-03-30,2017-03-30,62.82
2017-03-31,2017-03-31,62.81
2017-04-03,2017-04-03,62.48
2017-04-04,2017-04-04,62.61
2017-04-05,2017-04-05,62.69
2017-04-06,2017-04-06,62.63
2017-04-07,2017-04-07,62.82
2017-04-10,2017-04-10,62.66
2017-04-11,2017-04-11,62.89
2017-04-12,2017-04-12,62.51
2017-04-13,2017-04-13,62.19
2017-04-17,2017-04-17,62.77
2017-04-18,2017-04-18,62.86
2017-04-19,2017-04-19,63.05
2017-04-20,2017-04-20,63.01
2017-04-21,2017-04-21,63.38
2017-04-24,2017-04-24,64.02
2017-04-25,2017-04-25,63.89
2017-04-26,2017-04-26,63.23
2017-04-27,2017-04-27,63.34
2017-04-28,2017-04-28,62.99
2017-05-01,2017-05-01,63.3
2017-05-02,2017-05-02,63.33
2017-05-03,2017-05-03,63.0
2017-05-04,2017-05-04,63.1
2017-05-05,2017-05-05,63.23
2017-05-08,2017-05-08,63.17
2017-05-09,2017-05-09,63.01
2017-05-10,2017-05-10,63.61
2017-05-11,2017-05-11,63.34
2017-05-12,2017-05-12,62.68
2017-05-15,2017-05-15,62.89
2017-05-16,2017-05-16,62.18
2017-05-17,2017-05-17,61.25
2017-05-18,2017-05-18,61.67
2017-05-19,2017-05-19,61.38
2017-05-22,2017-05-22,61.89
2017-05-23,2017-05-23,62.36
2017-05-24,2017-05-24,62.41
2017-05-25,2017-05-25,62.84
2017-05-26,2017-05-26,63.07
2017-05-30,2017-05-30,62.88
2017-05-31,2017-05-31,63.61
2017-06-01,2017-06-01,64.43
2017-06-02,2017-06-02,64.68
2017-06-05,2017-06-05,64.2
2017-06-06,2017-06-06,64.0
2017-06-07,2017-06-07,64.11
2017-06-08,2017-06-08,63.7
2017-06-09,2017-06-09,63.94
2017-06-12,2017-06-12,64.17
2017-06-13,2017-06-13,64.38
2017-06-14,2017-06-14,64.15
2017-06-15,2017-06-15,64.86
2017-06-16,2017-06-16,64.81
2017-06-19,2017-06-19,65.11
2017-06-20,2017-06-20,64.57
2017-06-21,2017-06-21,64.08
2017-06-22,2017-06-22,63.89
2017-06-23,2017-06-23,64.04
2017-06-26,2017-06-26,64.06
2017-06-27,2017-06-27,63.98
2017-06-28,2017-06-28,64.23
2017-06-29,2017-06-29,63.23
2017-06-30,2017-06-30,63.73
2017-07-03,2017-07-03,63.79
2017-07-05,2017-07-05,63.97
2017-07-06,2017-07-06,63.58
2017-07-07,2017-07-07,64.09
2017-07-10,2017-07-10,64.34
2017-07-11,2017-07-11,64.24
2017-07-12,2017-07-12,64.43
