DATE,DATE,CLOSE
2016-11-01,2016-11-01,135.08
2016-11-02,2016-11-02,135.27
2016-11-03,2016-11-03,134.14
2016-11-04,2016-11-04,132.97
2016-11-07,2016-11-07,135.91
2016-11-08,2016-11-08,136.51
2016-11-09,2016-11-09,146.71
2016-11-10,2016-11-10,147.71
2016-11-11,2016-11-11,148.26
2016-11-14,2016-11-14,149.73
2016-11-15,2016-11-15,147.29
2016-11-16,2016-11-16,146.16
2016-11-17,2016-11-17,144.96
2016-11-18,2016-11-18,146.04
2016-11-21,2016-11-21,146.1
2016-11-22,2016-11-22,147.76
2016-11-23,2016-11-23,147.88
2016-11-25,2016-11-25,148.55
2016-11-28,2016-11-28,148.9
2016-11-29,2016-11-29,150.54
2016-11-30,2016-11-30,149.54
2016-12-01,2016-12-01,149.24
2016-12-02,2016-12-02,149.92
2016-12-05,2016-12-05,149.07
2016-12-06,2016-12-06,149.12
2016-12-07,2016-12-07,148.89
2016-12-08,2016-12-08,146.16
2016-12-09,2016-12-09,146.3
2016-12-12,2016-12-12,143.81
2016-12-13,2016-12-13,142.41
2016-12-14,2016-12-14,142.84
2016-12-15,2016-12-15,142.62
2016-12-16,2016-12-16,141.82
2016-12-19,2016-12-19,142.98
2016-12-20,2016-12-20,143.82
2016-12-21,2016-12-21,142.56
2016-12-22,2016-12-22,143.31
2016-12-23,2016-12-23,143.3
2016-12-27,2016-12-27,143.08
2016-12-28,2016-12-28,141.82
2016-12-29,2016-12-29,143.39
2016-12-30,2016-12-30,142.0
2017-01-03,2017-01-03,145.22
2017-01-04,2017-01-04,146.68
2017-01-05,2017-01-05,148.16
2017-01-06,2017-01-06,148.22
2017-01-09,2017-01-09,148.19
2017-01-10,2017-01-10,146.61
2017-01-11,2017-01-11,146.25
2017-01-12,2017-01-12,145.64
2017-01-13,2017-01-13,145.99
2017-01-17,2017-01-17,145.1
2017-01-18,2017-01-18,147.02
2017-01-19,2017-01-19,146.95
2017-01-20,2017-01-20,146.91
2017-01-23,2017-01-23,147.05
2017-01-24,2017-01-24,147.98
2017-01-25,2017-01-25,146.87
2017-01-26,2017-01-26,142.9
2017-01-27,2017-01-27,145.88
2017-01-30,2017-01-30,145.55
2017-01-31,2017-01-31,144.16
2017-02-01,2017-02-01,144.81
2017-02-02,2017-02-02,145.59
2017-02-03,2017-02-03,146.89
2017-02-06,2017-02-06,147.55
2017-02-07,2017-02-07,148.12
2017-02-08,2017-02-08,148.19
2017-02-09,2017-02-09,149.24
2017-02-10,2017-02-10,150.03
2017-02-13,2017-02-13,151.85
2017-02-14,2017-02-14,151.35
2017-02-15,2017-02-15,151.96
2017-02-16,2017-02-16,152.39
2017-02-17,2017-02-17,152.86
2017-02-21,2017-02-21,154.02
2017-02-22,2017-02-22,154.08
2017-02-23,2017-02-23,153.29
2017-02-24,2017-02-24,153.48
2017-02-27,2017-02-27,154.83
2017-02-28,2017-02-28,154.15
2017-03-01,2017-03-01,154.57
2017-03-02,2017-03-02,154.3
2017-03-03,2017-03-03,153.75
2017-03-06,2017-03-06,153.32
2017-03-07,2017-03-07,154.48
2017-03-08,2017-03-08,154.11
2017-03-09,2017-03-09,154.13
2017-03-10,2017-03-10,154.38
2017-03-13,2017-03-13,154.61
2017-03-14,2017-03-14,154.4
2017-03-15,2017-03-15,154.73
2017-03-16,2017-03-16,153.66
2017-03-17,2017-03-17,156.97
2017-03-20,2017-03-20,155.92
2017-03-21,2017-03-21,153.6
2017-03-22,2017-03-22,154.29
2017-03-23,2017-03-23,153.16
2017-03-24,2017-03-24,151.02
2017-03-27,2017-03-27,151.15
2017-03-28,2017-03-28,152.07
2017-03-29,2017-03-29,151.93
2017-03-30,2017-03-30,153.16
2017-03-31,2017-03-31,152.5
2017-04-03,2017-04-03,151.77
2017-04-04,2017-04-04,151.4
2017-04-05,2017-04-05,149.95
2017-04-06,2017-04-06,150.75
2017-04-07,2017-04-07,152.96
2017-04-10,2017-04-10,151.23
2017-04-11,2017-04-11,152.07
2017-04-12,2017-04-12,151.35
2017-04-13,2017-04-13,151.75
2017-04-17,2017-04-17,153.24
2017-04-18,2017-04-18,152.87
2017-04-19,2017-04-19,152.88
2017-04-20,2017-04-20,154.0
2017-04-21,2017-04-21,154.04
2017-04-24,2017-04-24,156.03
2017-04-25,2017-04-25,156.01
2017-04-26,2017-04-26,155.27
2017-04-27,2017-04-27,156.26
