DATE,DATE,CLOSE
2016-11-01,2016-11-01,52.5
2016-11-02,2016-11-02,52.98
2016-11-03,2016-11-03,51.77
2016-11-04,2016-11-04,52.75
2016-11-07,2016-11-07,54.49
2016-11-08,2016-11-08,54.62
2016-11-09,2016-11-09,54.58
2016-11-10,2016-11-10,53.57
2016-11-11,2016-11-11,53.93
2016-11-14,2016-11-14,54.22
2016-11-15,2016-11-15,54.59
2016-11-16,2016-11-16,55.44
2016-11-17,2016-11-17,55.85
2016-11-18,2016-11-18,55.77
2016-11-21,2016-11-21,56.1
2016-11-22,2016-11-22,57.12
2016-11-23,2016-11-23,57.59
2016-11-25,2016-11-25,57.43
2016-11-28,2016-11-28,57.59
2016-11-29,2016-11-29,58.17
2016-11-30,2016-11-30,57.97
2016-12-01,2016-12-01,58.51
2016-12-02,2016-12-02,57.21
2016-12-05,2016-12-05,57.5
2016-12-06,2016-12-06,57.44
2016-12-07,2016-12-07,58.76
2016-12-08,2016-12-08,58.65
2016-12-09,2016-12-09,58.75
2016-12-12,2016-12-12,58.77
2016-12-13,2016-12-13,59.31
2016-12-14,2016-12-14,58.75
2016-12-15,2016-12-15,57.71
2016-12-16,2016-12-16,57.66
2016-12-19,2016-12-19,57.65
2016-12-20,2016-12-20,57.7
2016-12-21,2016-12-21,57.44
2016-12-22,2016-12-22,57.11
2016-12-23,2016-12-23,57.01
2016-12-27,2016-12-27,56.86
2016-12-28,2016-12-28,56.35
2016-12-29,2016-12-29,56.32
2016-12-30,2016-12-30,55.52
2017-01-03,2017-01-03,55.35
2017-01-04,2017-01-04,55.99
2017-01-05,2017-01-05,56.46
2017-01-06,2017-01-06,57.13
2017-01-09,2017-01-09,58.2
2017-01-10,2017-01-10,57.88
2017-01-11,2017-01-11,58.1
2017-01-12,2017-01-12,58.03
2017-01-13,2017-01-13,57.85
2017-01-17,2017-01-17,58.0
2017-01-18,2017-01-18,58.45
2017-01-19,2017-01-19,57.89
2017-01-20,2017-01-20,57.66
2017-01-23,2017-01-23,57.76
2017-01-24,2017-01-24,58.44
2017-01-25,2017-01-25,58.7
2017-01-26,2017-01-26,58.46
2017-01-27,2017-01-27,56.12
2017-01-30,2017-01-30,55.9
2017-01-31,2017-01-31,55.22
2017-02-01,2017-02-01,53.9
2017-02-02,2017-02-02,53.87
2017-02-03,2017-02-03,55.06
2017-02-06,2017-02-06,55.73
2017-02-07,2017-02-07,55.24
2017-02-08,2017-02-08,55.22
2017-02-09,2017-02-09,55.81
2017-02-10,2017-02-10,56.22
2017-02-13,2017-02-13,56.11
2017-02-14,2017-02-14,56.58
2017-02-15,2017-02-15,56.86
2017-02-16,2017-02-16,56.73
2017-02-17,2017-02-17,57.35
2017-02-21,2017-02-21,57.54
2017-02-22,2017-02-22,57.57
2017-02-23,2017-02-23,57.64
2017-02-24,2017-02-24,57.48
2017-02-27,2017-02-27,56.78
2017-02-28,2017-02-28,56.87
2017-03-01,2017-03-01,57.14
2017-03-02,2017-03-02,57.12
2017-03-03,2017-03-03,57.1
2017-03-06,2017-03-06,56.68
2017-03-07,2017-03-07,56.2
2017-03-08,2017-03-08,55.74
2017-03-09,2017-03-09,55.19
2017-03-10,2017-03-10,54.53
2017-03-13,2017-03-13,54.63
2017-03-14,2017-03-14,54.27
2017-03-15,2017-03-15,54.54
2017-03-16,2017-03-16,54.8
2017-03-17,2017-03-17,55.78
2017-03-20,2017-03-20,55.81
2017-03-21,2017-03-21,55.54
2017-03-22,2017-03-22,55.89
2017-03-23,2017-03-23,55.85
2017-03-24,2017-03-24,56.81
2017-03-27,2017-03-27,57.23
2017-03-28,2017-03-28,57.35
2017-03-29,2017-03-29,57.54
2017-03-30,2017-03-30,58.16
2017-03-31,2017-03-31,58.39
2017-04-03,2017-04-03,58.44
2017-04-04,2017-04-04,58.32
2017-04-05,2017-04-05,58.22
2017-04-06,2017-04-06,57.92
2017-04-07,2017-04-07,58.02
2017-04-10,2017-04-10,57.95
2017-04-11,2017-04-11,57.88
2017-04-12,2017-04-12,57.58
2017-04-13,2017-04-13,57.51
2017-04-17,2017-04-17,58.08
2017-04-18,2017-04-18,58.35
2017-04-19,2017-04-19,59.04
2017-04-20,2017-04-20,60.08
2017-04-21,2017-04-21,60.61
2017-04-24,2017-04-24,61.11
2017-04-25,2017-04-25,60.96
2017-04-26,2017-04-26,61.56
2017-04-27,2017-04-27,61.3
2017-04-28,2017-04-28,60.06
2017-05-01,2017-05-01,60.18
2017-05-02,2017-05-02,60.5
2017-05-03,2017-05-03,60.59
2017-05-04,2017-05-04,60.83
2017-05-05,2017-05-05,60.95
2017-05-08,2017-05-08,60.94
2017-05-09,2017-05-09,60.98
2017-05-10,2017-05-10,60.66
2017-05-11,2017-05-11,60.27
2017-05-12,2017-05-12,59.93
2017-05-15,2017-05-15,60.45
2017-05-16,2017-05-16,59.98
2017-05-17,2017-05-17,59.73
2017-05-18,2017-05-18,59.82
2017-05-19,2017-05-19,61.36
2017-05-22,2017-05-22,61.23
2017-05-23,2017-05-23,61.15
2017-05-24,2017-05-24,61.89
2017-05-25,2017-05-25,62.9
2017-05-26,2017-05-26,63.3
2017-05-30,2017-05-30,63.26
2017-05-31,2017-05-31,63.61
2017-06-01,2017-06-01,63.75
2017-06-02,2017-06-02,64.57
2017-06-05,2017-06-05,64.27
2017-06-06,2017-06-06,64.16
2017-06-07,2017-06-07,63.5
2017-06-08,2017-06-08,62.24
2017-06-09,2017-06-09,62.19
2017-06-12,2017-06-12,61.29
2017-06-13,2017-06-13,60.92
2017-06-14,2017-06-14,60.27
2017-06-15,2017-06-15,60.09
2017-06-16,2017-06-16,60.14
2017-06-19,2017-06-19,60.9
2017-06-20,2017-06-20,59.86
2017-06-21,2017-06-21,59.96
2017-06-22,2017-06-22,59.51
2017-06-23,2017-06-23,59.81
2017-06-26,2017-06-26,59.64
2017-06-27,2017-06-27,58.96
2017-06-28,2017-06-28,59.18
2017-06-29,2017-06-29,58.36
2017-06-30,2017-06-30,58.31
2017-07-03,2017-07-03,58.25
2017-07-05,2017-07-05,57.94
2017-07-06,2017-07-06,57.6
2017-07-07,2017-07-07,58.04
2017-07-10,2017-07-10,57.81
2017-07-11,2017-07-11,57.9
2017-07-12,2017-07-12,58.54
2017-07-13,2017-07-13,58.38
2017-07-14,2017-07-14,58.76
2017-07-17,2017-07-17,58.33
2017-07-18,2017-07-18,58.21
2017-07-19,2017-07-19,58.11
2017-07-20,2017-07-20,58.03
2017-07-21,2017-07-21,57.98
2017-07-24,2017-07-24,58.02
2017-07-25,2017-07-25,58.55
2017-07-26,2017-07-26,57.94
2017-07-27,2017-07-27,59.5
2017-07-28,2017-07-28,54.0
2017-07-31,2017-07-31,53.98
2017-08-01,2017-08-01,54.73
2017-08-02,2017-08-02,55.43
2017-08-03,2017-08-03,55.68
2017-08-04,2017-08-04,55.44
2017-08-07,2017-08-07,55.63
2017-08-08,2017-08-08,54.52
2017-08-09,2017-08-09,53.74
2017-08-10,2017-08-10,53.07
2017-08-11,2017-08-11,53.18
2017-08-14,2017-08-14,53.22
2017-08-15,2017-08-15,53.15
2017-08-16,2017-08-16,53.5
2017-08-17,2017-08-17,53.04
2017-08-18,2017-08-18,52.7
2017-08-21,2017-08-21,53.15
2017-08-22,2017-08-22,54.45
2017-08-23,2017-08-23,54.08
2017-08-24,2017-08-24,53.94
2017-08-25,2017-08-25,54.36
2017-08-28,2017-08-28,54.4
2017-08-29,2017-08-29,54.1
2017-08-30,2017-08-30,54.52
2017-08-31,2017-08-31,54.86
2017-09-01,2017-09-01,54.93
2017-09-05,2017-09-05,55.13
2017-09-06,2017-09-06,54.31
2017-09-07,2017-09-07,53.47
2017-09-08,2017-09-08,53.49
2017-09-11,2017-09-11,54.02
2017-09-12,2017-09-12,53.54
2017-09-13,2017-09-13,54.29
2017-09-14,2017-09-14,54.53
2017-09-15,2017-09-15,54.67
2017-09-18,2017-09-18,54.69
2017-09-19,2017-09-19,54.62
2017-09-20,2017-09-20,55.15
2017-09-21,2017-09-21,55.01
2017-09-22,2017-09-22,55.09
2017-09-25,2017-09-25,54.95
2017-09-26,2017-09-26,55.13
2017-09-27,2017-09-27,54.99
2017-09-28,2017-09-28,54.5
2017-09-29,2017-09-29,53.71
2017-10-02,2017-10-02,53.81
2017-10-03,2017-10-03,53.99
2017-10-04,2017-10-04,53.93
2017-10-05,2017-10-05,54.6
2017-10-06,2017-10-06,55.17
2017-10-09,2017-10-09,55.02
2017-10-10,2017-10-10,55.42
2017-10-11,2017-10-11,55.64
2017-10-12,2017-10-12,55.97
2017-10-13,2017-10-13,55.72
2017-10-16,2017-10-16,54.91
2017-10-17,2017-10-17,54.51
2017-10-18,2017-10-18,55.21
2017-10-19,2017-10-19,55.4
2017-10-20,2017-10-20,54.57
2017-10-23,2017-10-23,54.27
2017-10-24,2017-10-24,54.28
2017-10-25,2017-10-25,54.16
2017-10-26,2017-10-26,54.91
2017-10-27,2017-10-27,54.88
2017-10-30,2017-10-30,55.17
2017-10-31,2017-10-31,54.84
2017-11-01,2017-11-01,55.13
2017-11-02,2017-11-02,54.87
2017-11-03,2017-11-03,56.03
2017-11-06,2017-11-06,56.57
2017-11-07,2017-11-07,57.22
2017-11-08,2017-11-08,57.91
2017-11-09,2017-11-09,57.36
2017-11-10,2017-11-10,57.04
2017-11-13,2017-11-13,56.64
2017-11-14,2017-11-14,56.93
2017-11-15,2017-11-15,56.7
2017-11-16,2017-11-16,57.24
2017-11-17,2017-11-17,56.93
2017-11-20,2017-11-20,56.81
2017-11-21,2017-11-21,57.26
2017-11-22,2017-11-22,57.14
2017-11-24,2017-11-24,56.8
2017-11-27,2017-11-27,55.91
2017-11-28,2017-11-28,56.66
2017-11-29,2017-11-29,57.51
2017-11-30,2017-11-30,57.82
2017-12-01,2017-12-01,57.32
2017-12-04,2017-12-04,58.76
2017-12-05,2017-12-05,59.34
2017-12-06,2017-12-06,59.28
2017-12-07,2017-12-07,59.14
2017-12-08,2017-12-08,58.61
2017-12-11,2017-12-11,59.07
2017-12-12,2017-12-12,59.27
2017-12-13,2017-12-13,59.49
2017-12-14,2017-12-14,59.7
2017-12-15,2017-12-15,58.29
2017-12-18,2017-12-18,58.03
2017-12-19,2017-12-19,58.01
2017-12-20,2017-12-20,57.73
2017-12-21,2017-12-21,57.58
2017-12-22,2017-12-22,57.3
2017-12-26,2017-12-26,57.14
2017-12-27,2017-12-27,57.27
2017-12-28,2017-12-28,57.81
2017-12-29,2017-12-29,57.43
2018-01-02,2018-01-02,57.63
2018-01-03,2018-01-03,58.71
2018-01-04,2018-01-04,58.93
2018-01-05,2018-01-05,59.61
2018-01-08,2018-01-08,59.31
2018-01-09,2018-01-09,59.18
2018-01-10,2018-01-10,59.82
2018-01-11,2018-01-11,60.0
2018-01-12,2018-01-12,60.4
2018-01-16,2018-01-16,60.56
2018-01-17,2018-01-17,60.66
2018-01-18,2018-01-18,61.09
2018-01-19,2018-01-19,61.26
2018-01-22,2018-01-22,61.41
2018-01-23,2018-01-23,61.69
2018-01-24,2018-01-24,60.83
2018-01-25,2018-01-25,60.55
2018-01-26,2018-01-26,57.99
2018-01-29,2018-01-29,57.02
2018-01-30,2018-01-30,57.19
2018-01-31,2018-01-31,56.81
2018-02-01,2018-02-01,56.0
2018-02-02,2018-02-02,55.77
2018-02-05,2018-02-05,54.69
2018-02-06,2018-02-06,55.61
2018-02-07,2018-02-07,54.46
2018-02-08,2018-02-08,53.77
2018-02-09,2018-02-09,54.58
2018-02-12,2018-02-12,55.38
2018-02-13,2018-02-13,55.67
2018-02-14,2018-02-14,55.99
2018-02-15,2018-02-15,56.58
2018-02-16,2018-02-16,56.48
2018-02-20,2018-02-20,55.97
2018-02-21,2018-02-21,56.1
2018-02-22,2018-02-22,55.4
2018-02-23,2018-02-23,56.14
2018-02-26,2018-02-26,57.17
2018-02-27,2018-02-27,56.57
2018-02-28,2018-02-28,57.1
2018-03-01,2018-03-01,56.17
2018-03-02,2018-03-02,56.93
2018-03-05,2018-03-05,56.99
2018-03-06,2018-03-06,57.03
2018-03-07,2018-03-07,57.03
2018-03-08,2018-03-08,57.47
2018-03-09,2018-03-09,58.46
2018-03-12,2018-03-12,59.4
2018-03-13,2018-03-13,59.05
2018-03-14,2018-03-14,58.83
2018-03-15,2018-03-15,59.37
2018-03-16,2018-03-16,59.0
2018-03-19,2018-03-19,58.3
2018-03-20,2018-03-20,58.66
2018-03-21,2018-03-21,58.47
2018-03-22,2018-03-22,57.77
2018-03-23,2018-03-23,56.31
2018-03-26,2018-03-26,57.8
2018-03-27,2018-03-27,57.46
2018-03-28,2018-03-28,57.9
2018-03-29,2018-03-29,57.89
2018-04-02,2018-04-02,56.24
2018-04-03,2018-04-03,58.0
2018-04-04,2018-04-04,58.83
2018-04-05,2018-04-05,59.14
2018-04-06,2018-04-06,58.34
2018-04-09,2018-04-09,58.7
2018-04-10,2018-04-10,59.41
2018-04-11,2018-04-11,59.42
2018-04-12,2018-04-12,59.43
2018-04-13,2018-04-13,59.24
2018-04-16,2018-04-16,59.43
2018-04-17,2018-04-17,59.83
2018-04-18,2018-04-18,59.5
2018-04-19,2018-04-19,59.22
2018-04-20,2018-04-20,58.0
2018-04-23,2018-04-23,58.16
2018-04-24,2018-04-24,57.81
2018-04-25,2018-04-25,57.71
2018-04-26,2018-04-26,59.38
2018-04-27,2018-04-27,58.36
2018-04-30,2018-04-30,57.57
2018-05-01,2018-05-01,58.13
