DATE,DATE,CLOSE
2016-11-01,2016-11-01,45.58
2016-11-02,2016-11-02,45.27
2016-11-03,2016-11-03,45.45
2016-11-04,2016-11-04,44.95
2016-11-07,2016-11-07,45.97
2016-11-08,2016-11-08,46.19
2016-11-09,2016-11-09,46.76
2016-11-10,2016-11-10,46.94
2016-11-11,2016-11-11,46.77
2016-11-14,2016-11-14,46.63
2016-11-15,2016-11-15,47.09
2016-11-16,2016-11-16,47.18
2016-11-17,2016-11-17,47.75
2016-11-18,2016-11-18,47.19
2016-11-21,2016-11-21,46.71
2016-11-22,2016-11-22,47.0
2016-11-23,2016-11-23,47.43
2016-11-25,2016-11-25,47.46
2016-11-28,2016-11-28,46.73
2016-11-29,2016-11-29,46.99
2016-11-30,2016-11-30,45.6
2016-12-01,2016-12-01,45.27
2016-12-02,2016-12-02,46.12
2016-12-05,2016-12-05,46.42
2016-12-06,2016-12-06,46.59
2016-12-07,2016-12-07,47.52
2016-12-08,2016-12-08,48.84
2016-12-09,2016-12-09,48.18
2016-12-12,2016-12-12,47.87
2016-12-13,2016-12-13,48.31
2016-12-14,2016-12-14,47.79
2016-12-15,2016-12-15,47.09
2016-12-16,2016-12-16,47.21
2016-12-19,2016-12-19,47.12
2016-12-20,2016-12-20,46.74
2016-12-21,2016-12-21,46.96
2016-12-22,2016-12-22,46.24
2016-12-23,2016-12-23,46.34
2016-12-27,2016-12-27,46.43
2016-12-28,2016-12-28,45.71
2016-12-29,2016-12-29,45.51
2016-12-30,2016-12-30,45.34
2017-01-03,2017-01-03,46.5
2017-01-04,2017-01-04,47.21
2017-01-05,2017-01-05,47.38
2017-01-06,2017-01-06,47.18
2017-01-09,2017-01-09,47.07
2017-01-10,2017-01-10,47.8
2017-01-11,2017-01-11,48.31
2017-01-12,2017-01-12,48.28
2017-01-13,2017-01-13,48.03
2017-01-17,2017-01-17,48.25
2017-01-18,2017-01-18,48.6
2017-01-19,2017-01-19,48.12
2017-01-20,2017-01-20,48.27
2017-01-23,2017-01-23,48.51
2017-01-24,2017-01-24,49.25
2017-01-25,2017-01-25,49.18
2017-01-26,2017-01-26,49.23
2017-01-27,2017-01-27,49.2
2017-01-30,2017-01-30,48.58
2017-01-31,2017-01-31,48.5
2017-02-01,2017-02-01,48.9
2017-02-02,2017-02-02,49.78
2017-02-03,2017-02-03,49.67
2017-02-06,2017-02-06,49.57
2017-02-07,2017-02-07,49.5
2017-02-08,2017-02-08,50.22
2017-02-09,2017-02-09,47.14
2017-02-10,2017-02-10,47.83
2017-02-13,2017-02-13,46.99
2017-02-14,2017-02-14,47.12
2017-02-15,2017-02-15,47.62
2017-02-16,2017-02-16,47.91
2017-02-17,2017-02-17,47.76
2017-02-21,2017-02-21,47.94
2017-02-22,2017-02-22,47.72
2017-02-23,2017-02-23,47.89
2017-02-24,2017-02-24,47.26
2017-02-27,2017-02-27,46.69
2017-02-28,2017-02-28,46.48
2017-03-01,2017-03-01,47.12
2017-03-02,2017-03-02,46.71
2017-03-03,2017-03-03,46.3
2017-03-06,2017-03-06,45.29
2017-03-07,2017-03-07,44.41
2017-03-08,2017-03-08,44.08
2017-03-09,2017-03-09,44.85
2017-03-10,2017-03-10,45.21
2017-03-13,2017-03-13,45.04
2017-03-14,2017-03-14,45.5
2017-03-15,2017-03-15,45.9
2017-03-16,2017-03-16,45.88
2017-03-17,2017-03-17,46.06
2017-03-20,2017-03-20,46.2
2017-03-21,2017-03-21,45.36
2017-03-22,2017-03-22,45.41
2017-03-23,2017-03-23,45.46
2017-03-24,2017-03-24,44.67
2017-03-27,2017-03-27,43.55
2017-03-28,2017-03-28,43.83
2017-03-29,2017-03-29,43.49
2017-03-30,2017-03-30,43.3
2017-03-31,2017-03-31,43.58
2017-04-03,2017-04-03,43.59
2017-04-04,2017-04-04,43.04
2017-04-05,2017-04-05,43.07
2017-04-06,2017-04-06,43.06
2017-04-07,2017-04-07,42.9
2017-04-10,2017-04-10,42.89
2017-04-11,2017-04-11,43.0
2017-04-12,2017-04-12,42.69
2017-04-13,2017-04-13,42.51
2017-04-17,2017-04-17,42.81
2017-04-18,2017-04-18,42.96
2017-04-19,2017-04-19,43.54
2017-04-20,2017-04-20,43.99
2017-04-21,2017-04-21,43.75
2017-04-24,2017-04-24,44.16
2017-04-25,2017-04-25,44.87
2017-04-26,2017-04-26,44.73
2017-04-27,2017-04-27,44.21
2017-04-28,2017-04-28,44.02
2017-05-01,2017-05-01,44.09
2017-05-02,2017-05-02,44.46
2017-05-03,2017-05-03,44.26
2017-05-04,2017-05-04,45.18
2017-05-05,2017-05-05,45.79
2017-05-08,2017-05-08,46.41
2017-05-09,2017-05-09,42.3
2017-05-10,2017-05-10,43.4
2017-05-11,2017-05-11,43.13
2017-05-12,2017-05-12,42.53
2017-05-15,2017-05-15,42.99
2017-05-16,2017-05-16,43.71
2017-05-17,2017-05-17,43.64
2017-05-18,2017-05-18,42.94
2017-05-19,2017-05-19,43.45
2017-05-22,2017-05-22,43.9
2017-05-23,2017-05-23,43.9
