DATE,DATE,CLOSE
2016-11-01,2016-11-01,240.63
2016-11-02,2016-11-02,242.48
2016-11-03,2016-11-03,241.52
2016-11-04,2016-11-04,242.54
2016-11-07,2016-11-07,247.97
2016-11-08,2016-11-08,252.19
2016-11-09,2016-11-09,257.74
2016-11-10,2016-11-10,265.01
2016-11-11,2016-11-11,261.76
2016-11-14,2016-11-14,263.38
2016-11-15,2016-11-15,265.73
2016-11-16,2016-11-16,261.98
2016-11-17,2016-11-17,262.71
2016-11-18,2016-11-18,260.29
2016-11-21,2016-11-21,266.14
2016-11-22,2016-11-22,268.78
2016-11-23,2016-11-23,272.41
2016-11-25,2016-11-25,274.97
2016-11-28,2016-11-28,274.02
2016-11-29,2016-11-29,276.32
2016-11-30,2016-11-30,268.67
2016-12-01,2016-12-01,265.88
2016-12-02,2016-12-02,265.06
2016-12-05,2016-12-05,266.4
2016-12-06,2016-12-06,266.46
2016-12-07,2016-12-07,269.78
2016-12-08,2016-12-08,271.36
2016-12-09,2016-12-09,270.92
2016-12-12,2016-12-12,270.76
2016-12-13,2016-12-13,269.59
2016-12-14,2016-12-14,266.49
2016-12-15,2016-12-15,267.72
2016-12-16,2016-12-16,271.76
2016-12-19,2016-12-19,268.88
2016-12-20,2016-12-20,266.19
2016-12-21,2016-12-21,271.21
2016-12-22,2016-12-22,270.21
2016-12-23,2016-12-23,272.3
2016-12-27,2016-12-27,272.38
2016-12-28,2016-12-28,270.3
2016-12-29,2016-12-29,271.13
2016-12-30,2016-12-30,268.74
2017-01-03,2017-01-03,274.54
2017-01-04,2017-01-04,276.4
2017-01-05,2017-01-05,276.18
2017-01-06,2017-01-06,278.99
2017-01-09,2017-01-09,278.76
2017-01-10,2017-01-10,278.88
2017-01-11,2017-01-11,283.76
2017-01-12,2017-01-12,283.54
2017-01-13,2017-01-13,285.1
2017-01-17,2017-01-17,284.36
2017-01-18,2017-01-18,286.96
2017-01-19,2017-01-19,283.09
2017-01-20,2017-01-20,283.62
2017-01-23,2017-01-23,284.0
2017-01-24,2017-01-24,280.77
2017-01-25,2017-01-25,283.42
2017-01-26,2017-01-26,305.0
2017-01-27,2017-01-27,305.2
2017-01-30,2017-01-30,304.83
2017-01-31,2017-01-31,303.81
2017-02-01,2017-02-01,306.18
2017-02-02,2017-02-02,303.86
2017-02-03,2017-02-03,304.0
2017-02-06,2017-02-06,301.97
2017-02-07,2017-02-07,302.05
2017-02-08,2017-02-08,305.36
2017-02-09,2017-02-09,306.49
2017-02-10,2017-02-10,306.47
2017-02-13,2017-02-13,309.62
2017-02-14,2017-02-14,309.9
2017-02-15,2017-02-15,309.91
2017-02-16,2017-02-16,311.17
