DATE,DATE,CLOSE
2016-11-01,2016-11-01,130.95
2016-11-02,2016-11-02,130.66
2016-11-03,2016-11-03,130.22
2016-11-04,2016-11-04,129.27
2016-11-07,2016-11-07,131.47
2016-11-08,2016-11-08,132.58
2016-11-09,2016-11-09,131.21
2016-11-10,2016-11-10,127.49
2016-11-11,2016-11-11,127.06
2016-11-14,2016-11-14,128.82
2016-11-15,2016-11-15,128.8
2016-11-16,2016-11-16,129.95
2016-11-17,2016-11-17,124.85
2016-11-18,2016-11-18,124.85
2016-11-21,2016-11-21,126.46
2016-11-22,2016-11-22,126.92
2016-11-23,2016-11-23,125.58
2016-11-25,2016-11-25,126.46
2016-11-28,2016-11-28,126.99
2016-11-29,2016-11-29,127.27
2016-11-30,2016-11-30,125.95
2016-12-01,2016-12-01,124.74
2016-12-02,2016-12-02,125.28
2016-12-05,2016-12-05,126.01
2016-12-06,2016-12-06,126.75
2016-12-07,2016-12-07,128.65
2016-12-08,2016-12-08,128.76
2016-12-09,2016-12-09,130.49
2016-12-12,2016-12-12,130.19
2016-12-13,2016-12-13,130.58
2016-12-14,2016-12-14,128.08
2016-12-15,2016-12-15,127.45
2016-12-16,2016-12-16,129.14
2016-12-19,2016-12-19,129.39
2016-12-20,2016-12-20,129.2
2016-12-21,2016-12-21,128.55
2016-12-22,2016-12-22,129.22
2016-12-23,2016-12-23,129.46
2016-12-27,2016-12-27,128.88
2016-12-28,2016-12-28,127.96
2016-12-29,2016-12-29,129.15
2016-12-30,2016-12-30,128.06
2017-01-03,2017-01-03,128.97
2017-01-04,2017-01-04,128.53
2017-01-05,2017-01-05,129.18
2017-01-06,2017-01-06,129.04
2017-01-09,2017-01-09,128.01
2017-01-10,2017-01-10,128.74
2017-01-11,2017-01-11,130.65
2017-01-12,2017-01-12,130.56
2017-01-13,2017-01-13,131.0
2017-01-17,2017-01-17,132.26
2017-01-18,2017-01-18,133.0
2017-01-19,2017-01-19,132.86
2017-01-20,2017-01-20,133.57
