DATE,DATE,CLOSE
2016-11-01,2016-11-01,78.7
2016-11-02,2016-11-02,77.76
2016-11-03,2016-11-03,78.46
2016-11-04,2016-11-04,77.84
2016-11-07,2016-11-07,79.75
2016-11-08,2016-11-08,79.84
2016-11-09,2016-11-09,79.94
2016-11-10,2016-11-10,79.88
2016-11-11,2016-11-11,78.66
2016-11-14,2016-11-14,78.71
2016-11-15,2016-11-15,81.16
2016-11-16,2016-11-16,81.04
2016-11-17,2016-11-17,80.1
2016-11-18,2016-11-18,80.0
2016-11-21,2016-11-21,81.71
2016-11-22,2016-11-22,81.5
2016-11-23,2016-11-23,81.4
2016-11-25,2016-11-25,81.29
2016-11-28,2016-11-28,81.06
2016-11-29,2016-11-29,79.92
2016-11-30,2016-11-30,84.05
2016-12-01,2016-12-01,84.61
2016-12-02,2016-12-02,85.01
2016-12-05,2016-12-05,84.43
2016-12-06,2016-12-06,83.96
2016-12-07,2016-12-07,84.35
2016-12-08,2016-12-08,84.47
2016-12-09,2016-12-09,84.78
2016-12-12,2016-12-12,85.01
2016-12-13,2016-12-13,86.13
2016-12-14,2016-12-14,85.16
2016-12-15,2016-12-15,85.28
2016-12-16,2016-12-16,85.5
2016-12-19,2016-12-19,85.12
2016-12-20,2016-12-20,85.28
2016-12-21,2016-12-21,86.16
2016-12-22,2016-12-22,86.38
2016-12-23,2016-12-23,85.51
2016-12-27,2016-12-27,85.44
2016-12-28,2016-12-28,84.63
2016-12-29,2016-12-29,84.2
2016-12-30,2016-12-30,83.95
2017-01-03,2017-01-03,84.8
2017-01-04,2017-01-04,85.43
2017-01-05,2017-01-05,85.3
2017-01-06,2017-01-06,86.48
2017-01-09,2017-01-09,85.77
2017-01-10,2017-01-10,84.6
2017-01-11,2017-01-11,85.66
2017-01-12,2017-01-12,85.33
2017-01-13,2017-01-13,84.82
2017-01-17,2017-01-17,86.43
2017-01-18,2017-01-18,87.48
2017-01-19,2017-01-19,87.2
2017-01-20,2017-01-20,86.49
2017-01-23,2017-01-23,84.27
2017-01-24,2017-01-24,84.58
2017-01-25,2017-01-25,85.51
2017-01-26,2017-01-26,84.88
2017-01-27,2017-01-27,84.5
2017-01-30,2017-01-30,83.61
2017-01-31,2017-01-31,83.71
2017-02-01,2017-02-01,83.17
2017-02-02,2017-02-02,82.44
2017-02-03,2017-02-03,82.5
