DATE,DATE,CLOSE
2016-11-01,2016-11-01,58.3
2016-11-02,2016-11-02,57.93
2016-11-03,2016-11-03,57.735
2016-11-04,2016-11-04,57.65
2016-11-07,2016-11-07,59.03
2016-11-08,2016-11-08,59.22
2016-11-09,2016-11-09,59.02
2016-11-10,2016-11-10,58.63
2016-11-11,2016-11-11,59.63
2016-11-14,2016-11-14,59.82
2016-11-15,2016-11-15,60.07
2016-11-16,2016-11-16,60.77
2016-11-17,2016-11-17,61.49
2016-11-18,2016-11-18,61.11
2016-11-21,2016-11-21,61.31
2016-11-22,2016-11-22,61.3
2016-11-23,2016-11-23,61.08
2016-11-25,2016-11-25,61.56
2016-11-28,2016-11-28,61.3
2016-11-29,2016-11-29,61.17
2016-11-30,2016-11-30,60.48
2016-12-01,2016-12-01,56.84
2016-12-02,2016-12-02,57.11
2016-12-05,2016-12-05,57.42
2016-12-06,2016-12-06,58.0
2016-12-07,2016-12-07,58.92
2016-12-08,2016-12-08,59.31
2016-12-09,2016-12-09,58.9
2016-12-12,2016-12-12,59.92
2016-12-13,2016-12-13,60.28
2016-12-14,2016-12-14,59.96
2016-12-15,2016-12-15,60.37
2016-12-16,2016-12-16,60.11
2016-12-19,2016-12-19,60.37
2016-12-20,2016-12-20,60.42
2016-12-21,2016-12-21,60.1
2016-12-22,2016-12-22,59.41
2016-12-23,2016-12-23,59.76
2016-12-27,2016-12-27,59.85
2016-12-28,2016-12-28,59.22
2016-12-29,2016-12-29,59.42
2016-12-30,2016-12-30,58.86
2017-01-03,2017-01-03,59.37
2017-01-04,2017-01-04,59.57
2017-01-05,2017-01-05,59.79
2017-01-06,2017-01-06,60.0
2017-01-09,2017-01-09,60.08
2017-01-10,2017-01-10,60.69
2017-01-11,2017-01-11,60.91
2017-01-12,2017-01-12,60.88
2017-01-13,2017-01-13,61.34
2017-01-17,2017-01-17,60.74
2017-01-18,2017-01-18,60.76
2017-01-19,2017-01-19,60.91
2017-01-20,2017-01-20,60.77
2017-01-23,2017-01-23,60.83
2017-01-24,2017-01-24,62.41
2017-01-25,2017-01-25,62.68
2017-01-26,2017-01-26,62.2
2017-01-27,2017-01-27,62.5
2017-01-30,2017-01-30,62.62
2017-01-31,2017-01-31,62.89
2017-02-01,2017-02-01,62.62
2017-02-02,2017-02-02,64.18
2017-02-03,2017-02-03,64.9
2017-02-06,2017-02-06,65.17
2017-02-07,2017-02-07,65.2
2017-02-08,2017-02-08,64.79
2017-02-09,2017-02-09,65.44
2017-02-10,2017-02-10,65.29
2017-02-13,2017-02-13,65.98
2017-02-14,2017-02-14,65.84
2017-02-15,2017-02-15,66.26
2017-02-16,2017-02-16,70.66
2017-02-17,2017-02-17,70.51
2017-02-21,2017-02-21,70.98
2017-02-22,2017-02-22,71.26
2017-02-23,2017-02-23,71.22
2017-02-24,2017-02-24,72.06
2017-02-27,2017-02-27,72.26
2017-02-28,2017-02-28,71.44
2017-03-01,2017-03-01,72.24
2017-03-02,2017-03-02,71.01
2017-03-03,2017-03-03,71.03
2017-03-06,2017-03-06,70.75
2017-03-07,2017-03-07,71.08
2017-03-08,2017-03-08,71.35
2017-03-09,2017-03-09,71.39
2017-03-10,2017-03-10,71.83
2017-03-13,2017-03-13,72.09
2017-03-14,2017-03-14,70.76
2017-03-15,2017-03-15,70.25
2017-03-16,2017-03-16,70.76
2017-03-17,2017-03-17,71.14
2017-03-20,2017-03-20,71.52
2017-03-21,2017-03-21,70.61
2017-03-22,2017-03-22,71.07
2017-03-23,2017-03-23,71.22
2017-03-24,2017-03-24,71.15
2017-03-27,2017-03-27,71.36
2017-03-28,2017-03-28,71.96
2017-03-29,2017-03-29,72.25
2017-03-30,2017-03-30,72.21
2017-03-31,2017-03-31,72.13
2017-04-03,2017-04-03,72.2
2017-04-04,2017-04-04,71.98
2017-04-05,2017-04-05,71.45
2017-04-06,2017-04-06,71.34
2017-04-07,2017-04-07,71.46
2017-04-10,2017-04-10,71.34
2017-04-11,2017-04-11,71.44
2017-04-12,2017-04-12,70.97
2017-04-13,2017-04-13,70.93
2017-04-17,2017-04-17,71.13
2017-04-18,2017-04-18,71.76
2017-04-19,2017-04-19,72.23
2017-04-20,2017-04-20,72.56
2017-04-21,2017-04-21,72.6
2017-04-24,2017-04-24,73.85
2017-04-25,2017-04-25,73.34
2017-04-26,2017-04-26,73.25
2017-04-27,2017-04-27,73.66
2017-04-28,2017-04-28,73.7
2017-05-01,2017-05-01,73.94
2017-05-02,2017-05-02,73.75
2017-05-03,2017-05-03,73.82
2017-05-04,2017-05-04,74.0
2017-05-05,2017-05-05,74.28
2017-05-08,2017-05-08,73.8
2017-05-09,2017-05-09,74.12
2017-05-10,2017-05-10,74.54
2017-05-11,2017-05-11,74.49
