DATE,DATE,CLOSE
2016-11-01,2016-11-01,183.25
2016-11-02,2016-11-02,179.68
2016-11-03,2016-11-03,179.33
2016-11-04,2016-11-04,180.28
2016-11-07,2016-11-07,181.93
2016-11-08,2016-11-08,183.25
2016-11-09,2016-11-09,180.78
2016-11-10,2016-11-10,182.29
2016-11-11,2016-11-11,182.61
2016-11-14,2016-11-14,185.59
2016-11-15,2016-11-15,184.23
2016-11-16,2016-11-16,182.94
2016-11-17,2016-11-17,180.68
2016-11-18,2016-11-18,180.83
2016-11-21,2016-11-21,179.68
2016-11-22,2016-11-22,181.58
2016-11-23,2016-11-23,180.76
2016-11-25,2016-11-25,181.3
2016-11-28,2016-11-28,181.33
2016-11-29,2016-11-29,182.3
2016-11-30,2016-11-30,179.65
2016-12-01,2016-12-01,176.82
2016-12-02,2016-12-02,179.36
2016-12-05,2016-12-05,180.76
2016-12-06,2016-12-06,180.11
2016-12-07,2016-12-07,183.75
2016-12-08,2016-12-08,183.66
2016-12-09,2016-12-09,183.43
2016-12-12,2016-12-12,186.12
2016-12-13,2016-12-13,187.43
2016-12-14,2016-12-14,181.28
2016-12-15,2016-12-15,180.0
2016-12-16,2016-12-16,181.29
2016-12-19,2016-12-19,182.63
2016-12-20,2016-12-20,182.98
2016-12-21,2016-12-21,178.17
2016-12-22,2016-12-22,176.24
2016-12-23,2016-12-23,175.95
2016-12-27,2016-12-27,175.96
2016-12-28,2016-12-28,174.2
2016-12-29,2016-12-29,175.98
2016-12-30,2016-12-30,177.67
2017-01-03,2017-01-03,182.62
2017-01-04,2017-01-04,184.08
2017-01-05,2017-01-05,184.4
2017-01-06,2017-01-06,186.83
2017-01-09,2017-01-09,185.91
2017-01-10,2017-01-10,184.19
2017-01-11,2017-01-11,181.99
2017-01-12,2017-01-12,183.09
2017-01-13,2017-01-13,184.01
2017-01-17,2017-01-17,185.33
2017-01-18,2017-01-18,186.57
2017-01-19,2017-01-19,182.92
2017-01-20,2017-01-20,184.53
2017-01-23,2017-01-23,185.0
2017-01-24,2017-01-24,184.14
2017-01-25,2017-01-25,182.4
2017-01-26,2017-01-26,182.09
2017-01-27,2017-01-27,179.51
2017-01-30,2017-01-30,177.74
2017-01-31,2017-01-31,183.77
2017-02-01,2017-02-01,181.53
2017-02-02,2017-02-02,182.96
2017-02-03,2017-02-03,185.33
2017-02-06,2017-02-06,182.07
2017-02-07,2017-02-07,179.06
2017-02-08,2017-02-08,180.62
2017-02-09,2017-02-09,181.99
2017-02-10,2017-02-10,182.1
2017-02-13,2017-02-13,181.67
2017-02-14,2017-02-14,180.94
2017-02-15,2017-02-15,178.54
2017-02-16,2017-02-16,179.18
2017-02-17,2017-02-17,181.09
2017-02-21,2017-02-21,185.16
2017-02-22,2017-02-22,184.7
2017-02-23,2017-02-23,184.99
2017-02-24,2017-02-24,184.29
2017-02-27,2017-02-27,186.33
2017-02-28,2017-02-28,184.4
2017-03-01,2017-03-01,182.52
2017-03-02,2017-03-02,181.14
2017-03-03,2017-03-03,179.4
2017-03-06,2017-03-06,178.8
