DATE,DATE,CLOSE
2016-11-01,2016-11-01,104.85
2016-11-02,2016-11-02,99.36
2016-11-03,2016-11-03,100.98
2016-11-04,2016-11-04,102.1
2016-11-07,2016-11-07,104.07
2016-11-08,2016-11-08,104.38
2016-11-09,2016-11-09,99.67
2016-11-10,2016-11-10,97.24
2016-11-11,2016-11-11,95.69
2016-11-14,2016-11-14,94.74
2016-11-15,2016-11-15,97.05
2016-11-16,2016-11-16,98.31
2016-11-17,2016-11-17,99.53
2016-11-18,2016-11-18,99.82
2016-11-21,2016-11-21,99.71
2016-11-22,2016-11-22,100.19
2016-11-23,2016-11-23,98.68
2016-11-25,2016-11-25,99.46
2016-11-28,2016-11-28,101.25
2016-11-29,2016-11-29,101.27
2016-11-30,2016-11-30,99.8
2016-12-01,2016-12-01,99.35
2016-12-02,2016-12-02,99.9
2016-12-05,2016-12-05,98.91
2016-12-06,2016-12-06,98.66
2016-12-07,2016-12-07,99.52
2016-12-08,2016-12-08,99.58
2016-12-09,2016-12-09,100.71
2016-12-12,2016-12-12,102.99
2016-12-13,2016-12-13,103.97
2016-12-14,2016-12-14,100.65
2016-12-15,2016-12-15,100.77
2016-12-16,2016-12-16,102.14
2016-12-19,2016-12-19,103.52
2016-12-20,2016-12-20,103.1
2016-12-21,2016-12-21,101.84
2016-12-22,2016-12-22,102.13
2016-12-23,2016-12-23,101.67
2016-12-27,2016-12-27,101.23
2016-12-28,2016-12-28,99.92
2016-12-29,2016-12-29,100.99
2016-12-30,2016-12-30,100.64
2017-01-03,2017-01-03,101.13
2017-01-04,2017-01-04,102.0
2017-01-05,2017-01-05,101.76
2017-01-06,2017-01-06,102.92
2017-01-09,2017-01-09,101.38
2017-01-10,2017-01-10,101.06
2017-01-11,2017-01-11,102.13
2017-01-12,2017-01-12,101.84
2017-01-13,2017-01-13,101.77
2017-01-17,2017-01-17,103.4
2017-01-18,2017-01-18,103.78
2017-01-19,2017-01-19,102.08
2017-01-20,2017-01-20,102.44
2017-01-23,2017-01-23,102.2
2017-01-24,2017-01-24,102.67
2017-01-25,2017-01-25,102.57
2017-01-26,2017-01-26,102.28
2017-01-27,2017-01-27,101.44
2017-01-30,2017-01-30,100.82
2017-01-31,2017-01-31,102.39
2017-02-01,2017-02-01,101.42
2017-02-02,2017-02-02,102.72
2017-02-03,2017-02-03,102.79
2017-02-06,2017-02-06,102.6
2017-02-07,2017-02-07,102.55
2017-02-08,2017-02-08,104.21
2017-02-09,2017-02-09,103.65
2017-02-10,2017-02-10,104.35
2017-02-13,2017-02-13,105.16
2017-02-14,2017-02-14,104.33
2017-02-15,2017-02-15,104.32
2017-02-16,2017-02-16,105.9
2017-02-17,2017-02-17,105.85
2017-02-21,2017-02-21,106.48
2017-02-22,2017-02-22,107.15
2017-02-23,2017-02-23,108.51
2017-02-24,2017-02-24,109.09
2017-02-27,2017-02-27,108.81
2017-02-28,2017-02-28,110.29
2017-03-01,2017-03-01,109.65
2017-03-02,2017-03-02,109.75
2017-03-03,2017-03-03,109.23
2017-03-06,2017-03-06,109.94
2017-03-07,2017-03-07,110.58
2017-03-08,2017-03-08,108.44
2017-03-09,2017-03-09,108.05
2017-03-10,2017-03-10,109.4
2017-03-13,2017-03-13,109.76
2017-03-14,2017-03-14,109.16
2017-03-15,2017-03-15,111.23
2017-03-16,2017-03-16,110.16
2017-03-17,2017-03-17,110.76
2017-03-20,2017-03-20,110.39
2017-03-21,2017-03-21,111.26
2017-03-22,2017-03-22,111.94
2017-03-23,2017-03-23,111.58
2017-03-24,2017-03-24,112.47
2017-03-27,2017-03-27,111.6
2017-03-28,2017-03-28,112.07
2017-03-29,2017-03-29,111.28
2017-03-30,2017-03-30,110.23
2017-03-31,2017-03-31,110.5
2017-04-03,2017-04-03,109.86
2017-04-04,2017-04-04,110.38
2017-04-05,2017-04-05,109.44
2017-04-06,2017-04-06,109.75
2017-04-07,2017-04-07,109.68
2017-04-10,2017-04-10,110.65
2017-04-11,2017-04-11,110.48
2017-04-12,2017-04-12,111.46
2017-04-13,2017-04-13,111.5
2017-04-17,2017-04-17,112.26
2017-04-18,2017-04-18,112.5
2017-04-19,2017-04-19,111.5
2017-04-20,2017-04-20,112.29
2017-04-21,2017-04-21,112.52
2017-04-24,2017-04-24,113.3
2017-04-25,2017-04-25,113.61
2017-04-26,2017-04-26,112.99
2017-04-27,2017-04-27,113.41
2017-04-28,2017-04-28,113.02
2017-05-01,2017-05-01,111.79
2017-05-02,2017-05-02,112.14
2017-05-03,2017-05-03,111.42
2017-05-04,2017-05-04,111.37
2017-05-05,2017-05-05,112.15
2017-05-08,2017-05-08,111.94
2017-05-09,2017-05-09,111.53
2017-05-10,2017-05-10,111.65
2017-05-11,2017-05-11,111.37
2017-05-12,2017-05-12,111.61
2017-05-15,2017-05-15,111.96
2017-05-16,2017-05-16,110.62
2017-05-17,2017-05-17,110.56
2017-05-18,2017-05-18,110.76
2017-05-19,2017-05-19,111.5
2017-05-22,2017-05-22,112.87
2017-05-23,2017-05-23,113.27
2017-05-24,2017-05-24,113.76
2017-05-25,2017-05-25,114.55
2017-05-26,2017-05-26,114.48
2017-05-30,2017-05-30,115.66
2017-05-31,2017-05-31,116.49
2017-06-01,2017-06-01,117.14
2017-06-02,2017-06-02,117.5
2017-06-05,2017-06-05,117.43
2017-06-06,2017-06-06,117.07
2017-06-07,2017-06-07,117.46
2017-06-08,2017-06-08,115.53
2017-06-09,2017-06-09,115.0
2017-06-12,2017-06-12,114.71
2017-06-13,2017-06-13,114.45
2017-06-14,2017-06-14,114.41
2017-06-15,2017-06-15,114.98
2017-06-16,2017-06-16,116.39
2017-06-19,2017-06-19,115.98
2017-06-20,2017-06-20,115.52
2017-06-21,2017-06-21,113.88
2017-06-22,2017-06-22,113.37
2017-06-23,2017-06-23,112.81
2017-06-26,2017-06-26,114.04
2017-06-27,2017-06-27,113.72
2017-06-28,2017-06-28,113.18
2017-06-29,2017-06-29,112.99
2017-06-30,2017-06-30,112.75
2017-07-03,2017-07-03,112.18
2017-07-05,2017-07-05,111.14
2017-07-06,2017-07-06,110.92
2017-07-07,2017-07-07,110.53
2017-07-10,2017-07-10,110.77
2017-07-11,2017-07-11,110.87
2017-07-12,2017-07-12,111.5
2017-07-13,2017-07-13,111.61
2017-07-14,2017-07-14,112.15
2017-07-17,2017-07-17,112.03
2017-07-18,2017-07-18,112.2
2017-07-19,2017-07-19,112.94
2017-07-20,2017-07-20,114.06
2017-07-21,2017-07-21,114.93
2017-07-24,2017-07-24,113.33
2017-07-25,2017-07-25,112.76
2017-07-26,2017-07-26,113.33
2017-07-27,2017-07-27,113.08
2017-07-28,2017-07-28,113.04
2017-07-31,2017-07-31,113.01
2017-08-01,2017-08-01,114.49
2017-08-02,2017-08-02,115.04
2017-08-03,2017-08-03,116.03
2017-08-04,2017-08-04,117.19
2017-08-07,2017-08-07,117.12
2017-08-08,2017-08-08,117.49
2017-08-09,2017-08-09,116.73
2017-08-10,2017-08-10,116.06
2017-08-11,2017-08-11,115.61
2017-08-14,2017-08-14,116.43
2017-08-15,2017-08-15,116.8
2017-08-16,2017-08-16,116.96
2017-08-17,2017-08-17,115.79
2017-08-18,2017-08-18,116.55
2017-08-21,2017-08-21,118.4
2017-08-22,2017-08-22,118.28
2017-08-23,2017-08-23,118.63
2017-08-24,2017-08-24,119.07
2017-08-25,2017-08-25,119.03
2017-08-28,2017-08-28,119.21
2017-08-29,2017-08-29,118.78
2017-08-30,2017-08-30,117.75
2017-08-31,2017-08-31,117.93
2017-09-01,2017-09-01,117.94
2017-09-05,2017-09-05,117.64
2017-09-06,2017-09-06,117.2
2017-09-07,2017-09-07,118.97
2017-09-08,2017-09-08,119.16
2017-09-11,2017-09-11,120.06
2017-09-12,2017-09-12,118.34
2017-09-13,2017-09-13,118.12
2017-09-14,2017-09-14,119.09
2017-09-15,2017-09-15,119.29
2017-09-18,2017-09-18,117.66
2017-09-19,2017-09-19,117.58
2017-09-20,2017-09-20,116.58
2017-09-21,2017-09-21,115.91
2017-09-22,2017-09-22,115.94
2017-09-25,2017-09-25,116.88
2017-09-26,2017-09-26,116.26
2017-09-27,2017-09-27,114.5
2017-09-28,2017-09-28,114.58
2017-09-29,2017-09-29,114.13
2017-10-02,2017-10-02,113.98
2017-10-03,2017-10-03,113.87
2017-10-04,2017-10-04,114.56
2017-10-05,2017-10-05,112.02
2017-10-06,2017-10-06,111.95
2017-10-09,2017-10-09,112.63
2017-10-10,2017-10-10,113.81
2017-10-11,2017-10-11,114.94
2017-10-12,2017-10-12,115.96
2017-10-13,2017-10-13,114.87
2017-10-16,2017-10-16,114.46
2017-10-17,2017-10-17,114.04
2017-10-18,2017-10-18,113.05
2017-10-19,2017-10-19,114.09
2017-10-20,2017-10-20,114.13
2017-10-23,2017-10-23,114.43
2017-10-24,2017-10-24,114.96
2017-10-25,2017-10-25,114.31
2017-10-26,2017-10-26,115.11
2017-10-27,2017-10-27,115.64
2017-10-30,2017-10-30,117.45
2017-10-31,2017-10-31,117.5
2017-11-01,2017-11-01,116.63
2017-11-02,2017-11-02,117.81
2017-11-03,2017-11-03,118.98
2017-11-06,2017-11-06,118.87
2017-11-07,2017-11-07,120.52
2017-11-08,2017-11-08,121.03
2017-11-09,2017-11-09,121.38
2017-11-10,2017-11-10,121.13
2017-11-13,2017-11-13,121.96
2017-11-14,2017-11-14,122.23
2017-11-15,2017-11-15,120.41
2017-11-16,2017-11-16,119.86
2017-11-17,2017-11-17,119.51
2017-11-20,2017-11-20,118.8
2017-11-21,2017-11-21,118.82
2017-11-22,2017-11-22,118.66
2017-11-24,2017-11-24,118.7
2017-11-27,2017-11-27,119.43
2017-11-28,2017-11-28,119.58
2017-11-29,2017-11-29,120.26
2017-11-30,2017-11-30,120.99
2017-12-01,2017-12-01,120.48
2017-12-04,2017-12-04,120.49
2017-12-05,2017-12-05,116.22
2017-12-06,2017-12-06,116.31
2017-12-07,2017-12-07,116.43
2017-12-08,2017-12-08,116.69
2017-12-11,2017-12-11,118.03
2017-12-12,2017-12-12,114.69
2017-12-13,2017-12-13,115.24
2017-12-14,2017-12-14,115.78
2017-12-15,2017-12-15,116.53
2017-12-18,2017-12-18,115.07
2017-12-19,2017-12-19,112.19
2017-12-20,2017-12-20,111.93
2017-12-21,2017-12-21,106.91
2017-12-22,2017-12-22,108.31
2017-12-26,2017-12-26,107.94
2017-12-27,2017-12-27,107.83
2017-12-28,2017-12-28,107.08
2017-12-29,2017-12-29,106.92
2018-01-02,2018-01-02,105.35
2018-01-03,2018-01-03,108.14
2018-01-04,2018-01-04,107.42
2018-01-05,2018-01-05,108.45
2018-01-08,2018-01-08,108.48
2018-01-09,2018-01-09,107.62
2018-01-10,2018-01-10,107.19
2018-01-11,2018-01-11,106.7
2018-01-12,2018-01-12,106.89
2018-01-16,2018-01-16,107.06
2018-01-17,2018-01-17,106.59
2018-01-18,2018-01-18,106.02
2018-01-19,2018-01-19,105.99
2018-01-22,2018-01-22,105.05
2018-01-23,2018-01-23,106.22
2018-01-24,2018-01-24,105.68
2018-01-25,2018-01-25,106.4
2018-01-26,2018-01-26,105.53
2018-01-29,2018-01-29,104.45
2018-01-30,2018-01-30,105.83
2018-01-31,2018-01-31,107.02
2018-02-01,2018-02-01,106.53
2018-02-02,2018-02-02,105.58
2018-02-05,2018-02-05,104.25
2018-02-06,2018-02-06,103.4
2018-02-07,2018-02-07,104.09
2018-02-08,2018-02-08,103.36
2018-02-09,2018-02-09,106.11
2018-02-12,2018-02-12,106.62
2018-02-13,2018-02-13,106.81
2018-02-14,2018-02-14,105.47
2018-02-15,2018-02-15,107.98
2018-02-16,2018-02-16,109.01
2018-02-20,2018-02-20,107.54
2018-02-21,2018-02-21,105.43
2018-02-22,2018-02-22,106.64
2018-02-23,2018-02-23,109.57
2018-02-26,2018-02-26,109.51
2018-02-27,2018-02-27,110.04
2018-02-28,2018-02-28,108.98
2018-03-01,2018-03-01,107.64
2018-03-02,2018-03-02,107.09
2018-03-05,2018-03-05,110.69
2018-03-06,2018-03-06,109.36
2018-03-07,2018-03-07,108.56
2018-03-08,2018-03-08,109.79
2018-03-09,2018-03-09,109.08
2018-03-12,2018-03-12,109.75
2018-03-13,2018-03-13,110.7
2018-03-14,2018-03-14,112.86
2018-03-15,2018-03-15,112.2
2018-03-16,2018-03-16,113.02
2018-03-19,2018-03-19,112.43
2018-03-20,2018-03-20,110.6
2018-03-21,2018-03-21,110.41
2018-03-22,2018-03-22,110.51
2018-03-23,2018-03-23,108.97
2018-03-26,2018-03-26,109.98
2018-03-27,2018-03-27,111.18
2018-03-28,2018-03-28,110.33
2018-03-29,2018-03-29,111.22
2018-04-02,2018-04-02,110.13
2018-04-03,2018-04-03,109.38
2018-04-04,2018-04-04,110.34
2018-04-05,2018-04-05,111.53
2018-04-06,2018-04-06,111.13
2018-04-09,2018-04-09,111.78
2018-04-10,2018-04-10,111.68
2018-04-11,2018-04-11,110.99
2018-04-12,2018-04-12,110.27
2018-04-13,2018-04-13,110.62
2018-04-16,2018-04-16,111.79
2018-04-17,2018-04-17,112.6
2018-04-18,2018-04-18,111.6
2018-04-19,2018-04-19,110.37
2018-04-20,2018-04-20,109.81
2018-04-23,2018-04-23,109.3
2018-04-24,2018-04-24,109.89
2018-04-25,2018-04-25,109.31
2018-04-26,2018-04-26,110.38
2018-04-27,2018-04-27,111.63
2018-04-30,2018-04-30,111.8
2018-05-01,2018-05-01,111.66
